quantile,score,weight
"(-0.001, 3.211]",0.01769961246689311,0.6803013956670295
"(3.211, 5.192]",0.20336946772266148,0.07105887741177966
"(5.192, 6.939]",0.26730674569118545,0.04137872114771699
"(6.939, 8.647]",0.5973552631753682,0.027123952092709
"(8.647, 10.313]",0.49059941392727213,0.023205780281156788
"(10.313, 11.904]",0.4966647614057753,0.019712716342905376
"(11.904, 13.467]",0.6011704818530064,0.016058826249937357
"(13.467, 15.011]",0.6445229808058541,0.01580060830440692
"(15.011, 16.559]",0.6845099412116066,0.011952174456422932
"(16.559, 18.16]",0.6178919775064896,0.010246418992412347
"(18.16, 19.809]",0.6909290820827382,0.008724472904093563
"(19.809, 21.501]",0.6622417523649404,0.00773490747011133
"(21.501, 23.229]",0.6695501309734467,0.0067571516454597615
"(23.229, 24.979]",0.6585305217241598,0.006347877381338069
"(24.979, 26.776]",0.7068656089444192,0.004952654685493284
"(26.776, 28.569]",0.6189608261812376,0.003751915085804069
"(28.569, 30.431]",0.6550288951885461,0.005166752540867819
"(30.431, 32.517]",0.6634196620039202,0.0039174905655575435
"(32.517, 34.741]",0.72925701324783,0.0036809973423511644
"(34.741, 37.035]",0.5464469692666498,0.0036627489066961344
"(37.035, 39.4]",0.6288538637581568,0.003426843502855293
"(39.4, 41.811]",0.7107560219425135,0.003462707027699667
"(41.811, 44.358]",0.7752968259073274,0.0029023506482748675
"(44.358, 46.832]",0.7596382208696938,0.002458274820287444
"(46.832, 49.227]",0.7745651968426776,0.0022000476143808644
"(49.227, 51.555]",0.7313761833148059,0.0016819183862230636
"(51.555, 53.764]",0.751807966421238,0.0013865370606531212
"(53.764, 55.987]",0.7019537555118287,0.001274379149365141
"(55.987, 58.084]",0.732637181248003,0.0010991943131620637
"(58.084, 60.03]",0.6922613489591739,0.001060798891504906
"(60.03, 61.847]",0.5713266215866598,0.0008697204267511501
"(61.847, 63.57]",0.5933777648442985,0.0008489955121367134
"(63.57, 65.258]",0.6050154840750422,0.0007231918661469537
"(65.258, 66.947]",0.6829999663901747,0.0006237128197729336
"(66.947, 68.708]",0.6889826492375907,0.0005362526559303706
"(68.708, 70.5]",0.8060413564779609,0.000395232039654549
"(70.5, 72.284]",0.8437780299561559,0.00033867040598463687
"(72.284, 73.955]",0.8341667252491194,0.00026602218059022554
"(73.955, 75.584]",0.8650078051136252,0.00024270850753749799
"(75.584, 77.263]",0.9059099815044109,0.000217698140849015
"(77.263, 78.964]",0.8980110619244802,0.0002073816633197081
"(78.964, 80.601]",0.9216517667340076,0.00016986419873400076
"(80.601, 82.152]",0.8873147744866253,0.000175597409365517
"(82.152, 83.605]",0.9025290301425068,0.00014478263577805714
"(83.605, 84.996]",0.811359949855811,0.0001316947760737134
"(84.996, 86.337]",0.9001117405963776,0.00013257984485230795
