quantile,score,sampers_weight,sampers_mean,sampers_var,twitter_weight,twitter_mean,twitter_var,covariance
"(-0.001, 22.405]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",0.3618376850950928,0.028808870046507534,6.193804242848689e-08,8.648960635182599e-12,0.06344564694091387,1.364058765854135e-07,6.448661066081645e-11,1.6052057189821575e-11
"(102.07, 108.851]",0.2574995114449576,0.07236145663781507,1.555745492337851e-07,1.58714873216174e-11,0.1602558219309281,3.4454429771615334e-07,1.5099280116476858e-10,2.6840855200298887e-11
"(108.851, 115.402]",0.4126995466362003,0.07075061842379658,1.521113045635069e-07,2.3584161200973755e-11,0.1450891752806869,3.119365487067683e-07,1.1308001858688704e-10,3.4471702453640645e-11
"(115.402, 121.788]",0.43623438944077575,0.05770976569595194,1.240739366189488e-07,1.577458923176869e-11,0.10986158273032465,2.361984819753972e-07,5.8034221262775376e-11,1.825774410699582e-11
"(121.788, 128.103]",0.5103563240727534,0.051592339773434755,1.1092168921284379e-07,1.146194307946947e-11,0.08942611123446724,1.922629475891746e-07,4.628796303223534e-11,1.5891072480323517e-11
"(128.103, 134.5]",0.5049739278144193,0.05032928009109841,1.0820615597367242e-07,1.020969605393691e-11,0.0791256932260566,1.70117416486908e-07,3.8990679639031116e-11,1.2507318461774285e-11
"(134.5, 140.658]",0.6407394549103711,0.04368066159153193,9.39118634848598e-08,6.960738530540294e-12,0.061783988097498424,1.3283336937568997e-07,2.353144578355369e-11,9.487106739973629e-12
"(140.658, 146.534]",0.553788164601069,0.03629542177813652,7.803386146089327e-08,3.505600119088934e-12,0.052560821568792215,1.1300389050832083e-07,1.2666423055056737e-11,3.6803951276324005e-12
"(146.534, 152.416]",0.7199740803553891,0.037018223265486386,7.958785886233862e-08,7.612448962802352e-12,0.03955480497702835,8.504141901305534e-08,6.91820431730628e-12,4.492491024003895e-12
"(152.416, 158.282]",0.8511063981893551,0.03373219817243452,7.25230221885659e-08,8.018373061029805e-12,0.0319880443004247,6.877315361156315e-08,8.991925579853075e-12,6.850933139498082e-12
"(158.282, 164.09]",0.7104790460910095,0.03223776128635418,6.931003621906024e-08,6.2030599032748734e-12,0.030486968658299602,6.554589455349456e-08,8.08922743003987e-12,4.3084187777262815e-12
"(164.09, 169.751]",0.6632140346262824,0.027923125026563193,6.003372224732155e-08,4.962671122397811e-12,0.021360896203020084,4.5925164478762836e-08,1.936513041231217e-12,1.5171282391854984e-12
"(169.751, 175.259]",0.7667867247786625,0.025740229035109877,5.534057377196162e-08,2.95364771248779e-12,0.019568894125852027,4.207242396834398e-08,1.879348865489814e-12,1.3600238895138368e-12
"(175.259, 180.935]",0.7928592903940916,0.025313373872513135,5.442285040658649e-08,3.2600586301248974e-12,0.01746156621098555,3.754174416066586e-08,2.5798909442932228e-12,2.03641377243358e-12
"(180.935, 186.282]",0.7172656307403248,0.021705247253098952,4.666550694674743e-08,2.280823216984855e-12,0.012192723064226857,2.6213919437025087e-08,7.428177177805304e-13,7.569867551014264e-13
"(186.282, 191.76]",0.6841282473378342,0.021858056108661907,4.699404053255026e-08,2.2084860641350846e-12,0.010927143824872395,2.349296924018626e-08,6.721725526799994e-13,7.199163221669931e-13
"(191.76, 197.086]",0.7037512998271604,0.02036403023975935,4.37819382353079e-08,1.5972748704501632e-12,0.010835406922569442,2.3295738174270605e-08,1.6290947843401202e-12,8.461284433492909e-13
"(197.086, 202.626]",0.7039403236135273,0.018069778436215524,3.8849378738176323e-08,1.022477134995456e-12,0.007501140438639256,1.612718423181615e-08,3.19677086099165e-13,3.880594925034414e-13
"(202.626, 207.999]",0.696831565696232,0.01616024447997461,3.4743948882393965e-08,8.139121534889684e-13,0.0062591912017555375,1.3457037696948636e-08,2.122825683005203e-13,2.65738695824065e-13
"(207.999, 213.47]",0.6868287564173555,0.013198445719251684,2.8376187251682743e-08,6.726632853551834e-13,0.00443788152260344,9.541286888235051e-09,8.083323559481377e-14,1.6070631496839328e-13
"(213.47, 218.954]",0.6348095650312857,0.013587606084362347,2.9212868147767795e-08,8.641974116059569e-13,0.004150142414678872,8.922658075435522e-09,8.221691928349989e-14,1.584434868007899e-13
"(218.954, 224.269]",0.7032119280121559,0.011784986950829761,2.5337301345081657e-08,3.5625280577655944e-13,0.003637358282966986,7.820190493216832e-09,4.787599508714142e-14,7.057323161328388e-14
"(224.269, 229.603]",0.6986521411226398,0.010331376594310075,2.2212090957056773e-08,3.432921036955424e-13,0.0027400654459712108,5.8910429175256726e-09,4.580012232775308e-14,6.678055562376137e-14
"(229.603, 234.752]",0.6856497864260519,0.010716366582263088,2.3039805691091168e-08,4.745874310274893e-13,0.002942813693672707,6.326944414119046e-09,4.984011974245762e-14,8.419820866434002e-14
"(234.752, 239.974]",0.6120394932259099,0.010433726612565628,2.24321398434947e-08,5.224555187946455e-13,0.0019331736492514103,4.1562543520682875e-09,1.7371964848183746e-14,5.4262390994268186e-14
"(239.974, 245.254]",0.49144158751853506,0.011894029430797516,2.5571738785350822e-08,1.2616158403853413e-12,0.0018046175893432735,3.87986341135541e-09,2.2726914070297858e-14,1.1369489144752554e-13
"(245.254, 250.51]",0.6049367956244046,0.009735326790350935,2.0930605151209e-08,3.5144990808658984e-13,0.001329900743264306,2.8592391346486225e-09,9.107291029226257e-15,2.0699321343119205e-14
"(250.51, 255.844]",0.5942712858236832,0.009767882017785065,2.10005977283156e-08,5.072614031380797e-13,0.0013605028867814013,2.9250326510380056e-09,1.3769622751526642e-14,4.246174805587063e-14
"(255.844, 261.162]",0.6378484405945342,0.008920913475702029,1.917964559064256e-08,3.132573302026857e-13,0.0011603528867758946,2.4947172942610885e-09,1.161176848652447e-14,3.7196082971417904e-14
"(261.162, 266.661]",0.6417203596796023,0.008557181558768305,1.8397634950611676e-08,2.6409186173602737e-13,0.0009592660740387257,2.0623878235453893e-09,5.89058885951251e-15,2.1757221789771388e-14
"(266.661, 272.129]",0.66060668019537,0.007781695571285935,1.6730367754160042e-08,2.1105368226781272e-13,0.0006477884002892092,1.3927219414375717e-09,1.7506448629157728e-15,1.1331143003237627e-14
"(272.129, 277.715]",0.6603582964509698,0.00759964716455831,1.633897017689543e-08,2.2807125055481945e-13,0.0005605642102521158,1.205193045837488e-09,1.4455788248595105e-15,7.764365582093832e-15
"(277.715, 283.342]",0.6830467210559623,0.007103382335263513,1.5272018505309365e-08,2.1377343635637888e-13,0.000472542167899562,1.0159487962340409e-09,1.0579355554470583e-15,7.999716626454052e-15
"(283.342, 289.14]",0.6702072946054157,0.007285121032574002,1.566275021838048e-08,2.540158333233725e-13,0.00048467601733708,1.0420361394748067e-09,1.8258437106436886e-15,1.4334711685453213e-14
"(289.14, 295.075]",0.712671640181903,0.006541737567457432,1.406450229929531e-08,1.420370862102693e-13,0.000334104454287544,7.183126527281843e-10,5.004235799085667e-16,4.407084955535275e-15
"(295.075, 301.331]",0.7623573028232292,0.005703050143242295,1.226135426949006e-08,1.0651641145012464e-13,0.0002608160116172318,5.607451166081126e-10,2.5851187795282094e-16,2.9666926919455176e-15
"(301.331, 307.68]",0.7624594145387487,0.005613105277883498,1.2067976019047604e-08,1.2329824416016732e-13,0.00022300862260412618,4.794605795532507e-10,2.2985472434992296e-16,2.7626237611078443e-15
"(307.68, 313.891]",0.7733994651673842,0.005441830625028058,1.1699741628099298e-08,9.408742797434367e-14,0.0001769388113082088,3.804121294712997e-10,1.918273927810643e-16,2.583455593611454e-15
"(313.891, 320.547]",0.7684381653619081,0.005434848173572595,1.1684729606669608e-08,1.1106713238154222e-13,0.0001424573989668145,3.062783235584801e-10,7.076466492711478e-17,1.7091387070560078e-15
"(320.547, 326.988]",0.8033152129108441,0.004933643807006314,1.060715810623901e-08,6.932850667734408e-14,0.00011597569768137978,2.493436109110254e-10,5.610773313727077e-17,1.0408665274324241e-15
"(326.988, 333.082]",0.7473458928295893,0.005518840037471137,1.1865309116431612e-08,1.9588182056445352e-13,9.236407237571832e-05,1.9857945918877185e-10,3.816249368423298e-17,8.808690774216115e-16
"(333.082, 339.529]",0.785771633623378,0.005020826399543681,1.0794597568699275e-08,1.319892883779852e-13,7.586460309680625e-05,1.6310618909539446e-10,6.001729440669995e-17,1.1238078939351374e-15
"(339.529, 346.178]",0.7850385724758546,0.005034391957673979,1.0823763034532682e-08,1.2051429649202087e-13,5.7240334139433056e-05,1.2306467552616734e-10,1.7787694294991666e-17,8.200875179939256e-16
"(346.178, 352.733]",0.7713376657279034,0.005130642135540592,1.1030697481834074e-08,1.6978439243216045e-13,4.68545849491954e-05,1.00735685428392e-10,1.4957450827506477e-17,8.837833358709264e-16
"(352.733, 359.7]",0.8223900015745624,0.0044136488729364124,9.489187556299851e-09,1.1154734243261571e-13,3.2269011606159975e-05,6.93772232913373e-11,3.9460986417540215e-18,3.2005438761541246e-16
"(359.7, 366.652]",0.8208439691006286,0.004520686395395664,9.719314409481479e-09,7.655277775271858e-14,2.821152103160118e-05,6.065376336547066e-11,4.0735693461298885e-18,3.067134165624519e-16
"(366.652, 373.677]",0.8259670240955086,0.004402322806401495,9.464836917470385e-09,8.665692445712093e-14,2.1117041509461407e-05,4.540088559064122e-11,2.0462011034521426e-18,1.7117715917934805e-16
"(373.677, 380.777]",0.7999490519204107,0.004725917318098493,1.016055356872252e-08,1.2681136922186567e-13,1.723978232078577e-05,3.706491671207199e-11,1.2780505755559372e-18,1.136614511766804e-16
"(380.777, 387.825]",0.6323910320027519,0.006554593015748529,1.4092141054317836e-08,5.848341846160031e-13,1.6955087765607115e-05,3.645283357901789e-11,3.101278097374474e-18,2.698127924923517e-16
"(387.825, 394.882]",0.5551082226926994,0.007740505526423047,1.664181062775313e-08,6.928482122522086e-13,1.2323927039331141e-05,2.6496003300907158e-11,7.922078137460107e-19,1.8642505946378541e-16
"(394.882, 401.993]",0.491612439017967,0.008067744770823162,1.7345363324238618e-08,1.2631965189550727e-12,1.1152667714421837e-05,2.3977837553903554e-11,1.5948830491247709e-18,7.406862992863067e-16
