quantile,score,sampers_weight,sampers_mean,sampers_var,twitter_weight,twitter_mean,twitter_var,covariance
"(-0.001, 3.211]",0.01663114089276723,0.6803013956670295,7.370990014859287e-08,1.9488476744535592e-10,0.22309065418801396,2.417162444325075e-08,1.7803605321149386e-11,2.8927871653166047e-12
"(3.211, 5.192]",0.20844175237675414,0.07105887741177966,7.699150394301071e-09,2.24019092563554e-13,0.10493410640644198,1.1369493807692205e-08,6.019663267117938e-13,1.8079690409320328e-14
"(5.192, 6.939]",0.27584224399020774,0.04137872114771699,4.48333844895933e-09,1.7009841585080352e-13,0.06703622740377771,7.263300736618339e-09,3.2052975571139153e-13,9.011299923798572e-15
"(6.939, 8.647]",0.601196847316481,0.027123952092709,2.9388500642843707e-09,4.3805631940052455e-14,0.04744387336812151,5.140490951364081e-09,5.1499651567409885e-14,3.6511115620954205e-15
"(8.647, 10.313]",0.49777094713355863,0.023205780281156788,2.51432050307221e-09,1.1645251159859768e-13,0.03871946336529322,4.195210823674018e-09,5.155237988063315e-14,4.8966137329879265e-15
"(10.313, 11.904]",0.5031621078644876,0.019712716342905376,2.135850907476699e-09,1.1782565636237656e-13,0.0339998434457538,3.6838452506731496e-09,3.295878494244921e-14,2.3898967432909725e-15
"(11.904, 13.467]",0.6078716091533923,0.016058826249937357,1.7399559767562767e-09,6.716797885206442e-14,0.029797291891968697,3.2285034604434133e-09,1.421630599587763e-14,1.8826245828466572e-15
"(13.467, 15.011]",0.6531307058228444,0.01580060830440692,1.7119783493357694e-09,6.570292104751272e-14,0.026418134188928584,2.8623754788401752e-09,1.8326989590233676e-14,4.968644605608967e-15
"(15.011, 16.559]",0.6903958616840665,0.011952174456422932,1.2950048189709945e-09,2.3681073191043455e-14,0.02358372704641246,2.5552706150459833e-09,1.786953902728379e-14,1.0269738524622292e-15
"(16.559, 18.16]",0.622780981348285,0.010246418992412347,1.1101881101843564e-09,4.5796120412535513e-14,0.022146722942926005,2.3995728174878144e-09,1.2355919955381353e-14,1.7772623897497023e-15
