quantile,score,sampers_weight,sampers_mean,sampers_var,twitter_weight,twitter_mean,twitter_var,covariance
"(-0.001, 2.115]",0.01009900708248759,0.590517677673264,6.721659437237675e-08,4.1261960646346734e-10,0.16854918672288938,1.9185373688363985e-08,7.544544293302994e-11,4.289178251924524e-12
"(2.115, 3.2]",0.6807280602793563,0.05847530357839675,6.656042503109372e-09,2.2973442888995855e-13,0.05529483087411666,6.294020244066524e-09,2.996232422387621e-13,5.761202771697526e-14
"(3.2, 4.113]",0.8636501822509606,0.03364460745856948,3.829649844304561e-09,6.146568949422166e-14,0.03398094707378325,3.86793422484379e-09,1.0024695717265164e-13,1.721725816260685e-14
"(4.113, 4.957]",0.9065416789256071,0.02354497666984177,2.6800436399458563e-09,4.622683663368449e-14,0.02344924544851728,2.6691468845804715e-09,6.34689200981106e-14,1.364837005028107e-14
"(4.957, 5.788]",0.701421646504854,0.021555031394410316,2.4535350196977217e-09,2.8455382866423217e-13,0.022324019644406407,2.541066304926596e-09,6.699289524561748e-14,8.254069505925521e-15
"(5.788, 6.614]",0.9359037184302381,0.017150414628250267,1.9521726562486075e-09,2.6465852213040665e-14,0.019301951188780572,2.1970746561960543e-09,4.178608030036295e-14,9.584849544058102e-15
"(6.614, 7.456]",0.8729449284397286,0.014500059441801655,1.650491849312949e-09,1.307783915064676e-14,0.01882037340727054,2.1422583151746443e-09,8.572491709171199e-14,5.0649797839083575e-15
"(7.456, 8.337]",0.8498984596507249,0.016493132510004747,1.877356495444746e-09,1.1988777710377792e-13,0.01617020466567537,1.8405987306148102e-09,2.8737926176106476e-14,5.280950851859672e-15
"(8.337, 9.272]",0.8086006513669838,0.015628928897026523,1.7789871732297377e-09,1.542514965800714e-13,0.016948675239230784,1.9292093560912215e-09,3.7251419595221386e-14,4.618540941282411e-15
"(9.272, 10.288]",0.811094661282341,0.014470568929390071,1.6471350458072298e-09,1.5734628397983658e-13,0.01519065531234249,1.729099999856862e-09,3.03366427785198e-14,3.567504814914439e-15
"(10.288, 11.406]",0.8990288050921342,0.01327640405461799,1.511207369065082e-09,4.111032573145491e-14,0.01687886798069053,1.921263436165444e-09,3.582032976630431e-14,4.639375927146213e-15
"(11.406, 12.65]",0.7135937311528625,0.015923164429786498,1.8124789910079863e-09,2.898555079671883e-13,0.017203815648632513,1.9582511105638916e-09,3.7194474916657274e-14,7.125246830448028e-15
"(12.65, 14.062]",0.5371609902211096,0.018458853461857595,2.101107744332985e-09,7.161003323760613e-13,0.015511617345074545,1.765634003120048e-09,2.1517845102847326e-14,2.4681726764092137e-14
"(14.062, 15.693]",0.8042589386082957,0.016516221042290388,1.879984583591764e-09,1.479303799503017e-13,0.01814775314671014,2.065696266433156e-09,4.979394531072343e-14,5.435351906154244e-15
"(15.693, 17.608]",0.8027728761034245,0.014076154999397865,1.6022402659395728e-09,4.7742595468178995e-14,0.0218983415213884,2.4926128295948595e-09,7.943518261206796e-14,5.7370939433481525e-15
"(17.608, 19.895]",0.6602976548509095,0.017582213438745626,2.0013228283652168e-09,2.2055935140770053e-13,0.028173938681391068,3.2069424503614982e-09,8.932934221490935e-14,7.917222841184406e-15
"(19.895, 22.678]",0.6911013988218523,0.013682677468892882,1.5574520732019594e-09,2.5572180044175315e-14,0.03004580839411371,3.4200109357856253e-09,7.684582731532344e-14,3.880561496910642e-15
"(22.678, 25.793]",0.6547573349803412,0.014875478550143536,1.6932245140224684e-09,6.71858142737177e-14,0.03316700519463242,3.7752860227626275e-09,7.290286331649168e-14,4.52592434631505e-15
"(25.793, 29.162]",0.6436580112850447,0.011625601810545946,1.32330223256518e-09,2.4639667410758207e-14,0.028436674619787182,3.236848777751732e-09,8.494222846081599e-14,3.05511991718583e-15
"(29.162, 32.281]",0.6119422120536063,0.00974614271792567,1.1093698741540033e-09,1.0896365727303289e-13,0.024082541843893645,2.7412328331218033e-09,5.823372322205936e-14,5.0889354073973446e-15
"(32.281, 35.044]",0.5345056237259996,0.006282006893239078,7.150592186352148e-10,1.1491441397172032e-14,0.023307531439603905,2.6530160668011533e-09,5.032141117879809e-14,1.2673385814187293e-15
"(35.044, 37.614]",0.568844796194673,0.005040535607780433,5.73746816018542e-10,4.957178980834654e-15,0.01891630546774054,2.153177931368566e-09,4.126698809751786e-14,8.585223905074199e-16
"(37.614, 40.002]",0.6840246208510716,0.004462865777945383,5.079926479364365e-10,9.717103070586019e-15,0.014231590442313232,1.6199329473148352e-09,1.7263414870815177e-14,2.1224336159941992e-15
"(40.002, 42.213]",0.6563983831368656,0.003784184754291372,4.307407233963855e-10,4.635639147476985e-15,0.013684615249432736,1.5576726440899356e-09,1.8697407883834345e-14,7.113058259944085e-16
"(42.213, 44.525]",0.6413999154714356,0.0038493012285679743,4.381527074976158e-10,3.211860571549982e-15,0.014174221954878734,1.6134028898831335e-09,2.3029178796079033e-14,4.943467069940444e-16
"(44.525, 46.962]",0.6242494359537895,0.003504320565789849,3.988847462612357e-10,2.02893850120147e-15,0.014101511237513496,1.6051264792345637e-09,1.9218328098747075e-14,1.4315437382307508e-15
"(46.962, 49.411]",0.6381732930238292,0.0030786089092589577,3.5042745392516744e-10,4.6428115501649066e-15,0.012827785996250937,1.4601427198640702e-09,1.55144829659086e-14,9.943871227875578e-16
"(49.411, 51.915]",0.614235301327046,0.0026421352478772273,3.0074515962549555e-10,1.807065444112901e-15,0.012646940367948499,1.4395576845616241e-09,1.2622575750216431e-14,4.3938755754869404e-16
"(51.915, 54.193]",0.612575309982725,0.002102368881918651,2.3930541235248656e-10,1.1365471025191092e-15,0.011634199529390384,1.3242808813033032e-09,9.972709735931474e-15,1.9377072571497048e-16
"(54.193, 56.242]",0.6040958410519706,0.0018139176762216101,2.0647200461106947e-10,1.5080601559644356e-15,0.011261808827646831,1.281892929691479e-09,9.325075814728923e-15,2.9693866336386954e-16
"(56.242, 58.166]",0.4717511975109582,0.0015402912634231505,1.7532605201044455e-10,6.549637938003181e-16,0.013641680535118156,1.55278553336372e-09,3.4078538932498545e-14,4.97878417841341e-16
"(58.166, 60.05]",0.5501005782972849,0.0013169196131238528,1.499004260213717e-10,6.049425005297605e-16,0.011477484449689334,1.3064425432779195e-09,1.0900849433691594e-14,3.392863570930566e-16
"(60.05, 61.85]",0.5859049607081069,0.0011599382532558019,1.3203177824125696e-10,4.721549202212325e-16,0.010355908156253965,1.1787773748606723e-09,1.1356969270037998e-14,1.9366223679786853e-16
"(61.85, 63.607]",0.6814037283594759,0.001014573268382407,1.1548538243701829e-10,2.854514568874866e-16,0.008302527002350419,9.450480669462269e-10,6.899442064642683e-15,1.4214742279488804e-16
"(63.607, 65.353]",0.6951792960686384,0.0008693488672119718,9.895498879172332e-11,6.695865976297871e-16,0.0077927724526397615,8.870244614000213e-10,8.436200346457495e-15,1.1715041839839938e-16
"(65.353, 67.048]",0.6304917223972651,0.0008274940003533118,9.419079338400342e-11,1.2513175088239282e-16,0.008923417783904156,1.0157219271728757e-09,7.43388973116655e-15,1.0175554251673693e-16
"(67.048, 68.668]",0.6137648572671562,0.0007295845548210453,8.304609825565869e-11,1.1458241969494383e-16,0.009082193899314047,1.0337948657978112e-09,6.391121380716389e-15,8.33861699701814e-17
"(68.668, 70.216]",0.6239074541153953,0.0005399860906329889,6.146475777628765e-11,1.859164300569209e-17,0.008555542119535109,9.738479067222219e-10,7.203853509031095e-15,4.8991068546814083e-17
"(70.216, 71.784]",0.7103500614128827,0.0005626687455185368,6.404664629609939e-11,1.6066567575130656e-16,0.0071130999147004815,8.096596762021999e-10,5.776794307481639e-15,7.403641387508584e-17
"(71.784, 73.38]",0.6378626610241704,0.0004452972834289666,5.068665682169008e-11,1.583363654803167e-17,0.007992553739054171,9.097648774787066e-10,1.8208297254902563e-14,4.470335204479147e-17
"(73.38, 75.118]",0.6726082808464449,0.00046515353089349464,5.294682511477071e-11,4.0487379438659445e-17,0.007553914369106762,8.598360680285288e-10,9.09187031462109e-15,3.736712505422172e-17
"(75.118, 76.989]",0.7371758495827242,0.00045259251296344394,5.151704768552408e-11,8.718505569423308e-17,0.006547200541184168,7.452452986426602e-10,3.3589208493826438e-15,4.5892354986696594e-17
"(76.989, 78.993]",0.6731172204036392,0.00039258386580689385,4.468646996150088e-11,1.8601582318111495e-17,0.007386257772134033,8.407522947586551e-10,1.2352542085673935e-14,2.868069650588018e-17
