distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 2.115]",5.03539043620883e-06,5.543050742063845e-07,2.0900886266855463e-06,6.721579867430781e-06,6.662426737204259e-09,8.622917329393284e-17,1.5083714918685697e-08,4.1217213516199477e-08
"(2.115, 3.2]",5.207019448017332e-07,5.319231582218557e-07,5.940393150247095e-07,6.65611523680699e-07,3.3913468198014244e-11,2.4699034472418187e-17,2.270427267087399e-11,2.2535342083558842e-11
"(3.2, 4.113]",3.155894420575118e-07,5.16472575462854e-07,3.6635967651095595e-07,3.8296045095919904e-07,1.5203086996024e-11,1.6566355904912643e-17,6.653043684027331e-12,6.001372395613865e-12
"(4.113, 4.957]",1.9982230240261838e-07,5.030886112576356e-07,2.56195247658871e-07,2.680072926039445e-07,7.910821049763004e-12,1.3579652249704369e-17,4.399106683099563e-12,4.551676350682788e-12
"(4.957, 5.788]",1.7151047379206464e-07,4.90690274020511e-07,2.3978657556076797e-07,2.453505975187278e-07,7.292758958919137e-12,1.2399335923559667e-17,4.371451297626177e-12,2.839577429274795e-11
"(5.788, 6.614]",1.5397024573650077e-07,4.786239165028496e-07,2.1498576846220033e-07,1.952193988554646e-07,8.35722488521038e-12,1.1787587239929182e-17,2.9709697314453227e-12,2.6089143267629276e-12
"(6.614, 7.456]",1.1365288026115567e-07,4.668130760801691e-07,2.0318635181295324e-07,1.6504723110844888e-07,3.940245487109228e-12,1.1545522230753285e-17,5.045904697756471e-12,1.2808148332665537e-12
"(7.456, 8.337]",1.2557756739426528e-07,4.5496189252742627e-07,1.7779658333355224e-07,1.8773770101995095e-07,4.30602942661416e-12,1.2001772315100713e-17,1.895751706458961e-12,1.1954151795063383e-11
"(8.337, 9.272]",1.3475621149532998e-07,4.427311030781861e-07,1.8663252766672595e-07,1.7789661138965264e-07,5.921926826144683e-12,1.2910168597766509e-17,2.5620377738005992e-12,1.5393811549662804e-11
"(9.272, 10.288]",9.729789473697407e-08,4.299751017432065e-07,1.685997646725302e-07,1.6471530448242573e-07,2.6887213509817837e-12,1.4337469360284748e-17,2.104587315906563e-12,1.5708119316534814e-11
"(10.288, 11.406]",1.3653601051507963e-07,4.1645249174834507e-07,1.8628248957339496e-07,1.5111894796614842e-07,9.082136981827747e-12,1.6278843371754044e-17,2.6047218820837766e-12,4.088421879655589e-12
"(11.406, 12.65]",9.085657069515346e-08,4.020180909189963e-07,1.8779552382222329e-07,1.8124987968158377e-07,2.548572941664671e-12,1.864836216387907e-17,2.4004987535026133e-12,2.8953674101445203e-11
"(12.65, 14.062]",9.884947254133326e-08,3.8635797008287357e-07,1.7262335676445178e-07,2.101082871793838e-07,3.2272096732708554e-12,2.2333678882746186e-17,1.6846681649964007e-12,7.15662961034669e-11
"(14.062, 15.693]",1.1642410691378343e-07,3.6920288283227956e-07,1.9773186102992513e-07,1.8800051270648828e-07,5.8463802440317494e-12,2.7113879504026104e-17,4.2713592649317366e-12,1.4758376882139984e-11
"(15.693, 17.608]",1.1885102342994826e-07,3.5008887965230043e-07,2.435844361049197e-07,1.6022212989047593e-07,4.246292397692405e-12,3.369725782789283e-17,6.8962098093439635e-12,4.74884266722672e-12
"(17.608, 19.895]",1.462576077390577e-07,3.288487775517458e-07,3.0415598967708203e-07,2.0013446977582312e-07,5.599997786622943e-12,4.2319903495607336e-17,5.825324020289436e-12,2.201677349609846e-11
"(19.895, 22.678]",1.4591526884137928e-07,3.048894186541545e-07,3.283881611432538e-07,1.5574336363617906e-07,5.059222572195675e-12,5.411048986714297e-17,5.773134488906433e-12,2.533203134272134e-12
"(22.678, 25.793]",1.2150936273627335e-07,2.788554145818658e-07,3.596485050966387e-07,1.6932430166807277e-07,3.3034880813783596e-12,5.721712167894475e-17,4.933672422657277e-12,6.690346984133275e-12
"(25.793, 29.162]",1.3077285178446171e-07,2.5309815373301133e-07,3.162429007762176e-07,1.3232865675491082e-07,5.227768102686628e-12,5.4980933182172824e-17,6.013132692307718e-12,2.4466296592983557e-12
"(29.162, 32.281]",1.1241240509826359e-07,2.2921556067847794e-07,2.726515431866834e-07,1.1093819967588296e-07,5.706358606775161e-12,3.8088938157905965e-17,5.075551139357343e-12,1.0884424479361143e-11
"(32.281, 35.044]",8.433049238962474e-08,2.0993144406440378e-07,2.635019347400168e-07,7.150670324226052e-08,2.1857272665073272e-12,2.5064020819737258e-17,4.1096305854716486e-12,1.1441076429985978e-12
"(35.044, 37.614]",6.02024081124839e-08,1.937446322643857e-07,2.082814691736717e-07,5.737400241059522e-08,1.3889821422855064e-12,1.8718775665243866e-17,2.82386963617017e-12,4.924587772842734e-13
"(37.614, 40.002]",4.5626045296229126e-08,1.798906665018139e-07,1.5954718896452914e-07,5.079981990103102e-08,7.527518543799043e-13,1.3745071857586638e-17,1.387956066260482e-12,9.691771415561444e-13
"(40.002, 42.213]",5.949613866020229e-08,1.6792104885537543e-07,1.5475055010183016e-07,4.307356243644427e-08,1.7041052539994136e-12,1.0294654272709012e-17,1.3733128589925605e-12,4.617269045333282e-13
"(42.213, 44.525]",4.537178250510463e-08,1.5707509017030005e-07,1.6024811761334637e-07,4.381574953977113e-08,1.0664183506491196e-12,9.883666671430953e-18,2.5165334670300138e-12,3.1929257942444573e-13
"(44.525, 46.962]",4.539900039266147e-08,1.4618062972324777e-07,1.5977307146096362e-07,3.988800243346746e-08,1.0298602636758271e-12,9.495515493749081e-18,2.1781984226509044e-12,2.013185977896612e-13
"(46.962, 49.411]",4.0173520997670477e-08,1.3589233657340767e-07,1.4460204047829743e-07,3.504312832102804e-08,1.2571666587911221e-12,8.264623981288944e-18,1.2728025177559384e-12,4.630757587556408e-13
"(49.411, 51.915]",4.203715779980104e-08,1.260869909364154e-07,1.4374273064437205e-07,3.007415994578765e-08,8.463758705462207e-13,7.512606326646374e-18,1.0671273870865937e-12,1.7981104150395674e-13
