distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 3.211]",5.967417861983574e-06,5.037196112632531e-07,2.2514052154720385e-06,7.370865429347212e-06,1.1608008914843301e-08,1.1308651737401669e-16,1.5480658388548713e-09,1.943457156399613e-08
"(3.211, 5.192]",7.070297151184074e-07,4.7564006371874717e-07,1.0910256650353582e-06,7.699187099029142e-07,3.217674687294373e-11,4.6292837002404244e-17,5.5639067082588005e-11,2.181540532333051e-11
"(5.192, 6.939]",3.9032111355710964e-07,4.542299113530787e-07,7.011110857554084e-07,4.4833598227096996e-07,1.1061987432632571e-11,3.257867125176628e-17,3.04605826795841e-11,1.6811109713676193e-11
"(6.939, 8.647]",2.562319459986293e-07,4.350730753180076e-07,4.983838837016561e-07,2.93886407488125e-07,4.5837239804216354e-12,2.8898087981269935e-17,4.685230112958802e-12,4.2951250827936045e-12
"(8.647, 10.313]",2.022671195779053e-07,4.1708559273603927e-07,4.063130628989266e-07,2.5142780056727023e-07,5.325105073719787e-12,2.5090661845169095e-17,4.8065392541079855e-12,1.1582596055379163e-11
"(10.313, 11.904]",1.68232051090611e-07,4.004266610336243e-07,3.568381554381378e-07,2.1358610898764178e-07,3.3062920463950694e-12,2.1169718706252596e-17,3.0020844164030422e-12,1.173758614631261e-11
"(11.904, 13.467]",1.3827816114542753e-07,3.849953027828442e-07,3.132073863068908e-07,1.739964271776862e-07,2.0044995079741503e-12,1.8818838514614752e-17,1.2446603412613133e-12,6.686930348638243e-12
"(13.467, 15.011]",1.1761245944982095e-07,3.703474116825061e-07,2.7747869355678995e-07,1.7119865109765435e-07,1.7369331294463566e-12,1.6937083900711376e-17,1.6600130782714334e-12,6.5413784134823485e-12
"(15.011, 16.559]",9.511601240880779e-08,3.563261849978914e-07,2.477961856682886e-07,1.2950109927430747e-07,1.1574521535352606e-12,1.585501350536755e-17,1.6230642129080615e-12,2.351541257401214e-12
"(16.559, 18.16]",8.461583684121719e-08,3.42538872134077e-07,2.320538005803113e-07,1.1101693456284513e-07,9.27174524438864e-13,1.575677908751078e-17,1.0811097957820436e-12,4.567382612172995e-12
"(18.16, 19.809]",8.226976540883615e-08,3.289281472789362e-07,2.081003109567497e-07,9.452914495084786e-08,1.2778816791125612e-12,1.5257527756715318e-17,9.876451693817267e-13,1.6091048029221236e-12
"(19.809, 21.501]",6.310382684929713e-08,3.1548784467654696e-07,1.9547673725963743e-07,8.380726233678593e-08,6.646863893257622e-13,1.4859790248266912e-17,8.520320868661816e-13,2.1987455757773446e-12
"(21.501, 23.229]",6.23901464604098e-08,3.022758224327555e-07,1.8136435409095275e-07,7.321333613734111e-08,8.605847201480902e-13,1.4254131443819463e-17,6.660066902532684e-13,1.8106132646274065e-12
"(23.229, 24.979]",5.6338157104768365e-08,2.894126478225953e-07,1.5440600427486497e-07,6.877738343306384e-08,1.0829185525624775e-12,1.3332764784833499e-17,1.3665958883698025e-12,3.3608753557607054e-12
"(24.979, 26.776]",4.1176255480585454e-08,2.768488530649859e-07,1.2765642133819027e-07,5.3661718914482886e-08,4.618729416807282e-13,1.2858829098342555e-17,4.2228447543312483e-13,2.268201768954608e-12
"(26.776, 28.569]",4.212782933243519e-08,2.6472121633252324e-07,1.4103054769078873e-07,4.065177677643253e-08,6.818822907875817e-13,1.1739352129352702e-17,1.0977247039939153e-12,2.697985476260605e-13
"(28.569, 30.431]",4.27691073630296e-08,2.5297362658999936e-07,1.3418176450738634e-07,5.5981456442106964e-08,5.247345348050236e-13,1.1543639529361385e-17,4.092075200760853e-13,3.844206297738422e-12
"(30.431, 32.517]",4.816825465287276e-08,2.4081296074224554e-07,1.245442198465772e-07,4.244577725049887e-08,8.609426004754888e-13,1.3167873646984798e-17,1.7247677077047952e-12,5.80363983485233e-13
"(32.517, 34.741]",4.169251171090899e-08,2.281272223745597e-07,1.1726938901293618e-07,3.988252299505033e-08,4.477600244565448e-13,1.3415844736001457e-17,4.4206554875369394e-13,3.1209395146657436e-13
"(34.741, 37.035]",6.22970577140332e-08,2.1560584002298986e-07,1.427447040839063e-07,3.9685666529743426e-08,4.171157697436952e-12,1.2751443024208285e-17,4.6318482379132055e-12,3.5767645787114316e-13
"(37.035, 39.4]",6.332103392417587e-08,2.034033485988731e-07,1.3949986727972556e-07,3.712964551168325e-08,2.0212994004307607e-12,1.2106182299074554e-17,1.3673556901428242e-12,1.557450488460959e-13
"(39.4, 41.811]",3.957306040409946e-08,1.9159231679219973e-07,1.1869006559879729e-07,3.751822467007241e-08,4.72300849096848e-13,1.1089213424082532e-17,9.132716943864266e-13,3.3755866508504146e-13
