distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",1.7689234983625174e-06,1.2653898970208897e-05,6.745397729299433e-06,6.192792357374791e-06,1.757212146379951e-10,3.3275325948545893e-10,2.416163079712653e-09,8.269654227575385e-10
"(102.07, 108.851]",4.030282435871093e-06,3.411839242478412e-05,1.709874893616833e-05,1.5561603578024748e-05,5.598984445315765e-10,4.095703969451812e-12,7.370258810219068e-09,1.3481193735109036e-09
"(108.851, 115.402]",5.2054383867014274e-06,2.789140198358795e-05,1.562546883603807e-05,1.5208645404943376e-05,1.1644751546610807e-09,2.5414157445034776e-12,7.598696886828375e-09,2.129499096005345e-09
"(115.402, 121.788]",4.065404722893936e-06,2.2976669096488394e-05,1.1826911347398619e-05,1.241070230020472e-05,5.071717490323205e-10,1.5967546336908554e-12,4.284239270442998e-09,1.4257004942528305e-09
"(121.788, 128.103]",4.054880116679438e-06,1.8990567532281708e-05,9.105133675100803e-06,1.1090356787066798e-05,5.398269564440239e-10,1.0754341440501173e-12,3.811320461083186e-09,1.0244614205130732e-09
"(128.103, 134.5]",4.689203157364238e-06,1.5705384875010723e-05,1.1243220676282324e-05,1.0818847826977302e-05,8.394221764683688e-10,7.544268086815804e-13,1.0163840212453363e-08,9.051205725168816e-10
"(134.5, 140.658]",4.866033220255533e-06,1.3043226283379699e-05,1.013920927550413e-05,9.393690664845573e-06,1.6621870601031351e-09,4.885338066885899e-13,7.802689494325636e-09,6.090312018887256e-10
"(140.658, 146.534]",3.856205352993255e-06,1.0865362809061336e-05,6.888417685611172e-06,7.802111302264943e-06,4.850720926201372e-10,2.941748991390008e-13,2.075514521598765e-09,2.903010323006126e-10
"(146.534, 152.416]",3.341565904890493e-06,9.122281885970073e-06,6.001481711999757e-06,7.957485654661733e-06,4.111931992488818e-10,2.110685242935735e-13,1.2135102371081695e-09,6.985824407454085e-10
"(152.416, 158.282]",4.06859765807783e-06,7.640573508748124e-06,7.754771242758502e-06,7.254236166114951e-06,2.7055080612642324e-09,1.5055907767449846e-13,1.2333483346873437e-08,7.501146011292587e-10
"(158.282, 164.09]",4.7658006566167425e-06,6.414478621276361e-06,9.114734145867124e-06,6.929871299732195e-06,2.7688854355040905e-09,9.933100755998029e-14,1.2952723578277598e-08,5.727849705756351e-10
"(164.09, 169.751]",3.3877042301122836e-06,5.396253762963677e-06,5.199684437323857e-06,6.004973123992084e-06,7.864523257237519e-10,7.07937805574494e-14,1.224199867370033e-09,4.60799345438567e-10
"(169.751, 175.259]",3.0950177041714957e-06,4.5687167726052205e-06,6.425200400446797e-06,5.533153274959129e-06,4.806542028175697e-10,4.774912702393528e-14,2.5738131541628923e-09,2.6506391853003207e-10
"(175.259, 180.935]",3.7859909786784598e-06,3.857325245779709e-06,6.8083384564576225e-06,5.4413959313226855e-06,2.020764379398101e-09,3.670180231642318e-14,8.790926451317703e-09,2.9670372965809915e-10
"(180.935, 186.282]",2.4577618578029504e-06,3.273758520115371e-06,4.133874043633265e-06,4.6677951081933235e-06,2.905552049393537e-10,2.233633866193848e-14,6.499769724162021e-10,2.066170912869848e-10
"(186.282, 191.76]",4.080412616430272e-06,2.7819177918039374e-06,6.779033592620163e-06,4.698636308826721e-06,1.7780178834121276e-09,1.6967147533772008e-14,6.0697109655350975e-09,1.9899892805783046e-10
"(191.76, 197.086]",6.081743291523444e-06,2.3655187477519797e-06,1.1207713680086172e-05,4.379361341883729e-06,1.4194713100981209e-08,1.1947055983018179e-14,4.6834340881755994e-08,1.4081329463551028e-10
"(197.086, 202.626]",3.0910282510854277e-06,2.010209843919405e-06,5.8930320512788835e-06,3.884303189212279e-06,6.811897410899015e-10,9.374824588857492e-15,3.923114222810452e-09,8.731286961850326e-11
"(202.626, 207.999]",3.170817312806786e-06,1.70683416996274e-06,3.560589197661066e-06,3.4738272742851703e-06,1.280110494047351e-09,6.352825028809018e-15,6.117494838659754e-10,6.944606518036769e-11
