distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 3.211]",7.296671767186279e-06,5.927265638233507e-07,2.2678459954766756e-06,7.370865429347212e-06,1.5141097882758885e-08,2.259007898559447e-16,4.2042706508743834e-10,1.943457156399613e-08,0.6734536174242248,0.05470629093463998,0.20931311399851524,0.6803013956670303
"(3.211, 5.192]",1.0005275672652693e-06,5.532856018996931e-07,1.2326832631591999e-06,7.699187099029142e-07,6.079696964509917e-11,9.021649072086167e-17,7.442587854444791e-11,2.181540532333051e-11,0.09234269129318076,0.05106494134173028,0.1137692690900152,0.07105887741177956
"(5.192, 6.939]",5.38978209290276e-07,5.235325601658782e-07,7.562237623041465e-07,4.4833598227096996e-07,1.9681786796316666e-11,6.232139661470662e-17,3.1775199884911783e-11,1.6811109713676193e-11,0.04974445484823673,0.048318914107949563,0.0697949159180989,0.0413787211477169
"(6.939, 8.647]",3.3184091327231137e-07,4.971497189891412e-07,5.258332732198199e-07,2.93886407488125e-07,7.706242776836541e-12,5.433544100069225e-17,5.60427259130097e-12,4.2951250827936045e-12,0.030626925249554706,0.04588393616438379,0.04853125611855006,0.027123952092709007
"(8.647, 10.313]",2.4700373548147086e-07,4.7258761456091e-07,4.2364751047812763e-07,2.5142780056727023e-07,7.744525604824183e-12,4.6386740614569843e-17,5.411128218621286e-12,1.1582596055379163e-11,0.022797456769997837,0.04361794647351375,0.03910097062708927,0.023205780281156774
"(10.313, 11.904]",2.0717900291336734e-07,4.500275033360697e-07,3.7845632229699777e-07,2.1358610898764178e-07,5.079611890664052e-12,3.850532146422142e-17,3.936744865809665e-12,1.173758614631261e-11,0.019121378894886326,0.04153483839289922,0.03492924781007911,0.01971271634290541
"(11.904, 13.467]",1.6551381440597852e-07,4.29296874694934e-07,3.3654087818425045e-07,1.739964271776862e-07,2.8163797811567667e-12,3.3694527304316683e-17,1.5317815162937746e-12,6.686930348638243e-12,0.015275931986785382,0.03962152575309424,0.03106070381113721,0.01605882624993737
"(13.467, 15.011]",1.412612547292552e-07,4.0977192997904717e-07,3.005187292145573e-07,1.7119865109765435e-07,2.4912732518750573e-12,2.985787315033324e-17,1.843240981909834e-12,6.5413784134823485e-12,0.013037566243981879,0.03781949050548618,0.02773607559412835,0.01580060830440691
"(15.011, 16.559]",1.1186832019413778e-07,3.9122661033184625e-07,2.6695582808398634e-07,1.2950109927430747e-07,1.7188613618078984e-12,2.7521814726853132e-17,2.0368926061577887e-12,2.351541257401214e-12,0.010324774743997752,0.03610786877396742,0.024638421197183433,0.011952174456422934
"(16.559, 18.16]",9.055413434599302e-08,3.731328005783013e-07,2.513282500416768e-07,1.1101693456284513e-07,1.1044555826862014e-12,2.6923590872220197e-17,1.6117269016361916e-12,4.567382612172995e-12,0.008357784383597772,0.034438664962174896,0.023196592165846602,0.010246418992412354
"(18.16, 19.809]",8.089052363371433e-08,3.5541290189734995e-07,2.250794332798244e-07,9.452914495084786e-08,1.0934635496847278e-12,2.565065480031009e-17,1.3657718316883954e-12,1.6091048029221236e-12,0.00746570998825003,0.032802478367714015,0.020773481215128113,0.008724472904093552
"(19.809, 21.501]",6.174705864383299e-08,3.3805824388621826e-07,2.1065291169023603e-07,8.380726233678593e-08,6.55360583018521e-13,2.4568664424218922e-17,1.3091326039095328e-12,2.1987455757773446e-12,0.005698883030473921,0.03120074756123463,0.019441999831538645,0.007734907470111321
"(21.501, 23.229]",6.11527353843432e-08,3.211417851573151e-07,2.0051582218203737e-07,7.321333613734111e-08,9.205618984453724e-13,2.3167224509753478e-17,1.01280132853654e-12,1.8106132646274065e-12,0.005644030559562571,0.029639459919309236,0.018506407292468958,0.006757151645459761
"(23.229, 24.979]",4.908795215900231e-08,3.0481328875490504e-07,1.7407213295440573e-07,6.877738343306384e-08,8.169286250706432e-13,2.129622750251594e-17,2.733132908187353e-12,3.3608753557607054e-12,0.004530621632467278,0.028133047298922718,0.016066161583159832,0.00634787738133806
"(24.979, 26.776]",3.840162394212038e-08,2.890045037836166e-07,1.436828427759171e-07,5.3661718914482886e-08,3.9377442995394407e-13,2.017815862909888e-17,6.831127891464147e-13,2.268201768954608e-12,0.003544239480114058,0.02667338167220511,0.013261064291160495,0.004952654685493284
