distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",3.422340075590613e-06,1.2653898970208897e-05,8.248182152077604e-06,6.192792357374791e-06,4.6248457985167284e-10,3.3275325948545893e-10,1.4330762631510453e-09,8.269654227575385e-10,0.01592072603164753,0.05886593800941179,0.03837054337146501,0.028808870046507527
"(102.07, 108.851]",8.077861072466378e-06,3.411839242478412e-05,2.389985694500833e-05,1.5561603578024748e-05,6.710504342375496e-10,4.095703969451812e-12,4.797422759407952e-09,1.3481193735109036e-09,0.03756205398696866,0.15865052477524616,0.11113433479428875,0.07236145663781508
"(108.851, 115.402]",8.207780278730714e-06,2.789140198358795e-05,2.3008599053927155e-05,1.5208645404943376e-05,6.975627110766837e-10,2.5414157445034776e-12,4.779726282787401e-09,2.129499096005345e-09,0.03818259385665528,0.12975080202765116,0.10703600279886913,0.07075061842379658
"(115.402, 121.788]",7.410613900760327e-06,2.2976669096488394e-05,1.774645864790829e-05,1.241070230020472e-05,6.265457672191689e-10,1.5967546336908554e-12,2.9902497979352422e-09,1.4257004942528305e-09,0.03445935463853552,0.10684151129867103,0.08252103271277356,0.057709765695951945
"(121.788, 128.103]",6.96139820491635e-06,1.8990567532281708e-05,1.4154776664344347e-05,1.1090356787066798e-05,6.465360151795777e-10,1.0754341440501173e-12,2.058373222241414e-09,1.0244614205130732e-09,0.03238442444927086,0.08834412016017451,0.0658480210425299,0.05159233977343475
"(128.103, 134.5]",7.5574939793493066e-06,1.5705384875010723e-05,1.4846260420927412e-05,1.0818847826977302e-05,1.5968701919898782e-09,7.544268086815804e-13,3.7136223441843245e-09,9.051205725168816e-10,0.035157461991932974,0.07306145043854989,0.06906480347815432,0.05032928009109841
"(134.5, 140.658]",6.488978744841344e-06,1.3043226283379699e-05,1.3566673441727172e-05,9.393690664845573e-06,8.683505789117835e-10,4.885338066885899e-13,4.121258566002739e-09,6.090312018887256e-10,0.03017375116351225,0.0606510022177156,0.06308503150403134,0.043680661591531916
"(140.658, 146.534]",6.9655667068354625e-06,1.0865362809061336e-05,1.1508028666420995e-05,7.802111302264943e-06,8.182893646758852e-10,2.941748991390008e-13,1.8363921831039869e-09,2.903010323006126e-10,0.03240381632019857,0.05054566778775334,0.05353534935619047,0.036295421778136515
"(146.534, 152.416]",5.352356464139277e-06,9.122281885970073e-06,8.657239278985042e-06,7.957485654661733e-06,3.6962519749576246e-10,2.110685242935735e-13,8.948853371723177e-10,6.985824407454085e-10,0.024899162271175918,0.04243685533353278,0.04027347712583842,0.03701822326548638
"(152.416, 158.282]",5.971862186769154e-06,7.640573508748124e-06,8.411082004229314e-06,7.254236166114951e-06,1.586117832403588e-09,1.5055907767449846e-13,3.841325131587148e-09,7.501146011292587e-10,0.027769159168476568,0.035528666815678775,0.03911153131966631,0.03373219817243452
"(158.282, 164.09]",5.531602046661076e-06,6.414478621276361e-06,9.064585789140007e-06,6.929871299732195e-06,6.402274225390299e-10,9.933100755998029e-14,3.883377134746415e-09,5.727849705756351e-10,0.025733012721067323,0.02984015454617763,0.04216845309107931,0.03223776128635417
"(164.09, 169.751]",4.850052879338357e-06,5.396253762963677e-06,6.249878530246171e-06,6.004973123992084e-06,4.618760987273885e-10,7.07937805574494e-14,4.975409636272923e-10,4.60799345438567e-10,0.022552745888923358,0.025092579997781098,0.029061935165644696,0.02792312502656319
"(169.751, 175.259]",4.810451214654771e-06,4.5687167726052205e-06,6.810696438731889e-06,5.533153274959129e-06,4.503264215619008e-10,4.774912702393528e-14,1.2905342798561722e-09,2.6506391853003207e-10,0.022378219050573994,0.021253670426159485,0.03168335983298075,0.025740229035109866
"(175.259, 180.935]",4.43945454385384e-06,3.857325245779709e-06,6.350427753821901e-06,5.4413959313226855e-06,7.172569173186236e-10,3.670180231642318e-14,3.115189640963987e-09,2.9670372965809915e-10,0.020652342538008066,0.017944277043367207,0.029542189910779483,0.02531337387251313
"(180.935, 186.282]",4.466385755607378e-06,3.273758520115371e-06,4.524849642577439e-06,4.6677951081933235e-06,6.92582575825078e-10,2.233633866193848e-14,2.8369656777773026e-10,2.066170912869848e-10,0.020768693763574306,0.015222977118536476,0.021040550837985093,0.021705247253098955
"(186.282, 191.76]",3.7057982060902008e-06,2.7819177918039374e-06,4.846245520445917e-06,4.698636308826721e-06,3.8834324793263404e-10,1.6967147533772008e-14,6.174943577101794e-10,1.9899892805783046e-10,0.017239373254731613,0.012941481567471918,0.022544734161114407,0.021858056108661907
"(191.76, 197.086]",4.87090435345417e-06,2.3655187477519797e-06,5.42475968052483e-06,4.379361341883729e-06,1.4885365410904503e-09,1.1947055983018179e-14,2.723758501118987e-09,1.4081329463551028e-10,0.022649705243561892,0.010999662177046706,0.025225132514440456,0.020364030239759343
"(197.086, 202.626]",3.947571317398673e-06,2.010209843919405e-06,4.529628924125564e-06,3.884303189212279e-06,4.788259476948345e-10,9.374824588857492e-15,1.2246409038207083e-09,8.731286961850326e-11,0.018364101768538626,0.009351496193913074,0.021071833755032125,0.018069778436215524
"(202.626, 207.999]",3.639102175384415e-06,1.70683416996274e-06,2.9384864388447053e-06,3.4738272742851703e-06,4.751836256124594e-10,6.352825028809018e-15,1.5134389447564566e-10,6.944606518036769e-11,0.016929103319888297,0.007940192558666667,0.01366983891350557,0.016160244479974613
"(207.999, 213.47]",2.8983549020981586e-06,1.4496574307926626e-06,2.1790743665300004e-06,2.8383754234949854e-06,2.1848636730726352e-10,4.8018878525264485e-15,1.0314297307186903e-10,5.932119069624618e-11,0.013477350294756437,0.006740907053185881,0.010132695804364503,0.013198445719251682
"(213.47, 218.954]",2.4260681169229435e-06,1.2319903323215277e-06,2.0884053818308217e-06,2.9208095624166693e-06,1.0811485616284189e-10,3.4129779647874024e-15,1.1157963531275118e-10,7.797658138878499e-11,0.011286068879925533,0.005731219025959747,0.009715261836276983,0.013587606084362346
"(218.954, 224.269]",2.546954672577179e-06,1.0466918993096753e-06,1.9339690256371426e-06,2.533316197512846e-06,1.2166273079149543e-10,2.2924898901348084e-15,9.535146281412895e-11,2.927224929471574e-11,0.011848433136829038,0.00486921071558861,0.008996823907263987,0.01178498695082976
"(224.269, 229.603]",2.9358875555066235e-06,8.919038514209003e-07,1.5526553550010735e-06,2.2218014181311977e-06,2.5507102799443884e-10,1.6843450641346746e-15,4.480455389059508e-11,2.945764911753587e-11,0.013651877133105799,0.004147352909107186,0.007219847400754991,0.01033137659431007
"(229.603, 234.752]",3.2639370026643724e-06,7.614021633605253e-07,1.8797903623168701e-06,2.303604166436605e-06,3.265799157487213e-10,1.15069272526406e-15,1.3188765780153706e-10,4.220654495055609e-11,0.01518383493639466,0.003542042863953164,0.00874478476549808,0.010716366582263088
"(234.752, 239.974]",2.581412495537784e-06,6.527548734998582e-07,1.343222045787837e-06,2.243812174745296e-06,1.3529193680996418e-10,9.043930120314598e-16,4.44120381677726e-11,4.728529333987176e-11,0.012003568104250696,0.0030353101617743407,0.0062459825129134415,0.010433726612565628
"(239.974, 245.254]",2.9679733664074495e-06,5.573498063421739e-07,1.5117421572567736e-06,2.5567561115213928e-06,3.3901639966944443e-10,6.383235392077657e-16,1.537756022488964e-10,1.1969508164250572e-10,0.013807012100527455,0.0025927912991037926,0.007032624515558511,0.01189402943079752
"(245.254, 250.51]",2.6094822013638535e-06,4.752387327972276e-07,9.522801267332869e-07,2.0927185705827474e-06,1.5570252552554555e-10,4.716669654436069e-16,2.024962473767313e-11,3.081020300259616e-11,0.012139311200744646,0.0022108105849727028,0.00443000714956325,0.00973532679035094
"(250.51, 255.844]",2.739883698817971e-06,4.055175213834472e-07,1.250499250252072e-06,2.1006197887709813e-06,3.125621285295606e-10,3.5020750813801974e-16,1.1603542919812057e-10,4.638115250014407e-11,0.012740459199503566,0.0018856564744330296,0.005814821513672136,0.009767882017785064
"(255.844, 261.162]",3.0013213817603424e-06,3.459398000209227e-07,9.665879016046429e-07,1.9176512200563272e-06,3.1650202169148307e-10,2.4944307238672407e-16,5.848122214268338e-11,2.7685960395894584e-11,0.013962147067949113,0.0016093119496973325,0.004496566918264799,0.008920913475702034
