quantile,score,sampers_weight,twitter_weight
"(-0.001, 2.115]",0.04042466960940501,0.590517677673264,0.6296089621015406
"(2.115, 3.2]",0.5445803186435254,0.05847530357839675,0.0725901455572667
"(3.2, 4.113]",0.6612313045029736,0.03364460745856948,0.043017392964938665
"(4.113, 4.957]",0.7217301314258798,0.02354497666984177,0.02983564354962309
"(4.957, 5.788]",0.6777830539137037,0.021555031394410316,0.018365165460096346
"(5.788, 6.614]",0.7930254725031436,0.017150414628250267,0.01896783057917851
"(6.614, 7.456]",0.8935477806986173,0.014500059441801655,0.011624244498510686
"(7.456, 8.337]",0.7963822720853928,0.016493132510004747,0.015178232628735983
"(8.337, 9.272]",0.7383957130544875,0.015628928897026523,0.015798258471413085
"(9.272, 10.288]",0.7506079503658901,0.014470568929390071,0.00928054681319116
"(10.288, 11.406]",0.8617490516905062,0.01327640405461799,0.012524522022077877
"(11.406, 12.65]",0.6408313324247468,0.015923164429786498,0.009898092552497594
"(12.65, 14.062]",0.4403756307399793,0.018458853461857595,0.009749286350255069
"(14.062, 15.693]",0.7409725550582493,0.016516221042290388,0.011286950440094352
"(15.693, 17.608]",0.8570709785204393,0.014076154999397865,0.009769127177220732
"(17.608, 19.895]",0.705164619014671,0.017582213438745626,0.013511603163619863
"(19.895, 22.678]",0.8754839070023235,0.013682677468892882,0.012745251222070942
"(22.678, 25.793]",0.7845919922244978,0.014875478550143536,0.008018174197500536
"(25.793, 29.162]",0.8970584250354314,0.011625601810545946,0.008908531307584887
"(29.162, 32.281]",0.7992243837563421,0.00974614271792567,0.007018692539105013
"(32.281, 35.044]",0.9454467670607958,0.006282006893239078,0.0050817318065816824
"(35.044, 37.614]",0.9470048784613413,0.005040535607780433,0.002777715775193501
"(37.614, 40.002]",0.9408001957776796,0.004462865777945383,0.0021626501392578022
"(40.002, 42.213]",0.9691313413054782,0.003784184754291372,0.0024205808898114804
"(42.213, 44.525]",0.9490243873513847,0.0038493012285679743,0.0015599850201756416
"(44.525, 46.962]",0.9650582904050982,0.003504320565789849,0.0016715896718575238
"(46.962, 49.411]",0.9687574686545457,0.0030786089092589577,0.0015599850201756412
"(49.411, 51.915]",0.9687203497083928,0.0026421352478772273,0.0009101979370500165
"(51.915, 54.193]",0.9827381800965393,0.002102368881918651,0.0012896537527684153
"(54.193, 56.242]",0.9892382216349285,0.0018139176762216101,0.0010515638291804005
"(56.242, 58.166]",0.9896061973675785,0.0015402912634231505,0.0005803441887457871
"(58.166, 60.05]",0.993522060461338,0.0013169196131238528,0.0008209142157045107
"(60.05, 61.85]",0.9945243618091182,0.0011599382532558019,0.00049354057077099
"(61.85, 63.607]",0.9940316687252784,0.001014573268382407,0.0008804366966015144
"(63.607, 65.353]",0.9968094884195335,0.0008693488672119718,0.0006200258426771228
"(65.353, 67.048]",0.9969946328225431,0.0008274940003533118,0.0009052377303085991
"(67.048, 68.668]",0.9987100305634338,0.0007295845548210453,0.0005877844988579124
"(68.668, 70.216]",0.9992078923867301,0.0005399860906329889,0.00033481395504564635
"(70.216, 71.784]",0.9983356191859859,0.0005626687455185368,0.00018848785617384532
"(71.784, 73.38]",0.9995305104207043,0.0004452972834289666,0.0003199333348213954
"(73.38, 75.118]",0.9992819746007093,0.00046515353089349464,0.00023808992358801515
"(75.118, 76.989]",0.9993564170846337,0.00045259251296344394,0.00035217467864060565
"(76.989, 78.993]",0.9994923901659547,0.00039258386580689385,0.0002157689932516387
"(78.993, 81.161]",0.9997517163060722,0.0002980069718757831,0.00020832868313951328
"(81.161, 83.559]",0.9996469722626306,0.00021758696352238468,0.00021824909662234723
"(83.559, 86.01]",0.9996835153073363,0.00018761066558091178,0.0002356098202173066
"(86.01, 88.485]",0.9998550070532871,0.00014050766014760954,0.00015624651235463495
"(88.485, 90.999]",0.9998669157630262,8.389547810042993e-05,0.00016120671909605194
"(90.999, 93.534]",0.9997380300008657,5.825244540259196e-05,0.00015376640898392643
"(93.534, 96.205]",0.9998161732431343,4.409851790579927e-05,0.00012152506516471602
"(96.205, 99.019]",0.9998297744862877,3.9764628754665473e-05,0.00014384599550109248
"(99.019, 102.003]",0.9998952539615246,3.45752849278547e-05,0.0001116046516818821
"(102.003, 105.095]",0.999841990118413,2.7396882431915377e-05,0.00011656485842329905
"(105.095, 108.257]",0.9997790580300286,3.1259491603097985e-05,0.00013144547864755003
"(108.257, 111.141]",0.9999121645964612,2.4383511828257054e-05,9.424392808692263e-05
"(111.141, 113.928]",0.9998330744890073,1.4963963616942427e-05,0.00011408475505259056
"(113.928, 116.649]",0.9999286778689058,1.789834964523764e-05,8.184341123338018e-05
"(116.649, 119.431]",0.9999570283962245,9.757962843305013e-06,5.456227415558677e-05
"(119.431, 122.169]",0.9999518766063705,1.2941773950446065e-05,5.952248089700374e-05
"(122.169, 124.783]",0.9999306010353909,8.40147774727441e-06,7.192299775054621e-05
"(124.783, 127.235]",0.999734644935464,1.1110973987885267e-05,0.00013640568538896702
"(127.235, 129.725]",0.9998523328880001,8.31847759832409e-06,9.920413482833961e-05
"(129.725, 132.333]",0.9996608839480625,5.74652700006057e-06,0.00014632609887180095
"(132.333, 135.009]",0.9999414768205175,4.754889391115699e-06,6.448268763842073e-05
"(135.009, 137.69]",0.9998252110706582,4.924518120155093e-06,9.176382471621413e-05
"(137.69, 140.64]",0.9991564043601976,4.586849775676758e-06,0.00016616692583746893
"(140.64, 143.744]",0.9985176876974786,3.7427004140770336e-06,0.00019096795954455373
"(143.744, 147.09]",0.9999011268076904,3.7027151178996534e-06,8.184341123338016e-05
"(147.09, 150.402]",0.9999542143160687,5.081011494288103e-06,5.4562274155586766e-05
