distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 2.115]",7.3257352420241554e-06,5.543050742063845e-07,1.4186776575942692e-06,6.721579867430781e-06,7.815665840004381e-09,8.622917329393284e-17,1.5683934488938726e-10,4.1217213516199477e-08,0.6435951439527902,0.048697917989327696,0.12463650693028692,0.5905176776732638
"(2.115, 3.2]",8.354059112240741e-07,5.319231582218557e-07,6.791955622246597e-07,6.65611523680699e-07,1.0507436060892237e-10,2.4699034472418187e-17,2.7190220765961667e-11,2.2535342083558842e-11,0.07339208011285736,0.04673051329610647,0.059668688532560805,0.05847530357839677
"(3.2, 4.113]",5.028152718098948e-07,5.16472575462854e-07,4.3763174625967957e-07,3.8296045095919904e-07,4.6872339844480056e-11,1.6566355904912643e-17,8.895806600365897e-12,6.001372395613865e-12,0.0441743328895865,0.04537418164471358,0.03844769943589789,0.033644607458569474
"(4.113, 4.957]",3.3871398383673873e-07,5.030886112576356e-07,3.175732914262024e-07,2.680072926039445e-07,3.045139380766284e-11,1.3579652249704369e-17,6.940839600947726e-12,4.551676350682788e-12,0.029756700908025173,0.04419734067620581,0.027899448798374735,0.023544976669841733
"(4.957, 5.788]",2.1109421087397298e-07,4.90690274020511e-07,2.819694791867571e-07,2.453505975187278e-07,1.142546931450729e-11,1.2399335923559667e-17,6.056505280530586e-12,2.839577429274795e-11,0.018545470802122023,0.04310910333379798,0.02477214662447336,0.021555031394410312
"(5.788, 6.614]",2.0934621903939992e-07,4.786239165028496e-07,2.425268433076312e-07,1.952193988554646e-07,2.137215487171941e-11,1.1787587239929182e-17,3.4911646334000063e-12,2.6089143267629276e-12,0.018391484035049362,0.04204806831260834,0.021306468238262016,0.017150414628250274
"(6.614, 7.456]",1.2894076547424547e-07,4.668130760801691e-07,2.3052291916552708e-07,1.6504723110844888e-07,6.852529145335826e-12,1.1545522230753285e-17,7.414907972211756e-12,1.2808148332665537e-12,0.011327962009974362,0.04101139598594718,0.020252360540368216,0.014500059441801667
"(7.456, 8.337]",1.6479123710744933e-07,4.5496189252742627e-07,1.9949998969559745e-07,1.8773770101995095e-07,9.143838787664793e-12,1.2001772315100713e-17,2.2731382583681504e-12,1.1954151795063383e-11,0.014477239762363639,0.03996931218231945,0.017526473094737628,0.01649313251000473
"(8.337, 9.272]",1.811277097990552e-07,4.427311030781861e-07,1.924057058967733e-07,1.7789661138965264e-07,1.4849366960942172e-11,1.2910168597766509e-17,2.096165375006346e-12,1.5393811549662804e-11,0.015912793816686196,0.03889569832983096,0.01690361088585512,0.015628928897026544
"(9.272, 10.288]",1.0296271839858132e-07,4.299751017432065e-07,1.6798077256332275e-07,1.6471530448242573e-07,4.8496166798360054e-12,1.4337469360284748e-17,1.3638572186254572e-12,1.5708119316534814e-11,0.009045480736752166,0.03777417263834418,0.014757446831233029,0.014470568929390065
"(10.288, 11.406]",1.3821341863705025e-07,4.1645249174834507e-07,1.8489568428108898e-07,1.5111894796614842e-07,9.888093010419781e-12,1.6278843371754044e-17,2.030438783433332e-12,4.088421879655589e-12,0.012142601680939412,0.03658701721005911,0.01624382544683079,0.013276404054618003
"(11.406, 12.65]",1.0677929362752377e-07,4.020180909189963e-07,1.9555020647732242e-07,1.8124987968158377e-07,5.136210678484565e-12,1.864836216387907e-17,2.227819878756572e-12,2.8953674101445203e-11,0.009380774503765218,0.035318093323415664,0.01717947673944573,0.015923164429786498
"(12.65, 14.062]",1.0850135011842888e-07,3.8635797008287357e-07,1.89156600017157e-07,2.101082871793838e-07,5.57154418280594e-12,2.2333678882746186e-17,2.0203071981035696e-12,7.15662961034669e-11,0.009532277613304451,0.033943093103660775,0.016618163937907313,0.018458853461857584
"(14.062, 15.693]",1.218194271223193e-07,3.6920288283227956e-07,2.2622864554639686e-07,1.8800051270648828e-07,8.391501760226743e-12,2.7113879504026104e-17,4.765438515866263e-12,1.4758376882139984e-11,0.010702080311549993,0.032435211662581426,0.019874638968542056,0.01651622104229041
"(15.693, 17.608]",9.956794036401943e-08,3.5008887965230043e-07,2.650146085051359e-07,1.6022212989047593e-07,3.91325126021838e-12,3.369725782789283e-17,7.10246650079525e-12,4.74884266722672e-12,0.008747441832740562,0.030756708432973203,0.023282593415610207,0.014076154999397872
"(17.608, 19.895]",1.410436579051406e-07,3.288487775517458e-07,3.3965697138224975e-07,2.0013446977582312e-07,8.214699777533177e-12,4.2319903495607336e-17,9.359804244736022e-12,2.201677349609846e-11,0.012390967434282411,0.028890022805475972,0.029839544249873406,0.017582213438745612
"(19.895, 22.678]",1.3448174114470196e-07,3.048894186541545e-07,3.68735185703996e-07,1.5574336363617906e-07,8.515153235170943e-12,5.411048986714297e-17,8.059596375165499e-12,2.533203134272134e-12,0.011814758886526645,0.02678575498644209,0.03239486100483886,0.013682677468892877
"(22.678, 25.793]",8.113756227455474e-08,2.788554145818658e-07,4.093318197919485e-07,1.6932430166807277e-07,2.901205821312554e-12,5.721712167894475e-17,7.877566191727094e-12,6.690346984133275e-12,0.007128097120944183,0.02449800588184608,0.03596061903236226,0.014875478550143529
"(25.793, 29.162]",8.741171822985462e-08,2.5309815373301133e-07,3.483619424855462e-07,1.3232865675491082e-07,3.773831385041525e-12,5.4980933182172824e-17,6.077576752624424e-12,2.4466296592983557e-12,0.007679469093365648,0.022235685198059976,0.030604990095125177,0.011625601810545935
"(29.162, 32.281]",6.4740424253913e-08,2.2921556067847794e-07,3.003348469396385e-07,1.1093819967588296e-07,4.689333726403498e-12,3.8088938157905965e-17,5.987697060588975e-12,1.0884424479361143e-11,0.005687575751554765,0.020137045436725644,0.026385016973341124,0.00974614271792567
"(32.281, 35.044]",4.644913408261094e-08,2.0993144406440378e-07,2.945832883282146e-07,7.150670324226052e-08,1.7262117947450181e-12,2.5064020819737258e-17,5.165101661722331e-12,1.1441076429985978e-12,0.004080649327425537,0.018442897223946,0.02587973104621031,0.006282006893239071
"(35.044, 37.614]",2.320990319104484e-08,1.937446322643857e-07,2.3701747073320304e-07,5.737400241059522e-08,3.713875173346395e-13,1.8718775665243866e-17,4.283595001072705e-12,4.924587772842734e-13,0.0020390828349460535,0.01702124092295534,0.02082293287379482,0.005040535607780432
"(37.614, 40.002]",2.0072358611475213e-08,1.798906665018139e-07,1.8559112818510613e-07,5.079981990103102e-08,3.581205107021328e-13,1.3745071857586638e-17,2.322244632881795e-12,9.691771415561444e-13,0.0017633968487353203,0.015803754833517356,0.016304551793317943,0.004462865777945377
"(40.002, 42.213]",2.0128442231454233e-08,1.6792104885537543e-07,1.755319627097243e-07,4.307356243644427e-08,4.113326875481733e-13,1.0294654272709012e-17,2.980392441352101e-12,4.617269045333282e-13,0.0017683641638021803,0.014752535826140153,0.01542118505190012,0.0037841847542913754
"(42.213, 44.525]",1.5775177612962212e-08,1.5707509017030005e-07,1.7680769824418376e-07,4.381574953977113e-08,1.9144109835946587e-13,9.883666671430953e-18,2.599342544637933e-12,3.1929257942444573e-13,0.0013858809036539563,0.0137993608216412,0.015532909906148033,0.0038493012285679734
"(44.525, 46.962]",1.4983250537458912e-08,1.4618062972324777e-07,1.6639102075655124e-07,3.988800243346746e-08,1.9553353437070561e-13,9.495515493749081e-18,1.6553840509585374e-12,2.013185977896612e-13,0.001316338492717915,0.01284255304370621,0.014618116737546052,0.0035043205657898507
"(46.962, 49.411]",1.1704164035423574e-08,1.3589233657340767e-07,1.5023826257624334e-07,3.504312832102804e-08,1.7582456164307038e-13,8.264623981288944e-18,1.5124098668230112e-12,4.630757587556408e-13,0.0010282342188400319,0.011938413552647012,0.01319873184384813,0.0030786089092589555
"(49.411, 51.915]",9.159572026672995e-09,1.260869909364154e-07,1.522505080511547e-07,3.007415994578765e-08,8.024149286451676e-14,7.512606326646374e-18,1.2053216078552537e-12,1.7981104150395674e-13,0.0008047050408313293,0.01107724650172784,0.013375816134326144,0.0026421352478772277
"(51.915, 54.193]",1.3061168561269787e-08,1.1730248483077863e-07,1.3879204544629527e-07,2.393080273549437e-08,7.650444793819075e-13,5.350947486908653e-18,9.270130137416577e-13,1.1309028294310233e-13,0.0011474497804446733,0.010305257897353565,0.012193158776547933,0.0021023688819186512
"(54.193, 56.242]",7.265462996465923e-09,1.0994828790632316e-07,1.3327604674029495e-07,2.0646956043226383e-08,9.508786418595005e-14,3.785578066368713e-18,9.609937729309496e-13,1.5038390835424587e-13,0.0006382999860915172,0.009659396885722114,0.011708833810321874,0.0018139176762216108
