distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 3.211]",6.025154311747122e-06,7.370865429347206e-06,2.333235101332669e-09,1.943457156399611e-08,0.5560976423568719,0.6803013956670303
"(3.211, 5.192]",9.478204699698293e-07,7.699187099029045e-07,2.898803847801263e-11,2.181540532333095e-11,0.08747814245540649,0.07105887741177956
"(5.192, 6.939]",5.597491299361999e-07,4.4833598227096694e-07,1.1006522720390823e-11,1.6811109713676257e-11,0.05166148619833568,0.0413787211477169
"(6.939, 8.647]",3.658151379997507e-07,2.938864074881269e-07,6.481534707892758e-12,4.2951250827936175e-12,0.03376254234654885,0.027123952092709007
"(8.647, 10.313]",2.6774647624224616e-07,2.514278005672682e-07,6.035720360776047e-12,1.158259605537917e-11,0.024711928771254096,0.023205780281156774
"(10.313, 11.904]",2.3643542952621044e-07,2.135861089876414e-07,4.4270500361820095e-12,1.1737586146312615e-11,0.02182157153269223,0.01971271634290541
"(11.904, 13.467]",1.999894865000446e-07,1.7399642717768684e-07,2.710484947733429e-12,6.686930348638246e-12,0.01845782966703545,0.01605882624993737
"(13.467, 15.011]",1.6981369176263234e-07,1.711986510976539e-07,2.6125489550187738e-12,6.541378413482351e-12,0.015672784867540944,0.01580060830440691
"(15.011, 16.559]",1.4127604387544042e-07,1.295010992743083e-07,2.1480565303866442e-12,2.3515412574012177e-12,0.01303893119344019,0.011952174456422934
"(16.559, 18.16]",1.2407846196491673e-07,1.1101693456284552e-07,1.5955999057542053e-12,4.567382612172995e-12,0.011451945725514084,0.010246418992412354
"(18.16, 19.809]",1.0949599498127161e-07,9.452914495084662e-08,1.3695769820983638e-12,1.6091048029221248e-12,0.010105823360801465,0.008724472904093552
"(19.809, 21.501]",8.705903191557008e-08,8.380726233678586e-08,9.525669416100497e-13,2.1987455757773434e-12,0.008035026291615363,0.007734907470111321
"(21.501, 23.229]",8.81435981060567e-08,7.321333613734136e-08,1.2764701772974837e-12,1.8106132646274081e-12,0.008135125243600189,0.006757151645459761
