distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",4.832234907364612e-06,6.192792357374794e-06,9.65653220652643e-10,8.269654227575826e-10,0.022479556789060093,0.028808870046507527
"(102.07, 108.851]",1.1015556815587103e-05,1.556160357802473e-05,2.692657204850108e-09,1.3481193735109069e-09,0.051222339192479885,0.07236145663781508
"(108.851, 115.402]",1.2425746904651804e-05,1.5208645404943396e-05,5.470810074490579e-09,2.1294990960053437e-09,0.05780457460044024,0.07075061842379658
"(115.402, 121.788]",9.538278488232054e-06,1.2410702300204675e-05,1.4872076077892882e-09,1.4257004942528276e-09,0.04435299497027892,0.057709765695951945
"(121.788, 128.103]",9.879337402852298e-06,1.1090356787066763e-05,2.5613719402332e-09,1.0244614205130734e-09,0.04595867759806893,0.05159233977343475
"(128.103, 134.5]",8.583274397896915e-06,1.0818847826977324e-05,1.893315733351916e-09,9.051205725168814e-10,0.03992939249901639,0.05032928009109841
"(134.5, 140.658]",8.653283576952788e-06,9.393690664845558e-06,3.3383607223955183e-09,6.090312018887234e-10,0.040237768632830365,0.043680661591531916
"(140.658, 146.534]",7.838095315682708e-06,7.802111302264957e-06,1.2942077904780418e-09,2.9030103230061175e-10,0.03646281940855585,0.036295421778136515
"(146.534, 152.416]",6.137441213942303e-06,7.957485654661721e-06,7.646412502377547e-10,6.985824407454098e-10,0.028551376527259392,0.03701822326548638
"(152.416, 158.282]",7.324647805755754e-06,7.254236166114963e-06,7.283255320748293e-09,7.501146011292579e-10,0.034059612296764186,0.03373219817243452
"(158.282, 164.09]",8.011818046505656e-06,6.929871299732205e-06,3.6210214816896173e-09,5.727849705756349e-10,0.037270977552344195,0.03223776128635417
"(164.09, 169.751]",5.602680962879062e-06,6.0049731239920705e-06,9.854244150444432e-10,4.60799345438569e-10,0.02605246647738752,0.02792312502656319
"(169.751, 175.259]",5.2025386230661615e-06,5.533153274959131e-06,6.463678404902505e-10,2.650639185300321e-10,0.024202209674503677,0.025740229035109866
"(175.259, 180.935]",5.748850894996237e-06,5.441395931322666e-06,2.4836401970406464e-09,2.967037296580983e-10,0.026743654363522294,0.02531337387251313
"(180.935, 186.282]",4.550749026991559e-06,4.667795108193339e-06,6.304934916937477e-10,2.0661709128698505e-10,0.02116098297551068,0.021705247253098955
"(186.282, 191.76]",5.3351164965889535e-06,4.698636308826716e-06,1.764339708192798e-09,1.9899892805783059e-10,0.024818961942131623,0.021858056108661907
"(191.76, 197.086]",7.79573036834885e-06,4.3793613418837275e-06,1.689606787943045e-08,1.4081329463551054e-10,0.03625014621282207,0.020364030239759343
"(197.086, 202.626]",3.7258954110711e-06,3.884303189212294e-06,5.575419879207907e-10,8.731286961850326e-11,0.01733286545230272,0.018069778436215524
"(202.626, 207.999]",3.911047268921871e-06,3.473827274285173e-06,1.0950013038319639e-09,6.944606518036766e-11,0.01819419189502451,0.016160244479974613
"(207.999, 213.47]",2.776185587320468e-06,2.8383754234949808e-06,3.578564290532536e-10,5.932119069624611e-11,0.012909262981040186,0.013198445719251682
"(213.47, 218.954]",2.994431281290265e-06,2.9208095624166583e-06,3.506533121576888e-10,7.797658138878513e-11,0.013930094320562308,0.013587606084362346
"(218.954, 224.269]",2.38411589800439e-06,2.5333161975128545e-06,1.0724361824439713e-10,2.9272249294715746e-11,0.011090907157516403,0.01178498695082976
"(224.269, 229.603]",2.80820090710835e-06,2.221801418131194e-06,5.961828119949389e-10,2.945764911753588e-11,0.013058134218053827,0.01033137659431007
"(229.603, 234.752]",3.225299647252338e-06,2.3036041664366014e-06,6.10399975912407e-10,4.220654495055603e-11,0.015004093959017875,0.010716366582263088
"(234.752, 239.974]",2.6641319680628875e-06,2.243812174745299e-06,3.4803186866129565e-10,4.7285293339871624e-11,0.012388213651492435,0.010433726612565628
"(239.974, 245.254]",2.889283312634267e-06,2.5567561115213945e-06,4.8999589745671e-10,1.1969508164250534e-10,0.013440945970374625,0.01189402943079752
"(245.254, 250.51]",2.034384610952933e-06,2.092718570582739e-06,1.2169886566092593e-10,3.081020300259618e-11,0.009463957210153019,0.00973532679035094
"(250.51, 255.844]",2.428590686766343e-06,2.1006197887709762e-06,2.230228702505058e-10,4.638115250014411e-11,0.01129294669346349,0.009767882017785064
"(255.844, 261.162]",2.8687108839841815e-06,1.9176512200563327e-06,5.690065456725195e-10,2.7685960395894607e-11,0.013345243032294427,0.008920913475702034
"(261.162, 266.661]",2.3096766418399314e-06,1.8402540986598523e-06,1.87589323273453e-10,2.3068510768795885e-11,0.010739996384555674,0.008557181558768306
"(266.661, 272.129]",1.8400894514799027e-06,1.6727634504054023e-06,8.148624092306784e-11,1.8335710085135267e-11,0.008560096128284473,0.007781695571285933
"(272.129, 277.715]",1.8103737212075569e-06,1.6336300869643858e-06,7.928510842278026e-11,2.016567845476246e-11,0.008421858551057518,0.007599647164558308
"(277.715, 283.342]",1.7539821626645867e-06,1.5276091043577443e-06,1.486701812236281e-10,1.907688691572736e-11,0.008156017056390298,0.007103382335263514
"(283.342, 289.14]",2.0595286904141504e-06,1.566019138558463e-06,3.008476611567223e-10,2.2974484310044803e-11,0.009580927467806595,0.0072851210325740046
"(289.14, 295.075]",1.6297935141679127e-06,1.4062204573210307e-06,8.863444588054261e-11,1.2246342458770142e-11,0.007581799427909104,0.0065417375674574315
"(295.075, 301.331]",1.253171088839885e-06,1.226462396396192e-06,5.714343719527797e-11,9.167281121123304e-12,0.005827245563105455,0.005703050143242295
"(301.331, 307.68]",1.1589134806215003e-06,1.2066004466645521e-06,5.2604771967168406e-11,1.0888827349208815e-11,0.005391265511851214,0.005613105277883499
"(307.68, 313.891]",1.760842588333419e-06,1.1702861559200128e-06,1.4988650395791306e-10,8.05710686558473e-12,0.008187918035750363,0.005441830625028054
"(313.891, 320.547]",1.6206502125456527e-06,1.168282066546124e-06,4.616089606714782e-10,9.755763912622663e-12,0.007539264788762348,0.005434848173572594
"(320.547, 326.988]",1.387496021178012e-06,1.0605425208526072e-06,6.252532969805386e-11,5.8194679078955945e-12,0.006454631490520093,0.004933643807006316
"(326.988, 333.082]",1.2989072599654305e-06,1.1868473198862642e-06,6.2864059748942e-11,1.8202795901027372e-11,0.00603991875883923,0.005518840037471136
"(333.082, 339.529]",1.5657904028120916e-06,1.0792834048890106e-06,2.0436924112518875e-10,1.2046159741154847e-11,0.007284056953881818,0.005020826399543681
"(339.529, 346.178]",1.4841387530238793e-06,1.0826649371341844e-06,1.129146583103749e-10,1.089654184873382e-11,0.006901245201561022,0.005034391957673979
"(346.178, 352.733]",1.1886292108938474e-06,1.1028895390242016e-06,8.761709254517665e-11,1.5774856754920666e-11,0.005529503089078168,0.005130642135540591
"(352.733, 359.7]",8.046105427589086e-07,9.487637302098885e-07,3.261116351495211e-11,1.0263968625041321e-11,0.003743048244914453,0.0044136488729364124
"(359.7, 366.652]",8.026698032532806e-07,9.721906226657364e-07,2.652367525748538e-11,6.7230594214374655e-12,0.003732414585127764,0.004520686395395664
"(366.652, 373.677]",8.617561778980363e-07,9.463290641447735e-07,2.7191607892463563e-11,7.779367141941397e-12,0.004008889739581672,0.004402322806401495
"(373.677, 380.777]",1.3257787352277544e-06,1.0158893633057778e-06,8.605657275527924e-11,1.1659862416405969e-11,0.006167522676279496,0.004725917318098492
