distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 2.115]",5.571790469446484e-06,6.7215798674307655e-06,4.04572170593525e-09,4.121721351619956e-08,0.4895040799027764,0.5905176776732638
"(2.115, 3.2]",7.628412147747409e-07,6.656115236807035e-07,6.45165340568404e-11,2.2535342083563217e-11,0.06701712640039212,0.05847530357839677
"(3.2, 4.113]",4.621290274460326e-07,3.829604509592006e-07,3.043906870284072e-11,6.001372395612702e-12,0.04059988357724238,0.033644607458569474
"(4.113, 4.957]",3.252878858994349e-07,2.680072926039489e-07,2.0338373232689385e-11,4.551676350683163e-12,0.028577191352035847,0.023544976669841733
"(4.957, 5.788]",2.158365165917239e-07,2.453505975187246e-07,8.528942659330328e-12,2.8395774292748353e-11,0.018962101328649176,0.021555031394410312
"(5.788, 6.614]",2.1805012131719617e-07,1.952193988554655e-07,1.6878409799658646e-11,2.608914326763172e-12,0.0191561392579581,0.017150414628250274
"(6.614, 7.456]",1.5073973496179413e-07,1.6504723110844923e-07,5.613544683211455e-12,1.2808148332662512e-12,0.013243088675333685,0.014500059441801667
"(7.456, 8.337]",1.7753807691946098e-07,1.877377010199533e-07,7.718366319339372e-12,1.1954151795063566e-11,0.015597075133528721,0.01649313251000473
"(8.337, 9.272]",1.9639466529242704e-07,1.7789661138965288e-07,1.1283082284216993e-11,1.5393811549662713e-11,0.017254056924600934,0.015628928897026544
"(9.272, 10.288]",1.2444230567509123e-07,1.647153044824254e-07,3.777578315000069e-12,1.5708119316534878e-11,0.010932505438168275,0.014470568929390065
"(10.288, 11.406]",1.642240682994218e-07,1.511189479661454e-07,9.629468440964066e-12,4.088421879655556e-12,0.01442774129637761,0.013276404054618003
"(11.406, 12.65]",1.3749102011883636e-07,1.812498796815837e-07,5.379609012878298e-12,2.8953674101445138e-11,0.012078861099480174,0.015923164429786498
"(12.65, 14.062]",1.3025168538630482e-07,2.1010828717938506e-07,4.7726336342379e-12,7.156629610346696e-11,0.011443131567928587,0.018458853461857584
"(14.062, 15.693]",1.636465724559644e-07,1.8800051270648942e-07,1.0306426156728101e-11,1.4758376882139722e-11,0.014376678683401579,0.01651622104229041
"(15.693, 17.608]",1.4574123208663946e-07,1.602221298904762e-07,4.777039692082656e-12,4.748842667226583e-12,0.012803950203739816,0.014076154999397872
"(17.608, 19.895]",1.9764879049423272e-07,2.00134469775826e-07,9.081577439323234e-12,2.2016773496098535e-11,0.0173638415424994,0.017582213438745612
"(19.895, 22.678]",2.0272997707605484e-07,1.557433636361827e-07,9.935055562770684e-12,2.5332031342721586e-12,0.017810639406039674,0.013682677468892877
"(22.678, 25.793]",1.509465987100473e-07,1.693243016680729e-07,4.809958783516513e-12,6.690346984133282e-12,0.013260960589875295,0.014875478550143529
"(25.793, 29.162]",1.5890589372876265e-07,1.323286567549105e-07,6.321902629267575e-12,2.4466296592983686e-12,0.013960518387646923,0.011625601810545935
"(29.162, 32.281]",1.316786751550303e-07,1.1093819967588276e-07,8.326585970868728e-12,1.088442447936114e-11,0.011568234969719864,0.00974614271792567
"(32.281, 35.044]",1.0773181390414871e-07,7.150670324226007e-08,4.624880692742715e-12,1.1441076429985972e-12,0.009464455315107378,0.006282006893239071
"(35.044, 37.614]",6.870035347015309e-08,5.737400241059564e-08,1.766672176639946e-12,4.924587772842747e-13,0.006035600853766884,0.005040535607780432
"(37.614, 40.002]",5.72806596183108e-08,5.0799819901030785e-08,1.5509700534188716e-12,9.691771415561456e-13,0.0050322205087878725,0.004462865777945377
"(40.002, 42.213]",6.105729384128266e-08,4.3073562436444e-08,2.206245567287992e-12,4.617269045333298e-13,0.005364127493132074,0.0037841847542913754
