distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",1.7036105271063889e-06,1.2653898970208897e-05,6.408753772336441e-06,6.192792357374791e-06,1.230496449699382e-10,3.3275325948545893e-10,2.4491997027723013e-09,8.269654227575385e-10,0.00792519617209892,0.05886593800941179,0.02981352254890912,0.028808870046507527
"(102.07, 108.851]",4.809885729847107e-06,3.411839242478412e-05,1.646461036547814e-05,1.5561603578024748e-05,5.637306222914874e-10,4.095703969451812e-12,7.261652292482469e-09,1.3481193735109036e-09,0.02236596864378905,0.15865052477524616,0.07656043819947335,0.07236145663781508
"(108.851, 115.402]",6.070375060025334e-06,2.789140198358795e-05,1.5349396066527724e-05,1.5208645404943376e-05,1.5794810383552838e-09,2.5414157445034776e-12,1.0095034940360404e-08,2.129499096005345e-09,0.028239384779237854,0.12975080202765116,0.07140539050148698,0.07075061842379658
"(115.402, 121.788]",5.1399759269934765e-06,2.2976669096488394e-05,1.193670233465083e-05,1.241070230020472e-05,6.054027435548219e-10,1.5967546336908554e-12,6.299494860293553e-09,1.4257004942528305e-09,0.023900888060519668,0.10684151129867103,0.05550566585612636,0.057709765695951945
"(121.788, 128.103]",4.585607782448422e-06,1.8990567532281708e-05,7.879587981133109e-06,1.1090356787066798e-05,8.223434755296561e-10,1.0754341440501173e-12,2.483071211451109e-09,1.0244614205130732e-09,0.02133224740395006,0.08834412016017451,0.036655843288231224,0.05159233977343475
"(128.103, 134.5]",5.06369611218974e-06,1.5705384875010723e-05,1.0805995611256799e-05,1.0818847826977302e-05,7.475798076677764e-10,7.544268086815804e-13,1.0167388342995433e-08,9.051205725168816e-10,0.023556314313906673,0.07306145043854989,0.05026949158356663,0.05032928009109841
"(134.5, 140.658]",4.995140432327214e-06,1.3043226283379699e-05,1.0140070549446606e-05,9.393690664845573e-06,2.203536823330425e-09,4.885338066885899e-13,1.2777872047222127e-08,6.090312018887256e-10,0.023227403010321543,0.0606510022177156,0.04715132805492672,0.043680661591531916
"(140.658, 146.534]",3.6765665920952108e-06,1.0865362809061336e-05,5.905368021313891e-06,7.802111302264943e-06,2.5389178937221996e-10,2.941748991390008e-13,1.316602997703734e-09,2.903010323006126e-10,0.01710338778642692,0.05054566778775334,0.027471772035152223,0.036295421778136515
"(146.534, 152.416]",4.00314805677766e-06,9.122281885970073e-06,6.5128886178466844e-06,7.957485654661733e-06,7.42376648531112e-10,2.110685242935735e-13,1.9628942406589117e-09,6.985824407454085e-10,0.018622644760129675,0.04243685533353278,0.030297957850222774,0.03701822326548638
"(152.416, 158.282]",4.570738750281879e-06,7.640573508748124e-06,7.74178349355975e-06,7.254236166114951e-06,4.025830443653288e-09,1.5055907767449846e-13,1.5043819599007715e-08,7.501146011292587e-10,0.02125393518881074,0.035528666815678775,0.03599929324505284,0.03373219817243452
"(158.282, 164.09]",5.649522657084033e-06,6.414478621276361e-06,9.442463787289193e-06,6.929871299732195e-06,5.403445791645857e-09,9.933100755998029e-14,1.9228121696948606e-08,5.727849705756351e-10,0.02628157940075492,0.02984015454617763,0.043926341538469325,0.03223776128635417
"(164.09, 169.751]",3.1291203382548757e-06,5.396253762963677e-06,5.2385398042800595e-06,6.004973123992084e-06,3.6490242911695845e-10,7.07937805574494e-14,1.145790202624143e-09,4.60799345438567e-10,0.014550409572885172,0.025092579997781098,0.024359210089902276,0.02792312502656319
"(169.751, 175.259]",3.349985127412761e-06,4.5687167726052205e-06,6.836257823502598e-06,5.533153274959129e-06,3.597234024455042e-10,4.774912702393528e-14,2.933379475190726e-09,2.6506391853003207e-10,0.015584130812724164,0.021253670426159485,0.031802271394934085,0.025740229035109866
"(175.259, 180.935]",4.134454006495347e-06,3.857325245779709e-06,6.7618534275774056e-06,5.4413959313226855e-06,2.1643924770624323e-09,3.670180231642318e-14,9.991506909910588e-09,2.9670372965809915e-10,0.019233480038216354,0.017944277043367207,0.03145614214509009,0.02531337387251313
"(180.935, 186.282]",2.5396735576363578e-06,3.273758520115371e-06,3.760956248449004e-06,4.6677951081933235e-06,1.8783544901293307e-10,2.233633866193848e-14,6.936492829433018e-10,2.066170912869848e-10,0.011809482043009063,0.015222977118536476,0.01748844655528787,0.021705247253098955
"(186.282, 191.76]",3.356718765859821e-06,2.7819177918039374e-06,5.6736534805930935e-06,4.698636308826721e-06,6.357400779399635e-10,1.6967147533772008e-14,3.9013903654840005e-09,1.9899892805783046e-10,0.015615455698779888,0.012941481567471918,0.026393835991719072,0.021858056108661907
"(191.76, 197.086]",5.234287411892441e-06,2.3655187477519797e-06,9.525723880937537e-06,4.379361341883729e-06,6.398307015312746e-09,1.1947055983018179e-14,3.012258652002003e-08,1.4081329463551028e-10,0.02433943646529985,0.010999662177046706,0.04429461604635955,0.020364030239759343
"(197.086, 202.626]",3.2624478276009697e-06,2.010209843919405e-06,5.2226039190303925e-06,3.884303189212279e-06,7.978661887318387e-10,9.374824588857492e-15,3.727999431935767e-09,8.731286961850326e-11,0.015176907293999712,0.009351496193913074,0.024295553431329386,0.018069778436215524
"(202.626, 207.999]",2.8011935939773036e-06,1.70683416996274e-06,3.3638115452522898e-06,3.4738272742851703e-06,4.0228859952417653e-10,6.352825028809018e-15,5.027379315739607e-10,6.944606518036769e-11,0.013031152599182416,0.007940192558666667,0.015648451308513653,0.016160244479974613
"(207.999, 213.47]",2.196110291218707e-06,1.4496574307926626e-06,3.2267924779132352e-06,2.8383754234949854e-06,1.5949138734215213e-10,4.8018878525264485e-15,9.58772784754397e-10,5.932119069624618e-11,0.010211912854166987,0.006740907053185881,0.015004585022296544,0.013198445719251682
"(213.47, 218.954]",2.397175287153654e-06,1.2319903323215277e-06,3.6562401290443485e-06,2.9208095624166693e-06,2.621915922001904e-10,3.4129779647874024e-15,1.7055202187034234e-09,7.797658138878499e-11,0.011151659435838797,0.005731219025959747,0.01700882908031431,0.013587606084362346
"(218.954, 224.269]",2.0975283762594473e-06,1.0466918993096753e-06,2.8679988555082935e-06,2.533316197512846e-06,1.1548643206919137e-10,2.2924898901348084e-15,6.165747421470366e-10,2.927224929471574e-11,0.009757702006358948,0.00486921071558861,0.013341930675824582,0.01178498695082976
"(224.269, 229.603]",2.101798806319744e-06,8.919038514209003e-07,2.1693836699658173e-06,2.2218014181311977e-06,1.862801380367424e-10,1.6843450641346746e-15,1.924446537762021e-10,2.945764911753587e-11,0.00977336444938681,0.004147352909107186,0.01008763406534105,0.01033137659431007
"(229.603, 234.752]",3.4105878734363083e-06,7.614021633605253e-07,4.688415019302508e-06,2.303604166436605e-06,9.084836351911562e-10,1.15069272526406e-15,2.8338358259932588e-09,4.220654495055609e-11,0.015866054787225706,0.003542042863953164,0.021810506669795268,0.010716366582263088
"(234.752, 239.974]",2.866395487464908e-06,6.527548734998582e-07,3.2381709417271906e-06,2.243812174745296e-06,3.681664715012535e-10,9.043930120314598e-16,6.871840118948314e-10,4.728529333987176e-11,0.013328739016711822,0.0030353101617743407,0.015057494879031437,0.010433726612565628
"(239.974, 245.254]",3.737169338118759e-06,5.573498063421739e-07,6.501381193866331e-06,2.5567561115213928e-06,2.366787076065898e-09,6.383235392077657e-16,1.3108313169048196e-08,1.1969508164250572e-10,0.017385311760928467,0.0025927912991037926,0.03024442531386617,0.01189402943079752
"(245.254, 250.51]",1.6733091540946147e-06,4.752387327972276e-07,2.3768748948603198e-06,2.0927185705827474e-06,7.330895746102352e-11,4.716669654436069e-16,2.5887963513634735e-10,3.081020300259616e-11,0.007784234184848148,0.0022108105849727028,0.011057222010890207,0.00973532679035094
"(250.51, 255.844]",2.684509052302622e-06,4.055175213834472e-07,3.9086669434908645e-06,2.1006197887709813e-06,8.163208525847663e-10,3.5020750813801974e-16,2.799234121230883e-09,4.638115250014407e-11,0.012482967093207193,0.0018856564744330296,0.01817530128723252,0.009767882017785064
"(255.844, 261.162]",3.2119455392480136e-06,3.459398000209227e-07,4.148740037253556e-06,1.9176512200563272e-06,1.1795847489459982e-09,2.4944307238672407e-16,4.368832198739317e-09,2.7685960395894584e-11,0.01494197064858176,0.0016093119496973325,0.019299938653303542,0.008920913475702034
