distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 2.115]",7.063594617053997e-06,5.543050742063845e-07,2.2088284795527513e-06,6.721579867430781e-06,2.2503424499414145e-08,8.622917329393284e-17,1.835897553084701e-08,4.1217213516199477e-08,0.6205650414866619,0.048697917989327696,0.1940544172426274,0.5905176776732638
"(2.115, 3.2]",4.879226400191929e-07,5.319231582218557e-07,6.146514650506955e-07,6.65611523680699e-07,4.408787925167839e-11,2.4699034472418187e-17,3.271331706416246e-11,2.2535342083558842e-11,0.042864979770966136,0.04673051329610647,0.0539983605076337,0.05847530357839677
"(3.2, 4.113]",2.618690115718329e-07,5.16472575462854e-07,3.6529181090820896e-07,3.8296045095919904e-07,1.251227161672353e-11,1.6566355904912643e-17,8.174871916324555e-12,6.001372395613865e-12,0.023006240142631806,0.04537418164471358,0.03209234675552979,0.033644607458569474
"(4.113, 4.957]",1.8780065139756495e-07,5.030886112576356e-07,2.7333925140006104e-07,2.680072926039445e-07,1.380638676355395e-11,1.3579652249704369e-17,6.346089387781752e-12,4.551676350682788e-12,0.016498662826578876,0.04419734067620581,0.024013399913998163,0.023544976669841733
"(4.957, 5.788]",1.515796186207152e-07,4.90690274020511e-07,2.785744507293296e-07,2.453505975187278e-07,6.317492311551539e-12,1.2399335923559667e-17,1.653037835184583e-11,2.839577429274795e-11,0.013316875814304312,0.04310910333379798,0.024473879794374525,0.021555031394410312
"(5.788, 6.614]",1.1161884102182787e-07,4.786239165028496e-07,2.309189004094133e-07,1.952193988554646e-07,3.211908348818864e-12,1.1787587239929182e-17,6.059104668577409e-12,2.6089143267629276e-12,0.009805938421449622,0.04204806831260834,0.020286687238767778,0.017150414628250274
"(6.614, 7.456]",1.0107909686602789e-07,4.668130760801691e-07,2.4736852884983e-07,1.6504723110844888e-07,2.315406536934484e-12,1.1545522230753285e-17,1.2927767611940701e-11,1.2808148332665537e-12,0.008880202976068015,0.04101139598594718,0.021732314733572962,0.014500059441801667
"(7.456, 8.337]",1.1981463004790617e-07,4.5496189252742627e-07,1.8678377241227037e-07,1.8773770101995095e-07,9.240713054100118e-12,1.2001772315100713e-17,2.3550445298370645e-12,1.1954151795063383e-11,0.010525954878968652,0.03996931218231945,0.016409327973962776,0.01649313251000473
"(8.337, 9.272]",1.057622982652261e-07,4.427311030781861e-07,1.803981583838083e-07,1.7789661138965264e-07,4.446839358085512e-12,1.2910168597766509e-17,2.6809380357016235e-12,1.5393811549662804e-11,0.009291640951793174,0.03889569832983096,0.015848699806651094,0.015628928897026544
"(9.272, 10.288]",8.468981993614211e-08,4.299751017432065e-07,1.6503565177243838e-07,1.6471530448242573e-07,4.720721970910689e-12,1.4337469360284748e-17,1.915465150333572e-12,1.5708119316534814e-11,0.007440170061029957,0.03777417263834418,0.014498712079512257,0.014470568929390065
"(10.288, 11.406]",1.110699265176507e-07,4.1645249174834507e-07,1.9999311619112502e-07,1.5111894796614842e-07,1.0013268934144865e-11,1.6278843371754044e-17,4.6200615238236806e-12,4.088421879655589e-12,0.009757937324281684,0.03658701721005911,0.017570195229855097,0.013276404054618003
"(11.406, 12.65]",7.625986550931875e-08,4.020180909189963e-07,2.1523043888213402e-07,1.8124987968158377e-07,2.1817655381165502e-12,1.864836216387907e-17,7.139012268186502e-12,2.8953674101445203e-11,0.006699581704724671,0.035318093323415664,0.01890842451667324,0.015923164429786498
"(12.65, 14.062]",8.554647889202051e-08,3.8635797008287357e-07,1.8492262580780054e-07,2.101082871793838e-07,4.657845265685137e-12,2.2333678882746186e-17,4.099637252306086e-12,7.15662961034669e-11,0.0075156003565795704,0.033943093103660775,0.016246192367718508,0.018458853461857584
"(14.062, 15.693]",9.873974398084775e-08,3.6920288283227956e-07,2.173427380128011e-07,1.8800051270648828e-07,5.258750834023833e-12,2.7113879504026104e-17,1.1669245381246096e-11,1.4758376882139984e-11,0.008674483988205436,0.032435211662581426,0.0190939942199006,0.01651622104229041
"(15.693, 17.608]",9.787890924324242e-08,3.5008887965230043e-07,2.4158751372562836e-07,1.6022212989047593e-07,7.882017977101805e-12,3.369725782789283e-17,6.787159668739252e-12,4.74884266722672e-12,0.00859905369265582,0.030756708432973203,0.021224429430851354,0.014076154999397872
