quantile,score,sampers_weight,twitter_weight
"(-0.001, 2.115]",0.0761158836597676,0.590517677673264,0.6205650414866627
"(2.115, 3.2]",0.794133429038321,0.05847530357839675,0.04286497977096609
"(3.2, 4.113]",0.8822175753068732,0.03364460745856948,0.023006240142631827
"(4.113, 4.957]",0.8841221073979812,0.02354497666984177,0.016498662826578886
"(4.957, 5.788]",0.7931762971705341,0.021555031394410316,0.013316875814304312
"(5.788, 6.614]",0.875392392937911,0.017150414628250267,0.009805938421449646
"(6.614, 7.456]",0.9064399531195353,0.014500059441801655,0.008880202976068037
"(7.456, 8.337]",0.8518132782537203,0.016493132510004747,0.01052595487896867
"(8.337, 9.272]",0.837371421952584,0.015628928897026523,0.009291640951793198
"(9.272, 10.288]",0.7951005587888207,0.014470568929390071,0.00744017006103
"(10.288, 11.406]",0.9143146667296892,0.01327640405461799,0.009757937324281698
"(11.406, 12.65]",0.694368566113846,0.015923164429786498,0.00669958170472471
"(12.65, 14.062]",0.5797599171793555,0.018458853461857595,0.007515600356579607
"(14.062, 15.693]",0.7975349027424786,0.016516221042290388,0.008674483988205455
"(15.693, 17.608]",0.8735085530543254,0.014076154999397865,0.008599053692655852
"(17.608, 19.895]",0.787772722211096,0.017582213438745626,0.013008297332510415
"(19.895, 22.678]",0.9444816357543301,0.013682677468892882,0.01145854762394564
"(22.678, 25.793]",0.8533163609807665,0.014875478550143536,0.00816704381814444
"(25.793, 29.162]",0.9315976313740111,0.011625601810545946,0.007735033943633028
"(29.162, 32.281]",0.8841112721118519,0.00974614271792567,0.005835561955701867
"(32.281, 35.044]",0.9880368630359974,0.006282006893239078,0.005766988959747679
"(35.044, 37.614]",0.9866622496194764,0.005040535607780433,0.00438867174106839
"(37.614, 40.002]",0.9911545848153056,0.004462865777945383,0.00442295823904548
"(40.002, 42.213]",0.9951609451751482,0.003784184754291372,0.003716656380717283
"(42.213, 44.525]",0.9921923761923044,0.0038493012285679743,0.003757800178289801
"(44.525, 46.962]",0.9886668951665789,0.003504320565789849,0.002482342453541794
"(46.962, 49.411]",0.9930336100045736,0.0030786089092589577,0.0026194884454501847
"(49.411, 51.915]",0.9974095657814215,0.0026421352478772273,0.0026194884454501834
