distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 3.211]",6.9596134392170255e-06,5.927265638233507e-07,2.7544762311408907e-06,7.370865429347212e-06,1.108201391874467e-08,2.259007898559447e-16,3.753639932403749e-09,1.943457156399613e-08
"(3.211, 5.192]",6.62873194551599e-07,5.532856018996931e-07,1.111980285557298e-06,7.699187099029142e-07,1.865130026177203e-11,9.021649072086167e-17,4.370818606417507e-11,2.181540532333051e-11
"(5.192, 6.939]",3.570685566162308e-07,5.235325601658782e-07,6.898312236947665e-07,4.4833598227096996e-07,5.979764549907452e-12,6.232139661470662e-17,1.3317982077300294e-11,1.6811109713676193e-11
"(6.939, 8.647]",2.216315474830364e-07,4.971497189891412e-07,4.782977949316392e-07,2.93886407488125e-07,1.987513548143331e-12,5.433544100069225e-17,3.787083735697053e-12,4.2951250827936045e-12
"(8.647, 10.313]",1.8364456193300734e-07,4.7258761456091e-07,3.834028118589137e-07,2.5142780056727023e-07,2.8973097580885874e-12,4.6386740614569843e-17,2.9339820400546544e-12,1.1582596055379163e-11
"(10.313, 11.904]",1.6432349958861756e-07,4.500275033360697e-07,3.429901316424899e-07,2.1358610898764178e-07,2.7894457195425066e-12,3.850532146422142e-17,1.8003482341883799e-12,1.173758614631261e-11
"(11.904, 13.467]",1.2328810726915714e-07,4.29296874694934e-07,3.204021540520303e-07,1.739964271776862e-07,1.13579524967117e-12,3.3694527304316683e-17,2.0732687673676233e-12,6.686930348638243e-12
"(13.467, 15.011]",1.0458971421718627e-07,4.0977192997904717e-07,2.701318836691289e-07,1.7119865109765435e-07,9.700035521228766e-13,2.985787315033324e-17,1.285098265201622e-12,6.5413784134823485e-12
"(15.011, 16.559]",9.504848014093737e-08,3.9122661033184625e-07,2.376938610361993e-07,1.2950109927430747e-07,1.7111039272032108e-12,2.7521814726853132e-17,1.237325874069514e-12,2.351541257401214e-12
"(16.559, 18.16]",9.138767908630997e-08,3.731328005783013e-07,2.227835923564034e-07,1.1101693456284513e-07,1.7372056037960004e-12,2.6923590872220197e-17,1.3220577403078788e-12,4.567382612172995e-12
"(18.16, 19.809]",7.414670888068017e-08,3.5541290189734995e-07,1.961686331736746e-07,9.452914495084786e-08,9.151023902922972e-13,2.565065480031009e-17,8.946659260184864e-13,1.6091048029221236e-12
"(19.809, 21.501]",6.072429484121136e-08,3.3805824388621826e-07,1.8828320667428778e-07,8.380726233678593e-08,3.87331885519432e-13,2.4568664424218922e-17,1.006749843916187e-12,2.1987455757773446e-12
