distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",2.011714074428445e-06,1.2653898970208897e-05,6.611024418846209e-06,6.192792357374791e-06,1.51644442683203e-10,3.3275325948545893e-10,2.459405667264687e-09,8.269654227575385e-10
"(102.07, 108.851]",5.469785269097644e-06,3.411839242478412e-05,1.6918229743871533e-05,1.5561603578024748e-05,6.064666402903476e-10,4.095703969451812e-12,6.786986827544148e-09,1.3481193735109036e-09
"(108.851, 115.402]",6.682942422896368e-06,2.789140198358795e-05,1.6020881973104954e-05,1.5208645404943376e-05,1.6392068110043305e-09,2.5414157445034776e-12,9.075481931796707e-09,2.129499096005345e-09
"(115.402, 121.788]",5.615897585635366e-06,2.2976669096488394e-05,1.2516483905555758e-05,1.241070230020472e-05,6.804272449413537e-10,1.5967546336908554e-12,6.26870833278453e-09,1.4257004942528305e-09
"(121.788, 128.103]",5.062264105324038e-06,1.8990567532281708e-05,8.475182197078157e-06,1.1090356787066798e-05,9.273959521862252e-10,1.0754341440501173e-12,2.606806162718243e-09,1.0244614205130732e-09
"(128.103, 134.5]",5.735976312919513e-06,1.5705384875010723e-05,1.1640548820664708e-05,1.0818847826977302e-05,1.0596487060859908e-09,7.544268086815804e-13,1.1685436540606722e-08,9.051205725168816e-10
"(134.5, 140.658]",5.714876896838339e-06,1.3043226283379699e-05,1.0807729738370202e-05,9.393690664845573e-06,2.476090877275017e-09,4.885338066885899e-13,1.3055278384145277e-08,6.090312018887256e-10
"(140.658, 146.534]",4.009294326319922e-06,1.0865362809061336e-05,6.321989018889036e-06,7.802111302264943e-06,2.910206586905618e-10,2.941748991390008e-13,1.2609763089679717e-09,2.903010323006126e-10
"(146.534, 152.416]",4.485133018397844e-06,9.122281885970073e-06,6.917283159277326e-06,7.957485654661733e-06,8.596053364650687e-10,2.110685242935735e-13,1.9861609107296645e-09,6.985824407454085e-10
"(152.416, 158.282]",4.5978246704047845e-06,7.640573508748124e-06,7.924975433270752e-06,7.254236166114951e-06,3.7130745424811624e-09,1.5055907767449846e-13,1.3866725478897115e-08,7.501146011292587e-10
"(158.282, 164.09]",5.743043224187996e-06,6.414478621276361e-06,9.815501684270614e-06,6.929871299732195e-06,4.380203027693153e-09,9.933100755998029e-14,1.841676894290767e-08,5.727849705756351e-10
"(164.09, 169.751]",3.315806925299606e-06,5.396253762963677e-06,5.513517801467526e-06,6.004973123992084e-06,4.1373770727405043e-10,7.07937805574494e-14,1.1757220605343901e-09,4.60799345438567e-10
"(169.751, 175.259]",3.693638956327637e-06,4.5687167726052205e-06,7.171685990469304e-06,5.533153274959129e-06,4.2993516306479383e-10,4.774912702393528e-14,3.1875238424745504e-09,2.6506391853003207e-10
"(175.259, 180.935]",4.4050413573550256e-06,3.857325245779709e-06,6.917637309324012e-06,5.4413959313226855e-06,2.167668138446049e-09,3.670180231642318e-14,9.80654845843665e-09,2.9670372965809915e-10
"(180.935, 186.282]",2.6512315500796423e-06,3.273758520115371e-06,3.988266551973383e-06,4.6677951081933235e-06,1.7928649480311854e-10,2.233633866193848e-14,7.276947177103002e-10,2.066170912869848e-10
"(186.282, 191.76]",3.5169661746155366e-06,2.7819177918039374e-06,5.765497047431148e-06,4.698636308826721e-06,7.050780599879197e-10,1.6967147533772008e-14,3.579703758120884e-09,1.9899892805783046e-10
"(191.76, 197.086]",5.083294625352701e-06,2.3655187477519797e-06,8.85385306591714e-06,4.379361341883729e-06,4.2294827300385265e-09,1.1947055983018179e-14,2.0403973404746776e-08,1.4081329463551028e-10
"(197.086, 202.626]",3.453363973199181e-06,2.010209843919405e-06,5.259357364670398e-06,3.884303189212279e-06,7.559472007751032e-10,9.374824588857492e-15,3.3404559477634846e-09,8.731286961850326e-11
"(202.626, 207.999]",3.012859837463678e-06,1.70683416996274e-06,3.44641282543355e-06,3.4738272742851703e-06,4.284341784404739e-10,6.352825028809018e-15,5.078181344019241e-10,6.944606518036769e-11
