distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 2.115]",7.077321012932096e-06,5.543050742063845e-07,2.134388077029982e-06,6.721579867430781e-06,2.1590187345635917e-08,8.622917329393284e-17,1.763861854970276e-08,4.1217213516199477e-08
"(2.115, 3.2]",4.6536607726730417e-07,5.319231582218557e-07,5.953986486732835e-07,6.65611523680699e-07,3.3417611386293265e-11,2.4699034472418187e-17,2.945951558286725e-11,2.2535342083558842e-11
"(3.2, 4.113]",2.6502497711537883e-07,5.16472575462854e-07,3.6146060532749013e-07,3.8296045095919904e-07,1.1080488024652693e-11,1.6566355904912643e-17,7.680456355871898e-12,6.001372395613865e-12
"(4.113, 4.957]",1.785226862963993e-07,5.030886112576356e-07,2.647273486004203e-07,2.680072926039445e-07,8.505953031004484e-12,1.3579652249704369e-17,5.27642716356453e-12,4.551676350682788e-12
"(4.957, 5.788]",1.4733609894368743e-07,4.90690274020511e-07,2.7424429114642844e-07,2.453505975187278e-07,5.3347480982463595e-12,1.2399335923559667e-17,1.628762977412737e-11,2.839577429274795e-11
"(5.788, 6.614]",1.1610327729774722e-07,4.786239165028496e-07,2.2757162908511183e-07,1.952193988554646e-07,3.0313454000736596e-12,1.1787587239929182e-17,5.090299634761804e-12,2.6089143267629276e-12
"(6.614, 7.456]",1.0042996036513656e-07,4.668130760801691e-07,2.3930822970588965e-07,1.6504723110844888e-07,2.154116078927313e-12,1.1545522230753285e-17,1.1099060294679162e-11,1.2808148332665537e-12
"(7.456, 8.337]",1.1965043624847638e-07,4.5496189252742627e-07,1.8504096006061565e-07,1.8773770101995095e-07,7.227763567764602e-12,1.2001772315100713e-17,2.1397832927770535e-12,1.1954151795063383e-11
"(8.337, 9.272]",1.124476730709278e-07,4.427311030781861e-07,1.769807389359101e-07,1.7789661138965264e-07,5.380501391513228e-12,1.2910168597766509e-17,2.234087591603658e-12,1.5393811549662804e-11
"(9.272, 10.288]",8.322587866486942e-08,4.299751017432065e-07,1.6542994590936383e-07,1.6471530448242573e-07,2.896307740149455e-12,1.4337469360284748e-17,2.0976102368233906e-12,1.5708119316534814e-11
"(10.288, 11.406]",1.0720646797016421e-07,4.1645249174834507e-07,1.9511794432788288e-07,1.5111894796614842e-07,6.881992291168589e-12,1.6278843371754044e-17,3.951272254152465e-12,4.088421879655589e-12
"(11.406, 12.65]",7.586684740887906e-08,4.020180909189963e-07,2.0379597200971704e-07,1.8124987968158377e-07,1.4104019878497904e-12,1.864836216387907e-17,5.0940047132472775e-12,2.8953674101445203e-11
"(12.65, 14.062]",8.560634997913855e-08,3.8635797008287357e-07,1.845285570448454e-07,2.101082871793838e-07,3.013788648376537e-12,2.2333678882746186e-17,3.8463916847218395e-12,7.15662961034669e-11
"(14.062, 15.693]",1.0064401739307682e-07,3.6920288283227956e-07,2.1678049797036993e-07,1.8800051270648828e-07,4.0073658894674274e-12,2.7113879504026104e-17,9.276219186908327e-12,1.4758376882139984e-11
"(15.693, 17.608]",1.0487704348093595e-07,3.5008887965230043e-07,2.431438795512238e-07,1.6022212989047593e-07,7.048944493223961e-12,3.369725782789283e-17,5.753035719010033e-12,4.74884266722672e-12
"(17.608, 19.895]",1.4268049809276277e-07,3.288487775517458e-07,2.766376556426259e-07,2.0013446977582312e-07,1.6513303199614082e-11,4.2319903495607336e-17,6.5485165304371156e-12,2.201677349609846e-11
"(19.895, 22.678]",1.2171242956217658e-07,3.048894186541545e-07,2.8940859944743213e-07,1.5574336363617906e-07,4.866399204509298e-12,5.411048986714297e-17,6.813727684646279e-12,2.533203134272134e-12
"(22.678, 25.793]",9.799688384775655e-08,2.788554145818658e-07,3.387110232058537e-07,1.6932430166807277e-07,1.824679180948815e-12,5.721712167894475e-17,7.519132045217715e-12,6.690346984133275e-12
"(25.793, 29.162]",9.047696482025217e-08,2.5309815373301133e-07,2.625514471445988e-07,1.3232865675491082e-07,1.89598687519904e-12,5.4980933182172824e-17,4.792535137815434e-12,2.4466296592983557e-12
