quantile,score,sampers_weight,twitter_weight
"(-0.001, 22.405]",1.0,0.0,0.0
"(22.405, 35.395]",1.0,0.0,0.0
"(35.395, 46.554]",1.0,0.0,0.0
"(46.554, 56.061]",1.0,0.0,0.0
"(56.061, 64.93]",1.0,0.0,0.0
"(64.93, 73.165]",1.0,0.0,0.0
"(73.165, 80.94]",1.0,0.0,0.0
"(80.94, 88.329]",1.0,0.0,0.0
"(88.329, 95.338]",1.0,0.0,0.0
"(95.338, 102.07]",0.561581171326122,0.028808870046507534,0.030754485596472564
"(102.07, 108.851]",0.49049425681028114,0.07236145663781507,0.0786697683090026
"(108.851, 115.402]",0.537400473400341,0.07075061842379658,0.07452914293888424
"(115.402, 121.788]",0.5023755514474183,0.05770976569595194,0.05820165016083428
"(121.788, 128.103]",0.6561451342186334,0.051592339773434755,0.0394265475808076
"(128.103, 134.5]",0.3822934569475453,0.05032928009109841,0.05415183311373221
"(134.5, 140.658]",0.3629212582553248,0.04368066159153193,0.05025594328342141
"(140.658, 146.534]",0.6656695661492001,0.03629542177813652,0.029409892915871788
"(146.534, 152.416]",0.638064984844796,0.037018223265486386,0.03217920125695813
"(152.416, 158.282]",0.4089505792835755,0.03373219817243452,0.03685113576470902
"(158.282, 164.09]",0.2394693535388136,0.03223776128635418,0.04566171383522688
"(164.09, 169.751]",0.7333610366266726,0.027923125026563193,0.025637857776824004
"(169.751, 175.259]",0.5209731534072475,0.025740229035109877,0.0333626832276632
"(175.259, 180.935]",0.3118888787582599,0.025313373872513135,0.03218084876297531
"(180.935, 186.282]",0.8164217762962537,0.021705247253098952,0.01854543946667623
"(186.282, 191.76]",0.4665671712100824,0.021858056108661907,0.026821092264649703
"(191.76, 197.086]",0.0933919099434473,0.02036403023975935,0.04117041675651472
"(197.086, 202.626]",0.4147589384784067,0.018069778436215524,0.02446653046044669
"(202.626, 207.999]",0.8266301084794221,0.01616024447997461,0.016032712463916875
"(207.999, 213.47]",0.7115687114446859,0.013198445719251684,0.014942815012146662
"(213.47, 218.954]",0.6219951895742721,0.013587606084362347,0.016298052107406834
"(218.954, 224.269]",0.786308102921356,0.011784986950829761,0.013227041626894281
"(224.269, 229.603]",0.912022561766119,0.010331376594310075,0.010246127485556384
"(229.603, 234.752]",0.3852533290862552,0.010716366582263088,0.021167974869814865
"(234.752, 239.974]",0.7545878161121639,0.010433726612565628,0.014478649302206343
"(239.974, 245.254]",0.18063313183765692,0.011894029430797516,0.028118759916773924
"(245.254, 250.51]",0.9077194954716702,0.009735326790350935,0.010551118275099379
"(250.51, 255.844]",0.3877694672957175,0.009767882017785065,0.017017087729452814
"(255.844, 261.162]",0.33712331817229535,0.008920913475702029,0.016826896892140387
"(261.162, 266.661]",0.7811697878732352,0.008557181558768305,0.01029730432594785
"(266.661, 272.129]",0.9337058272917009,0.007781695571285935,0.0055593313917575455
"(272.129, 277.715]",0.9187830058426384,0.00759964716455831,0.006519911221345531
"(277.715, 283.342]",0.7577024811690306,0.007103382335263513,0.0077298139450482205
"(283.342, 289.14]",0.8231724267287872,0.007285121032574002,0.007557447284271736
"(289.14, 295.075]",0.9118282730510567,0.006541737567457432,0.00422087023714842
"(295.075, 301.331]",0.9260555004162161,0.005703050143242295,0.0028144640331826034
"(301.331, 307.68]",0.9401583516443931,0.005613105277883498,0.003740093254066631
"(307.68, 313.891]",0.6182406799827205,0.005441830625028058,0.007453108679036812
"(313.891, 320.547]",0.9356389557261585,0.005434848173572595,0.0028718332466988678
"(320.547, 326.988]",0.9495365637080707,0.004933643807006314,0.0029766115892332014
"(326.988, 333.082]",0.9108531039016933,0.005518840037471137,0.0027894073503039033
"(333.082, 339.529]",0.7814096970115986,0.005020826399543681,0.004756298014043455
"(339.529, 346.178]",0.9221239692680223,0.005034391957673979,0.0030292798398094717
"(346.178, 352.733]",0.9115953425191745,0.005130642135540592,0.0021331794551032925
"(352.733, 359.7]",0.917847790276537,0.0044136488729364124,0.0014701327824943181
"(359.7, 366.652]",0.8868838063543597,0.004520686395395664,0.0008734913219711704
"(366.652, 373.677]",0.8814221180560622,0.004402322806401495,0.0006989573892703853
"(373.677, 380.777]",0.8766672781918975,0.004725917318098493,0.0009416533109460789
"(380.777, 387.825]",0.766772572589136,0.006554593015748529,0.001114945068927985
"(387.825, 394.882]",0.7380253366958921,0.007740505526423047,0.0015012074894853573
"(394.882, 401.993]",0.8009630359957802,0.008067744770823162,0.0047046162597789475
"(401.993, 409.214]",0.8411510708633043,0.005621793664473736,0.0011977004405808412
"(409.214, 416.899]",0.9244328024985015,0.003341255707506618,0.0005150503290467181
"(416.899, 424.964]",0.8893926319557577,0.0037641525442570233,0.0002827884542100255
"(424.964, 433.403]",0.8750955730179076,0.003928750273620044,0.00020469926661348877
"(433.403, 442.513]",0.9175553084178811,0.0030918954356520083,0.00012518888891626897
"(442.513, 452.301]",0.9373560911860416,0.002597209105279499,4.76212291971242e-05
"(452.301, 462.106]",0.9483989817266244,0.002377852897759171,7.000453799042855e-05
"(462.106, 471.922]",0.9298011281744637,0.0028325580352830727,0.00011895608695613903
"(471.922, 482.18]",0.9327784545226392,0.002707851071674091,6.991928790252976e-05
