distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 3.211]",4.009867830032738e-06,5.927265638233507e-07,1.299456371343378e-06,7.370865429347212e-06,1.8211361114468423e-09,2.259007898559447e-16,3.1560372173778377e-09,1.943457156399613e-08
"(3.211, 5.192]",8.974626192280601e-07,5.532856018996931e-07,6.481013189253171e-07,7.699187099029142e-07,2.3609431939149665e-11,9.021649072086167e-17,9.389286173598687e-12,2.181540532333051e-11
"(5.192, 6.939]",5.869031398982691e-07,5.235325601658782e-07,5.28653159265179e-07,4.4833598227096996e-07,1.9261323092652304e-11,6.232139661470662e-17,4.164423613655093e-12,1.6811109713676193e-11
"(6.939, 8.647]",4.313591107516077e-07,4.971497189891412e-07,4.6585494646993023e-07,2.93886407488125e-07,7.681855167796916e-12,5.433544100069225e-17,2.1410947073313373e-12,4.2951250827936045e-12
"(8.647, 10.313]",3.4942179947532877e-07,4.7258761456091e-07,4.1956983535941305e-07,2.5142780056727023e-07,7.678916815052257e-12,4.6386740614569843e-17,2.3827451613955e-12,1.1582596055379163e-11
"(10.313, 11.904]",2.901511744695204e-07,4.500275033360697e-07,3.8135958984675323e-07,2.1358610898764178e-07,8.484585658680401e-12,3.850532146422142e-17,4.082825950068455e-12,1.173758614631261e-11
"(11.904, 13.467]",2.4554426681535966e-07,4.29296874694934e-07,3.470632396678555e-07,1.739964271776862e-07,3.005716727698584e-12,3.3694527304316683e-17,1.4682324607836308e-12,6.686930348638243e-12
"(13.467, 15.011]",2.079635917252214e-07,4.0977192997904717e-07,3.2509414448850667e-07,1.7119865109765435e-07,4.61474768666169e-12,2.985787315033324e-17,2.5465730777866183e-12,6.5413784134823485e-12
"(15.011, 16.559]",1.7936875901512652e-07,3.9122661033184625e-07,3.0092604834098406e-07,1.2950109927430747e-07,2.174433447927886e-12,2.7521814726853132e-17,1.5955372128497897e-12,2.351541257401214e-12
"(16.559, 18.16]",1.582866312705906e-07,3.731328005783013e-07,2.8583096805638685e-07,1.1101693456284513e-07,1.801336974375376e-12,2.6923590872220197e-17,1.0770166805870837e-12,4.567382612172995e-12
"(18.16, 19.809]",1.5257883008294557e-07,3.5541290189734995e-07,2.729518613626014e-07,9.452914495084786e-08,1.5856426403577156e-12,2.565065480031009e-17,1.0534763722545272e-12,1.6091048029221236e-12
"(19.809, 21.501]",1.326862120163647e-07,3.3805824388621826e-07,2.5884853535814464e-07,8.380726233678593e-08,1.2272797640011715e-12,2.4568664424218922e-17,1.2777359622170128e-12,2.1987455757773446e-12
"(21.501, 23.229]",1.1743477509299124e-07,3.211417851573151e-07,2.48363312147849e-07,7.321333613734111e-08,1.0983560070764707e-12,2.3167224509753478e-17,1.310932703902148e-12,1.8106132646274065e-12
"(23.229, 24.979]",1.0093061054059732e-07,3.0481328875490504e-07,2.3467204366496083e-07,6.877738343306384e-08,7.887270531421129e-13,2.129622750251594e-17,1.1559334004023717e-12,3.3608753557607054e-12
"(24.979, 26.776]",9.139259201166045e-08,2.890045037836166e-07,2.108749572310492e-07,5.3661718914482886e-08,6.942118114090669e-13,2.017815862909888e-17,9.066739599996908e-13,2.268201768954608e-12
"(26.776, 28.569]",9.22305830514062e-08,2.7387968711571777e-07,2.1445905653148543e-07,4.065177677643253e-08,1.7161888925715899e-12,1.8094080680882106e-17,2.2406006169697346e-12,2.697985476260605e-13
"(28.569, 30.431]",8.905910927021447e-08,2.593607723074679e-07,2.0481556836846936e-07,5.5981456442106964e-08,5.174692579491874e-13,1.7471134359867318e-17,7.393199665905196e-13,3.844206297738422e-12
"(30.431, 32.517]",9.295254456257183e-08,2.4447376282644794e-07,2.166137390426453e-07,4.244577725049887e-08,6.153672211297479e-13,1.9539964340080958e-17,1.0458632272433223e-12,5.80363983485233e-13
"(32.517, 34.741]",9.135193591655033e-08,2.291028876800724e-07,2.1049800524115518e-07,3.988252299505033e-08,9.798164780078461e-13,1.948321406888896e-17,1.6177250301732598e-12,3.1209395146657436e-13
"(34.741, 37.035]",9.220479871172176e-08,2.140974591501804e-07,2.11078797410332e-07,3.9685666529743426e-08,6.956427284118278e-13,1.8104839478726995e-17,1.427380713080869e-12,3.5767645787114316e-13
"(37.035, 39.4]",9.319749578957445e-08,1.99640919205186e-07,2.1860311230382722e-07,3.712964551168325e-08,9.648781075700417e-13,1.6792819381481073e-17,3.063214920021404e-12,1.557450488460959e-13
"(39.4, 41.811]",7.753350943124925e-08,1.8581212221112533e-07,1.8706617564382375e-07,3.751822467007241e-08,3.991837758924849e-13,1.5018739216720976e-17,1.094344157507238e-12,3.3755866508504146e-13
"(41.811, 44.358]",7.830703962178383e-08,1.7255793062483613e-07,1.8939644313186337e-07,3.1446796631144695e-08,6.81905306618769e-13,1.4587994327175123e-17,2.2998924700901475e-12,2.529972893268271e-13
"(44.358, 46.832]",6.244831746821475e-08,1.5986908797605633e-07,1.6402991059411938e-07,2.663468427978939e-08,3.3507992621424144e-13,1.1731957585254073e-17,1.1385539184871065e-12,9.920394938322542e-14
"(46.832, 49.227]",6.023221750295916e-08,1.487043943172955e-07,1.635639507362602e-07,2.383738503457283e-08,6.164831274295611e-13,9.502766487738664e-18,1.885761272827616e-12,1.1073561199735688e-13
"(49.227, 51.555]",5.0176325026009655e-08,1.3847743054794085e-07,1.4031094099213627e-07,1.8223485667790578e-08,3.342297506634444e-13,7.790603305989701e-18,1.100350852307396e-12,5.50362010700713e-14
"(51.555, 53.764]",4.5870340298700493e-08,1.2942447066032234e-07,1.2620909409342817e-07,1.5023046575650857e-08,1.9412736102735617e-13,6.112970061301155e-18,6.670403661473335e-13,2.1113471151598358e-14
"(53.764, 55.987]",4.17568332534161e-08,1.2106443889929044e-07,1.2339192340138134e-07,1.3807523071044682e-08,1.6179437088847045e-13,5.4563534062327296e-18,6.895956313559176e-13,1.9754952059062265e-14
"(55.987, 58.084]",4.522573180658835e-08,1.1344417782054857e-07,1.2899074868990741e-07,1.1909704998830526e-08,4.872753968309435e-13,4.239392723959082e-18,1.7448924797532802e-12,1.367660150647988e-14
"(58.084, 60.03]",3.7799841977456394e-08,1.0679242206954605e-07,1.075079899070143e-07,1.1493692889081694e-08,1.356816080159335e-13,3.235914014642382e-18,3.1338953190234225e-13,1.721481046705117e-14
"(60.03, 61.847]",3.7168125655186486e-08,1.0091654138467163e-07,1.1669029048396617e-07,9.423369089552412e-09,2.2085157785428199e-13,2.533447174816807e-18,1.4964921561249514e-12,1.7590697324888437e-14
"(61.847, 63.57]",3.234645413418762e-08,9.571324360269671e-08,9.28551149412602e-08,9.198815872502157e-09,1.3828847196533637e-13,2.0246810822939786e-18,2.91830498894088e-13,2.4066404882742124e-14
"(63.57, 65.258]",3.256491534366443e-08,9.094854967463993e-08,8.55914374473776e-08,7.835571055592372e-09,1.2984970028410996e-13,1.7792663163051844e-18,1.3728940131703604e-13,5.203096697811021e-15
"(65.258, 66.947]",3.012900092132183e-08,8.646420826150722e-08,8.317647600311436e-08,6.7578913014164865e-09,1.3759864061187582e-13,1.5923591786827583e-18,2.1761812347989602e-13,6.716634704556194e-15
"(66.947, 68.708]",2.8195175444985382e-08,8.211567121252114e-08,8.025953240565477e-08,5.810265628647267e-09,1.0924007258138633e-13,1.5762226124305102e-18,2.3083976645554964e-13,7.798050675464267e-15
"(68.708, 70.5]",2.586169270353941e-08,7.784102130813529e-08,7.557068480697745e-08,4.282315639744179e-09,8.723034745499031e-14,1.4626872625839648e-18,1.9934735721742177e-13,2.9110615267439906e-15
"(70.5, 72.284]",3.030949129911323e-08,7.37517826523094e-08,7.53175575640785e-08,3.6694737034329047e-09,3.388814604181861e-13,1.2982885420368508e-18,4.76490527701407e-13,3.943187423682089e-15
"(72.284, 73.955]",2.617053766731543e-08,7.003212424192442e-08,6.551141950567698e-08,2.882272044186371e-09,1.1556039499950911e-13,1.027535383749691e-18,1.6805741363290765e-13,8.044125270248611e-16
"(73.955, 75.584]",2.86206170497794e-08,6.667130769798377e-08,6.641535642271374e-08,2.6297322419387817e-09,2.453292409305069e-13,8.821099654695955e-19,1.0447955736910097e-12,4.088341875105819e-16
"(75.584, 77.263]",2.4056788925625386e-08,6.343750097994534e-08,6.40722646053877e-08,2.358746406581304e-09,1.8672475685311494e-13,8.522691129703912e-19,1.148326114924974e-12,7.98914608131983e-16
"(77.263, 78.964]",2.0911099484118104e-08,6.02978574627347e-08,5.556754970362296e-08,2.2469679862147922e-09,1.0780297024548669e-13,7.90474699017966e-19,1.964964059743013e-13,2.322096374601957e-15
"(78.964, 80.601]",2.0910646352899324e-08,5.734377514347419e-08,5.290276769450306e-08,1.8404286072419255e-09,1.6965087426125833e-13,6.620129946365109e-19,9.410226512210138e-13,5.594974731126829e-16
"(80.601, 82.152]",2.02793831618482e-08,5.46647733093955e-08,5.208293221556093e-08,1.90258748527008e-09,1.4214495454373622e-13,5.393713617690003e-19,4.1962163989822855e-13,9.594733524427494e-16
"(82.152, 83.605]",1.8010361269613436e-08,5.225720123223282e-08,4.428048337461015e-08,1.5687112464305075e-09,6.461056870853172e-14,4.3270125139572454e-19,5.861269855034192e-14,2.2101428905407243e-16
"(83.605, 84.996]",1.9093303536361844e-08,5.0075204344065176e-08,4.378794420373268e-08,1.4269050650498778e-09,6.920311889482807e-14,3.6286369450887504e-19,6.36725639787151e-14,1.2853470246816496e-16
"(84.996, 86.337]",1.841001853472297e-08,4.806446913484431e-08,4.4492496912974904e-08,1.4364947326186744e-09,5.730943148887662e-14,3.113149736627386e-19,1.2357075737159373e-13,4.3856843826613257e-16
