distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",2.8761497151842715e-06,1.2653898970208897e-05,8.729966773889585e-06,6.192792357374791e-06,2.0223815152579835e-10,3.3275325948545893e-10,1.412882404675536e-09,8.269654227575385e-10
"(102.07, 108.851]",8.632160306475633e-06,3.411839242478412e-05,2.609203635648712e-05,1.5561603578024748e-05,5.964277541058543e-10,4.095703969451812e-12,4.4457535445522776e-09,1.3481193735109036e-09
"(108.851, 115.402]",8.14909085968877e-06,2.789140198358795e-05,2.47658906708268e-05,1.5208645404943376e-05,5.151594580524355e-10,2.5414157445034776e-12,4.383801227764042e-09,2.129499096005345e-09
"(115.402, 121.788]",7.268317273581168e-06,2.2976669096488394e-05,2.071426389595596e-05,1.241070230020472e-05,3.6428227253223094e-10,1.5967546336908554e-12,3.5284948395572434e-09,1.4257004942528305e-09
"(121.788, 128.103]",6.572689382400839e-06,1.8990567532281708e-05,1.52465835892052e-05,1.1090356787066798e-05,2.682657843790471e-10,1.0754341440501173e-12,1.5736726429790374e-09,1.0244614205130732e-09
"(128.103, 134.5]",6.810193578482299e-06,1.5705384875010723e-05,1.6155712730970807e-05,1.0818847826977302e-05,9.280963996238052e-10,7.544268086815804e-13,4.414039763128557e-09,9.051205725168816e-10
"(134.5, 140.658]",6.80615987060289e-06,1.3043226283379699e-05,1.4335764261015155e-05,9.393690664845573e-06,6.843424163728595e-10,4.885338066885899e-13,2.796963413884543e-09,6.090312018887256e-10
"(140.658, 146.534]",6.34214501624118e-06,1.0865362809061336e-05,1.1209843084772834e-05,7.802111302264943e-06,3.5304905848219025e-10,2.941748991390008e-13,9.902680765801806e-10,2.903010323006126e-10
"(146.534, 152.416]",4.8979803074674675e-06,9.122281885970073e-06,9.196057385806398e-06,7.957485654661733e-06,2.404337762099545e-10,2.110685242935735e-13,8.853356410188491e-10,6.985824407454085e-10
"(152.416, 158.282]",4.73210885121073e-06,7.640573508748124e-06,8.817488803019339e-06,7.254236166114951e-06,1.9424029825568778e-10,1.5055907767449846e-13,1.7310828594506854e-09,7.501146011292587e-10
"(158.282, 164.09]",4.656126217684883e-06,6.414478621276361e-06,8.164096217917933e-06,6.929871299732195e-06,2.6500201400835825e-10,9.933100755998029e-14,9.405563322987156e-10,5.727849705756351e-10
"(164.09, 169.751]",4.643332852898518e-06,5.396253762963677e-06,5.936811760358916e-06,6.004973123992084e-06,2.435942849371732e-10,7.07937805574494e-14,2.6115404621823474e-10,4.60799345438567e-10
"(169.751, 175.259]",5.303390400412377e-06,4.5687167726052205e-06,6.373624848319976e-06,5.533153274959129e-06,6.013901017796964e-10,4.774912702393528e-14,1.020371378534357e-09,2.6506391853003207e-10
"(175.259, 180.935]",3.981892694010409e-06,3.857325245779709e-06,5.141897765946205e-06,5.4413959313226855e-06,1.8428193021403828e-10,3.670180231642318e-14,5.715693835068639e-10,2.9670372965809915e-10
"(180.935, 186.282]",3.5649655792825362e-06,3.273758520115371e-06,4.084385219602315e-06,4.6677951081933235e-06,1.2584864792430093e-10,2.233633866193848e-14,1.8070789095221762e-10,2.066170912869848e-10
"(186.282, 191.76]",3.738298646747373e-06,2.7819177918039374e-06,3.961598317668894e-06,4.698636308826721e-06,1.445084519211692e-10,1.6967147533772008e-14,1.6802920128809836e-10,1.9899892805783046e-10
"(191.76, 197.086]",3.6842039299567817e-06,2.3655187477519797e-06,3.6348469882138243e-06,4.379361341883729e-06,1.8812332812882446e-10,1.1947055983018179e-14,3.278465840865477e-10,1.4081329463551028e-10
"(197.086, 202.626]",3.7748377538368286e-06,2.010209843919405e-06,3.268503957741812e-06,3.884303189212279e-06,2.7118352509735717e-10,9.374824588857492e-15,2.5704578218964606e-10,8.731286961850326e-11
"(202.626, 207.999]",3.31026910655661e-06,1.70683416996274e-06,2.398902396619856e-06,3.4738272742851703e-06,1.3374222564994275e-10,6.352825028809018e-15,3.9211519499847696e-11,6.944606518036769e-11
