distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 2.115]",3.513342939367948e-06,5.543050742063845e-07,1.0669413667348507e-06,6.721579867430781e-06,1.1730982828152375e-09,8.622917329393284e-17,1.7178045791373298e-09,4.1217213516199477e-08
"(2.115, 3.2]",5.528494152886429e-07,5.319231582218557e-07,2.828692242124669e-07,6.65611523680699e-07,1.802168932161826e-11,2.4699034472418187e-17,2.3159889688575413e-12,2.2535342083558842e-11
"(3.2, 4.113]",3.6115212232936283e-07,5.16472575462854e-07,2.245438777540928e-07,3.8296045095919904e-07,1.158360212962792e-11,1.6566355904912643e-17,1.2960041533805697e-12,6.001372395613865e-12
"(4.113, 4.957]",3.0218973986231177e-07,5.030886112576356e-07,1.9843976449199023e-07,2.680072926039445e-07,1.1406443560144266e-11,1.3579652249704369e-17,1.554100798981997e-12,4.551676350682788e-12
"(4.957, 5.788]",2.3705366404332473e-07,4.90690274020511e-07,1.8898462826567892e-07,2.453505975187278e-07,6.550059939728026e-12,1.2399335923559667e-17,1.3415096070048825e-12,2.839577429274795e-11
"(5.788, 6.614]",2.2124358760189637e-07,4.786239165028496e-07,1.7665747848023285e-07,1.952193988554646e-07,5.451934350692955e-12,1.1787587239929182e-17,7.436839499947432e-13,2.6089143267629276e-12
"(6.614, 7.456]",2.2331493344110562e-07,4.668130760801691e-07,1.8496925092677877e-07,1.6504723110844888e-07,8.086319819416184e-12,1.1545522230753285e-17,1.5335074111072057e-12,1.2808148332665537e-12
"(7.456, 8.337]",1.9902578950391144e-07,4.5496189252742627e-07,1.8254482973584152e-07,1.8773770101995095e-07,7.499337676597476e-12,1.2001772315100713e-17,8.53579740909437e-13,1.1954151795063383e-11
"(8.337, 9.272]",1.9646038697429986e-07,4.427311030781861e-07,1.90800665202615e-07,1.7789661138965264e-07,5.298235923603389e-12,1.2910168597766509e-17,1.0342441657201128e-12,1.5393811549662804e-11
"(9.272, 10.288]",1.9161985680458315e-07,4.299751017432065e-07,1.8657603618128036e-07,1.6471530448242573e-07,3.7792096984227805e-12,1.4337469360284748e-17,8.538050326805395e-13,1.5708119316534814e-11
"(10.288, 11.406]",2.2061563624469996e-07,4.1645249174834507e-07,2.1625107271772084e-07,1.5111894796614842e-07,9.985390784946065e-12,1.6278843371754044e-17,1.6681012826111736e-12,4.088421879655589e-12
"(11.406, 12.65]",1.8701710423911276e-07,4.020180909189963e-07,2.1617399872119123e-07,1.8124987968158377e-07,4.75642526571654e-12,1.864836216387907e-17,1.0456007613628738e-12,2.8953674101445203e-11
"(12.65, 14.062]",1.7451994565992497e-07,3.8635797008287357e-07,2.1889051889064937e-07,2.101082871793838e-07,3.702684671757465e-12,2.2333678882746186e-17,1.1217299406060114e-12,7.15662961034669e-11
"(14.062, 15.693]",1.8369481667305897e-07,3.6920288283227956e-07,2.5169557129071445e-07,1.8800051270648828e-07,4.690317599340893e-12,2.7113879504026104e-17,1.5839133704937749e-12,1.4758376882139984e-11
"(15.693, 17.608]",1.9999023715421505e-07,3.5008887965230043e-07,2.9157302534845556e-07,1.6022212989047593e-07,4.808216882615414e-12,3.369725782789283e-17,4.279912915995575e-12,4.74884266722672e-12
"(17.608, 19.895]",2.1380304774042163e-07,3.288487775517458e-07,3.3356043705033697e-07,2.0013446977582312e-07,3.854074484417711e-12,4.2319903495607336e-17,2.445931873716451e-12,2.201677349609846e-11
"(19.895, 22.678]",2.2708702824121113e-07,3.048894186541545e-07,3.7492460747556184e-07,1.5574336363617906e-07,3.46493492795606e-12,5.411048986714297e-17,3.409972660252855e-12,2.533203134272134e-12
"(22.678, 25.793]",2.3802806124289737e-07,2.788554145818658e-07,4.2373850397127953e-07,1.6932430166807277e-07,4.389208316174593e-12,5.721712167894475e-17,3.266936176697683e-12,6.690346984133275e-12
"(25.793, 29.162]",1.8753194240157312e-07,2.5309815373301133e-07,4.1092861575812286e-07,1.3232865675491082e-07,2.3737344832889422e-12,5.4980933182172824e-17,3.2407146575663835e-12,2.4466296592983557e-12
"(29.162, 32.281]",1.70786345192454e-07,2.2921556067847794e-07,3.670650283685945e-07,1.1093819967588296e-07,2.0443557976730892e-12,3.8088938157905965e-17,2.3691661866861144e-12,1.0884424479361143e-11
"(32.281, 35.044]",1.3223396656137117e-07,2.0993144406440378e-07,3.125099647311799e-07,7.150670324226052e-08,1.3769634116750495e-12,2.5064020819737258e-17,1.553082579392512e-12,1.1441076429985978e-12
"(35.044, 37.614]",1.0755661136447488e-07,1.937446322643857e-07,2.773201454288001e-07,5.737400241059522e-08,1.0290102507370218e-12,1.8718775665243866e-17,1.9093052862472727e-12,4.924587772842734e-13
"(37.614, 40.002]",8.849051360832927e-08,1.798906665018139e-07,2.3448048165798252e-07,5.079981990103102e-08,1.2045922488051922e-12,1.3745071857586638e-17,4.593434615356404e-12,9.691771415561444e-13
"(40.002, 42.213]",7.433449202409655e-08,1.6792104885537543e-07,1.9959512396706062e-07,4.307356243644427e-08,7.337166559337982e-13,1.0294654272709012e-17,1.6536706748867968e-12,4.617269045333282e-13
"(42.213, 44.525]",7.91811869909493e-08,1.5707509017030005e-07,2.1434006087863122e-07,4.381574953977113e-08,6.740675527513174e-13,9.883666671430953e-18,2.5864320332413397e-12,3.1929257942444573e-13
"(44.525, 46.962]",7.385000278371603e-08,1.4618062972324777e-07,2.1570580720430782e-07,3.988800243346746e-08,8.13120747867551e-13,9.495515493749081e-18,2.106701600403657e-12,2.013185977896612e-13
"(46.962, 49.411]",7.187907577806018e-08,1.3589233657340767e-07,2.1368809129652118e-07,3.504312832102804e-08,9.21695563453657e-13,8.264623981288944e-18,3.271688966022368e-12,4.630757587556408e-13
"(49.411, 51.915]",6.57867175688117e-08,1.260869909364154e-07,1.9967756917119446e-07,3.007415994578765e-08,5.767758756588285e-13,7.512606326646374e-18,1.4320243377171376e-12,1.7981104150395674e-13
"(51.915, 54.193]",5.845149686525934e-08,1.1730248483077863e-07,1.8549156934038954e-07,2.393080273549437e-08,6.345179576837039e-13,5.350947486908653e-18,2.2235910924572155e-12,1.1309028294310233e-13
"(54.193, 56.242]",5.1113614860144593e-08,1.0994828790632316e-07,1.6498594233425394e-07,2.0646956043226383e-08,4.080424832961414e-13,3.785578066368713e-18,8.281103348738248e-13,1.5038390835424587e-13
"(56.242, 58.166]",5.0837921193052665e-08,1.03618602358816e-07,1.5402744739332225e-07,1.7532796788042956e-08,4.1565561025846944e-13,2.9759990678008506e-18,1.5834539858338611e-12,6.519351216592786e-14
"(58.166, 60.05]",4.491907385813655e-08,9.785918402389228e-08,1.3717057195086856e-07,1.4989865152683473e-08,2.9574140691987626e-13,2.542404445133617e-18,3.207815448377707e-13,6.027177090739646e-14
"(60.05, 61.85]",5.069949254446709e-08,9.261122616021113e-08,1.482125425614821e-07,1.3203322101441089e-08,9.167160856459418e-13,2.0760725887952817e-18,4.556656332132154e-12,4.704395900256824e-14
"(61.85, 63.607]",4.2219776661730817e-08,8.781338534040507e-08,1.2336101949399478e-07,1.1548401534163573e-08,4.4348840156402037e-13,1.7898657127204418e-18,1.4133240689966295e-12,2.8413099282672316e-14
"(63.607, 65.353]",4.429716754738422e-08,8.330564973268555e-08,1.1547651044991307e-07,9.895607011928836e-09,3.890265027886402e-13,1.5908563711901886e-18,5.531043837680887e-13,6.686320872240266e-14
"(65.353, 67.048]",3.962429858826375e-08,7.91130452475934e-08,1.1540418414479117e-07,9.418967837017237e-09,3.541626520628941e-13,1.3524769628798656e-18,8.555735796331054e-13,1.242533861611833e-14
"(67.048, 68.668]",3.9729022144060225e-08,7.527187019189904e-08,1.1231038608518117e-07,8.304700573931677e-09,3.081823300346095e-13,1.1186008267469497e-18,7.248265568557342e-13,1.139021845278691e-14
"(68.668, 70.216]",4.1631468298411614e-08,7.178807617466991e-08,1.077630826342414e-07,6.146403016743556e-09,5.480164742144293e-13,9.309882836529544e-19,1.6874530882947748e-12,1.821762545492265e-15
"(70.216, 71.784]",3.602605579439607e-08,6.851253301892802e-08,9.366717978120748e-08,6.404734616383655e-09,2.740566822256916e-13,8.70328247885146e-19,7.413677281714512e-13,1.602631514233641e-14
"(71.784, 73.38]",3.429491694407806e-08,6.535916054919309e-08,9.908938983408163e-08,5.0686056802077035e-09,5.134316254007544e-13,8.174518910003719e-19,2.8416680122746983e-12,1.5579287915187429e-15
"(73.38, 75.118]",3.346512579556292e-08,6.217169610111824e-08,9.444722088049967e-08,5.294740368955681e-09,5.633727313297446e-13,8.718913680730268e-19,9.690401395968249e-13,4.02107402144318e-15
"(75.118, 76.989]",3.07657671481442e-08,5.889195697092641e-08,9.238805118644252e-08,5.15176106364618e-09,1.7445126892979774e-13,9.221272287815434e-19,2.8267787521833246e-13,8.692424546042866e-15
"(76.989, 78.993]",3.401806594957491e-08,5.5570033168504904e-08,9.78715706494316e-08,4.46859409710308e-09,2.7229718871043065e-13,9.37520848173092e-19,8.571364529423687e-13,1.8403885123415228e-15
"(78.993, 81.161]",3.602605579439607e-08,5.2223120283965766e-08,9.823481151757928e-08,3.3921478381344e-09,3.9379436081391155e-13,9.511593191129708e-19,6.496280181819167e-13,1.2467115688513893e-15
"(81.161, 83.559]",3.7444097006551425e-08,4.8739125097103765e-08,1.0262695882413306e-07,2.476688181783233e-09,8.186455699760168e-13,1.024328270874928e-18,1.0121148581709287e-12,5.6683559683017935e-16
"(83.559, 86.01]",4.004048660337777e-08,4.53154861119729e-08,9.68314271675889e-08,2.1355309563915608e-09,2.72278267865919e-13,9.206334687140856e-19,2.972623123602028e-13,1.6030281423322965e-15
"(86.01, 88.485]",3.7201852386361165e-08,4.20939473154467e-08,9.010961992226689e-08,1.599331392396587e-09,2.106247320308543e-13,8.2046384482528575e-19,1.9807592066353078e-13,5.359844087562102e-16
"(88.485, 90.999]",3.554155552434656e-08,3.905549815405259e-08,8.337445542080313e-08,9.54963781136797e-10,2.578878400098019e-13,7.226535137088207e-19,4.151234792131172e-13,1.7754567426664775e-16
"(90.999, 93.534]",3.11457368816047e-08,3.620577409459569e-08,7.84222600768586e-08,6.630596831401173e-10,1.4296439189722985e-13,6.289029585322625e-19,1.7400388624742145e-13,1.5960362959518223e-16
"(93.534, 96.205]",3.4572554984247525e-08,3.3498590063976666e-08,7.865651176363673e-08,5.019637333902393e-10,1.960878068687431e-13,6.042681445734635e-19,2.6026699828147406e-13,2.3235812108758735e-17
"(96.205, 99.019]",3.415649144682649e-08,3.0854246217947234e-08,8.201837926065127e-08,4.526217218870565e-10,1.862216782826658e-13,5.68400004444392e-19,2.4150680977629546e-13,4.04118245136386e-17
"(99.019, 102.003]",3.734112795595904e-08,2.8282308181098086e-08,7.486629254673543e-08,3.9356286627344505e-10,2.322940110612598e-13,5.359006840970576e-19,1.7712535732439788e-13,5.390043187618273e-17
"(102.003, 105.095]",3.509086355327462e-08,2.5817593579879738e-08,7.427425990718754e-08,3.118455896363894e-10,2.9442346539324706e-13,4.708284397579128e-19,4.558066149596298e-13,2.207970539579198e-17
"(105.095, 108.257]",3.0454302688826654e-08,2.3489746500388736e-08,6.906421289697519e-08,3.5581991990049175e-10,1.9751300100418542e-13,4.148343664926487e-19,1.5893065028214824e-13,1.5432651183582918e-16
"(108.257, 111.141]",2.9588450037524457e-08,2.144896221762463e-08,6.227458240810865e-08,2.775458354572023e-10,1.747287633043082e-13,2.8628323459349737e-19,1.8903637185730785e-13,2.972321619209385e-17
"(111.141, 113.928]",2.96237307973132e-08,1.9703727283228698e-08,5.5370092111655415e-08,1.7033150772825226e-10,1.8893505391054178e-13,2.26566876480268e-19,8.052086333711169e-14,8.80383124301822e-18
"(113.928, 116.649]",2.9761481909088932e-08,1.8146033421782663e-08,5.146396470983204e-08,2.0372834071570614e-10,1.7377155652165933e-13,1.8174279799692785e-19,1.2568823425050084e-13,1.1378411903948638e-16
"(116.649, 119.431]",2.5886157285502657e-08,1.6712116310709147e-08,4.5768024730859716e-08,1.1107274556418753e-10,1.2979977748416506e-13,1.6264796947364488e-19,1.0650985915057291e-13,3.177077221249387e-18
"(119.431, 122.169]",2.315166441532615e-08,1.5376369971265308e-08,4.138072673207064e-08,1.4731001377792747e-10,1.1698942684038986e-13,1.332235950292322e-19,5.7548737586427e-14,2.8423906889705475e-16
"(122.169, 124.783]",2.682055066345529e-08,1.4192566490546458e-08,3.9355457029334797e-08,9.56321739661522e-11,1.4458621589352846e-13,1.0290191143217445e-19,4.2380582490356343e-14,3.928479799273275e-18
"(124.783, 127.235]",2.415579917818296e-08,1.3156540787705432e-08,3.728472581940026e-08,1.264737739366805e-10,1.1347241654979132e-13,7.749736179438219e-20,6.224989853101726e-14,2.1132528684510134e-17
"(127.235, 129.725]",2.4951195879596655e-08,1.2215184061626396e-08,3.5926281286287296e-08,9.468524595720278e-11,1.2868697106965614e-13,6.939248321107917e-20,5.047140681468629e-14,1.3787215815335215e-18
"(129.725, 132.333]",2.5297835529013957e-08,1.1318825427960416e-08,3.3075408489114385e-08,6.541145335405645e-11,2.1979097589028247e-13,6.476976138441188e-20,1.1461099770069303e-13,1.1679262783853615e-18
"(132.333, 135.009]",2.508962137684823e-08,1.0454793761188e-08,3.1327317283126975e-08,5.412262835062376e-11,1.4530405331920543e-13,5.903983457420949e-20,4.094360702043738e-14,4.4358563809104e-19
"(135.009, 137.69]",2.4674906610378868e-08,9.651805779723736e-09,2.9201388498926436e-08,5.605470700900478e-11,1.7373677774807134e-13,4.9924124834325905e-20,4.709385991118463e-14,4.5031064019325434e-18
"(137.69, 140.64]",2.377457915295825e-08,8.871429871171044e-09,2.6723205651105987e-08,5.2209913898931856e-11,2.7099531917408145e-13,5.1452292402318017e-20,5.63275396846045e-14,3.3200087308609603e-18
"(140.64, 143.744]",2.384433471886541e-08,8.100940312642905e-09,2.7591743726199112e-08,4.260233590671854e-11,2.272276399501551e-13,4.714672933152903e-20,3.36162740951748e-14,3.797617799028353e-18
"(143.744, 147.09]",2.29094197951359e-08,7.355850780785588e-09,2.614586140328126e-08,4.2146232589291954e-11,1.4593477833805257e-13,4.548453552554407e-20,3.490231375895463e-14,7.472366018383858e-19
"(147.09, 150.402]",2.474412093467165e-08,6.649223174533375e-09,2.395366751836493e-08,5.7836036678596806e-11,3.427128930680535e-13,3.6126273702904774e-20,6.074358302916393e-14,1.5821389415985734e-17
"(150.402, 153.728]",2.0106303475791478e-08,6.022946819044236e-09,1.9752806044943435e-08,4.6885967676405055e-11,8.913390838078463e-14,2.999843113260926e-20,1.4943900693703813e-14,3.5438805726896826e-17
"(153.728, 157.088]",1.7718867018953688e-08,5.448774483660883e-09,1.62980918608296e-08,3.526688964864169e-11,9.227756467836302e-14,2.4687591605029608e-20,9.581428997132475e-15,4.647093157783057e-19
"(157.088, 160.853]",2.0833037336362253e-08,4.9031019274635605e-09,1.626203772572928e-08,3.440628287237945e-11,1.2961202668605647e-13,2.550744202547505e-20,7.506328031444713e-15,1.7916688356088572e-18
"(160.853, 164.899]",2.453647796179329e-08,4.353163806665465e-09,1.626297900290964e-08,4.2570333488667416e-11,1.2786869741580024e-13,2.3422601499476433e-20,8.235220854391611e-15,7.595514380176548e-18
"(164.899, 169.036]",2.6023993483296363e-08,3.85525523341753e-09,1.5873607563597936e-08,4.4917156538408944e-11,2.9413587018118845e-13,1.9087276578757767e-20,3.350787536197046e-14,6.399158723146906e-18
"(169.036, 173.661]",1.8272581613295992e-08,3.3818735680144237e-09,1.3089288685904971e-08,6.503463929915741e-11,8.005238878606051e-14,1.8436454556588506e-20,3.82216456724614e-15,1.1932983792787582e-17
"(173.661, 178.547]",2.1109888330865405e-08,2.931125357218053e-09,1.2248548015378458e-08,3.27760590301316e-11,1.2539180467562691e-13,1.5392981070082254e-20,6.77676577522677e-15,3.710901110698092e-18
"(178.547, 183.5]",2.228701242227769e-08,2.524643402464258e-09,1.1144019194693095e-08,2.037664429986121e-11,1.423888436366329e-13,1.1736011582505083e-20,4.871352728236148e-15,1.1713278068627132e-18
"(183.5, 188.338]",2.072921821342357e-08,2.180752030072424e-09,9.72532541561259e-09,1.1644555637287565e-11,1.1204539520272945e-13,8.428213149878118e-21,4.299494402705829e-15,2.1153966371145107e-19
"(188.338, 192.915]",2.872394458150696e-08,1.8940110341382303e-09,8.419624989313554e-09,1.0536736154992871e-11,1.1637238066480413e-12,5.5833654901888955e-21,1.2837457937416915e-14,8.536689676793371e-19
"(192.915, 197.775]",2.4189855644712977e-08,1.6451903012984437e-09,7.590310640827518e-09,1.1178979998768843e-11,2.394108259133577e-13,4.820157066712768e-21,2.8863692922561873e-15,2.5636143448069853e-19
