distance,model_sum,groundtruth_sum
"(-0.001, 2.115]",0.5985413348776604,0.5905176776732638
"(2.115, 3.2]",0.030820182423628203,0.05847530357839677
"(3.2, 4.113]",0.020585999710438688,0.033644607458569474
"(4.113, 4.957]",0.012478282901404373,0.023544976669841733
"(4.957, 5.788]",0.011030476328362529,0.021555031394410312
"(5.788, 6.614]",0.011193354567829737,0.017150414628250274
"(6.614, 7.456]",0.009872231069929058,0.014500059441801667
"(7.456, 8.337]",0.009401693933690461,0.01649313251000473
"(8.337, 9.272]",0.008786376140147677,0.015628928897026544
"(9.272, 10.288]",0.010098450846966846,0.014470568929390065
"(10.288, 11.406]",0.011519111046764152,0.013276404054618003
"(11.406, 12.65]",0.009618864919646733,0.015923164429786498
"(12.65, 14.062]",0.009229766903141739,0.018458853461857584
"(14.062, 15.693]",0.009790791950195454,0.01651622104229041
"(15.693, 17.608]",0.009329303605038367,0.014076154999397872
"(17.608, 19.895]",0.011093817865933109,0.017582213438745612
"(19.895, 22.678]",0.012062038511654842,0.013682677468892877
"(22.678, 25.793]",0.010342768206167655,0.014875478550143529
"(25.793, 29.162]",0.0121072824670624,0.011625601810545935
"(29.162, 32.281]",0.01079520776024323,0.00974614271792567
"(32.281, 35.044]",0.007356667149268857,0.006282006893239071
"(35.044, 37.614]",0.005347835529173303,0.005040535607780432
"(37.614, 40.002]",0.005239250036195164,0.004462865777945377
"(40.002, 42.213]",0.004479151585348198,0.0037841847542913754
"(42.213, 44.525]",0.004488200376429708,0.0038493012285679734
"(44.525, 46.962]",0.0040991023599247145,0.0035043205657898507
"(46.962, 49.411]",0.003402345446648328,0.0030786089092589555
"(49.411, 51.915]",0.0035199797307079775,0.0026421352478772277
"(51.915, 54.193]",0.0030132474301433326,0.0021023688819186512
"(54.193, 56.242]",0.0029680034747357753,0.0018139176762216108
"(56.242, 58.166]",0.0029227595193282176,0.0015402912634231497
"(58.166, 60.05]",0.0026422469958013606,0.0013169196131238537
"(60.05, 61.85]",0.002108368321992182,0.0011599382532558025
"(61.85, 63.607]",0.0026060518314753147,0.0010145732683824065
"(63.607, 65.353]",0.0019726364557695088,0.0008693488672119721
"(65.353, 67.048]",0.00191834370928044,0.0008274940003533123
"(67.048, 68.668]",0.002054075575503113,0.0007295845548210457
"(68.668, 70.216]",0.0018730997538728826,0.0005399860906329884
"(70.216, 71.784]",0.0018640509627913708,0.0005626687455185369
"(71.784, 73.38]",0.0020993195309106706,0.00044529728342896757
"(73.38, 75.118]",0.0016106848125090488,0.0004651535308934945
"(75.118, 76.989]",0.0018188070073838134,0.0004525925129634442
"(76.989, 78.993]",0.001882148544954394,0.000392583865806894
"(78.993, 81.161]",0.001574489648183003,0.0002980069718757833
"(81.161, 83.559]",0.0015925872303460256,0.00021758696352238414
"(83.559, 86.01]",0.0016106848125090486,0.0001876106655809114
"(86.01, 88.485]",0.001882148544954394,0.00014050766014760976
"(88.485, 90.999]",0.0015020993195309106,8.389547810042989e-05
"(90.999, 93.534]",0.0015020993195309106,5.825244540259187e-05
"(93.534, 96.205]",0.0018007094252207906,4.4098517905799305e-05
"(96.205, 99.019]",0.0018640509627913713,3.976462875466546e-05
"(99.019, 102.003]",0.0015925872303460258,3.4575284927854694e-05
"(102.003, 105.095]",0.0017645142608947442,2.7396882431915357e-05
"(105.095, 108.257]",0.0012577819603301,3.1259491603098e-05
"(108.257, 111.141]",0.0016559287679166063,2.438351182825705e-05
"(111.141, 113.928]",0.0014206601997973072,1.4963963616942417e-05
"(113.928, 116.649]",0.0015111481106124221,1.7898349645237646e-05
"(116.649, 119.431]",0.0011944404227595192,9.757962843305003e-06
"(119.431, 122.169]",0.001330172288982192,1.2941773950446039e-05
"(122.169, 124.783]",0.0010768061386998695,8.401477747274402e-06
"(124.783, 127.235]",0.0014930505284493991,1.1110973987885257e-05
"(127.235, 129.725]",0.001312074706819169,8.318477598324093e-06
"(129.725, 132.333]",0.001655928767916606,5.746527000060568e-06
"(132.333, 135.009]",0.0016016360214275373,4.7548893911157e-06
"(135.009, 137.69]",0.0018640509627913713,4.924518120155088e-06
"(137.69, 140.64]",0.0011130013030259157,4.5868497756767595e-06
"(140.64, 143.744]",0.0011130013030259155,3.7427004140770374e-06
"(143.744, 147.09]",0.0014749529462863762,3.702715117899655e-06
"(147.09, 150.402]",0.0011401476762704502,5.081011494288087e-06
"(150.402, 153.728]",0.0014206601997973074,4.11911980424289e-06
"(153.728, 157.088]",0.0009410742724771969,3.0982667894124696e-06
"(157.088, 160.853]",0.001013464601129289,3.0227295754700238e-06
"(160.853, 164.899]",0.001031562183292312,3.7398889376464098e-06
"(164.899, 169.036]",0.0011130013030259157,3.9461518705253795e-06
"(169.036, 173.661]",0.0009863182278847546,5.713423131709576e-06
"(173.661, 178.547]",0.0012215867960040539,2.879507890033182e-06
"(178.547, 183.5]",0.0011672940495149847,1.7901289550314073e-06
"(183.5, 188.338]",0.001312074706819169,1.0230207909582617e-06
"(188.338, 192.915]",0.0012396843781670769,9.256733446884337e-07
"(192.915, 197.775]",0.0012487331692485884,9.82118108811838e-07
"(197.775, 202.29]",0.0009410742724771969,1.366431024782133e-06
"(202.29, 206.195]",0.0012034892138410307,6.442621668828434e-07
"(206.195, 209.78]",0.0007691472419284783,5.670910734678416e-07
"(209.78, 213.381]",0.0005791226292167366,2.4674520509604923e-07
"(213.381, 217.014]",0.0005519762559722021,3.6287614180806806e-07
"(217.014, 220.281]",0.0004886347184016216,2.735277729809276e-07
"(220.281, 223.903]",0.0008053424062545245,2.93257365426507e-07
"(223.903, 228.5]",0.001565440857101491,2.832162156226008e-07
"(228.5, 235.086]",0.001719270305487187,8.614561471932265e-07
"(235.086, 243.0]",0.001366367453308238,1.3589986623197e-06
"(243.0, 251.277]",0.002162661068481251,1.757190465885528e-06
"(251.277, 260.286]",0.0026874909512089183,1.489796605526138e-06
"(260.286, 270.265]",0.0033209063269147247,2.0894876842480268e-06
"(270.265, 281.827]",0.0026422469958013606,5.9525602645522115e-06
"(281.827, 295.923]",0.0024703199652526425,5.219887356770829e-06
"(295.923, 316.2]",0.0025155639206601997,3.2398075837251106e-06
"(316.2, 341.702]",0.0025155639206601993,3.963173202567857e-06
"(341.702, 379.925]",0.0028865643550021716,2.040451567155144e-06
"(379.925, 466.471]",0.010994281164036482,1.2718177881493663e-05
"(466.471, 1416.072]",0.0062346170551614314,4.703357644026285e-07
