distance,model_sum,groundtruth_sum
"(-0.001, 9.548]",0.7962578485996062,0.7914215764415061
"(9.548, 14.357]",0.04611001037502314,0.06024252078708085
"(14.357, 18.128]",0.027819640878996316,0.027093769919774597
"(18.128, 21.389]",0.018463676880092372,0.018293438997166785
"(21.389, 24.365]",0.013784084761362754,0.013736511855301618
"(24.365, 27.157]",0.010190591282638583,0.009672601352555115
"(27.157, 29.803]",0.008030103961010523,0.007952782225134734
"(29.803, 32.325]",0.006679653010513202,0.006274289396984846
"(32.325, 34.744]",0.007470075201352736,0.00500740495300219
"(34.744, 37.052]",0.006002524667027334,0.004503881094326536
"(37.052, 39.226]",0.004950092157372472,0.003757201406960653
"(39.226, 41.315]",0.0037407462053879862,0.0032732136807531557
"(41.315, 43.341]",0.003735769473075293,0.0028351647162833137
"(43.341, 45.324]",0.003115141678786474,0.002302501918213295
"(45.324, 47.269]",0.002647328841393298,0.002134822379052641
"(47.269, 49.172]",0.0026350333850913496,0.0027312876497973433
"(49.172, 51.036]",0.0027606226887469647,0.00269600724914751
"(51.036, 52.866]",0.002631520397576507,0.0022776396747814292
"(52.866, 54.664]",0.0024257178789986577,0.0022141304881295207
"(54.664, 56.437]",0.0020747118764739914,0.0017263726290242174
"(56.437, 58.172]",0.0020369472606894356,0.0016493837556002665
"(58.172, 59.897]",0.0019093087143168296,0.001367501707179525
"(59.897, 61.592]",0.0014631592999318477,0.0011884876328034737
"(61.592, 63.286]",0.0014242236883090116,0.0011537366458947266
"(63.286, 64.964]",0.001168361097644659,0.0011133570500152245
"(64.964, 66.644]",0.0009262577080801053,0.001150737736251409
"(66.644, 68.325]",0.0009163042434547187,0.0013472561004686345
"(68.325, 69.996]",0.0007268956666128008,0.0010714880219052604
"(69.996, 71.656]",0.0008454589952387309,0.0006793042384412262
"(71.656, 73.323]",0.0007523648260954082,0.000699276855842641
"(73.323, 74.976]",0.0007634892865590756,0.0007280375605406535
"(74.976, 76.623]",0.0007055249925641765,0.0006545727443437795
"(76.623, 78.265]",0.000796862667950078,0.0008007209353024933
"(78.265, 79.907]",0.000773442751184462,0.0009297882787529613
"(79.907, 81.548]",0.0007497300854592762,0.000616688666576831
"(81.548, 83.185]",0.0006897165487473858,0.0004904268554125322
"(83.185, 84.836]",0.0005512462908706822,0.0007160376290129852
"(84.836, 86.488]",0.0006335087485099079,0.0005880938348025845
"(86.488, 88.138]",0.0005205076501158116,0.0005397607700609171
"(88.138, 89.792]",0.0005269481272263558,0.0003926260150159943
"(89.792, 91.432]",0.0005175801605201095,0.00039670998247271237
"(91.432, 93.067]",0.000645804204811856,0.000350210840552831
"(93.067, 94.701]",0.0004885980135226599,0.00025629207405293667
"(94.701, 96.328]",0.0004151180246705404,0.0002448141917831141
"(96.328, 97.964]",0.00026230306777489716,0.0004286147308755223
"(97.964, 99.604]",0.0003410525378992803,0.00025810757760661953
"(99.604, 101.258]",0.00031119214402312016,0.00048196175378476127
"(101.258, 102.912]",0.0002986039387616017,0.0005396417143421261
"(102.912, 104.567]",0.00033812504830357836,0.00039030319036681904
"(104.567, 106.225]",0.00033373381391002543,0.00031455719241785496
"(106.225, 107.893]",0.0002863084824596534,0.00020304225867950464
"(107.893, 109.561]",0.0003337338139100253,0.0003722708023508401
"(109.561, 111.232]",0.00038847786934965235,0.0005823969161217136
"(111.232, 112.913]",0.00028308824390438115,0.0002533550153608843
"(112.913, 114.61]",0.00021399948944581453,0.00018489909068272918
"(114.61, 116.317]",0.00021985446863721843,0.0003491244654954863
"(116.317, 118.032]",0.00016686690695501266,0.0004923594569509847
"(118.032, 119.771]",0.0001498874672999412,0.00015181737059321996
"(119.771, 121.522]",0.00016686690695501266,0.00018819006516607262
"(121.522, 123.279]",0.0001390557557958439,0.000255710471718721
"(123.279, 125.048]",0.00014461798602767765,0.0002763947101411282
