distance,model_sum,groundtruth_sum
"(-0.001, 3.211]",0.6792053679688098,0.6803013956670303
"(3.211, 5.192]",0.07566879541575919,0.07105887741177956
"(5.192, 6.939]",0.04477756039106891,0.0413787211477169
"(6.939, 8.647]",0.027072690771035003,0.027123952092709007
"(8.647, 10.313]",0.020381897019278006,0.023205780281156774
"(10.313, 11.904]",0.017971791471562883,0.01971271634290541
"(11.904, 13.467]",0.013039416406607168,0.01605882624993737
"(13.467, 15.011]",0.011829749292231155,0.01580060830440691
"(15.011, 16.559]",0.01035387022486746,0.011952174456422934
"(16.559, 18.16]",0.009228681036906203,0.010246418992412354
"(18.16, 19.809]",0.008219205311176927,0.008724472904093552
"(19.809, 21.501]",0.005849563980315933,0.007734907470111321
"(21.501, 23.229]",0.005498164202372197,0.006757151645459761
"(23.229, 24.979]",0.005092102236748324,0.00634787738133806
"(24.979, 26.776]",0.0025882900815815406,0.004952654685493284
"(26.776, 28.569]",0.003134911958382908,0.003751915085804064
"(28.569, 30.431]",0.002836754571036707,0.00516675254086782
"(30.431, 32.517]",0.0043211524208960055,0.003917490565557543
"(32.517, 34.741]",0.003085928959033175,0.003680997342351165
"(34.741, 37.035]",0.005808389864920507,0.00366274890669614
"(37.035, 39.4]",0.005658601272706105,0.003426843502855294
"(39.4, 41.811]",0.002787771571686974,0.003462707027699663
"(41.811, 44.358]",0.0020530265814409803,0.0029023506482748684
"(44.358, 46.832]",0.001981326828769632,0.0024582748202874416
"(46.832, 49.227]",0.0011102813185939464,0.002200047614380865
"(49.227, 51.555]",0.0015135036900526177,0.0016819183862230636
"(51.555, 53.764]",0.0012991143305798732,0.0013865370606531203
"(53.764, 55.987]",0.001570295573356656,0.00127437914936514
"(55.987, 58.084]",0.001310472707240681,0.0010991943131620646
"(58.084, 60.03]",0.0012465818385236382,0.0010607988915049059
"(60.03, 61.847]",0.0010747863915289227,0.0008697204267511504
"(61.847, 63.57]",0.001989845611265238,0.0008489955121367141
"(63.57, 65.258]",0.0017534493970121788,0.0007231918661469536
"(65.258, 66.947]",0.0008639465247626811,0.0006237128197729332
"(66.947, 68.708]",0.0008405198728997652,0.0005362526559303709
"(68.708, 70.5]",0.0007326152946220927,0.00039523203965454926
"(70.5, 72.284]",0.0009505541468013389,0.0003386704059846365
"(72.284, 73.955]",0.0006310998032161243,0.00026602218059022526
"(73.955, 75.584]",0.00026479215590507804,0.00024270850753749793
"(75.584, 77.263]",0.0003641779516871448,0.00021769814084901488
"(77.263, 78.964]",0.00017889443240772028,0.00020738166331970805
"(78.964, 80.601]",0.00027331093840068373,0.00016986419873400076
"(80.601, 82.152]",0.00028253961943759,0.00017559740936551676
"(82.152, 83.605]",0.0003471403866959334,0.00014478263577805725
"(83.605, 84.996]",0.0003868947050087602,0.00013169477607371342
"(84.996, 86.337]",0.000627550310509622,0.00013257984485230792
"(86.337, 87.635]",0.0008036051487521403,0.00012530083398888442
"(87.635, 88.948]",0.0008142536268716476,0.0001291967555734186
"(88.948, 90.32]",0.00037979571959575537,0.00012232306734143682
"(90.32, 91.756]",0.0007908269750087317,0.000138168295457248
