distance,model_sum,groundtruth_sum
"(-0.001, 2.115]",0.6327120504205765,0.5905176776732638
"(2.115, 3.2]",0.06173566590198201,0.05847530357839677
"(3.2, 4.113]",0.03937471604772081,0.033644607458569474
"(4.113, 4.957]",0.030106887583876932,0.023544976669841733
"(4.957, 5.788]",0.014585097810459167,0.021555031394410312
"(5.788, 6.614]",0.01710537878065516,0.017150414628250274
"(6.614, 7.456]",0.00814604168185753,0.014500059441801667
"(7.456, 8.337]",0.013579228995944744,0.01649313251000473
"(8.337, 9.272]",0.012707974595268678,0.015628928897026544
"(9.272, 10.288]",0.007921684325460261,0.014470568929390065
"(10.288, 11.406]",0.011431007308440884,0.013276404054618003
"(11.406, 12.65]",0.007545885753494835,0.015923164429786498
"(12.65, 14.062]",0.008344224013341783,0.018458853461857584
"(14.062, 15.693]",0.011612362838195346,0.01651622104229041
"(15.693, 17.608]",0.009767023581827804,0.014076154999397872
"(17.608, 19.895]",0.01292485337311937,0.017582213438745612
"(19.895, 22.678]",0.0136839290955968,0.013682677468892877
"(22.678, 25.793]",0.007996470110926015,0.014875478550143529
"(25.793, 29.162]",0.009963336268675413,0.011625601810545935
"(29.162, 32.281]",0.0068690743950297365,0.00974614271792567
"(32.281, 35.044]",0.00645962221960472,0.006282006893239071
"(35.044, 37.614]",0.0036645034878220696,0.005040535607780432
"(37.614, 40.002]",0.0033541424781391802,0.004462865777945377
"(40.002, 42.213]",0.00344949435460802,0.0037841847542913754
"(42.213, 44.525]",0.003034433245273072,0.0038493012285679734
"(44.525, 46.962]",0.002595066755661752,0.0035043205657898507
"(46.962, 49.411]",0.003256920957033696,0.0030786089092589555
"(49.411, 51.915]",0.0012732279975545048,0.0026421352478772277
"(51.915, 54.193]",0.0011703975425390897,0.0021023688819186512
"(54.193, 56.242]",0.0009310830290486688,0.0018139176762216108
"(56.242, 58.166]",0.0008301222186698975,0.0015402912634231497
"(58.166, 60.05]",0.0014489745933990328,0.0013169196131238537
"(60.05, 61.85]",0.000775902524207224,0.0011599382532558025
"(61.85, 63.607]",0.001792989206541513,0.0010145732683824065
"(63.607, 65.353]",0.0012264868816384072,0.0008693488672119721
"(65.353, 67.048]",0.0013667102293867005,0.0008274940003533123
"(67.048, 68.668]",0.0014265388577593056,0.0007295845548210457
"(68.668, 70.216]",0.0010843938892534696,0.0005399860906329884
"(70.216, 71.784]",0.0011890939889055287,0.0005626687455185369
"(71.784, 73.38]",0.0006581149120986574,0.00044529728342896757
"(73.38, 75.118]",0.000600155928362696,0.0004651535308934945
"(75.118, 76.989]",0.0006001559283626962,0.0004525925129634442
"(76.989, 78.993]",0.00077403287957058,0.000392583865806894
"(78.993, 81.161]",0.0005683719695397496,0.0002980069718757833
"(81.161, 83.559]",0.001037652773337372,0.00021758696352238414
"(83.559, 86.01]",0.0009236044505020931,0.0001876106655809114
"(86.01, 88.485]",0.0005384576553534471,0.00014050766014760976
"(88.485, 90.999]",0.00026922882767672354,8.389547810042989e-05
"(90.999, 93.534]",0.00035523248096234355,5.825244540259187e-05
"(93.534, 96.205]",0.0009535187646883957,4.4098517905799305e-05
"(96.205, 99.019]",0.0006113737961825597,3.976462875466546e-05
"(99.019, 102.003]",0.0004991951179839248,3.4575284927854694e-05
"(102.003, 105.095]",0.0002879252740431626,2.7396882431915357e-05
"(105.095, 108.257]",0.0006001559283626961,3.1259491603098e-05
"(108.257, 111.141]",0.0004786290269808418,2.438351182825705e-05
"(111.141, 113.928]",0.0006263309532757109,1.4963963616942417e-05
"(113.928, 116.649]",0.0003028824311363139,1.7898349645237646e-05
"(116.649, 119.431]",0.00033279674532261656,9.757962843305003e-06
"(119.431, 122.169]",0.00014022334774829352,1.2941773950446039e-05
"(122.169, 124.783]",0.0002337055795804891,8.401477747274402e-06
"(124.783, 127.235]",0.0007441185653842775,1.1110973987885257e-05
"(127.235, 129.725]",0.0005440665892633787,8.318477598324093e-06
"(129.725, 132.333]",0.00027483776158665523,5.746527000060568e-06
"(132.333, 135.009]",0.00036645034878220694,4.7548893911157e-06
"(135.009, 137.69]",0.00055902374635653,4.924518120155088e-06
"(137.69, 140.64]",0.00016639837266130825,4.5868497756767595e-06
"(140.64, 143.744]",0.0008413400864897609,3.7427004140770374e-06
"(143.744, 147.09]",0.0001551805048414448,3.702715117899655e-06
"(147.09, 150.402]",0.00019257339757432305,5.081011494288087e-06
"(150.402, 153.728]",0.00024305380276370872,4.11911980424289e-06
"(153.728, 157.088]",0.00011217867819863478,3.0982667894124696e-06
"(157.088, 160.853]",0.0004374968449746757,3.0227295754700238e-06
"(160.853, 164.899]",0.00020940019930411826,3.7398889376464098e-06
"(164.899, 169.036]",0.00031970923286610915,3.9461518705253795e-06
"(169.036, 173.661]",0.0002243573563972696,5.713423131709576e-06
"(173.661, 178.547]",0.00011965725674521044,2.879507890033182e-06
"(178.547, 183.5]",0.00018509481902774738,1.7901289550314073e-06
"(183.5, 188.338]",0.0002935342079530944,1.0230207909582617e-06
"(188.338, 192.915]",0.00014396263702158132,9.256733446884337e-07
"(192.915, 197.775]",0.00022809664567055742,9.82118108811838e-07
"(197.775, 202.29]",0.00013648405847500568,1.366431024782133e-06
"(202.29, 206.195]",0.00013648405847500566,6.442621668828434e-07
"(206.195, 209.78]",0.00011965725674521043,5.670910734678416e-07
"(209.78, 213.381]",0.00013274476920171785,2.4674520509604923e-07
"(213.381, 217.014]",0.00015144121556815693,3.6287614180806806e-07
"(217.014, 220.281]",5.421969446267348e-05,2.735277729809276e-07
"(220.281, 223.903]",0.00016265908338802045,2.93257365426507e-07
"(223.903, 228.5]",7.665543010240044e-05,2.832162156226008e-07
"(228.5, 235.086]",0.0002262270010339135,8.614561471932265e-07
"(235.086, 243.0]",0.0001589197941147326,1.3589986623197e-06
"(243.0, 251.277]",0.00019818233148425482,1.757190465885528e-06
"(251.277, 260.286]",0.0001383537031116496,1.489796605526138e-06
"(260.286, 270.265]",0.00040197359687844133,2.0894876842480268e-06
"(270.265, 281.827]",0.00019631268684761085,5.9525602645522115e-06
"(281.827, 295.923]",0.00014770192629486915,5.219887356770829e-06
"(295.923, 316.2]",0.00036831999341885096,3.2398075837251106e-06
"(316.2, 341.702]",0.00018135552975445958,3.963173202567857e-06
"(341.702, 379.925]",0.0001682680172979522,2.040451567155144e-06
"(379.925, 466.471]",0.0005029344072572127,1.2718177881493663e-05
"(466.471, 1416.072]",0.00014583228165822524,4.703357644026285e-07
