region,createdat,latitude,longitude,label,kind,geometry
0,2018-07-20 16:12:52+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-20 16:12:58+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
8,2018-07-23 10:17:29+00:00,-23.5913088,-46.68153658,other,region,POINT (-46.68153658 -23.5913088)
0,2018-07-23 10:32:37+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-23 10:32:46+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
0,2018-07-23 20:20:41+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-23 20:20:53+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
0,2018-07-24 10:50:23+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-24 10:50:34+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
11,2018-07-24 15:35:48+00:00,-23.59302293,-46.68311116,other,region,POINT (-46.68311116 -23.59302293)
0,2018-07-24 15:48:57+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-24 15:49:06+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
0,2018-07-25 10:52:35+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-25 10:52:44+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
13,2018-07-25 15:06:03+00:00,-23.59384637,-46.6786537,other,region,POINT (-46.6786537 -23.59384637)
0,2018-07-25 16:30:59+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-25 16:31:06+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
13,2018-07-25 18:53:57+00:00,-23.5938999,-46.6784247,other,region,POINT (-46.6784247 -23.5938999)
8,2018-07-26 10:18:01+00:00,-23.5913088,-46.68153658,other,region,POINT (-46.68153658 -23.5913088)
0,2018-07-26 10:29:18+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-26 10:29:25+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
0,2018-07-26 16:33:32+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-26 16:38:25+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
0,2018-07-27 10:35:52+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
0,2018-07-27 10:36:00+00:00,-23.5940571,-46.68056199,home,region,POINT (-46.68056199 -23.5940571)
0,2018-07-27 17:24:07+00:00,-23.59446702,-46.68058501,home,region,POINT (-46.68058501 -23.59446702)
