quantile,score,sampers_weight,twitter_weight
"(-0.001, 3.211]",0.03169879365518014,0.6803013956670295,0.6672951459219884
"(3.211, 5.192]",0.6322082377312469,0.07105887741177966,0.09205502339123244
"(5.192, 6.939]",0.7986636753841025,0.04137872114771699,0.04961094604612618
"(6.939, 8.647]",0.9225653544902012,0.027123952092709,0.030514646031273608
"(8.647, 10.313]",0.8895247695158035,0.023205780281156788,0.022796479737867796
"(10.313, 11.904]",0.9018275600794163,0.019712716342905376,0.019623599947334983
"(11.904, 13.467]",0.9413998024812089,0.016058826249937357,0.01566982333182214
"(13.467, 15.011]",0.9331186137704165,0.01580060830440692,0.013269408756032674
"(15.011, 16.559]",0.9679261084117218,0.011952174456422932,0.010485031621781346
"(16.559, 18.16]",0.9557674355158765,0.010246418992412347,0.008721527911548546
"(18.16, 19.809]",0.9790017903748194,0.008724472904093563,0.007901067376997441
"(19.809, 21.501]",0.9655589785377101,0.00773490747011133,0.005961148437201069
"(21.501, 23.229]",0.9783827826007582,0.0067571516454597615,0.005906667263365274
"(23.229, 24.979]",0.9621167221560403,0.006347877381338069,0.005004484968060444
"(24.979, 26.776]",0.971546290060975,0.004952654685493284,0.0037125028456684458
"(26.776, 28.569]",0.9940851609078866,0.003751915085804069,0.0033914530712788756
"(28.569, 30.431]",0.9452687163135055,0.005166752540867819,0.0031534222284486327
"(30.431, 32.517]",0.9900168344346071,0.0039174905655575435,0.003278599211190424
"(32.517, 34.741]",0.9922878802615784,0.0036809973423511644,0.0029744126572738405
"(34.741, 37.035]",0.9694687484901479,0.0036627489066961344,0.0046503573381277185
"(37.035, 39.4]",0.9833300555414696,0.003426843502855293,0.004503128451690466
"(39.4, 41.811]",0.9866619507917211,0.003462707027699667,0.0023738225742743705
"(41.811, 44.358]",0.9886960182753531,0.0029023506482748675,0.001992454357423736
"(44.358, 46.832]",0.9941372960918539,0.002458274820287444,0.0017609093686215625
"(46.832, 49.227]",0.9851719459810051,0.0022000476143808644,0.0009864983976697619
"(49.227, 51.555]",0.9960246831844204,0.0016819183862230636,0.0011058381117862869
"(51.555, 53.764]",0.9981425083440445,0.0013865370606531212,0.001001415861934327
"(53.764, 55.987]",0.9978956264838746,0.001274379149365141,0.0008632671711363922
"(55.987, 58.084]",0.9983699746728129,0.0010991943131620637,0.0007290099927553001
"(58.084, 60.03]",0.9985190057382115,0.001060798891504906,0.0007160382846991564
"(60.03, 61.847]",0.9994570775749636,0.0008697204267511501,0.0007685737023265397
"(61.847, 63.57]",0.9996297418551405,0.0008489955121367134,0.0007679251169237329
"(63.57, 65.258]",0.9997856550979592,0.0007231918661469537,0.0007017694058373977
"(65.258, 66.947]",0.9997208587200449,0.0006237128197729336,0.0004987621747587419
"(66.947, 68.708]",0.9997394303356583,0.0005362526559303706,0.00043974090310328664
"(68.708, 70.5]",0.9998223700187939,0.000395232039654549,0.00029770069988850834
"(70.5, 72.284]",0.9998117922456414,0.00033867040598463687,0.0002860261626379784
"(72.284, 73.955]",0.9999312717654678,0.00026602218059022554,0.00021208742671795743
"(73.955, 75.584]",0.9999424040128458,0.00024270850753749799,0.000182901083591633
"(75.584, 77.263]",0.9999319062641913,0.000217698140849015,0.00014852605724285093
"(77.263, 78.964]",0.999928298675604,0.0002073816633197081,0.0001439859594232004
"(78.964, 80.601]",0.9999517180666928,0.00016986419873400076,0.00011739395790810483
"(80.601, 82.152]",0.9999495899424337,0.000175597409365517,0.00011933971411652645
"(82.152, 83.605]",0.9999746523463495,0.00014478263577805714,0.00012971708056144185
"(83.605, 84.996]",0.999978850421656,0.0001316947760737134,9.599063961546684e-05
"(84.996, 86.337]",0.9999429169088698,0.00013257984485230795,0.0001712265463411032
"(86.337, 87.635]",0.9999461992324277,0.00012530083398888453,0.00018030674198040412
"(87.635, 88.948]",0.9999645865113124,0.00012919675557341873,0.0001705779609382959
"(88.948, 90.32]",0.9999638030758917,0.00012232306734143682,0.0001679836193270672
"(90.32, 91.756]",0.9999230811936702,0.00013816829545724798,0.00019522420624496997
"(91.756, 93.329]",0.9999823399648573,0.0001056989928746652,0.00012712273895021286
"(93.329, 95.065]",0.999987305872341,9.269661007150054e-05,0.00010766517686599665
"(95.065, 96.929]",0.9999913381180091,7.245156358938405e-05,7.393873592002174e-05
"(96.929, 98.827]",0.9999891239732684,5.887954559982211e-05,7.329015051721452e-05
"(98.827, 100.812]",0.9999870887965051,4.541565951317916e-05,7.264156511440728e-05
"(100.812, 102.885]",0.9999957682736254,4.581408255679851e-05,5.448117383580544e-05
"(102.885, 105.005]",0.9999965502862995,4.359192264094524e-05,4.604956359931174e-05
"(105.005, 107.241]",0.9999972506780329,4.076971477806314e-05,4.280663658527571e-05
"(107.241, 109.566]",0.9999870344493693,4.0882364788392993e-05,6.745288189194963e-05
"(109.566, 111.942]",0.9999953461764872,4.1045312225366584e-05,5.188683222457661e-05
"(111.942, 114.296]",0.9999939949802926,3.966532166646974e-05,5.577834464141985e-05
"(114.296, 116.81]",0.9999932721037876,3.172391605247723e-05,5.058966141896219e-05
"(116.81, 119.416]",0.9999945313999958,3.057481626022548e-05,4.669814900211895e-05
"(119.416, 122.267]",0.9999967450379431,2.9531480297209016e-05,3.5672197154396426e-05
"(122.267, 125.3]",0.9999923402160836,2.2317796023070495e-05,4.540097819650453e-05
"(125.3, 128.45]",0.9999979558212262,2.1579180813725362e-05,2.9186343126324345e-05
"(128.45, 131.832]",0.9999972372675008,1.721046719991992e-05,2.8537757723517138e-05
"(131.832, 135.631]",0.9999906685263175,1.959384205429687e-05,4.6049563599311744e-05
"(135.631, 139.384]",0.9999877199067682,1.9687939742365437e-05,4.994107601615498e-05
"(139.384, 143.272]",0.9999929376614435,1.1699720243264451e-05,3.4375026348782004e-05
