distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",1.1708300559108059e-05,1.2653898970208897e-05,1.1938187121330182e-05,6.192792357374791e-06,2.5089664466064626e-08,3.3275325948545893e-10,1.468469064563622e-08,8.269654227575385e-10,0.054467014200970686,0.05886593800941179,0.055536446488428,0.028808870046507527
"(102.07, 108.851]",1.8169201656876556e-05,3.411839242478412e-05,2.7288339913762092e-05,1.5561603578024748e-05,6.995742141923123e-09,4.095703969451812e-12,6.044943644193214e-09,1.3481193735109036e-09,0.08448678770447599,0.15865052477524616,0.12689078059899372,0.07236145663781508
"(108.851, 115.402]",2.0363941896534476e-05,2.789140198358795e-05,2.6747283087838825e-05,1.5208645404943376e-05,1.5780103684032858e-08,2.5414157445034776e-12,1.2303441757723174e-08,2.129499096005345e-09,0.09473305770267838,0.12975080202765116,0.12442836092462621,0.07075061842379658
"(115.402, 121.788]",1.426475619444138e-05,2.2976669096488394e-05,2.1260715347841143e-05,1.241070230020472e-05,5.725335279057429e-09,1.5967546336908554e-12,5.391762411076239e-09,1.4257004942528305e-09,0.06633111630415242,0.10684151129867103,0.09886232636746131,0.057709765695951945
"(121.788, 128.103]",1.1360529255372175e-05,1.8990567532281708e-05,1.6395372886398345e-05,1.1090356787066798e-05,3.872734990319926e-09,1.0754341440501173e-12,2.4832106263782818e-09,1.0244614205130732e-09,0.052849182095991355,0.08834412016017451,0.0762712746675251,0.05159233977343475
"(128.103, 134.5]",9.467107712810145e-06,1.5705384875010723e-05,1.5406674240559514e-05,1.0818847826977302e-05,3.1132036152129072e-09,7.544268086815804e-13,3.1448021228550173e-09,9.051205725168816e-10,0.044040985079992795,0.07306145043854989,0.07167184856708285,0.05032928009109841
"(134.5, 140.658]",8.079496055930213e-06,1.3043226283379699e-05,1.4286578021918244e-05,9.393690664845573e-06,3.1528357830759462e-09,4.885338066885899e-13,3.427585194646744e-09,6.090312018887256e-10,0.03756965666007549,0.0606510022177156,0.06643258780191984,0.043680661591531916
"(140.658, 146.534]",7.573686170248118e-06,1.0865362809061336e-05,1.0879691616554995e-05,7.802111302264943e-06,2.0269104679861442e-09,2.941748991390008e-13,1.0036626644233989e-09,2.903010323006126e-10,0.03523278806399424,0.05054566778775334,0.050612325400213834,0.036295421778136515
"(146.534, 152.416]",4.714233228419747e-06,9.122281885970073e-06,8.527931774940121e-06,7.957485654661733e-06,1.3533983520397087e-09,2.110685242935735e-13,7.44235140942607e-10,6.985824407454085e-10,0.02193061297860866,0.04243685533353278,0.039671938617021445,0.03701822326548638
"(152.416, 158.282]",4.83223448321185e-06,7.640573508748124e-06,8.046479800573133e-06,7.254236166114951e-06,1.4293200140294088e-09,1.5055907767449846e-13,2.215906428959306e-09,7.501146011292587e-10,0.0224698903469351,0.035528666815678775,0.03741613107266507,0.03373219817243452
"(158.282, 164.09]",4.636950716478439e-06,6.414478621276361e-06,7.732826093325778e-06,6.929871299732195e-06,1.1873785085525976e-09,9.933100755998029e-14,1.6600482177945082e-09,5.727849705756351e-10,0.021571094733057697,0.02984015454617763,0.03597310698615152,0.03223776128635417
"(164.09, 169.751]",4.136392717629344e-06,5.396253762963677e-06,5.674251259124777e-06,6.004973123992084e-06,8.934152544698075e-10,7.07937805574494e-14,2.7429123733253917e-10,4.60799345438567e-10,0.01923422613697645,0.025092579997781098,0.02638526835493021,0.02792312502656319
"(169.751, 175.259]",5.139287044096937e-06,4.5687167726052205e-06,5.903448854519204e-06,5.533153274959129e-06,1.9119657263972713e-09,4.774912702393528e-14,7.679816126170898e-10,2.6506391853003207e-10,0.02390796332913895,0.021253670426159485,0.027462844071223336,0.025740229035109866
"(175.259, 180.935]",3.1685829895936003e-06,3.857325245779709e-06,5.330991347226377e-06,5.4413959313226855e-06,6.430334271093579e-10,3.670180231642318e-14,1.6078265636826133e-09,2.9670372965809915e-10,0.014740248067589428,0.017944277043367207,0.024799771747297104,0.02531337387251313
"(180.935, 186.282]",3.7884718348380903e-06,3.273758520115371e-06,3.528067886514541e-06,4.6677951081933235e-06,1.083839289803831e-09,2.233633866193848e-14,1.7470024240654903e-10,2.066170912869848e-10,0.01761639403199712,0.015222977118536476,0.016405515672292616,0.021705247253098955
"(186.282, 191.76]",3.516354293329483e-06,2.7819177918039374e-06,3.5429548788962814e-06,4.698636308826721e-06,1.0645124142789007e-09,1.6967147533772008e-14,1.3787123490311862e-10,1.9899892805783046e-10,0.016358080172568755,0.012941481567471918,0.0164818260966255,0.021858056108661907
"(191.76, 197.086]",3.053972193389889e-06,2.3655187477519797e-06,3.6550724129254096e-06,4.379361341883729e-06,6.926819089454411e-10,1.1947055983018179e-14,3.4332360546150877e-10,1.4081329463551028e-10,0.014200970699262985,0.010999662177046706,0.016996086720103155,0.020364030239759343
"(197.086, 202.626]",2.8980941977990247e-06,2.010209843919405e-06,3.2117343532472876e-06,3.884303189212279e-06,7.072032538078455e-10,9.374824588857492e-15,4.380348480018216e-10,8.731286961850326e-11,0.013481934208161062,0.009351496193913074,0.014940988211306381,0.018069778436215524
"(202.626, 207.999]",2.2798341022685658e-06,1.70683416996274e-06,2.0605830990956593e-06,3.4738272742851703e-06,7.381956955339847e-10,6.352825028809018e-15,3.7403204731938826e-11,6.944606518036769e-11,0.010605788243753368,0.007940192558666667,0.009585832576993006,0.016160244479974613
"(207.999, 213.47]",2.860682814061415e-06,1.4496574307926626e-06,1.6585084457642561e-06,2.8383754234949854e-06,6.59072391817724e-10,4.8018878525264485e-15,5.168330891058846e-11,5.932119069624618e-11,0.01330217508538558,0.006740907053185881,0.007712064272803791,0.013198445719251682
"(213.47, 218.954]",2.1252690783859515e-06,1.2319903323215277e-06,1.574297303777326e-06,2.9208095624166693e-06,4.88762694024113e-10,3.4129779647874024e-15,3.463583572153211e-11,7.797658138878499e-11,0.009886751752651446,0.005731219025959747,0.00732363105717212,0.013587606084362346
"(218.954, 224.269]",1.8934215425620294e-06,1.0466918993096753e-06,1.2760274120419458e-06,2.533316197512846e-06,3.785328299665339e-10,2.2924898901348084e-15,1.998533739904345e-11,2.927224929471574e-11,0.00880819701599856,0.00486921071558861,0.005936079520819132,0.01178498695082976
"(224.269, 229.603]",1.546315034627792e-06,8.919038514209003e-07,1.021248620560615e-06,2.2218014181311977e-06,3.451384258301033e-10,1.6843450641346746e-15,9.530454110187962e-12,2.945764911753587e-11,0.0071903649110192334,0.004147352909107186,0.00474880608560686,0.01033137659431007
"(229.603, 234.752]",2.163910334356605e-06,7.614021633605253e-07,1.1982775459128635e-06,2.303604166436605e-06,4.1217318992611776e-10,1.15069272526406e-15,3.256022115967602e-11,4.220654495055609e-11,0.010066510875426926,0.003542042863953164,0.005574387143586641,0.010716366582263088
"(234.752, 239.974]",1.0437626483737597e-06,6.527548734998582e-07,9.186737196892403e-07,2.243812174745296e-06,1.865765415787757e-10,9.043930120314598e-16,1.1213805867932315e-11,4.728529333987176e-11,0.0048534963149379825,0.0030353101617743407,0.0042718327965549675,0.010433726612565628
"(239.974, 245.254]",2.163910334356605e-06,5.573498063421739e-07,1.0570038889342641e-06,2.5567561115213928e-06,4.955445308532569e-10,6.383235392077657e-16,6.735838940425686e-11,1.1969508164250572e-10,0.010066510875426926,0.0025927912991037926,0.004917182091322197,0.01189402943079752
"(245.254, 250.51]",1.8934215425620294e-06,4.752387327972276e-07,6.621429438778682e-07,2.0927185705827474e-06,5.035898413572427e-10,4.716669654436069e-16,8.403335361859094e-12,3.081020300259616e-11,0.00880819701599856,0.0022108105849727028,0.0030802889749198432,0.00973532679035094
"(250.51, 255.844]",1.9715516691504345e-06,4.055175213834472e-07,7.35557273157173e-07,2.1006197887709813e-06,4.896047910014053e-10,3.5020750813801974e-16,1.7509087154950916e-11,4.638115250014407e-11,0.009167715261549522,0.0018856564744330296,0.0034203413201808544,0.009767882017785064
"(255.844, 261.162]",2.0093453104739905e-06,3.459398000209227e-07,5.38980015854243e-07,1.9176512200563272e-06,4.406088149485587e-10,2.4944307238672407e-16,6.435647229014719e-12,2.7685960395894584e-11,0.009347474384325004,0.0016093119496973325,0.0025073350337539383,0.008920913475702034
