distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 3.211]",7.22713948824503e-06,5.927265638233507e-07,2.2827809432882635e-06,7.370865429347212e-06,1.540836664386709e-08,2.259007898559447e-16,4.379275034291993e-10,1.943457156399613e-08,0.6670360662070632,0.05470629093463998,0.21069154994173359,0.6803013956670303
"(3.211, 5.192]",1.0026701414080375e-06,5.532856018996931e-07,1.2469049705524253e-06,7.699187099029142e-07,6.451885731840022e-11,9.021649072086167e-17,7.843131441533158e-11,2.181540532333051e-11,0.09254043803111342,0.05106494134173028,0.11508184735216553,0.07105887741177956
"(5.192, 6.939]",5.381707419191209e-07,5.235325601658782e-07,7.618389150994887e-07,4.4833598227096996e-07,2.1099682597396298e-11,6.232139661470662e-17,3.363755774332554e-11,1.6811109713676193e-11,0.04966993045468334,0.048318914107949563,0.0703131608301922,0.0413787211477169
"(6.939, 8.647]",3.25749942949277e-07,4.971497189891412e-07,5.25632900910165e-07,2.93886407488125e-07,7.972402064141491e-12,5.433544100069225e-17,5.777669182982601e-12,4.2951250827936045e-12,0.03006476523456057,0.04588393616438379,0.04851276295660276,0.027123952092709007
"(8.647, 10.313]",2.4822582283726177e-07,4.7258761456091e-07,4.2166438955840294e-07,2.5142780056727023e-07,8.323620766200708e-12,4.6386740614569843e-17,5.466211516363466e-12,1.1582596055379163e-11,0.02291025054458791,0.04361794647351375,0.03891793649868236,0.023205780281156774
"(10.313, 11.904]",2.0891163316111681e-07,4.500275033360697e-07,3.7556274721560675e-07,2.1358610898764178e-07,5.330302225402116e-12,3.850532146422142e-17,3.9002615092079515e-12,1.173758614631261e-11,0.019281290270972116,0.04153483839289922,0.03466218819151721,0.01971271634290541
"(11.904, 13.467]",1.6765779535550897e-07,4.29296874694934e-07,3.3411409685355357e-07,1.739964271776862e-07,3.136752606431647e-12,3.3694527304316683e-17,1.5265855028717246e-12,6.686930348638243e-12,0.015473808564541345,0.03962152575309424,0.03083672645500187,0.01605882624993737
"(13.467, 15.011]",1.4454169407934594e-07,4.0977192997904717e-07,2.9848935111290366e-07,1.7119865109765435e-07,2.8860138880140374e-12,2.985787315033324e-17,1.8638445262699493e-12,6.5413784134823485e-12,0.013340331113359154,0.03781949050548618,0.02754877617161433,0.01580060830440691
"(15.011, 16.559]",1.1233558498539587e-07,3.9122661033184625e-07,2.659961182634485e-07,1.2950109927430747e-07,1.882457912059375e-12,2.7521814726853132e-17,2.0758084198787783e-12,2.351541257401214e-12,0.010367900480642126,0.03610786877396742,0.024549845739006718,0.011952174456422934
"(16.559, 18.16]",9.48194105460113e-08,3.731328005783013e-07,2.509002394224874e-07,1.1101693456284513e-07,1.3522970410815488e-12,2.6923590872220197e-17,1.6894434203926626e-12,4.567382612172995e-12,0.008751452315754658,0.034438664962174896,0.0231570884977379,0.010246418992412354
"(18.16, 19.809]",8.462163091767777e-08,3.5541290189734995e-07,2.2263408066459246e-07,9.452914495084786e-08,1.28918550322441e-12,2.565065480031009e-17,1.3492203590218069e-12,1.6091048029221236e-12,0.007810068803916152,0.032802478367714015,0.020547789840857898,0.008724472904093552
"(19.809, 21.501]",6.427481109298008e-08,3.3805824388621826e-07,2.071894887112192e-07,8.380726233678593e-08,7.593006505787992e-13,2.4568664424218922e-17,1.262298434639944e-12,2.1987455757773446e-12,0.005932179415015504,0.03120074756123463,0.019122346671113264,0.007734907470111321
"(21.501, 23.229]",6.376746181942918e-08,3.211417851573151e-07,1.9766125359951534e-07,7.321333613734111e-08,1.0280552184644933e-12,2.3167224509753478e-17,9.90977258689385e-13,1.8106132646274065e-12,0.005885354121162397,0.029639459919309236,0.018242947739713668,0.006757151645459761
"(23.229, 24.979]",5.486652102824039e-08,3.0481328875490504e-07,1.7187595630350013e-07,6.877738343306384e-08,1.0530928034392414e-12,2.129622750251594e-17,2.700066928745505e-12,3.3608753557607054e-12,0.005063960424822475,0.028133047298922718,0.015863463262987848,0.00634787738133806
"(24.979, 26.776]",4.08204769677831e-08,2.890045037836166e-07,1.4251686880024462e-07,5.3661718914482886e-08,5.691624577086339e-13,2.017815862909888e-17,6.894363556652248e-13,2.268201768954608e-12,0.0037674851012645737,0.02667338167220511,0.013153451889049778,0.004952654685493284
"(26.776, 28.569]",3.8019486186720824e-08,2.7387968711571777e-07,1.5962429058371854e-07,4.065177677643253e-08,5.292004905567495e-13,1.8094080680882106e-17,2.147334475127802e-12,2.697985476260605e-13,0.0035089704581172114,0.025277451842658057,0.014732364275133717,0.003751915085804064
"(28.569, 30.431]",3.460544836678454e-08,2.593607723074679e-07,1.5036721519236274e-07,5.5981456442106964e-08,2.701111032601566e-13,1.7471134359867318e-17,6.385806763604841e-13,3.844206297738422e-12,0.0031938752515640123,0.023937443119345442,0.013877991758963927,0.00516675254086782
"(30.431, 32.517]",3.9224440711404214e-08,2.4447376282644794e-07,1.356204681320601e-07,4.244577725049887e-08,6.047092325365637e-13,1.9539964340080958e-17,1.9257423724048945e-12,5.80363983485233e-13,0.0036201805310183406,0.022563461466304186,0.012516955485780357,0.003917490565557543
"(32.517, 34.741]",3.3061544553329986e-08,2.291028876800724e-07,1.267523411927397e-07,3.988252299505033e-08,2.835933618372129e-13,1.948321406888896e-17,6.312480538319512e-13,3.1209395146657436e-13,0.0030514483160941444,0.021145280121319963,0.011698734082725102,0.003680997342351165
"(34.741, 37.035]",5.053410160097644e-08,2.140974591501804e-07,1.519122847983672e-07,3.9685666529743426e-08,3.8277631189213405e-12,1.8104839478726995e-17,7.571072345202186e-12,3.5767645787114316e-13,0.004663994373160519,0.01975991089480675,0.014020592413180502,0.00366274890669614
"(37.035, 39.4]",4.607365590434142e-08,1.99640919205186e-07,1.503305027427375e-07,3.712964551168325e-08,9.723796851214276e-13,1.6792819381481073e-17,1.826059897382963e-12,1.557450488460959e-13,0.004252321998035287,0.018425658997123437,0.013874603420138215,0.003426843502855294
"(39.4, 41.811]",2.664640663795474e-08,1.8581212221112533e-07,1.259228138579291e-07,3.751822467007241e-08,2.352620854684365e-13,1.5018739216720976e-17,9.88367800580134e-13,3.3755866508504146e-13,0.0024593034542433946,0.0171493440073536,0.011621920182203708,0.003462707027699663
"(41.811, 44.358]",2.117126239421791e-08,1.7255793062483613e-07,9.57391546212381e-08,3.1446796631144695e-08,4.001321114873512e-13,1.4587994327175123e-17,5.509472383734055e-13,2.529972893268271e-13,0.0019539804914119477,0.015926061649088625,0.00883614953661255,0.0029023506482748684
"(44.358, 46.832]",2.0082140233800187e-08,1.5986908797605633e-07,9.558391298528002e-08,2.663468427978939e-08,1.4953912275539125e-13,1.1731957585254073e-17,3.4284430403559806e-13,9.920394938322542e-14,0.001853501215018822,0.014755277343838094,0.008822012832889404,0.0024582748202874416
"(46.832, 49.227]",1.0939718710941358e-08,1.487043943172955e-07,8.687420807844485e-08,2.383738503457283e-08,4.404324927736795e-14,9.502766487738664e-18,1.8850980600754633e-13,1.1073561199735688e-13,0.0010096703987076217,0.013724523369120471,0.008017968160391988,0.002200047614380865
"(49.227, 51.555]",1.2271510554012475e-08,1.3847743054794085e-07,8.34370619330385e-08,1.8223485667790578e-08,7.453352879063545e-14,7.790603305989701e-18,3.4458150735660337e-13,5.50362010700713e-14,0.0011325867950720274,0.012780635974991654,0.007700740194047856,0.0016819183862230636
"(51.555, 53.764]",1.1658463515138467e-08,1.2942447066032234e-07,7.810937473795584e-08,1.5023046575650857e-08,5.4235108278791416e-14,6.112970061301155e-18,1.8414420340821605e-13,2.1113471151598358e-14,0.0010760062316661897,0.01194510209512379,0.0072090266320648955,0.0013865370606531203
"(53.764, 55.987]",9.385758172428718e-09,1.2106443889929044e-07,7.460214717697368e-08,1.3807523071044682e-08,5.629240100001633e-14,5.4563534062327296e-18,2.854653065676817e-13,1.9754952059062265e-14,0.000866267936282481,0.011173763452648911,0.006885479775845963,0.00127437914936514
"(55.987, 58.084]",7.821634633909763e-09,1.1344417782054857e-07,7.865276901287855e-08,1.1909704998830526e-08,3.124366597942596e-14,4.239392723959082e-18,2.86808541344239e-13,1.367660150647988e-14,0.0007218899469020676,0.01047021694776971,0.007259178663274612,0.0010991943131620646
"(58.084, 60.03]",7.515111114472758e-09,1.0679242206954605e-07,8.758642906481275e-08,1.1493692889081694e-08,3.534191891867345e-14,3.235914014642382e-18,2.7151434147130503e-13,1.721481046705117e-14,0.0006935996651991487,0.009856299802486684,0.008083701884107827,0.0010607988915049059
"(60.03, 61.847]",7.705367092054346e-09,1.0091654138467163e-07,1.0129317395676245e-07,9.423369089552412e-09,4.1546373711537504e-14,2.533447174816807e-18,1.7444363854742088e-12,1.7590697324888437e-14,0.0007111591503940638,0.009313991270556883,0.009348752197165433,0.0008697204267511504
"(61.847, 63.57]",8.191576812540628e-09,9.571324360269671e-08,1.101805118999535e-07,9.198815872502157e-09,2.6999833146924375e-14,2.0246810822939786e-18,4.843127228406854e-13,2.4066404882742124e-14,0.0007560333903366247,0.00883375810506729,0.010169000165294309,0.0008489955121367141
"(63.57, 65.258]",7.525517813929332e-09,9.094854967463993e-08,1.0851381337448666e-07,7.835571055592372e-09,2.869040664426994e-14,1.7792663163051844e-18,5.026121484753469e-13,5.203096697811021e-15,0.0006945751921544216,0.008394187340770567,0.01001539091921162,0.0007231918661469536
"(65.258, 66.947]",6.384145025515534e-09,8.646420826150722e-08,8.915835135792441e-08,6.7578913014164865e-09,2.1179719921533692e-14,1.5923591786827583e-18,2.475986667844018e-13,6.716634704556194e-15,0.0005892182809849307,0.007980127637287547,0.008228780880228275,0.0006237128197729332
"(66.947, 68.708]",5.010074076315171e-09,8.211567121252114e-08,6.918191189724309e-08,5.810265628647267e-09,2.1772804520461652e-14,1.5762226124305102e-18,2.544347821807511e-13,7.798050675464267e-15,0.0004623997767994324,0.0075787837588884265,0.006385075376644153,0.0005362526559303709
"(68.708, 70.5]",2.9278280994500047e-09,7.784102130813529e-08,5.5828343510246767e-08,4.282315639744179e-09,1.0292330155968138e-14,1.4626872625839648e-18,1.5303112695596506e-13,2.9110615267439906e-15,0.00027022096661063875,0.007184259220613038,0.005152621135934715,0.00039523203965454926
"(70.5, 72.284]",3.1815027362254566e-09,7.37517826523094e-08,4.637652485759033e-08,3.6694737034329047e-09,2.18393396335476e-14,1.2982885420368508e-18,1.180157162675804e-13,3.943187423682089e-15,0.0002936336135371923,0.006806847028112245,0.004280274985206442,0.0003386704059846365
"(72.284, 73.955]",2.2090354257180203e-09,7.003212424192442e-08,4.23124124376323e-08,2.882272044186371e-09,5.98580541553458e-15,1.027535383749691e-18,5.391018871398794e-14,8.044125270248611e-16,0.0002038851336520704,0.006463684939032656,0.003905266418343711,0.00026602218059022526
"(73.955, 75.584]",1.5009082675880893e-09,6.667130769798377e-08,4.311874582328695e-08,2.6297322419387817e-09,2.431193668972715e-15,8.821099654695955e-19,7.281781677683689e-14,4.088341875105819e-16,0.00013852482764877512,0.006153361672677713,0.003979601527014446,0.00024270850753749793
"(75.584, 77.263]",1.6383153625081256e-09,6.343750097994534e-08,3.5560168270541525e-08,2.358746406581304e-09,2.9772566356126822e-15,8.522691129703912e-19,4.9486043347342365e-14,7.98914608131983e-16,0.00015120667806732495,0.005854900715443074,0.00328199017036136,0.00021769814084901488
"(77.263, 78.964]",1.7334433512989199e-09,6.02978574627347e-08,3.366740130003529e-08,2.2469679862147922e-09,3.647164770103638e-15,7.90474699017966e-19,8.738097809200472e-14,2.322096374601957e-15,0.0001599864206647825,0.005565130456665636,0.003107299135585457,0.00020738166331970805
"(78.964, 80.601]",1.1415111290791683e-09,5.734377514347419e-08,2.7787376830174053e-08,1.8404286072419255e-09,3.1951039000738783e-15,6.620129946365109e-19,4.3004861457456856e-14,5.594974731126829e-16,0.00010535691116949092,0.005292601070642094,0.0025646637319177443,0.00016986419873400076
"(80.601, 82.152]",1.2155243012157062e-09,5.46647733093955e-08,2.7045633107918775e-08,1.90258748527008e-09,2.5041473991522813e-15,5.393713617690003e-19,1.788601082945114e-14,9.594733524427494e-16,0.00011218559985640238,0.005045230587817348,0.0024961496620622553,0.00017559740936551676
"(82.152, 83.605]",1.3635011726680528e-09,5.225720123223282e-08,3.279810194282708e-08,1.5687112464305075e-09,3.802978677519574e-15,4.3270125139572454e-19,4.616618576822414e-14,2.2101428905407243e-16,0.00012584297723022527,0.004823026130527696,0.003027068020711283,0.00014478263577805725
"(83.605, 84.996]",1.4797687145234682e-09,5.0075204344065176e-08,4.003730857291186e-08,1.4269050650498778e-09,2.0394305615196825e-15,3.6286369450887504e-19,7.368363325859164e-14,1.2853470246816496e-16,0.00013657377373822897,0.004621640909731151,0.003695203357428327,0.00013169477607371342
"(84.996, 86.337]",1.934269105412819e-09,4.806446913484431e-08,3.7681157872262716e-08,1.4364947326186744e-09,6.646991360204439e-15,3.113149736627386e-19,4.0658615190855844e-14,4.3856843826613257e-16,0.00017852143281497075,0.004436062114331321,0.0034777447846626153,0.00013257984485230792
"(86.337, 87.635]",2.240744068192442e-09,4.6204580347251924e-08,3.951629532334846e-08,1.3575976639170107e-09,5.707267582151827e-15,2.69481925207672e-19,4.4862174701104134e-14,5.393543173023788e-17,0.00020681171451788962,0.004264497947729964,0.0036471959931637698,0.00012530083398888442
"(87.635, 88.948]",2.0188273176713036e-09,4.443471191178375e-08,4.447023948939969e-08,1.3998391615209938e-09,3.945119116170807e-15,2.556022438552613e-19,1.1626653551663507e-13,8.910537470054223e-17,0.00018632564845715528,0.00410105730118617,0.004104336283434655,0.0001291967555734186
"(88.948, 90.32]",1.6066060329111945e-09,4.268622261276281e-08,4.571750043353714e-08,1.3253631584007283e-09,2.6577119081736833e-15,2.5662421162401984e-19,1.678216134461493e-13,4.34481466491703e-17,0.00014828009720150578,0.003939682229822331,0.004219450985012876,0.00012232306734143682
"(90.32, 91.756]",1.997687764606682e-09,4.092811980315801e-08,4.849359442011572e-08,1.497045262500791e-09,4.151428297221859e-15,2.5909074729943655e-19,3.2157506036818846e-13,1.8029289618412843e-15,0.0001843745945466091,0.0037774198891126656,0.0044756678034101605,0.000138168295457248
"(91.756, 93.329]",1.2895127369418796e-09,3.913025564674466e-08,4.073610687370038e-08,1.1452423004167685e-09,2.0399574395781225e-15,2.827163559643251e-19,7.884314214243793e-14,6.408027775390234e-17,0.00011901428854331383,0.0036114878146606515,0.003759698247801303,0.00010569899287466523
"(93.329, 95.065]",1.3846107213830656e-09,3.723703837275445e-08,3.16561005192138e-08,1.00434049223694e-09,3.287288706023909e-15,3.138847369702477e-19,5.270450098673659e-14,1.6818614288075193e-16,0.00012779403114077142,0.0034368296936517443,0.002921731453521357,9.269661007150061e-05
"(95.065, 96.929]",7.504541337940445e-10,3.526382225512652e-08,2.27338578356997e-08,7.8500838179496e-10,1.1646039537960497e-15,3.255246896009192e-19,1.846582022345696e-14,3.4916177592847214e-16,6.926241382438755e-05,0.003254639211214647,0.0020981986750880682,7.245156358938404e-05
"(96.929, 98.827]",9.301403348433229e-10,3.333201507970799e-08,1.8843783306618367e-08,6.379563741935782e-10,1.3808374573257367e-15,2.9875354650146225e-19,2.8792454948157585e-14,1.121277133553843e-16,8.584637206402964e-05,0.0030763449997665694,0.0017391681365010357,5.8879545599822107e-05
