distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 2.115]",6.976546016706622e-06,5.543050742063845e-07,1.5594355702939292e-06,6.721579867430781e-06,1.2096526313129529e-08,8.622917329393284e-17,3.8863813417727787e-10,4.1217213516199477e-08,0.6129174737517435,0.048697917989327696,0.13700265259260286,0.5905176776732638
"(2.115, 3.2]",8.02508960508847e-07,5.319231582218557e-07,6.907915574092583e-07,6.65611523680699e-07,8.710016924592615e-11,2.4699034472418187e-17,3.3720925613617046e-11,2.2535342083558842e-11,0.07050201719862323,0.04673051329610647,0.06068741990151816,0.05847530357839677
"(3.2, 4.113]",5.06401622749424e-07,5.16472575462854e-07,4.3254744207179735e-07,3.8296045095919904e-07,4.6412917118857913e-11,1.6566355904912643e-17,1.1379351845351369e-11,6.001372395613865e-12,0.044489408165027895,0.04537418164471358,0.038001022975775685,0.033644607458569474
"(4.113, 4.957]",3.106450057128604e-07,5.030886112576356e-07,2.9273814915427394e-07,2.680072926039445e-07,2.4443053310611493e-11,1.3579652249704369e-17,7.337067613638605e-12,4.551676350682788e-12,0.027290785041886215,0.04419734067620581,0.025717631879501275,0.023544976669841733
"(4.957, 5.788]",2.2879354514236312e-07,4.90690274020511e-07,2.760631832336379e-07,2.453505975187278e-07,1.4062191382668385e-11,1.2399335923559667e-17,7.708894611436958e-12,2.839577429274795e-11,0.02010042811493717,0.04310910333379798,0.024253254899808025,0.021555031394410312
"(5.788, 6.614]",2.202602291862795e-07,4.786239165028496e-07,2.361028785064707e-07,1.952193988554646e-07,2.0751251166063524e-11,1.1787587239929182e-17,4.715838622051549e-12,2.6089143267629276e-12,0.019350301654473028,0.04204806831260834,0.020742110082550464,0.017150414628250274
"(6.614, 7.456]",1.405454087763792e-07,4.668130760801691e-07,2.2521921845973528e-07,1.6504723110844888e-07,6.3726721520689825e-12,1.1545522230753285e-17,7.549609071805269e-12,1.2808148332665537e-12,0.012347476342640018,0.04101139598594718,0.019786409218561583,0.014500059441801667
"(7.456, 8.337]",1.7248381375069405e-07,4.5496189252742627e-07,1.8919375848295147e-07,1.8773770101995095e-07,1.0047648157686084e-11,1.2001772315100713e-17,2.5559449044437315e-12,1.1954151795063383e-11,0.015153048005625972,0.03996931218231945,0.016621050070244253,0.01649313251000473
"(8.337, 9.272]",1.8686023273166482e-07,4.427311030781861e-07,1.9232165325236805e-07,1.7789661138965264e-07,1.4442017699188766e-11,1.2910168597766509e-17,3.0931984836514304e-12,1.5393811549662804e-11,0.016416418886407682,0.03889569832983096,0.01689622652483354,0.015628928897026544
"(9.272, 10.288]",1.1580373947143971e-07,4.299751017432065e-07,1.620655295969523e-07,1.6471530448242573e-07,5.251194045238701e-12,1.4337469360284748e-17,1.66015536937883e-12,1.5708119316534814e-11,0.010173590120044922,0.03777417263834418,0.014237780906151453,0.014470568929390065
