quantile,score,sampers_weight,twitter_weight
"(-0.001, 3.211]",0.031500451493282816,0.6803013956670295,0.6670360662070672
"(3.211, 5.192]",0.632430411563817,0.07105887741177966,0.09254043803111317
"(5.192, 6.939]",0.7961099626311524,0.04137872114771699,0.04966993045468312
"(6.939, 8.647]",0.9249700534202708,0.027123952092709,0.030064765234560427
"(8.647, 10.313]",0.888217367811373,0.023205780281156788,0.022910250544587788
"(10.313, 11.904]",0.9026534993767792,0.019712716342905376,0.01928129027097199
"(11.904, 13.467]",0.94128296771986,0.016058826249937357,0.015473808564541388
"(13.467, 15.011]",0.9333514486374135,0.01580060830440692,0.013340331113359189
"(15.011, 16.559]",0.9670580103976353,0.011952174456422932,0.010367900480642164
"(16.559, 18.16]",0.9561120370767621,0.010246418992412347,0.00875145231575469
"(18.16, 19.809]",0.9785431039949872,0.008724472904093563,0.007810068803916176
"(19.809, 21.501]",0.9651367947016194,0.00773490747011133,0.005932179415015525
"(21.501, 23.229]",0.9782781282569307,0.0067571516454597615,0.005885354121162412
"(23.229, 24.979]",0.9629451077065954,0.006347877381338069,0.005063960424822497
"(24.979, 26.776]",0.9722640146202294,0.004952654685493284,0.003767485101264582
"(26.776, 28.569]",0.9944697219290662,0.003751915085804069,0.00350897045811722
"(28.569, 30.431]",0.9466426584545601,0.005166752540867819,0.0031938752515640175
"(30.431, 32.517]",0.9918502301145659,0.0039174905655575435,0.0036201805310183514
"(32.517, 34.741]",0.9930103455449331,0.0036809973423511644,0.003051448316094153
"(34.741, 37.035]",0.9666587067879909,0.0036627489066961344,0.004663994373160533
"(37.035, 39.4]",0.9876214136375314,0.003426843502855293,0.004252321998035302
"(39.4, 41.811]",0.9878604227515226,0.003462707027699667,0.002459303454243401
"(41.811, 44.358]",0.9878607808093566,0.0029023506482748675,0.0019539804914119516
"(44.358, 46.832]",0.9950869311594104,0.002458274820287444,0.001853501215018823
"(46.832, 49.227]",0.9856418531734099,0.0022000476143808644,0.0010096703987076243
"(49.227, 51.555]",0.9962855501772383,0.0016819183862230636,0.0011325867950720294
"(51.555, 53.764]",0.9985845898610517,0.0013865370606531212,0.0010760062316661914
"(53.764, 55.987]",0.9978904224744422,0.001274379149365141,0.0008662679362824819
"(55.987, 58.084]",0.9983201802864844,0.0010991943131620637,0.0007218899469020686
"(58.084, 60.03]",0.9983376455862472,0.001060798891504906,0.0006935996651991496
"(60.03, 61.847]",0.9993748203651638,0.0008697204267511501,0.0007111591503940647
"(61.847, 63.57]",0.9995911325155444,0.0008489955121367134,0.000756033390336626
