distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",1.6640022497552015e-05,1.2653898970208897e-05,1.4016043993606271e-05,6.192792357374791e-06,4.2333356823510876e-08,3.3275325948545893e-10,2.6044372890802267e-08,8.269654227575385e-10,0.07740938465861197,0.05886593800941179,0.06520263665825637,0.028808870046507527
"(102.07, 108.851]",2.6345445591518696e-05,3.411839242478412e-05,2.849549680546837e-05,1.5561603578024748e-05,1.4512996573444625e-08,4.095703969451812e-12,8.00960911513058e-09,1.3481193735109036e-09,0.12250632200056194,0.15865052477524616,0.13250406014542793,0.07236145663781508
"(108.851, 115.402]",2.4552338095299066e-05,2.789140198358795e-05,2.7649923582158078e-05,1.5208645404943376e-05,1.8624948680221792e-08,2.5414157445034776e-12,1.2646939799783745e-08,2.129499096005345e-09,0.11421747681933125,0.12975080202765116,0.12862744450419938,0.07075061842379658
"(115.402, 121.788]",1.613356415810893e-05,2.2976669096488394e-05,2.1619765532978243e-05,1.241070230020472e-05,6.065383631129777e-09,1.5967546336908554e-12,4.303726354351738e-09,1.4257004942528305e-09,0.07502107333520652,0.10684151129867103,0.10053190972834883,0.057709765695951945
"(121.788, 128.103]",1.3771053101422354e-05,1.8990567532281708e-05,1.710093647652901e-05,1.1090356787066798e-05,5.114857047384855e-09,1.0754341440501173e-12,2.8756998235550675e-09,1.0244614205130732e-09,0.06406293902781679,0.08834412016017451,0.07955355648881295,0.05159233977343475
"(128.103, 134.5]",1.1506077262372626e-05,1.5705384875010723e-05,1.5905074407902543e-05,1.0818847826977302e-05,4.395536830779178e-09,7.544268086815804e-13,4.436498406337756e-09,9.051205725168816e-10,0.05352627142455746,0.07306145043854989,0.07399040614556263,0.05032928009109841
"(134.5, 140.658]",8.580397417421228e-06,1.3043226283379699e-05,1.3471471360932067e-05,9.393690664845573e-06,3.135926731284909e-09,4.885338066885899e-13,2.6097109914249714e-09,6.090312018887256e-10,0.03989884799100871,0.0606510022177156,0.06264234182833411,0.043680661591531916
"(140.658, 146.534]",7.5499194634990975e-06,1.0865362809061336e-05,1.0933120722876884e-05,7.802111302264943e-06,1.6659009631812288e-09,2.941748991390008e-13,1.0934412517642047e-09,2.903010323006126e-10,0.0351222253441978,0.05054566778775334,0.05086087760282326,0.036295421778136515
"(146.534, 152.416]",5.8587375036753e-06,9.122281885970073e-06,8.683223480065404e-06,7.957485654661733e-06,1.1538847132485453e-09,2.110685242935735e-13,7.286072453493233e-10,6.985824407454085e-10,0.027254846867097497,0.04243685533353278,0.04039435562926426,0.03701822326548638
"(152.416, 158.282]",4.3808367095988655e-06,7.640573508748124e-06,7.883970874132596e-06,7.254236166114951e-06,9.61504798868393e-10,1.5055907767449846e-13,1.7492606652603532e-09,7.501146011292587e-10,0.020370890699634724,0.035528666815678775,0.036660464564716576,0.03373219817243452
"(158.282, 164.09]",4.529951678099459e-06,6.414478621276361e-06,7.360014470628649e-06,6.929871299732195e-06,1.2271028691410583e-09,9.933100755998029e-14,1.3767196891918615e-09,5.727849705756351e-10,0.021073335206518683,0.02984015454617763,0.034238787317364475,0.03223776128635417
"(164.09, 169.751]",3.927646705157604e-06,5.396253762963677e-06,5.468463694104015e-06,6.004973123992084e-06,1.054425535632624e-09,7.07937805574494e-14,2.7900026368140866e-10,4.60799345438567e-10,0.018263557178982856,0.025092579997781098,0.02542835617758367,0.02792312502656319
"(169.751, 175.259]",4.499752000245462e-06,4.5687167726052205e-06,5.241728473943563e-06,5.533153274959129e-06,1.138259354528785e-09,4.774912702393528e-14,4.235232485079231e-10,2.6506391853003207e-10,0.02093284630514189,0.021253670426159485,0.024384520860785457,0.025740229035109866
"(175.259, 180.935]",3.140766496815625e-06,3.857325245779709e-06,4.52789992294921e-06,5.4413959313226855e-06,6.776018132937041e-10,3.670180231642318e-14,7.570335958738568e-10,2.9670372965809915e-10,0.014610845743186288,0.017944277043367207,0.021063790441559725,0.02531337387251313
"(180.935, 186.282]",3.262968031977086e-06,3.273758520115371e-06,3.2434497053031086e-06,4.6677951081933235e-06,6.856057615601525e-10,2.233633866193848e-14,8.794324244063991e-11,2.066170912869848e-10,0.01517280134869345,0.015222977118536476,0.015082041129659454,0.021705247253098955
"(186.282, 191.76]",2.1139774497797474e-06,2.7819177918039374e-06,3.1730364344354154e-06,4.698636308826721e-06,3.604824715981783e-10,1.6967147533772008e-14,1.274536174535906e-10,1.9899892805783046e-10,0.009834223096375385,0.012941481567471918,0.014760965492993553,0.021858056108661907
"(191.76, 197.086]",3.02126669627508e-06,2.3655187477519797e-06,3.2049631267176716e-06,4.379361341883729e-06,5.767431040428854e-10,1.1947055983018179e-14,1.8987903368578802e-10,1.4081329463551028e-10,0.014048890137679121,0.010999662177046706,0.014903078539237172,0.020364030239759343
"(197.086, 202.626]",2.5669726175896936e-06,2.010209843919405e-06,2.533886153739807e-06,3.884303189212279e-06,6.596594243241807e-10,9.374824588857492e-15,1.2634097856595688e-10,8.731286961850326e-11,0.011941556617027255,0.009351496193913074,0.011787638387197583,0.018069778436215524
"(202.626, 207.999]",1.7515813155317908e-06,1.70683416996274e-06,2.054174235967566e-06,3.4738272742851703e-06,3.4490910922654246e-10,6.352825028809018e-15,4.452996798044418e-11,6.944606518036769e-11,0.00814835627985389,0.007940192558666667,0.009556018545721117,0.016160244479974613
"(207.999, 213.47]",1.3897826802865367e-06,1.4496574307926626e-06,1.5796428670045457e-06,2.8383754234949854e-06,2.2732278774262113e-10,4.8018878525264485e-15,3.2440141582587335e-11,5.932119069624618e-11,0.006462489463332396,0.006740907053185881,0.007345339331571137,0.013198445719251682
"(213.47, 218.954]",1.2985861477218448e-06,1.2319903323215277e-06,1.448347005924737e-06,2.9208095624166693e-06,1.892767415565314e-10,3.4129779647874024e-15,2.427822603516118e-11,7.797658138878499e-11,0.0060410227592020225,0.005731219025959747,0.006737710271561876,0.013587606084362346
"(218.954, 224.269]",1.6307826041158052e-06,1.0466918993096753e-06,1.277006257388262e-06,2.533316197512846e-06,2.4347061955187564e-10,2.2924898901348084e-15,2.0073441647718664e-11,2.927224929471574e-11,0.007586400674346726,0.00486921071558861,0.005940633109370195,0.01178498695082976
"(224.269, 229.603]",1.631484015988543e-06,8.919038514209003e-07,9.765831004210175e-07,2.2218014181311977e-06,2.4357421603447386e-10,1.6843450641346746e-15,1.1064460794660494e-11,2.945764911753587e-11,0.007586400674346725,0.004147352909107186,0.004541111416957731,0.01033137659431007
"(229.603, 234.752]",1.3891851812838339e-06,7.614021633605253e-07,1.061401119024191e-06,2.303604166436605e-06,2.611749199799866e-10,1.15069272526406e-15,1.7104767506660148e-11,4.220654495055609e-11,0.006462489463332395,0.003542042863953164,0.004937638005700537,0.010716366582263088
"(234.752, 239.974]",1.6314840159885432e-06,6.527548734998582e-07,7.987886066120908e-07,2.243812174745296e-06,2.860287899429655e-10,9.043930120314598e-16,5.621171652900486e-12,4.728529333987176e-11,0.007586400674346726,0.0030353101617743407,0.003714367020746222,0.010433726612565628
"(239.974, 245.254]",1.1173880805978664e-06,5.573498063421739e-07,8.788972507593134e-07,2.5567561115213928e-06,1.6425281485909017e-10,6.383235392077657e-16,3.144773255564919e-11,1.1969508164250572e-10,0.005198089350941275,0.0025927912991037926,0.004088630010532326,0.01189402943079752
"(245.254, 250.51]",1.2985861477218446e-06,4.752387327972276e-07,6.013388135847839e-07,2.0927185705827474e-06,2.317130593592787e-10,4.716669654436069e-16,4.21562848006321e-12,3.081020300259616e-11,0.006041022759202022,0.0022108105849727028,0.0027974281607964146,0.00973532679035094
"(250.51, 255.844]",1.4199953472492876e-06,4.055175213834472e-07,6.222247304964358e-07,2.1006197887709813e-06,2.8242882467584344e-10,3.5020750813801974e-16,1.0363159834771332e-11,4.638115250014407e-11,0.006602978364709187,0.0018856564744330296,0.0028933449968084266,0.009767882017785064
"(255.844, 261.162]",1.8723800269477763e-06,3.459398000209227e-07,5.394186167784425e-07,1.9176512200563272e-06,3.2749671812123623e-10,2.4944307238672407e-16,5.341150545007352e-12,2.7685960395894584e-11,0.008710311885361055,0.0016093119496973325,0.0025093754052533147,0.008920913475702034
