region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,Year,pkt_inland_yr_capita_gt
sweden,3961.0,1248158.0,943425382.1736021,60653159.90357033,2130392.0,1628031.0,286.95855374447063,0.6479942333333334,18.44866947066931,0.4951927625,54.61,Sweden,Sweden,10.23,0.07244598680749069,0.004657578760583011,2018.0,0.0013710459433040078
netherlands,5375.0,1479674.0,1186213389.3916552,57668682.17194533,2878893.0,2232364.0,360.80657260662844,0.8756632875,17.54089082730004,0.6790107166666667,53.02,The Netherlands,The Netherlands,17.28,0.06712680420588436,0.0032634215492651237,,
saopaulo,10943.0,3513796.0,2067343836.7751527,332102864.4482936,5720711.0,5362206.0,628.8170836857756,1.7400495958333333,101.01462126968931,1.6310043250000001,27.13,"São Paulo, Brazil",Brazil,209.5,0.057462951995410363,0.009230980651529682,,
rio,6063.0,1593782.0,997814544.0317416,167438262.9620633,3113354.0,2930262.0,303.5019238096547,0.9469785083333333,50.9291383176276,0.891288025,11.02,"Rio de Janeiro, Brazil",Brazil,209.5,0.05005804450101513,0.008399989826427114,,
australia,3310.0,847668.0,1621363619.68347,124752950.35891573,1637541.0,1418873.0,493.1647676537221,0.4980853875000001,37.94568906750354,0.4315738708333333,57.4,Australia,Australia,24.99,0.14899237693465925,0.01146395440105847,2018.0,0.0013264796910764307
austria,729.0,168364.0,196103576.49748528,4516224.220854446,372479.0,246407.0,59.64817118465177,0.11329569583333333,1.3736848671765607,0.07494879583333335,51.5,Austria,Austria,8.56,0.08182190834657307,0.001884341381586503,1992.0,0.0009077219626168224
barcelona,1891.0,482357.0,436477033.2621605,1268917.9817131641,985756.0,496733.0,132.76176428390713,0.29983411666666665,0.3859625527710874,0.15108962083333333,33.1,"Barcelona, Spain",Spain,46.94,0.07020717307451461,0.0002041049988213048,2016.0,0.000861340008521517
madrid,3172.0,671234.0,802983677.3690827,81024444.47376138,1624340.0,1373913.0,244.240868533096,0.49407008333333335,24.64493519410242,0.4178985375,48.77,"Madrid, Spain",Spain,46.94,0.07699901277840353,0.00776952559713191,2016.0,0.000861340008521517
capetown,1092.0,193993.0,332025357.9183037,18213164.324791066,551089.0,430523.0,100.99104636681737,0.16762290416666667,5.539837482123949,0.13095074583333333,6.2,"Cape Town, South Africa",South Africa,57.78,0.0924826431930562,0.005073111247366254,,
johannesburg,1268.0,214187.0,242246732.82355145,25764656.720904596,617842.0,550223.0,73.68338123383023,0.18792694166666665,7.836749752608481,0.16735949583333334,16.37,"Johannesburg, South Africa",South Africa,57.78,0.05810992210869892,0.006180402013098171,,
cebu,1486.0,400094.0,188336451.7289368,22380798.78198807,765829.0,706415.0,57.285670734218264,0.23293965416666665,6.807492962854705,0.21486789583333332,3.1,"Cebu, Philippines",Philippines,106.7,0.038550249484669084,0.004581085439336948,,
manila,11997.0,3482176.0,1625005389.9941978,145763034.89555278,6322608.0,5731170.0,494.2724727899018,1.9231265999999998,44.336256447397304,1.743230875,9.6,"Manila, Philippines",Philippines,106.7,0.04119967265065448,0.0036956119402681755,,
egypt,1464.0,234322.0,180367643.99768913,21232471.961297438,728731.0,640734.0,54.86182504929712,0.22165567916666667,6.458210221561304,0.194889925,2.55,Egypt,Egypt,98.42,0.03747392421400076,0.0044113457797549886,,
guadalajara,684.0,212681.0,83755835.90854372,16340774.757589035,371752.0,347721.0,25.47573342218205,0.11307456666666665,4.970318988766665,0.10576513750000001,17.88,"Guadalajara, Mexico",Mexico,126.2,0.037245224301435745,0.00726654822919103,2018.0,0.00042804437400950873
mexicocity,15615.0,4613752.0,1665019892.993742,294959081.1084661,8283001.0,7781848.0,506.4435507855965,2.5194128041666666,89.7167205038251,2.3669787666666666,10.12,"Mexico City, Mexico",Mexico,126.2,0.03243314446273433,0.005745547262492802,2018.0,0.00042804437400950873
jakarta,13088.0,4650699.0,1326918580.62396,234191413.06265146,7142315.0,6705011.0,403.6044016064545,2.172454145833333,71.23322147322315,2.0394408458333335,19.03,"Jakarta, Indonesia",Indonesia,267.7,0.030837744621520054,0.0054426361150078815,,
surabaya,2414.0,803844.0,262977629.81821847,44916182.32686234,1306273.0,1237744.0,79.98902906970812,0.39732470416666665,13.662005457753963,0.37648046666666674,14.2,"Surabaya, Indonesia",Indonesia,267.7,0.03313547185986252,0.005659488590618875,,
kualalumpur,4663.0,1543306.0,588687402.4983482,55497248.0798109,2497909.0,2185949.0,179.0590849265809,0.7597806541666666,16.880412957609153,0.6648928208333333,11.14,"Kuala Lumpur, Malaysia",Malaysia,31.53,0.03839997532202035,0.003620075693246655,,
lagos,812.0,96943.0,150384390.44456396,5804210.939424071,363997.0,316662.0,45.74191876022154,0.11071575416666665,1.7654474940748217,0.096318025,2.22,"Lagos, Nigeria",Nigeria,195.9,0.05633241226628268,0.002174196421274411,,
moscow,4206.0,1628759.0,656793635.3145318,296641130.8217863,2275897.0,2181359.0,199.77473074150342,0.6922520041666668,90.22834395829332,0.6634966958333333,22.06,"Moscow, Russia",Russian Federation,144.5,0.04749755842641546,0.021452292904967505,2018.0,0.00017469480968858132
stpertersburg,1386.0,508124.0,183524177.51827568,94094059.12594625,739233.0,716292.0,55.82193732847552,0.2248500375,28.620276317475316,0.21787215000000004,12.4,"Saint Petersburg, Russia",Russian Federation,144.5,0.04027556805806315,0.02064955001260845,2018.0,0.00017469480968858132
nairobi,644.0,166404.0,112844506.69065647,6338514.958753031,319588.0,288552.0,34.323537451741345,0.09720801666666669,1.9279649666207135,0.08776790000000001,2.01,"Nairobi, Kenya",Kenya,51.39,0.05329741840332507,0.0029937344202184994,,
saudiarabia,3117.0,626427.0,425911723.02423894,60207743.469454706,1660573.0,1463771.0,129.54814908653935,0.5050909541666666,18.313188638625807,0.4452303458333333,23.34,Saudi Arabia,Saudi Arabia,33.7,0.041561805930875634,0.005875261032603724,,
