year,pkt_inland_yr_capita,country,gdp_capita,tw
1980,10.494642500685496,Australia,31.38279581449115,1
1981,10.547322622995196,Australia,32.01552096308347,1
1982,10.915986574537687,Australia,32.63492025228549,1
1983,10.876302691674894,Australia,31.456766382727665,1
1984,11.252589697205472,Australia,32.41151212246928,1
1985,11.552303472931563,Australia,33.588011978352036,1
1986,11.751099164467899,Australia,34.392363462844735,1
1987,11.85270449854786,Australia,34.67671122619029,1
1988,12.247064016532942,Australia,36.04751835476879,1
1989,12.640494393921266,Australia,36.8547721443756,1
1990,12.840210135015624,Australia,37.61264064895201,1
1991,12.654910733608704,Australia,36.96990208695423,1
1992,12.703949821859556,Australia,36.67902138134266,1
1993,12.913442328012346,Australia,37.72477844130816,1
1994,13.059919349401596,Australia,38.79372447626974,1
1995,13.280914538987385,Australia,39.844986781969034,1
1996,13.339223503216228,Australia,40.94441563990427,1
1997,13.275920693968565,Australia,42.110048720308505,1
1998,13.260957690859149,Australia,43.56346432066095,1
1999,13.408509053651214,Australia,45.260066551580465,1
2000,13.522515096624716,Australia,46.54188258068789,1
2001,13.254852920031258,Australia,46.937386546789526,1
2002,13.42813186433689,Australia,48.29796761140695,1
2003,13.61309528638402,Australia,49.174794361535945,1
2004,14.041027414486923,Australia,50.4837588765012,1
2005,13.87108466227261,Australia,51.32245117139105,1
2006,13.421052733118973,Australia,51.88483080528963,1
2007,13.336996194301012,Australia,52.84069919932707,1
2008,13.161237178886243,Australia,53.70534098932966,1
2009,12.870520123212783,Australia,53.6835108245744,1
2010,12.718126224328593,Australia,53.78657646411645,1
2011,12.635939222646197,Australia,54.168514312979745,1
2012,12.556549104959789,Australia,55.377433902102254,1
2013,12.48755159750587,Australia,55.981209098177814,1
2014,12.48792430920495,Australia,56.583681961786425,1
2015,12.537721523483203,Australia,57.100939029398404,1
2016,12.660922313811152,Australia,57.914356237506695,1
2017,12.709966434817977,Australia,58.27469390316758,1
2018,12.607491670013657,Australia,59.17339522595942,1
1995,17.041558085310655,Canada,37.814389235230074,0
1996,16.905424672414963,Canada,38.040118658078875,0
1997,16.77762087283981,Canada,39.289386116434805,0
1998,16.654453400839387,Canada,40.43384948693875,0
1999,16.533016533016532,Canada,42.12723304520179,0
2000,16.411664705113115,Canada,43.89769837359626,0
2001,15.576424870466322,Canada,44.25259921217212,0
2002,15.812431842966193,Canada,45.1489098069452,0
2003,15.402693089430894,Canada,45.51011372387894,0
2004,15.35024359578815,Canada,46.43234308084826,0
2005,15.941300833229697,Canada,47.39886927761822,0
2006,15.677628545963058,Canada,48.08470677973346,0
2007,15.288664176611704,Canada,48.48940036316465,0
1980,0.07294350802778625,China,0.3910599222294255,0
1985,0.16036794723635145,China,0.6404894828627037,0
1990,0.2226489611550501,China,0.8799187140443535,0
1991,0.240736626883964,China,0.9884924496703195,0
1992,0.26457370488874304,China,1.1047191765274058,0
1993,0.30363048759575884,China,1.2135032002984245,0
1994,0.34310824214240415,China,1.3218343526362883,0
1995,0.3709422275874129,China,1.431166233304487,0
1996,0.3921899018564503,China,1.5301233511205534,0
1997,0.43909806370226206,China,1.633921148026618,0
1998,0.46720865546839496,China,1.7587488846761394,0
1999,0.48374306972606634,China,1.8912528884269788,0
2000,0.5158587301083025,China,2.0494855113605546,0
2001,0.5547620330528892,China,2.2402714190217683,0
2002,0.5970694962030164,China,2.4512764369074085,0
2003,0.585081471659788,China,2.714109737772619,0
2004,0.6612122425996818,China,3.04133858587364,0
2005,0.6982452343595015,China,3.4540848957675823,0
2006,0.7569322979746905,China,3.765951804764117,0
2007,0.8548901406692749,China,4.096727333224554,0
2008,0.9217195429268845,China,4.507096075149291,0
2009,0.9926350071152148,China,4.909347882913546,0
2010,1.0973618709960689,China,5.2654770242887805,0
2011,1.2176007520534082,China,5.642267423722233,0
2012,1.334161967221642,China,6.020309573006114,0
2013,0.8083222512237077,China,6.4002270215959705,0
2014,0.7857921732332753,China,6.792097160079932,0
2015,0.7636006164134291,China,7.222591827395355,0
2016,0.723362486024176,China,7.660074511650587,0
1980,7.356767411300919,Austria,27.376200491746058,1
1981,7.587376725838264,Austria,27.354672925398585,1
1982,7.784661931070758,Austria,27.91585623669141,1
1983,7.993423648559767,Austria,28.742039499981505,1
1984,8.233732088865505,Austria,28.741655265734888,1
1985,8.30479317137229,Austria,29.42886803389691,1
1986,8.45783606557377,Austria,30.066658395235656,1
1987,8.644586987825644,Austria,30.418862408876368,1
1988,8.654915785350568,Austria,31.339379168783253,1
1989,8.730454013269156,Austria,32.43897270439845,1
1990,8.76773692387364,Austria,33.68651095231785,1
1991,8.75234787083494,Austria,34.62621074653448,1
1992,8.708977142127441,Austria,35.089291370534575,1
1980,7.5439254230418475,Belgium,27.401494984690064,0
1981,7.659548628681307,Belgium,27.291782712323524,0
1982,7.612234580384226,Belgium,27.42918070454689,0
1983,7.594665589007881,Belgium,27.49247771606322,0
1984,7.658186957399555,Belgium,28.14779545402565,0
1985,7.696480790561662,Belgium,28.580999763860355,0
1986,7.796152684056803,Belgium,29.066792930981844,0
1987,8.090927378797023,Belgium,29.698382822519047,0
1988,8.35154131940957,Belgium,31.048009117655827,0
1989,8.632765531062123,Belgium,32.05751713387713,0
1990,9.209353452583182,Belgium,32.974083058850994,0
1991,9.295945811335791,Belgium,33.47149060558354,0
1992,9.40146854534629,Belgium,33.85231243662712,0
1993,9.731594031030726,Belgium,33.3908507800147,0
1994,9.993796770382039,Belgium,34.34278947154853,0
1995,10.232475947378754,Belgium,35.058222841284916,0
1996,10.197492163009404,Belgium,35.54008149054357,0
1997,10.49911971830976,Belgium,36.80109492676545,0
1998,11.034482758620689,Belgium,37.480361668686506,0
1999,11.356411506582154,Belgium,38.747771666260356,0
2000,11.612526745769307,Belgium,40.05028472941943,0
2001,11.771489485415252,Belgium,40.230540414110195,0
2002,11.959479015918957,Belgium,40.765121761750784,0
2003,11.971398406756887,Belgium,40.8679608111533,0
2004,12.099236641221374,Belgium,42.10685846459774,0
2005,12.03754622167441,Belgium,42.71560195860641,0
2006,12.052924004143517,Belgium,43.489232913329,0
2007,12.227519162460272,Belgium,44.656938605273766,0
2008,12.118007236292792,Belgium,44.66847349754877,0
2009,12.068139963167589,Belgium,43.33635755226318,0
2010,11.589084925495932,Belgium,44.204040968131515,0
2011,11.588886871254767,Belgium,44.692544294654816,0
2012,11.551285520974288,Belgium,44.5105442981436,0
2013,10.895642818719741,Belgium,44.323958652900586,0
