region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,Year,pkt_inland_yr_capita_gt
sweden,3961.0,1248158.0,220888858.57378316,220888858.57378316,3862631.0,3862631.0,31009.397453627247,542.2539673076923,31009.397453627247,542.2539673076923,54.61,Sweden,Sweden,10.23,7.828678983495897,7.828678983495897,2018.0,1.3710459433040079
netherlands,5375.0,1479674.0,116717292.35140851,116717292.35140851,5157896.0,5157896.0,16385.312195486193,724.089246153846,16385.312195486193,724.089246153846,53.02,The Netherlands,The Netherlands,17.28,3.048430175904408,3.048430175904408,,
saopaulo,10943.0,3513796.0,746121271.0661204,746121271.0661204,10563784.0,10563784.0,104743.94766889767,1482.9927538461538,104743.94766889767,1482.9927538461538,27.13,"São Paulo, Brazil",Brazil,209.5,9.571776265091627,9.571776265091627,,
rio,6063.0,1593782.0,376859553.5559914,376859553.5559914,5744034.0,5744034.0,52905.28347997572,806.374003846154,52905.28347997572,806.374003846154,11.02,"Rio de Janeiro, Brazil",Brazil,209.5,8.72592503380764,8.72592503380764,,
australia,3310.0,847668.0,286545474.64568895,286545474.64568895,2975199.0,2975199.0,40226.5762483371,417.67216730769235,40226.5762483371,417.67216730769235,57.4,Australia,Australia,24.99,12.153044183787644,12.153044183787644,2018.0,1.3264796910764307
austria,729.0,168364.0,20886131.96210453,20886131.96210453,644026.0,644026.0,2932.091602372366,90.41134230769232,2932.091602372366,90.41134230769232,51.5,Austria,Austria,8.56,4.022073528631504,4.022073528631504,1992.0,0.9077219626168224
barcelona,1891.0,482357.0,106680231.80123428,106680231.80123428,1798983.0,1798983.0,14976.263310557888,252.54953653846152,14976.263310557888,252.54953653846152,33.1,"Barcelona, Spain",Spain,46.94,7.919758493155943,7.919758493155943,2016.0,0.8613400085215169
madrid,3172.0,671234.0,213450573.92432046,213450573.92432046,2960129.0,2960129.0,29965.17672399114,415.55657115384616,29965.17672399114,415.55657115384616,48.77,"Madrid, Spain",Spain,46.94,9.446777025217887,9.446777025217887,2016.0,0.8613400085215169
capetown,1092.0,193993.0,87743074.00480539,87743074.00480539,1003939.0,1003939.0,12317.777696828447,140.9375903846154,12317.777696828447,140.9375903846154,6.2,"Cape Town, South Africa",South Africa,57.78,11.280016205886856,11.280016205886856,,
johannesburg,1268.0,214187.0,84561299.02115655,84561299.02115655,1139380.0,1139380.0,11871.105439508518,159.95142307692308,11871.105439508518,159.95142307692308,16.37,"Johannesburg, South Africa",South Africa,57.78,9.362070535889998,9.362070535889998,,
cebu,1486.0,400094.0,54510867.593586564,54510867.593586564,1412647.0,1412647.0,7652.487181407344,198.3139057692308,7652.487181407344,198.3139057692308,3.1,"Cebu, Philippines",Philippines,106.7,5.1497221947559515,5.1497221947559515,,
manila,11997.0,3482176.0,397743318.3073958,397743318.3073958,11633862.0,11633862.0,55837.042762384415,1633.2152423076923,55837.042762384415,1633.2152423076923,9.6,"Manila, Philippines",Philippines,106.7,4.654250459480238,4.654250459480238,,
egypt,1464.0,234322.0,52190969.83928081,52190969.83928081,1333353.0,1333353.0,7326.809227437498,187.18224807692306,7326.809227437498,187.18224807692306,2.55,Egypt,Egypt,98.42,5.004651111637635,5.004651111637635,,
guadalajara,684.0,212681.0,39155291.77353596,39155291.77353596,687994.0,687994.0,5496.800575900241,96.58377307692308,5496.800575900241,96.58377307692308,17.88,"Guadalajara, Mexico",Mexico,126.2,8.036258151900936,8.036258151900936,2018.0,0.42804437400950873
mexicocity,15615.0,4613752.0,734463358.5549073,734463358.5549073,15294287.0,15294287.0,103107.35610482353,2147.0825980769227,103107.35610482353,2147.0825980769227,10.12,"Mexico City, Mexico",Mexico,126.2,6.603096772643197,6.603096772643197,2018.0,0.42804437400950873
jakarta,13088.0,4650699.0,656711308.8430097,656711308.8430097,13242493.0,13242493.0,92192.1645106533,1859.0422865384614,92192.1645106533,1859.0422865384614,19.03,"Jakarta, Indonesia",Indonesia,267.7,7.044022349530356,7.044022349530356,,
surabaya,2414.0,803844.0,107048666.50062686,107048666.50062686,2426795.0,2426795.0,15027.985874126463,340.68468269230766,15027.985874126463,340.68468269230766,14.2,"Surabaya, Indonesia",Indonesia,267.7,6.225346261030018,6.225346261030018,,
kualalumpur,4663.0,1543306.0,176086946.02342597,176086946.02342597,4609457.0,4609457.0,24719.89819175018,647.096848076923,24719.89819175018,647.096848076923,11.14,"Kuala Lumpur, Malaysia",Malaysia,31.53,5.301286337497358,5.301286337497358,,
lagos,812.0,96943.0,18110538.575231705,18110538.575231705,666275.0,666275.0,2542.440992292143,93.53475961538462,2542.440992292143,93.53475961538462,2.22,"Lagos, Nigeria",Nigeria,195.9,3.1310849658770237,3.1310849658770237,,
moscow,4206.0,1628759.0,506742944.91430575,506742944.91430575,4204292.0,4204292.0,71138.91342066215,590.2179153846154,71138.91342066215,590.2179153846154,22.06,"Moscow, Russia",Russian Federation,144.5,16.91367413710465,16.91367413710465,2018.0,0.1746948096885813
stpertersburg,1386.0,508124.0,154742010.1272998,154742010.1272998,1368048.0,1368048.0,21723.39757556324,192.0528923076923,21723.39757556324,192.0528923076923,12.4,"Saint Petersburg, Russia",Russian Federation,144.5,15.6734470242159,15.6734470242159,2018.0,0.1746948096885813
nairobi,644.0,166404.0,14006101.25250641,14006101.25250641,587864.0,587864.0,1966.241137371092,82.52706153846154,1966.241137371092,82.52706153846154,2.01,"Nairobi, Kenya",Kenya,51.39,3.053169467967534,3.053169467967534,,
saudiarabia,3117.0,626427.0,160459005.44047073,160459005.44047073,3045732.0,3045732.0,22525.97576375839,427.5739153846154,22525.97576375839,427.5739153846154,23.34,Saudi Arabia,Saudi Arabia,33.7,7.226812885389282,7.226812885389282,,
