region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,days,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,city
sweden,3961,1248158,176763814.71381864,176763814.71381864,4701207.0,4701207.0,887830.0,28784.670103479722,765.5565297810391,28784.670103479722,765.5565297810391,54.61,Sweden,Sweden,10.23,7.267020980429114,7.267020980429114,0
netherlands,5375,1479674,97667013.49789688,97667013.49789688,6271599.0,6271599.0,1139811.0,16810.7231906155,1079.4853960985636,16810.7231906155,1079.4853960985636,53.02,The Netherlands,The Netherlands,17.28,3.127576407556372,3.127576407556372,0
saopaulo,10943,3513796,664979353.4009227,664979353.4009227,12842293.0,12842293.0,2379655.0,111615.22188961,2155.548703031952,111615.22188961,2155.548703031952,27.13,"São Paulo, Brazil",Brazil,209.5,10.199691299425202,10.199691299425202,1
australia,3310,847668,233074190.76536542,233074190.76536542,3619169.0,3619169.0,670983.0,41966.574946485416,651.6557092131992,41966.574946485416,651.6557092131992,57.4,Australia,Australia,24.99,12.678723548787135,12.678723548787135,0
austria,729,168364,17589989.832363248,17589989.832363248,784519.0,784519.0,144410.0,3241.0722557609415,144.55282744616022,3241.0722557609415,144.55282744616022,51.5,Austria,Austria,8.56,4.44591530282708,4.44591530282708,0
barcelona,1891,482357,87238755.88960417,87238755.88960417,2187186.0,2187186.0,410307.0,14675.230472875954,367.9265976427407,14675.230472875954,367.9265976427407,33.1,"Barcelona, Spain",Spain,46.94,7.760566088247463,7.760566088247463,1
capetown,1092,193993,71608130.5495854,71608130.5495854,1221720.0,1221720.0,225894.0,12634.938809553929,215.56710563361574,12634.938809553929,215.56710563361574,6.2,"Cape Town, South Africa",South Africa,57.78,11.570456785305796,11.570456785305796,1
cebu,1486,400094,44467559.92617367,44467559.92617367,1714874.0,1714874.0,322455.0,7479.728901197791,288.4528101161403,7479.728901197791,288.4528101161403,3.1,"Cebu, Philippines",Philippines,106.7,5.0334649402407745,5.0334649402407745,1
egypt,1464,234322,43956376.885297075,43956376.885297075,1619551.0,1619551.0,294621.0,7972.455986649746,293.7412039060352,7972.455986649746,293.7412039060352,2.55,Egypt,Egypt,98.42,5.4456666575476405,5.4456666575476405,0
guadalajara,684,212681,31832586.73302779,31832586.73302779,836127.0,836127.0,157386.0,5049.5746786675545,132.63407597880374,5049.5746786675545,132.63407597880374,17.88,"Guadalajara, Mexico",Mexico,126.2,7.382419120858998,7.382419120858998,1
