distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 9.548]",4.787094290251301e-06,5.0010351380545695e-06,5.779524704508828e-10,3.0255317545919597e-09,0.7914215764415061,0.8267911331637336
"(9.548, 14.357]",3.6439065584598034e-07,2.8887766839970393e-07,5.486737033074813e-12,3.3270485686246113e-12,0.06024252078708085,0.04775841165051265
"(14.357, 18.128]",1.6388285983749846e-07,1.5376697245174568e-07,2.2051137693941197e-12,1.3019262562198955e-12,0.027093769919774597,0.025421370953612403
"(18.128, 21.389]",1.1065204687260643e-07,1.1039462683745329e-07,1.4228822356066599e-12,7.754121970739463e-13,0.018293438997166785,0.018250881287275127
"(21.389, 24.365]",8.30894367071631e-08,7.428051801860884e-08,1.1407041277074356e-12,4.32010532965396e-13,0.013736511855301618,0.01228020379987245
"(24.365, 27.157]",5.8506940024165363e-08,5.7946369386167234e-08,7.49668096185459e-13,3.0524354389567895e-13,0.009672601352555115,0.009579925572398711
"(27.157, 29.803]",4.810422095482044e-08,4.047704071720384e-08,6.469584506186542e-13,1.4688873001818963e-13,0.007952782225134734,0.006691826279531007
"(29.803, 32.325]",3.7951473452038696e-08,3.358850417581449e-08,5.119319540778462e-13,1.155272899029011e-13,0.006274289396984846,0.005552985864362355
"(32.325, 34.744]",3.02887997544319e-08,3.228749125345894e-08,3.920630884017208e-13,2.0868293908504956e-13,0.00500740495300219,0.005337832629004339
"(34.744, 37.052]",2.7242754193744015e-08,2.5381607717888467e-08,3.598284088906063e-13,9.807156978784225e-14,0.004503881094326536,0.004196188914352193
"(37.052, 39.226]",2.2726291445650074e-08,2.1371419675947338e-08,2.8652291213238606e-13,5.3198172237156e-14,0.003757201406960653,0.003533208586506318
"(39.226, 41.315]",1.9798781064776776e-08,1.673172537160848e-08,2.482514670238854e-13,3.284095092074899e-14,0.0032732136807531557,0.0027661557653358006
"(41.315, 43.341]",1.714914178391107e-08,1.4677881707421927e-08,2.1168257053798187e-13,3.3326584578265e-14,0.0028351647162833137,0.002426606115397823
"(43.341, 45.324]",1.3927377591689522e-08,1.3062942860570301e-08,1.7637119507353093e-13,3.311926214741701e-14,0.002302501918213295,0.0021595918395952035
"(45.324, 47.269]",1.2912961088847602e-08,1.1057690811208696e-08,1.6113856198892631e-13,1.8210310823458262e-14,0.002134822379052641,0.0018281016756722663
"(47.269, 49.172]",1.652081760541327e-08,1.1297199927878539e-08,2.2061725409635826e-13,1.9548539000581697e-14,0.0027312876497973433,0.0018676982808765916
"(49.172, 51.036]",1.6307416038491144e-08,1.167236022567113e-08,2.1963579902126748e-13,3.263780769252514e-14,0.00269600724914751,0.0019297212819488537
"(51.036, 52.866]",1.3776990810548077e-08,1.1006954774451009e-08,1.8295249993225404e-13,2.532552052156928e-14,0.0022776396747814292,0.0018196917772217898
"(52.866, 54.664]",1.3392674313042999e-08,9.351453298649179e-09,1.7533159378696583e-13,1.6323714481843515e-14,0.0022141304881295207,0.0015460196651458768
"(54.664, 56.437]",1.0442359421646085e-08,9.052596790238133e-09,1.389604611793217e-13,1.3966618972119072e-14,0.0017263726290242174,0.001496611511749329
"(56.437, 58.172]",9.97667462437557e-09,8.507872516042112e-09,1.330410336502804e-13,2.3898195373800835e-14,0.0016493837556002665,0.0014065555158421462
"(58.172, 59.897]",8.271646628314853e-09,7.225544944491169e-09,1.041195947143598e-13,1.4076574036119838e-14,0.001367501707179525,0.001194555992403058
"(59.897, 61.592]",7.188926052210073e-09,5.447308640542864e-09,8.716926522486848e-14,4.652496896202487e-15,0.0011884876328034737,0.0009005599590718274
"(61.592, 63.286]",6.9786397975776456e-09,4.6757266493245885e-09,8.644203797568575e-14,4.354249973003142e-15,0.0011537366458947266,0.0007730098325729383
"(63.286, 64.964]",6.734394582850793e-09,4.02078579046634e-09,8.86658008324722e-14,3.0787518687396273e-15,0.0011133570500152245,0.0006647323900230572
"(64.964, 66.644]",6.9605423096085175e-09,3.5757019808580184e-09,9.807441613349312e-14,3.3866691627548845e-15,0.001150737736251409,0.0005911457785813902
"(66.644, 68.325]",8.14923574135864e-09,3.276843664734141e-09,1.0927181490297288e-13,2.370440373645139e-15,0.0013472561004686345,0.0005417376251848424
"(68.325, 69.996]",6.481140196857446e-09,3.2174764522550884e-09,8.398763731080974e-14,2.7599973614186188e-15,0.0010714880219052604,0.0005319260769926202
"(69.996, 71.656]",4.108926946125343e-09,2.799925160361642e-09,5.825316020585384e-14,2.5136983930923147e-15,0.0006793042384412262,0.00046289482721162807
"(71.656, 73.323]",4.229735887364454e-09,2.725740920685141e-09,5.729587003227422e-14,1.746877451017e-15,0.000699276855842641,0.0004506303919713503
"(73.323, 74.976]",4.403701583198165e-09,2.6070461372027396e-09,5.4707907329195e-14,2.200570279532376e-15,0.0007280375605406535,0.0004310072955869057
"(74.976, 76.623]",3.9593807499533005e-09,2.568925319975857e-09,5.258702157377751e-14,2.1799978555466703e-15,0.0006545727443437795,0.00042469987174904866
"(76.623, 78.265]",4.843343587757938e-09,2.7723710141960843e-09,6.06351380503315e-14,2.9572564106988007e-15,0.0008007209353024933,0.00045833946555095346
"(78.265, 79.907]",5.6240369138961154e-09,2.6346002833682972e-09,8.416773274507175e-14,2.178886938633101e-15,0.0009297882787529613,0.0004355626572475804
"(79.907, 81.548]",3.730182348460181e-09,2.7511755171456556e-09,4.569057384423308e-14,2.153749291561577e-15,0.000616688666576831,0.0004548353411965884
"(81.548, 83.185]",2.966494812623439e-09,2.4353920731454284e-09,3.591662048101737e-14,1.8174711069641107e-15,0.0004904268554125322,0.00040262388831654853
"(83.185, 84.836]",4.3311172546816266e-09,2.473514505785039e-09,5.889681024831743e-14,1.8454853082421698e-15,0.0007160376290129852,0.00040893131215440575
"(84.836, 86.488]",3.557219972917329e-09,2.2636790849857933e-09,4.1265836322627054e-14,2.102718113273728e-15,0.0005880938348025845,0.0003742404810461913
"(86.488, 88.138]",3.264866383954641e-09,2.0813978103521054e-09,4.5909099762282555e-14,1.2701771073921438e-15,0.0005397607700609171,0.0003441050115986515
"(88.138, 89.792]",2.374888189349364e-09,1.911833833948675e-09,3.380131463352194e-14,1.2069802079886994e-15,0.0003926260150159943,0.0003160720167637308
"(89.792, 91.432]",2.399620029232119e-09,1.6447904688954331e-09,2.931971202699072e-14,1.0044365983124506e-15,0.00039670998247271237,0.0002719200498987308
"(91.432, 93.067]",2.1183303123129794e-09,1.6044991267174585e-09,2.5172003309938405e-14,1.0052980544799148e-15,0.000350210840552831,0.0002652622136254371
"(93.067, 94.701]",1.5502411873226915e-09,1.4497719982493285e-09,2.0592846363821497e-14,1.3422232791501546e-15,0.00025629207405293667,0.000239682105838572
"(94.701, 96.328]",1.4808145930603792e-09,1.2017846827593115e-09,1.9260423514031987e-14,5.771354157923742e-16,0.0002448141917831141,0.00019868385089250043
"(96.328, 97.964]",2.592605526642082e-09,1.0767442760294844e-09,3.56941555365364e-14,5.558881536688221e-16,0.0004286147308755223,0.00017800951720174643
"(97.964, 99.604]",1.5612226755136551e-09,1.1975455833492258e-09,1.6234740784929067e-14,6.959809575239609e-16,0.00025810757760661953,0.00019798302602162742
"(99.604, 101.258]",2.91525582362368e-09,1.0279816069457958e-09,3.734077275251695e-14,7.513196879816887e-16,0.00048196175378476127,0.00016995003118670674
"(101.258, 102.912]",3.2641462482284854e-09,9.60156016384424e-10,3.809587858240622e-14,5.642888265996483e-16,0.0005396417143421261,0.0001587368332527385
"(102.912, 104.567]",2.360866614043013e-09,1.0555485225643372e-09,2.6968786295498802e-14,5.603897298060187e-16,0.00039030319036681904,0.00017450539284738137
"(104.567, 106.225]",1.9026710726685475e-09,1.0279816069457958e-09,2.5657779515661382e-14,7.750867621157987e-16,0.00031455719241785496,0.00016995003118670674
"(106.225, 107.893]",1.2281475084047365e-09,9.495582678592096e-10,1.522661652383765e-14,4.105658045887833e-16,0.00020304225867950464,0.00015698477107555596
"(107.893, 109.561]",2.251765033212601e-09,9.792319637298095e-10,3.18734674617847e-14,5.397420355120785e-16,0.0003722708023508401,0.00016189054517166702
"(109.561, 111.232]",3.522760858203973e-09,1.0724921507516962e-09,6.208602003501398e-14,5.841139541815047e-16,0.0005823969161217136,0.00017730869233087342
"(111.232, 112.913]",1.5324942558212718e-09,9.601676319711743e-10,1.499149972222795e-14,7.603763757294486e-16,0.0002533550153608843,0.00015873683325273846
"(112.913, 114.61]",1.1184044100235246e-09,9.85590612844938e-10,1.3215985171933578e-14,3.3761812955118486e-15,0.00018489909068272918,0.00016294178247797653
"(114.61, 116.317]",2.1117591244797264e-09,6.570604085632922e-10,2.6037021711251042e-14,3.18938327685177e-16,0.0003491244654954863,0.00010862785498531772
"(116.317, 118.032]",2.9781487076951e-09,6.379844612179062e-10,4.897989497529754e-14,2.989095632416975e-16,0.0004923594569509847,0.00010547414306638913
"(118.032, 119.771]",9.183131742491619e-10,5.362525626682277e-10,1.0668034476056376e-14,2.292160174836691e-16,0.00015181737059321996,8.865434616543674e-05
"(119.771, 121.522]",1.1383106213621291e-09,6.337453618078205e-10,1.4474584671460314e-14,3.152548177306495e-16,0.00018819006516607262,0.00010477331819551613
"(121.522, 123.279]",1.546723232674754e-09,5.807566191817486e-10,1.8822654561683534e-14,3.739941373213909e-16,0.000255710471718721,9.60130073096034e-05
"(123.279, 125.048]",1.6718365763054863e-09,4.917355315699477e-10,2.0709850964009476e-14,2.1069097764460254e-16,0.0002763947101411282,8.129568502127003e-05
"(125.048, 126.829]",1.6837048506866023e-09,5.320069759657622e-10,2.1905357938315575e-14,2.6932471407434238e-16,0.00027835682073491184,8.795352129456367e-05
"(126.829, 128.615]",1.7282209409648569e-09,5.362525626682276e-10,2.111557206251949e-14,3.079454029840339e-16,0.00028571294240219207,8.865434616543672e-05
"(128.615, 130.41]",7.62534618968048e-10,6.08310765347306e-10,9.698811102210901e-15,3.70247768053242e-16,0.00012606527334627356,0.00010056836897027801
"(130.41, 132.216]",1.129667504301596e-09,5.320069759657623e-10,1.4173069169555877e-14,2.3664498713994133e-16,0.00018676115048115705,8.795352129456368e-05
"(132.216, 134.037]",1.5288147715890733e-09,4.6418138540439036e-10,1.886993592186188e-14,2.1294548047844906e-16,0.00025274977329819195,7.674032336059543e-05
"(134.037, 135.874]",7.215530146539473e-10,5.065785078170213e-10,8.82931397002085e-15,2.9163628705601633e-16,0.00011928858748861987,8.374857206932558e-05
"(135.874, 137.745]",1.12996912813463e-09,4.980941806850762e-10,1.4695973525539286e-14,2.604469950950003e-16,0.00018681101613972958,8.234692232757955e-05
"(137.745, 139.623]",7.720649034346403e-10,4.768986836346477e-10,8.604849018930993e-15,2.797784084123451e-16,0.00012764085809542847,7.88427979732145e-05
"(139.623, 141.518]",1.5409885704994125e-09,4.239099410085756e-10,1.8803741474045344e-14,3.043359366182366e-16,0.00025476239442924487,7.008248708730175e-05
"(141.518, 143.433]",8.524023038467768e-10,4.090730930732755e-10,9.646023449046038e-15,1.877410880651249e-16,0.00014092255848116453,6.76296000392462e-05
"(143.433, 145.368]",1.1231980039041634e-09,4.111976172238583e-10,1.241372509671476e-14,2.553300533470714e-16,0.00018568934040144412,6.79800124746827e-05
"(145.368, 147.331]",4.811153312884204e-10,4.790182333396904e-10,4.4269578110876065e-15,3.6964563135627317e-16,7.953991102992682e-05,7.919321040865098e-05
"(147.331, 149.329]",1.0220262409816587e-09,3.921166954329324e-10,1.0875322055751326e-14,2.0112365264037515e-16,0.00016896546626405173,6.482630055575412e-05
"(149.329, 151.372]",1.864979684779537e-09,2.373895669648024e-10,2.4412956011571553e-14,9.5011942389065e-17,0.0003083259014064922,3.924619276888899e-05
"(151.372, 153.465]",4.2666660018824603e-10,3.285341787097837e-10,5.12754312227873e-15,2.0711374911791525e-16,7.053737567632121e-05,5.431392749265886e-05
"(153.465, 155.629]",1.1538446869088457e-09,2.3738956696480234e-10,1.5870399269281113e-14,1.0986636372288366e-16,0.000190758219018518,3.924619276888898e-05
"(155.629, 157.85]",1.1895595278843083e-09,2.3103091784967376e-10,1.811215034493859e-14,1.01699410528801e-16,0.00019666273938794538,3.8194955462579464e-05
"(157.85, 160.141]",7.696623899890835e-10,2.543459646051453e-10,1.2076687426005375e-14,1.2025612054291455e-16,0.00012724366496255524,4.2049492252381045e-05
"(160.141, 162.483]",6.326301503158841e-10,2.6070461372027396e-10,7.586521224422898e-15,1.239664508306553e-16,0.00010458894697082322,4.310072955869058e-05
"(162.483, 164.899]",7.697258553714036e-10,2.54349041581768e-10,1.0839744032116719e-14,1.0540297354213956e-16,0.00012725261786171118,4.2049492252381045e-05
"(164.899, 167.404]",3.034369771341506e-10,2.0983542079924493e-10,4.13857948194424e-15,1.0913596563341285e-16,5.016541480772631e-05,3.469083110821437e-05
