distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 9.548]",4.787094290251295e-06,4.885860992443174e-06,5.779524704516054e-10,2.2994468292529328e-09,0.7914215764415061,0.8077500827148835
"(9.548, 14.357]",3.643906558459808e-07,2.9794961762324984e-07,5.486737033055658e-12,5.423817518939578e-12,0.06024252078708085,0.04925822258394051
"(14.357, 18.128]",1.6388285983749862e-07,1.547339653702415e-07,2.205113769388795e-12,2.277685455976931e-12,0.027093769919774597,0.025581238090868035
"(18.128, 21.389]",1.106520468726063e-07,1.0546889119406342e-07,1.4228822356028166e-12,1.649657564007731e-12,0.018293438997166785,0.017436538967766552
"(21.389, 24.365]",8.308943670716318e-08,7.55163474931288e-08,1.1407041277030168e-12,1.038057449689457e-12,0.013736511855301618,0.012484513600258892
"(24.365, 27.157]",5.850694002416541e-08,5.691960312155687e-08,7.49668096182322e-13,7.921807609079613e-13,0.009672601352555115,0.009410176466468472
"(27.157, 29.803]",4.810422095482041e-08,4.447368964547045e-08,6.469584506172593e-13,4.63022150363087e-13,0.007952782225134734,0.007352568266948098
"(29.803, 32.325]",3.7951473452038676e-08,4.1851575245286034e-08,5.119319540761885e-13,5.298282826230598e-13,0.006274289396984846,0.006919069825851963
"(32.325, 34.744]",3.0288799754431924e-08,2.8354237447365434e-08,3.9206308840304107e-13,2.1330521233397988e-13,0.00500740495300219,0.004687579243273529
"(34.744, 37.052]",2.7242754193744005e-08,2.6513301595181406e-08,3.5982840888935126e-13,2.3735788551538874e-13,0.004503881094326536,0.0043832850729219235
"(37.052, 39.226]",2.272629144565007e-08,2.3219224730325677e-08,2.865229121316769e-13,2.49031393718313e-13,0.003757201406960653,0.003838695109316473
"(39.226, 41.315]",1.979878106477676e-08,1.9187449942298146e-08,2.482514670244083e-13,1.679731016579576e-13,0.0032732136807531557,0.003172145974260578
"(41.315, 43.341]",1.7149141783911068e-08,1.3819054164761641e-08,2.116825705380779e-13,5.565525628607913e-14,0.0028351647162833137,0.0022846213107350632
"(43.341, 45.324]",1.3927377591689524e-08,1.3088818522844082e-08,1.7637119507293414e-13,7.13748042179245e-14,0.002302501918213295,0.0021638696558336323
"(45.324, 47.269]",1.2912961088847589e-08,1.2562776513419725e-08,1.6113856198844568e-13,8.255314945221426e-14,0.002134822379052641,0.0020769284643046026
"(47.269, 49.172]",1.6520817605413236e-08,1.1233459463743975e-08,2.2061725409677135e-13,6.005931565645765e-14,0.0027312876497973433,0.0018571604523839995
"(49.172, 51.036]",1.6307416038491138e-08,1.3081356241589916e-08,2.1963579902069056e-13,1.9854512253110862e-13,0.00269600724914751,0.0021626621392846182
