distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 9.548]",4.787094290251301e-06,4.811136744770402e-06,5.779524704508828e-10,4.158564847894958e-09,0.7914215764415061,0.7953963711924219
"(9.548, 14.357]",3.6439065584598034e-07,2.234551743870912e-07,5.486737033074813e-12,3.233321104325134e-12,0.06024252078708085,0.03694250325037147
"(14.357, 18.128]",1.6388285983749846e-07,1.2406374523592967e-07,2.2051137693941197e-12,1.978611130250356e-12,0.027093769919774597,0.020510714617384837
"(18.128, 21.389]",1.1065204687260643e-07,9.329137234614055e-08,1.4228822356066599e-12,9.464919158523631e-13,0.018293438997166785,0.01542330284175334
"(21.389, 24.365]",8.30894367071631e-08,7.088439530129082e-08,1.1407041277074356e-12,5.773536215950448e-13,0.013736511855301618,0.01171875
"(24.365, 27.157]",5.8506940024165363e-08,6.272964889997804e-08,7.49668096185459e-13,1.0057707516611028e-12,0.009672601352555115,0.01037071647473997
"(27.157, 29.803]",4.810422095482044e-08,4.513164329700392e-08,6.469584506186542e-13,4.0495814059811937e-13,0.007952782225134734,0.007461343796433877
"(29.803, 32.325]",3.7951473452038696e-08,4.1796360439582394e-08,5.119319540778462e-13,4.409601143559812e-13,0.006274289396984846,0.0069099414933135195
"(32.325, 34.744]",3.02887997544319e-08,3.851420586702131e-08,3.920630884017208e-13,4.49915193058347e-13,0.00500740495300219,0.006367245542347697
"(34.744, 37.052]",2.7242754193744015e-08,3.2361020777139925e-08,3.598284088906063e-13,4.5068971815113044e-13,0.004503881094326536,0.005350053398959881
"(37.052, 39.226]",2.2726291445650074e-08,2.7586300054936472e-08,2.8652291213238606e-13,2.1673348152211629e-13,0.003757201406960653,0.004560677470282317
"(39.226, 41.315]",1.9798781064776776e-08,2.2864241693639677e-08,2.482514670238854e-13,7.371598786496613e-14,0.0032732136807531557,0.003780007893759286
"(41.315, 43.341]",1.714914178391107e-08,2.1495020310066632e-08,2.1168257053798187e-13,1.2380415207079677e-13,0.0028351647162833137,0.0035536427377414557
"(43.341, 45.324]",1.3927377591689522e-08,1.8511043795247934e-08,1.7637119507353093e-13,8.5155856194819e-14,0.002302501918213295,0.0030602827823179787
