distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 9.548]",4.787094290251301e-06,4.3096145895375115e-06,5.779524704508828e-10,2.7742835695595814e-09,0.7914215764415061,0.7124827224006995
"(9.548, 14.357]",3.6439065584598034e-07,2.552337254046103e-07,5.486737033074813e-12,3.160305291905064e-12,0.06024252078708085,0.04219626041879179
"(14.357, 18.128]",1.6388285983749846e-07,1.49350955297826e-07,2.2051137693941197e-12,1.497966821784019e-12,0.027093769919774597,0.024691297333657783
"(18.128, 21.389]",1.1065204687260643e-07,1.1402035534035982e-07,1.4228822356066599e-12,9.086880831663387e-13,0.018293438997166785,0.018850301226289647
"(21.389, 24.365]",8.30894367071631e-08,9.02579142261287e-08,1.1407041277074356e-12,6.357647489714184e-13,0.013736511855301618,0.01492161889569205
"(24.365, 27.157]",5.8506940024165363e-08,7.801079729702278e-08,7.49668096185459e-13,7.473750903798202e-13,0.009672601352555115,0.012897057052332996
"(27.157, 29.803]",4.810422095482044e-08,5.6526977572571114e-08,6.469584506186542e-13,2.822522158746623e-13,0.007952782225134734,0.009345266040207746
"(29.803, 32.325]",3.7951473452038696e-08,5.298846608854378e-08,5.119319540778462e-13,3.4929749293417586e-13,0.006274289396984846,0.008760265167622412
"(32.325, 34.744]",3.02887997544319e-08,5.186410456712261e-08,3.920630884017208e-13,5.30200939718679e-13,0.00500740495300219,0.008574277495245844
"(34.744, 37.052]",2.7242754193744015e-08,4.4171922769097533e-08,3.598284088906063e-13,4.055763678384744e-13,0.004503881094326536,0.00730267895987828
"(37.052, 39.226]",2.2726291445650074e-08,3.787793175409093e-08,2.8652291213238606e-13,2.129006273463041e-13,0.003757201406960653,0.006262131189313329
"(39.226, 41.315]",1.9798781064776776e-08,3.2461134762435636e-08,2.482514670238854e-13,9.354050661736903e-14,0.0032732136807531557,0.0053666046434649095
