country,runid,p,gamma,beta,national
netherlands,20200907_204718,0.3,0.2,0.01,0.012216833056630518
netherlands,20200907_210613,0.3,0.5,0.01,0.009830113037493418
netherlands,20200907_212238,0.3,0.8,0.01,0.00894356009478015
netherlands,20200907_213838,0.6,0.2,0.01,0.018823724263300836
netherlands,20200907_215600,0.6,0.5,0.01,0.012736179976395375
netherlands,20200907_221255,0.6,0.8,0.01,0.010228962277491602
netherlands,20200907_222919,0.9,0.2,0.01,0.025854634514457922
netherlands,20200907_224517,0.9,0.5,0.01,0.015867811574432948
netherlands,20200907_230212,0.9,0.8,0.01,0.011920426634509087
netherlands,20200907_231843,0.3,0.2,0.03,0.0032833355378999725
netherlands,20200907_233548,0.3,0.5,0.03,0.0038661737779936475
netherlands,20200907_235210,0.3,0.8,0.03,0.005207499806072176
netherlands,20200908_000808,0.6,0.2,0.03,0.008008215546899296
netherlands,20200908_002522,0.6,0.5,0.03,0.003342520526295649
netherlands,20200908_004216,0.6,0.8,0.03,0.0036358227914892157
netherlands,20200908_005840,0.9,0.2,0.03,0.016525597459924705
netherlands,20200908_011431,0.9,0.5,0.03,0.005181169323842995
netherlands,20200908_013122,0.9,0.8,0.03,0.003245924871992857
netherlands,20200908_014757,0.3,0.2,0.05,0.0031359453186617058
netherlands,20200908_020501,0.3,0.5,0.05,0.008869537191400403
netherlands,20200908_022124,0.3,0.8,0.05,0.014924334611894415
netherlands,20200908_023721,0.6,0.2,0.05,0.00433632150275288
netherlands,20200908_025437,0.6,0.5,0.05,0.0030596018567309465
netherlands,20200908_031131,0.6,0.8,0.05,0.008168940302089405
netherlands,20200908_032756,0.9,0.2,0.05,0.012632235144422474
netherlands,20200908_034347,0.9,0.5,0.05,0.0023172364608951114
netherlands,20200908_040042,0.9,0.8,0.05,0.00450061730950084
netherlands,20200908_041714,0.3,0.2,0.07,0.005108761891406193
netherlands,20200908_043417,0.3,0.5,0.07,0.015287151469150858
netherlands,20200908_045043,0.3,0.8,0.07,0.026225012917424195
netherlands,20200908_050643,0.6,0.2,0.07,0.0029267818959227486
netherlands,20200908_052400,0.6,0.5,0.07,0.0049491955179365435
netherlands,20200908_054057,0.6,0.8,0.07,0.013983645904658781
netherlands,20200908_055720,0.9,0.2,0.07,0.010611945251380154
netherlands,20200908_061313,0.9,0.5,0.07,0.0020236228640753222
netherlands,20200908_063006,0.9,0.8,0.07,0.007673949484816705
