distance,model_sum,groundtruth_sum
"(-0.001, 9.548]",0.8104411540908635,0.7914215764415061
"(9.548, 14.357]",0.033352594761453115,0.06024252078708085
"(14.357, 18.128]",0.02004480107100279,0.027093769919774597
"(18.128, 21.389]",0.014758858712651498,0.018293438997166785
"(21.389, 24.365]",0.011219922269187162,0.013736511855301618
"(24.365, 27.157]",0.008879911453586417,0.009672601352555115
"(27.157, 29.803]",0.007092473386378071,0.007952782225134734
"(29.803, 32.325]",0.006268668282829644,0.006274289396984846
"(32.325, 34.744]",0.006155795190932415,0.00500740495300219
"(34.744, 37.052]",0.005510565426803486,0.004503881094326536
"(37.052, 39.226]",0.004416651083441293,0.003757201406960653
"(39.226, 41.315]",0.003847793162586108,0.0032732136807531557
"(41.315, 43.341]",0.0035557831735982546,0.0028351647162833137
"(43.341, 45.324]",0.003061612423003423,0.002302501918213295
"(45.324, 47.269]",0.0029807481183606334,0.002134822379052641
"(47.269, 49.172]",0.002897637583033322,0.0027312876497973433
"(49.172, 51.036]",0.0028527129693428823,0.00269600724914751
"(51.036, 52.866]",0.0028201426244173137,0.0022776396747814292
"(52.866, 54.664]",0.002525886404744938,0.0022141304881295207
"(54.664, 56.437]",0.002393920352029273,0.0017263726290242174
"(56.437, 58.172]",0.0023888663329890984,0.0016493837556002665
"(58.172, 59.897]",0.0022080447628850816,0.001367501707179525
"(59.897, 61.592]",0.001883464428971659,0.0011884876328034737
"(61.592, 63.286]",0.0017279129540685137,0.0011537366458947266
"(63.286, 64.964]",0.0015369833458841473,0.0011133570500152245
"(64.964, 66.644]",0.0013224683155123008,0.001150737736251409
"(66.644, 68.325]",0.0013028137970227333,0.0013472561004686345
"(68.325, 69.996]",0.001169724628964808,0.0010714880219052604
"(69.996, 71.656]",0.001092791228019931,0.0006793042384412262
"(71.656, 73.323]",0.0010787522862416687,0.000699276855842641
"(73.323, 74.976]",0.001119745996234194,0.0007280375605406535
"(74.976, 76.623]",0.001078190728570538,0.0006545727443437795
"(76.623, 78.265]",0.0011214306692475856,0.0008007209353024933
"(78.265, 79.907]",0.001151754783488632,0.0009297882787529613
"(79.907, 81.548]",0.0010838063052818433,0.000616688666576831
"(81.548, 83.185]",0.0011079532851404538,0.0004904268554125322
"(83.185, 84.836]",0.0009276932727075671,0.0007160376290129852
"(84.836, 86.488]",0.0009187083499694795,0.0005880938348025845
"(86.488, 88.138]",0.0008911920240840855,0.0005397607700609171
"(88.138, 89.792]",0.0008288591225886013,0.0003926260150159943
"(89.792, 91.432]",0.0007727033554755522,0.00039670998247271237
"(91.432, 93.067]",0.0008647988135409526,0.000350210840552831
"(93.067, 94.701]",0.0006879081471348487,0.00025629207405293667
"(94.701, 96.328]",0.0006676920709741509,0.0002448141917831141
"(96.328, 97.964]",0.0005716657092108375,0.0004286147308755223
"(97.964, 99.604]",0.0006547762445381496,0.00025810757760661953
"(99.604, 101.258]",0.0005969358044117094,0.00048196175378476127
"(101.258, 102.912]",0.0005845815356468385,0.0005396417143421261
"(102.912, 104.567]",0.0006143440922167545,0.00039030319036681904
"(104.567, 106.225]",0.0005823353049623166,0.00031455719241785496
"(106.225, 107.893]",0.0005834584203045776,0.00020304225867950464
"(107.893, 109.561]",0.0005806506319489251,0.0003722708023508401
"(109.561, 111.232]",0.0006626380519339765,0.0005823969161217136
"(111.232, 112.913]",0.0006149056498878849,0.0002533550153608843
"(112.913, 114.61]",0.0004806933664876982,0.00018489909068272918
"(114.61, 116.317]",0.0004284685030725628,0.0003491244654954863
"(116.317, 118.032]",0.0003431117370607285,0.0004923594569509847
"(118.032, 119.771]",0.0003812976586976018,0.00015181737059321996
"(119.771, 121.522]",0.00036052002486577374,0.00018819006516607262
"(121.522, 123.279]",0.000342550179389598,0.000255710471718721
"(123.279, 125.048]",0.0003184031995309871,0.0002763947101411282
"(125.048, 126.829]",0.00034648108308751147,0.00027835682073491184
