distance,model_sum,groundtruth_sum,groundtruth_true_sum,benchmark_sum
"(-0.001, 6.117]",0.7491039949913161,0.654086883337558,0.6135006041390207,0.887795178948402
"(6.117, 10.704]",0.0670991463272541,0.09426263733651635,0.11656599317355502,0.026866807403407137
"(10.704, 15.299]",0.03924473037101802,0.06686401092813186,0.06091387319852192,0.01669816878590014
"(15.299, 20.415]",0.026878172828193686,0.04432151198015592,0.04859840267410905,0.015188521773282927
"(20.415, 26.649]",0.019421427639210474,0.03217063823800581,0.034513592022081534,0.009137660169865974
"(26.649, 34.379]",0.015236876618262167,0.024745862900024493,0.028450586678215747,0.005848347979773185
"(34.379, 43.402]",0.012891946100670779,0.01727017266172216,0.026349363582675697,0.006750454121459079
"(43.402, 52.066]",0.008225510033035292,0.01184709714364144,0.015149889193082737,0.0035716039078992584
"(52.066, 59.23]",0.004565434908860144,0.006181992096756321,0.0057178798036478665,0.0026326771073690415
"(59.23, 65.731]",0.004163255595905317,0.005318566205017605,0.007864804591502083,0.0020435465658598852
"(65.731, 72.32]",0.003568809016848027,0.00393638581082704,0.004674640572728135,0.001785801953949629
"(72.32, 79.05]",0.002658277486081158,0.003132279918023324,0.002405598273930674,0.0013255437183956006
"(79.05, 85.47]",0.0023017312267898885,0.002587239344018568,0.004646876221561768,0.0011230300947518287
"(85.47, 91.305]",0.002215028424829127,0.002469706084999229,0.0019044841794174528,0.001073935882959399
"(91.305, 97.683]",0.002222329713415296,0.0019874581390282855,0.001421204819698077,0.0011598507535961508
"(97.683, 104.835]",0.001642789931888104,0.0011342322673898743,0.0043145524305339775,0.0004234375767097059
"(104.835, 112.12]",0.0017903368054002766,0.0018132920184817784,0.0016691710426268293,0.0005338995532426726
"(112.12, 119.473]",0.0015195806869964961,0.0013171339159535644,0.00026064222505853106,0.0006259512003534782
"(119.473, 126.493]",0.0012187067531747675,0.0007001074108870659,0.002410716654742461,0.0002577446119102558
"(126.493, 133.024]",0.0009582941269347273,0.001113721171000683,0.0009309029177120848,0.00041730080023565216
"(133.024, 139.081]",0.0010160959949085684,0.0014009321965744654,0.0006258250526085963,0.00044798468260592064
"(139.081, 145.491]",0.0009439957701201459,0.0006766664555804998,0.0009987384859932195,0.0003866169178653835
"(145.491, 151.502]",0.0007283035364703927,0.0004874881274184509,0.0015605993797648964,0.00029456527075457804
"(151.502, 157.39]",0.000934564939029677,0.00046327197188568723,9.477508964702251e-05,0.00039889047081349106
"(157.39, 162.619]",0.0009610321101545408,0.0005198292215372053,0.000791252804045116,0.0005829937650351021
"(162.619, 167.644]",0.0007766745733537648,0.0007038568630282518,0.00021336229323920707,0.00042343757670970596
"(167.644, 172.7]",0.0006583328541862699,0.0003913090022531666,0.0011095455479235865,0.00033752270607295394
"(172.7, 177.616]",0.0008700702231851809,0.0008159210792193179,0.0002402384096083862,0.00020251362364377245
"(177.616, 182.953]",0.0006762818552939361,0.0006917695190595341,0.0003809002664276533,0.0002638813883843095
"(182.953, 188.251]",0.0007569002500995561,0.00045227432431004595,0.00012697594799972715,0.0002700181648583632
"(188.251, 193.285]",0.0007593340129616125,0.0005679995295839545,0.0004185257512940998,0.00030070204722863156
"(193.285, 198.169]",0.0007483820800823584,0.0007514728508478045,3.365166529895142e-05,0.00027001816485836325
"(198.169, 203.455]",0.0005120028621051258,0.00021827972965531055,0.001216509265252647,0.0001227355294810742
"(203.455, 209.303]",0.0005308645242860635,0.0004674062018479682,9.56774196421935e-05,0.00020251362364377245
"(209.303, 215.079]",0.0006875380085309472,0.00044378313312715226,0.00016599989754945905,0.00019637684716971874
"(215.079, 220.902]",0.0005679794079324241,0.0004607317104255563,0.0003662365808545264,0.00017182974127350387
"(220.902, 226.367]",0.0005040931328034423,0.00037151301610442684,0.000101693906537777,0.00013500908242918163
"(226.367, 231.712]",0.0005205210321223234,0.000476379229546288,0.00030882199986335534,0.00019024007069566503
"(231.712, 236.778]",0.0004058299572479131,0.0008340017202635533,0.0,0.0001165987530070205
"(236.778, 241.542]",0.0005518557289713003,0.0004066413468539464,0.0003189826809517366,0.00016569296479945018
"(241.542, 246.2]",0.0005162619471137245,0.00017304094703219868,1.192303602274015e-06,0.0003007020472286318
"(246.2, 250.903]",0.0004697162323768949,0.00030782756753712287,0.0010562749522650178,0.00011659875300702048
"(250.903, 255.827]",0.00044933346840717216,6.440747807263596e-05,1.947620745219897e-05,0.00010432520005891308
"(255.827, 260.681]",0.0006823662624490775,0.00021486602603755476,0.000317818550452949,0.00016569296479945018
"(260.681, 265.618]",0.0005631118822083114,0.00025752850404825954,1.9673496189509998e-05,0.00014114585890323534
"(265.618, 270.789]",0.00039639912615744443,0.00022718532960804504,0.00027894235721568267,0.00023319750601404095
"(270.789, 276.057]",0.00030026549310621463,0.00033313992620985993,5.3110837422193673e-05,0.00014114585890323534
"(276.057, 281.337]",0.0003903147190023033,0.00021987184769727504,0.00034772114672329763,7.364131768864451e-05
"(281.337, 286.813]",0.00040765527939445537,0.00030247502084548557,6.791984702309078e-05,0.00023319750601404098
"(286.813, 292.854]",0.00046849935094586676,0.00025752298194392563,0.00010534070967211711,0.00014114585890323534
"(292.854, 299.344]",0.0003863598543514615,0.00028526876031716164,8.994914587843363e-05,0.00010432520005891307
"(299.344, 306.042]",0.00034863652998958666,0.0003641752346694767,0.000677025458311093,9.205164711080564e-05
"(306.042, 312.461]",0.0004776259616785784,0.0001466729557319139,2.4092312153549556e-05,0.00010432520005891307
"(312.461, 318.929]",0.0006251728351907509,0.00034181422534295276,0.0,0.0003927536943394372
"(318.929, 325.735]",0.0005196083710490522,0.00027059638027696547,0.00037635392207823566,0.00022092395306593356
"(325.735, 331.96]",0.000453896773773528,0.0002348636841212564,5.300310082943867e-05,7.977809416269824e-05
"(331.96, 337.869]",0.00048553569098026177,0.00027824475734371614,0.0,0.00011046197653296677
"(337.869, 343.567]",0.0003754079214722075,0.0001454914902163517,5.232796492951213e-05,0.00022092395306593356
"(343.567, 348.932]",0.0002817080512830341,0.0003731114848265399,2.7416800202509557e-05,0.00013500908242918163
"(348.932, 354.605]",0.00018009845179217736,2.125923468997839e-05,0.0003775402887792301,7.364131768864452e-05
"(354.605, 360.963]",0.0003030034763260281,0.00028483477025582964,0.00021213577694132913,6.750454121459081e-05
"(360.963, 367.143]",0.00022664416652900691,0.00023852585891420643,8.333316191553786e-06,3.6820658844322255e-05
"(367.143, 372.931]",0.00018131533322320557,5.31099237054943e-05,0.00010500031543385992,4.909421179242968e-05
"(372.931, 378.847]",0.00023607499761947573,0.00015245426444288388,3.847853033300596e-05,9.818842358485936e-05
"(378.847, 384.301]",0.0002470269304987298,0.00011817592279655271,0.00014178063600878718,0.00011659875300702048
"(384.301, 388.862]",0.0004225620769245513,8.866426484471014e-05,4.790425192489506e-06,7.364131768864451e-05
"(388.862, 393.082]",0.000324603121726779,0.00036795238708749265,8.75857422546943e-07,0.0010923462123815606
"(393.082, 397.089]",0.0004733668766699796,0.0002070405385623215,1.5996962581836718e-06,0.00013500908242918163
"(397.089, 401.063]",0.0006969688396214161,0.00019278599477608207,0.000283221039625136,0.0005952673179832096
"(401.063, 405.721]",0.00042590850085987887,0.00027672822676983133,5.009644292149628e-05,0.00018410329422161126
"(405.721, 411.394]",0.00033190441031294844,3.230307549289299e-05,0.0001268196825722821,9.205164711080564e-05
"(411.394, 418.214]",0.00032156091814920855,0.00024535783269745106,7.647883193551385e-07,9.205164711080564e-05
"(418.214, 424.943]",0.0002981359506019152,0.00012538777841723074,0.00011388626577617471,0.00011046197653296678
