distance,model_sum,groundtruth_sum
"(-0.001, 9.548]",0.6758906781513386,0.6667319013030067
"(9.548, 14.357]",0.059929559906498765,0.07934657072238241
"(14.357, 18.128]",0.035130141715735655,0.04668720614996752
"(18.128, 21.389]",0.02496585948210689,0.027618177022202532
"(21.389, 24.365]",0.01915010664942985,0.014538470875637565
"(24.365, 27.157]",0.014256465308354217,0.019966403552383123
"(27.157, 29.803]",0.012031232140147579,0.006380478346709566
"(29.803, 32.325]",0.01093298699284703,0.017164528198012178
"(32.325, 34.744]",0.01055899541651432,0.005816108757838713
"(34.744, 37.052]",0.009804996313559347,0.01133857083482227
"(37.052, 39.226]",0.00808911360319995,0.003639616528936917
"(39.226, 41.315]",0.0067405380799626735,0.009921498818822008
"(41.315, 43.341]",0.006209463357181006,0.0040343156582342285
"(43.341, 45.324]",0.005201791683684008,0.0067705552179682105
"(45.324, 47.269]",0.0050925019200908,0.002546233294261285
"(47.269, 49.172]",0.004900659949746761,0.0027979905582499877
"(49.172, 51.036]",0.0047442452422188685,0.006995829391481151
"(51.036, 52.866]",0.004798388794824679,0.0019123863572548957
"(52.866, 54.664]",0.004552403271874831,0.0017969854722337483
"(54.664, 56.437]",0.00403436310805382,0.004143389528496941
"(56.437, 58.172]",0.0037482712498404106,0.0022731213101280633
"(58.172, 59.897]",0.003678419382589707,0.0007861312126484553
"(59.897, 61.592]",0.003001290755556566,0.006825781649962193
"(61.592, 63.286]",0.0029972801220302095,0.00157758162025906
"(63.286, 64.964]",0.002392008679010951,0.0006630737766419951
"(64.964, 66.644]",0.0019919479847569184,0.0030830092483628536
"(66.644, 68.325]",0.0021363307917057427,0.00129438128825479
"(68.325, 69.996]",0.0017369385363727697,0.0007713018415339496
"(69.996, 71.656]",0.0018011086727944688,0.0033607861357235523
"(71.656, 73.323]",0.0017112036379119842,0.0006966089495367088
"(73.323, 74.976]",0.0018298515464000213,0.0007424396281382236
"(74.976, 76.623]",0.0018585944200055751,0.0018881284175491285
"(76.623, 78.265]",0.001866615687058287,0.0007084513886367604
"(78.265, 79.907]",0.0018920163660585431,0.0006681389219860322
"(79.907, 81.548]",0.0017606681180703772,0.0031584422872505125
"(81.548, 83.185]",0.0017559890456229613,0.0010634243511312032
"(83.185, 84.836]",0.0015297224708443653,0.000502380895369516
"(84.836, 86.488]",0.0016279829922400929,0.0015874051178225634
"(86.488, 88.138]",0.001441822752725058,0.0006576925681619756
"(88.138, 89.792]",0.0014618759203568392,0.00022362932504737816
"(89.792, 91.432]",0.0013900187363429571,0.0022818932049436086
"(91.432, 93.067]",0.0015347357627523105,0.0006662599959645829
"(93.067, 94.701]",0.0013017847987631208,0.00017907619772908378
"(94.701, 96.328]",0.0011955030103146809,0.0007540259286495587
"(96.328, 97.964]",0.0009384882451673537,0.00017224670198681818
"(97.964, 99.604]",0.0009732470690624409,0.0004235524323722484
"(99.604, 101.258]",0.0009361487089436459,0.0032476921136363255
"(101.258, 102.912]",0.0009110822494039195,0.00048256002319474245
"(102.912, 104.567]",0.001045104253076323,0.0004905632270920287
"(104.567, 106.225]",0.0010053321372732904,0.000607069403764365
"(106.225, 107.893]",0.0009418304397726507,0.00024360183502211276
"(107.893, 109.561]",0.000977257702588797,0.0005633346589723481
"(109.561, 111.232]",0.0011029242197479582,0.0012013363051654308
"(111.232, 112.913]",0.0008900264233905495,0.00017319392161839754
"(112.913, 114.61]",0.0007566728586392053,0.0002323856164522428
"(114.61, 116.317]",0.0007255904488099447,0.0006878468070107652
"(116.317, 118.032]",0.0006062741014008474,0.000267362811871977
"(118.032, 119.771]",0.0006042687846376693,0.000111835841720692
"(119.771, 121.522]",0.0005344169173869653,0.0016063235257550046
"(121.522, 123.279]",0.0004996580934918781,0.0002546166572635486
"(123.279, 125.048]",0.0005568096212424542,0.0004639537610393719
"(125.048, 126.829]",0.0005758601304926462,0.00011285091814179698
"(126.829, 128.615]",0.0005123584329920062,0.00017934965283219283
"(128.615, 130.41]",0.00048595509561016116,0.0007431872502180204
"(130.41, 132.216]",0.000676460188112081,0.00036229031691316994
"(132.216, 134.037]",0.00045520690524143004,0.00024217256626439974
"(134.037, 135.874]",0.0005016634102550561,0.0003869974628419613
"(135.874, 137.745]",0.0005588149380056322,0.00020563775764777752
"(137.745, 139.623]",0.0005120242135314764,7.741687466894223e-05
"(139.623, 141.518]",0.00042512715379375846,0.0004785394114096534
"(141.518, 143.433]",0.0003703151622668902,6.570044485376046e-05
"(143.433, 145.368]",0.000489297290215458,0.00029550163679808387
"(145.368, 147.331]",0.000492305265360225,0.000146897633924988
"(147.331, 149.329]",0.0003816786239248996,0.00020787558957591914
