region,ks,median,r2,ks_p,func_name,num_users,num_geotweets,pkt_inland_yr_capita,gdp_capita,region_name,city,para1,para2,area,pop
australia,47.53958491973781,5.857203442375479,0.970512062762324,0.0891750427227303,lognormal,3310,847668,16.369850925120193,57.4,Australia,0,1.6496107709113406,1.6700239923806213,7692000,24.99
austria,27.91597100160918,4.237667704945871,0.9239829982753196,0.7172406757022983,lognormal,729,168364,5.54850540352399,51.5,Austria,0,1.4082897084650965,1.627559908109072,83879,8.56
barcelona,89.54080753471439,3.406120593967945,0.9524758268148844,0.076666476506202,lognormal,1891,482357,10.033088423934643,33.1,"Barcelona, Spain",1,1.285092435222091,1.5094115903516934,505990,5.56
capetown,37.17361426355927,5.501415255329464,0.9097465463795206,0.4759198748597097,lognormal,1092,193993,14.822132423532208,6.2,"Cape Town, South Africa",1,1.494009873266292,1.6644081580038597,1220000,0.43
cebu,27.993374486438725,3.541142599100505,0.9530759298636948,0.2652839637339911,lognormal,1486,400094,6.533161239449549,3.1,"Cebu, Philippines",1,1.329132462272013,1.5335108887038913,300000,0.92
egypt,23.81936732771605,5.178500402666835,0.8979918883582658,0.3711124319616647,lognormal,1464,234322,6.792347367924879,2.55,Egypt,0,1.1450428654420333,1.6959833516048537,1010000,98.42
guadalajara,44.4050402956542,5.166505321668423,0.9028579144382236,0.2754297748946292,lognormal,684,212681,9.681318311809084,17.88,"Guadalajara, Mexico",1,1.7814533709618527,1.7059993304138792,1973000,1.5
jakarta,88.7260320575695,5.105821297080523,0.94538685279675,0.0058442460675718,lognormal,13088,4650699,8.369518881266815,19.03,"Jakarta, Indonesia",1,1.446030977040788,1.6902879930761432,1905000,9.61
johannesburg,37.673389789258565,7.287211269339211,0.9111953538530028,0.4885809479154586,lognormal,1268,214187,12.60342336157737,16.37,"Johannesburg, South Africa",1,1.5748157412501365,1.792948848754253,1220000,0.96
kualalumpur,166.13068398412935,6.505288454193293,0.9524834502121454,0.0177689979632271,lognormal,4663,1543306,6.455785135727249,11.14,"Kuala Lumpur, Malaysia",1,2.0891939811922424,1.932671949520203,329847,1.81
lagos,62.209624856254976,3.980835595561128,0.9262913680630182,0.3242148684520665,lognormal,812,96943,4.760548363674032,2.22,"Lagos, Nigeria",1,1.0739227481377969,1.5826169986373402,923768,21.0
madrid,20.47074299097177,4.423455583830489,0.9742191404601556,0.0163713907558208,lognormal,3172,671234,12.23146896338346,48.77,"Madrid, Spain",1,1.336703266837366,1.5796116198214918,505990,6.64
manila,54.6668765421389,5.192840370736703,0.9259341013932758,0.1154446320781232,powerlaw_al,11997,3482176,5.794262145459375,9.6,"Manila, Philippines",1,2.17238564398119,1.7668719899168508,300000,1.78
moscow,52.78908683687421,8.005730945601835,0.9645292968928624,0.0610849570318645,lognormal,4206,1628759,20.08581111071685,22.06,"Moscow, Russia",1,1.965462222015684,1.855474796866009,17100000,11.92
nairobi,33.50128801531252,4.11395590738457,0.8863219994387486,0.4246976902389258,lognormal,644,166404,4.199866401703157,2.01,"Nairobi, Kenya",1,1.1318653578279798,1.6485248590978747,580367,4.4
netherlands,6.322701807861861,7.289438412589407,0.9603750571072645,0.0922679382422861,lognormal,5375,1479674,4.637035850689926,53.02,The Netherlands,0,1.6792784682793582,1.6905758614680626,41543,17.28
rio,63.760573599122736,6.937114488773567,0.9574676371371464,0.0369373838732665,lognormal,6063,1593782,11.14073670341316,11.02,"Rio de Janeiro, Brazil",1,1.714723350714253,1.7509071885319036,8516000,6.32
saopaulo,68.28622164491057,5.4452123281772735,0.9685035404400084,0.008122768483751,lognormal,10943,3513796,10.01086519406024,27.13,"São Paulo, Brazil",1,1.6461870267925676,1.7094927969058915,8516000,12.18
saudiarabia,35.05498884094614,6.708985004604515,0.9097363405882484,0.0957905704488829,lognormal,3117,626427,9.095778680652597,23.34,Saudi Arabia,0,1.838312544603629,1.8107044736782627,2150000,33.7
stpertersburg,52.28931466918797,5.657113754415297,0.9683119850948638,0.0052155332611066,lognormal,1386,508124,19.10098173339029,12.4,"Saint Petersburg, Russia",1,1.6743579274491385,1.6341858164508865,17100000,4.99
surabaya,84.40785180537492,4.52908631480781,0.933715273446548,0.1849031329790038,lognormal,2414,803844,7.434177928011933,14.2,"Surabaya, Indonesia",1,1.489620650193468,1.62523775648735,1905000,2.77
sweden,24.51327626356295,5.643772227835741,0.9725414042390292,0.145623624154922,lognormal,3961,1248158,8.682615259940588,54.61,Sweden,0,1.521262191789171,1.596523287399337,450295,10.23
