region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,days,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,city
sweden,3961,1248158,206368875.25800818,206368875.25800818,3868635.0,3868635.0,867534.0,34391.83904462467,644.7167581645215,34391.83904462467,644.7167581645215,54.61,Sweden,Sweden,10.23,8.682615259940588,8.682615259940588,0
netherlands,5375,1479674,149037254.20897055,149037254.20897055,5157305.0,5157305.0,1173133.0,24924.06769745835,862.475759089123,24924.06769745835,862.475759089123,53.02,The Netherlands,The Netherlands,17.28,4.637035850689926,4.637035850689926,0
saopaulo,10943,3513796,623229566.764432,623229566.764432,10559493.0,10559493.0,2272319.0,109548.8978186012,1856.107093376194,109548.8978186012,1856.107093376194,27.13,"São Paulo, Brazil",Brazil,209.5,10.010865194060239,10.010865194060239,1
australia,3310,847668,296845943.2963987,296845943.2963987,2974013.0,2974013.0,661880.0,54184.20656214784,542.8557753595818,54184.20656214784,542.8557753595818,57.4,Australia,Australia,24.99,16.369850925120193,16.369850925120193,0
austria,729,168364,21724906.88326651,21724906.88326651,645559.0,645559.0,142914.0,4044.8604391689887,120.19365948402535,4044.8604391689887,120.19365948402535,51.5,Austria,Austria,8.56,5.54850540352399,5.54850540352399,0
barcelona,1891,482357,110769419.38726203,110769419.38726203,1799826.0,1799826.0,402975.0,18972.570209660415,308.2739382319002,18972.570209660415,308.2739382319002,33.1,"Barcelona, Spain",Spain,46.94,10.033088423934645,10.033088423934645,1
capetown,1092,193993,90354907.08221269,90354907.08221269,1005564.0,1005564.0,222502.0,16185.76860649717,180.1321781916567,16185.76860649717,180.1321781916567,6.2,"Cape Town, South Africa",South Africa,57.78,14.822132423532207,14.822132423532207,1
cebu,1486,400094,56691372.4122843,56691372.4122843,1413631.0,1413631.0,316728.0,9708.27760182203,242.08131838359728,9708.27760182203,242.08131838359728,3.1,"Cebu, Philippines",Philippines,106.7,6.533161239449549,6.533161239449549,1
egypt,1464,234322,54437407.54901547,54437407.54901547,1332971.0,1332971.0,292530.0,9943.996546642022,243.4917388165316,9943.996546642022,243.4917388165316,2.55,Egypt,Egypt,98.42,6.7923473679248785,6.7923473679248785,0
guadalajara,684,212681,40913251.18570519,40913251.18570519,688220.0,688220.0,154249.0,6622.021725277414,111.39197349739706,6622.021725277414,111.39197349739706,17.88,"Guadalajara, Mexico",Mexico,126.2,9.681318311809084,9.681318311809084,1
jakarta,13088,4650699,680920667.3873779,680920667.3873779,13252128.0,13252128.0,2969538.0,109540.26311802008,2131.880639727796,109540.26311802008,2131.880639727796,19.03,"Jakarta, Indonesia",Indonesia,267.7,8.369518881266815,8.369518881266815,1
johannesburg,1268,214187,86792007.45760429,86792007.45760429,1136583.0,1136583.0,251353.0,15981.140822480105,209.28071041921123,15981.140822480105,209.28071041921123,16.37,"Johannesburg, South Africa",South Africa,57.78,12.60342336157737,12.60342336157737,1
