distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234226,0.00016715873032668055,1.834176873498069e-07,1.6224199985954307e-07,0.47401017375029086,0.4468152861632171
"(2.153, 3.119]",3.188421337069541e-05,2.5727675497693367e-05,4.4084297738376265e-09,1.589202230248527e-09,0.08525838655323952,0.06879580428083207
"(3.119, 3.875]",1.8839214586548204e-05,1.686603914457207e-05,3.424144696578364e-09,7.939236196502315e-10,0.0503383813752568,0.045066056594296564
"(3.875, 4.522]",1.1941084248951109e-05,1.3570636815729607e-05,9.75458721542133e-10,5.282834075299734e-10,0.031930459281695266,0.036287882845260966
"(4.522, 5.107]",1.007937976204513e-05,1.0954359362341024e-05,7.36278922933817e-10,3.3264126113333983e-10,0.026932102724184587,0.029270048216175217
"(5.107, 5.635]",8.193519515266782e-06,9.18788037888374e-06,7.952779372677225e-10,2.3909397238284477e-10,0.021909471183823373,0.024568392133135122
"(5.635, 6.128]",6.039405557233886e-06,7.631667714427335e-06,2.4332511173997494e-10,1.9266896815615905e-10,0.016137291648928943,0.020391816132949842
"(6.128, 6.599]",6.0733619980128425e-06,7.333306751472224e-06,4.3181758099915636e-10,1.3826622417304142e-10,0.01624016998268634,0.019609262253436725
"(6.599, 7.053]",5.751182081607873e-06,5.9770934965027615e-06,4.3036640556687586e-10,9.770761756199538e-11,0.015367158522056236,0.01597079382265538
"(7.053, 7.474]",4.673254818357075e-06,5.310564314746536e-06,1.6048297829598365e-10,6.151836489785686e-11,0.012486936874650105,0.014189827849002745
"(7.474, 7.904]",3.5395889714621474e-06,4.9905271724489815e-06,9.946326995614947e-11,9.593857074524982e-11,0.009464860909689782,0.013344669659128576
"(7.904, 8.308]",4.222213462221754e-06,4.928645734526572e-06,2.617552215763581e-10,8.735246647973772e-11,0.011281754371056527,0.013169341402655
"(8.308, 8.691]",3.914940851123834e-06,4.437227093955696e-06,1.4827767428670203e-10,5.876749807439371e-11,0.010468551835905133,0.01186514524923753
"(8.691, 9.084]",3.309185565231136e-06,3.912769397565597e-06,8.984952736266047e-11,3.821342002984477e-11,0.008842143830297595,0.010454919830295275
"(9.084, 9.455]",3.4304289584411704e-06,3.9298041651772745e-06,1.822278616163639e-10,6.393048854623089e-11,0.00917296703487169,0.010508296337684032
"(9.455, 9.831]",3.3775173870866946e-06,3.563693106602137e-06,2.7443876339083594e-10,4.7425907059978834e-11,0.009024726458295648,0.00952218798084091
"(9.831, 10.182]",2.987116018874351e-06,3.5462900790992057e-06,9.330342030934253e-11,3.707679966285457e-11,0.007981574002432266,0.009475687091353078
"(10.182, 10.537]",2.6441805586346716e-06,3.359046410243819e-06,1.232489019910264e-10,6.189676000256752e-11,0.007070538813789112,0.008982090100991972
"(10.537, 10.884]",3.0011634735751224e-06,3.073022533503935e-06,1.4936697954668904e-10,4.027798126337454e-11,0.008019108801392727,0.008211116209522515
"(10.884, 11.233]",2.073443405184543e-06,2.637597781541921e-06,5.600198617297335e-11,2.1620886319099603e-11,0.005544387665463469,0.007052936467843097
"(11.233, 11.587]",2.1177244332234613e-06,2.5010926880185066e-06,5.227341955827603e-11,2.0392710890595723e-11,0.005658559685573088,0.006682919662385449
"(11.587, 11.917]",2.2910681657234458e-06,2.4044904352768643e-06,1.0935475154624668e-10,1.747872525486154e-11,0.006126316275144494,0.006429607423930336
"(11.917, 12.256]",2.118573121255148e-06,2.3877360030383256e-06,5.398755709547563e-11,1.80906913169708e-11,0.005660827379993755,0.0063800306001184056
"(12.256, 12.591]",2.0206435013051634e-06,2.1552787208228136e-06,6.938612798026304e-11,2.0405841747966576e-11,0.005403200722490007,0.005763215299480203
"(12.591, 12.894]",1.7627538330142446e-06,2.0220015612354835e-06,3.6475382861679546e-11,1.2627060400544516e-11,0.004710078241814061,0.005402788171621212
"(12.894, 13.237]",1.587998961209394e-06,2.013875633996761e-06,3.107666053086838e-11,1.1961025707902245e-11,0.0042431332243515005,0.005381075694039346
"(13.237, 13.555]",1.804874592971199e-06,2.1389713563961434e-06,6.173323934778588e-11,2.1520398625350848e-11,0.0048262346616049865,0.0057196094070032875
"(13.555, 13.88]",1.8323245879295523e-06,1.7197847840153242e-06,6.880437695545415e-11,9.325429367400324e-12,0.004895971298947764,0.0045952649428889466
"(13.88, 14.211]",1.987010281825262e-06,1.7905621471308957e-06,5.2924545753128376e-11,1.3261858761750424e-11,0.005313265493600752,0.004787963181428015
"(14.211, 14.523]",1.4830738776470635e-06,1.7549971353831225e-06,3.978951428151568e-11,1.2437367556603368e-11,0.003962773401072954,0.0046893523457437036
"(14.523, 14.836]",1.4383753576995922e-06,1.723032065397216e-06,2.8483101197918318e-11,1.4751923593685506e-11,0.0038462157064887096,0.004607387742872155
"(14.836, 15.156]",1.3108421808499045e-06,1.4025350414035278e-06,2.1391801712055427e-11,7.789842703159498e-12,0.0035025703072309447,0.0037475736306302266
"(15.156, 15.473]",1.6791528598359848e-06,1.6741099721172056e-06,5.914604994884268e-11,1.2430473586661583e-11,0.004490054747201423,0.0044765700654414075
"(15.473, 15.797]",1.3313028808706914e-06,1.4250167734306606e-06,2.461026593791563e-11,9.093415268723377e-12,0.0035572412976864875,0.003807644818606725
"(15.797, 16.125]",1.2862168688033238e-06,1.406394856841921e-06,3.0494806949282486e-11,1.626687272628448e-11,0.0034367714734424813,0.003757887057481613
"(16.125, 16.426]",1.1552980506065746e-06,1.3967494460386951e-06,1.721147608343527e-11,8.116181834462231e-12,0.0030892669873219805,0.003734908018707471
"(16.426, 16.749]",1.2727505854739648e-06,1.3088160139169268e-06,2.9421649919592774e-11,6.659939291118325e-12,0.003400789564386434,0.0034971563891860284
"(16.749, 17.059]",1.206745233963978e-06,1.4121771601021009e-06,2.135886862820612e-11,1.1819033747992007e-11,0.0032268367556196774,0.003776161726113018
"(17.059, 17.378]",1.0374399521019231e-06,1.2054813058645038e-06,1.4877798007956447e-11,6.918625047945267e-12,0.0027720395520163385,0.0032210460492699544
"(17.378, 17.704]",1.1408602519340968e-06,1.3021531992814965e-06,1.6842176353584317e-11,9.477508794193467e-12,0.003050660313671775,0.0034819576548787215
"(17.704, 18.024]",1.127411930890343e-06,1.3346835489601937e-06,2.060327642491053e-11,1.108676898984164e-11,0.0030124446793389965,0.003566274442821638
"(18.024, 18.341]",8.557210752971729e-07,1.2007411816419156e-06,1.188318379701013e-11,8.478308420173784e-12,0.002286486713194046,0.0032083804373471986
