distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234218,0.0001859686448049969,1.8341768734980712e-07,1.9401516199241962e-07,0.47401017375029086,0.49709418756375706
"(2.153, 3.119]",3.188421337069539e-05,2.86884286571618e-05,4.408429773837637e-09,2.454796808409515e-09,0.08525838655323952,0.0767128582292505
"(3.119, 3.875]",1.883921458654821e-05,1.7500281141830304e-05,3.424144696578363e-09,1.2309312659617318e-09,0.0503383813752568,0.04676075121097032
"(3.875, 4.522]",1.1941084248951112e-05,1.3059328454414491e-05,9.754587215421305e-10,4.5506087238083014e-10,0.031930459281695266,0.03492064428710415
"(4.522, 5.107]",1.0079379762045129e-05,1.0313281859117915e-05,7.362789229338166e-10,3.738226123795471e-10,0.026932102724184587,0.02755708912756292
"(5.107, 5.635]",8.193519515266787e-06,8.490784047384613e-06,7.952779372677251e-10,3.0195292735922967e-10,0.021909471183823373,0.022704356542706482
"(5.635, 6.128]",6.039405557233884e-06,6.974715724102537e-06,2.4332511173997577e-10,1.677538940569635e-10,0.016137291648928943,0.01863644041480205
"(6.128, 6.599]",6.073361998012838e-06,6.776407553622333e-06,4.3181758099915595e-10,1.717085218434039e-10,0.01624016998268634,0.01812011379838626
"(6.599, 7.053]",5.751182081607872e-06,5.246357648087064e-06,4.303664055668745e-10,1.6163049526448927e-10,0.015367158522056236,0.014018267635688794
"(7.053, 7.474]",4.673254818357076e-06,4.971134360786738e-06,1.6048297829598613e-10,1.0203025424392334e-10,0.012486936874650105,0.013282871012022296
"(7.474, 7.904]",3.5395889714621453e-06,4.315042878829021e-06,9.946326995614944e-11,7.164328810506868e-11,0.009464860909689782,0.01153842465798894
"(7.904, 8.308]",4.222213462221753e-06,4.06872219811393e-06,2.6175522157635943e-10,9.70614559099639e-11,0.011281754371056527,0.010871625713360542
"(8.308, 8.691]",3.914940851123836e-06,3.916998585908849e-06,1.4827767428670242e-10,6.151900963103743e-11,0.010468551835905133,0.01047405421872038
"(8.691, 9.084]",3.3091855652311333e-06,3.2739700976749584e-06,8.984952736266128e-11,5.119082999578067e-11,0.008842143830297595,0.008748048100987586
"(9.084, 9.455]",3.4304289584411704e-06,3.411374754361608e-06,1.8222786161636283e-10,8.0523807497752e-11,0.00917296703487169,0.009122016093163024
"(9.455, 9.831]",3.3775173870866946e-06,2.942708367724721e-06,2.744387633908377e-10,6.92409579242691e-11,0.009024726458295648,0.00786291675856051
"(9.831, 10.182]",2.987116018874349e-06,3.1237981134308538e-06,9.330342030934144e-11,3.86250184919994e-11,0.007981574002432266,0.008346788559087312
"(10.182, 10.537]",2.6441805586346738e-06,2.9893319489784804e-06,1.2324890199102487e-10,1.0070393278071673e-10,0.007070538813789112,0.007993473631568503
"(10.537, 10.884]",3.001163473575121e-06,2.5584447609824304e-06,1.4936697954668826e-10,4.3219744207994456e-11,0.008019108801392727,0.006836164401345105
"(10.884, 11.233]",2.073443405184546e-06,2.135591764232849e-06,5.600198617297307e-11,2.1459569139665598e-11,0.005544387665463469,0.005710572377558676
"(11.233, 11.587]",2.117724433223461e-06,2.293159325580604e-06,5.2273419558274645e-11,2.5980263140328312e-11,0.005658559685573088,0.006127321717951423
"(11.587, 11.917]",2.2910681657234453e-06,2.1513149275706504e-06,1.0935475154624234e-10,2.517985283339335e-11,0.006126316275144494,0.005752616116323961
"(11.917, 12.256]",2.1185731212551476e-06,1.9610694413054754e-06,5.398755709547588e-11,2.1095959097564868e-11,0.005660827379993755,0.005239977547168281
"(12.256, 12.591]",2.020643501305164e-06,1.7209967730623532e-06,6.938612798026237e-11,1.8629812650507244e-11,0.005403200722490007,0.004601945371168765
"(12.591, 12.894]",1.7627538330142433e-06,1.8092411484116188e-06,3.647538286167888e-11,2.0684769352707813e-11,0.004710078241814061,0.004834292348555872
"(12.894, 13.237]",1.5879989612093936e-06,1.7098626294265406e-06,3.107666053086847e-11,2.1087584148016028e-11,0.0042431332243515005,0.004568752945827749
"(13.237, 13.555]",1.8048745929712004e-06,1.6112104746685695e-06,6.173323934778565e-11,1.5726488981463777e-11,0.0048262346616049865,0.004308376809263785
"(13.555, 13.88]",1.8323245879295517e-06,1.4034455292225618e-06,6.880437695545555e-11,1.5258074349497933e-11,0.004895971298947764,0.0037500064540827056
"(13.88, 14.211]",1.987010281825261e-06,1.252887857549162e-06,5.292454575312774e-11,1.1068827348160607e-11,0.005313265493600752,0.003350222131086477
"(14.211, 14.523]",1.4830738776470635e-06,1.405653940755564e-06,3.978951428151584e-11,1.1125427517455815e-11,0.003962773401072954,0.003755907329698886
"(14.523, 14.836]",1.4383753576995932e-06,1.3709495050681067e-06,2.848310119791938e-11,1.143266083895619e-11,0.0038462157064887096,0.0036659189765521336
