distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234226,0.0002566219606095211,1.834176873498069e-07,5.585580975662663e-07,0.47401017375029086,0.6859505007092499
"(2.153, 3.119]",3.188421337069541e-05,1.659725024279689e-05,4.4084297738376265e-09,8.862846587774956e-10,0.08525838655323952,0.04438104714923888
"(3.119, 3.875]",1.8839214586548204e-05,1.0323682869477948e-05,3.424144696578364e-09,4.424760049207228e-10,0.0503383813752568,0.027584880627245078
"(3.875, 4.522]",1.1941084248951109e-05,8.252439173594995e-06,9.75458721542133e-10,3.5196676458426723e-10,0.031930459281695266,0.022067022350193016
"(4.522, 5.107]",1.007937976204513e-05,6.371168276788788e-06,7.36278922933817e-10,2.577785986423777e-10,0.026932102724184587,0.017023761635579643
"(5.107, 5.635]",8.193519515266782e-06,5.168537458833212e-06,7.952779372677225e-10,1.104257010198926e-10,0.021909471183823373,0.013820669164920007
"(5.635, 6.128]",6.039405557233886e-06,4.379724238775007e-06,2.4332511173997494e-10,1.201930514677175e-10,0.016137291648928943,0.011702623166006818
"(6.128, 6.599]",6.0733619980128425e-06,4.0617242096862505e-06,4.3181758099915636e-10,6.048739483490473e-11,0.01624016998268634,0.010861050536701035
"(6.599, 7.053]",5.751182081607873e-06,3.3348103826222177e-06,4.3036640556687586e-10,5.0635774023229535e-11,0.015367158522056236,0.008910613342366565
"(7.053, 7.474]",4.673254818357075e-06,3.3133508563505174e-06,1.6048297829598365e-10,5.871919318702367e-11,0.012486936874650105,0.008853273488168582
"(7.474, 7.904]",3.5395889714621474e-06,2.8193222137734485e-06,9.946326995614947e-11,6.700869354673907e-11,0.009464860909689782,0.007538867599630202
"(7.904, 8.308]",4.222213462221754e-06,2.757053906076442e-06,2.617552215763581e-10,9.111249626711703e-11,0.011281754371056527,0.007366848037036252
"(8.308, 8.691]",3.914940851123834e-06,2.6256711326261268e-06,1.4827767428670203e-10,4.3112189414102135e-11,0.010468551835905133,0.007021044608642263
"(8.691, 9.084]",3.309185565231136e-06,1.913199303761583e-06,8.984952736266047e-11,1.4365477366047531e-11,0.008842143830297595,0.00511206853965095
"(9.084, 9.455]",3.4304289584411704e-06,2.0958523313951228e-06,1.822278616163639e-10,3.81931820525012e-11,0.00917296703487169,0.005604309134150559
"(9.455, 9.831]",3.3775173870866946e-06,1.878864061726863e-06,2.7443876339083594e-10,2.15871464368788e-11,0.009024726458295648,0.005020324772934178
"(9.831, 10.182]",2.987116018874351e-06,2.032712357767052e-06,9.330342030934253e-11,3.6754070020629205e-11,0.007981574002432266,0.005431407419953563
"(10.182, 10.537]",2.6441805586346716e-06,1.824344938236271e-06,1.232489019910264e-10,3.8560685573263534e-11,0.007070538813789112,0.0048782983648437885
"(10.537, 10.884]",3.0011634735751224e-06,1.7339297227533795e-06,1.4936697954668904e-10,2.1373557672680572e-11,0.008019108801392727,0.00463306021919703
"(10.884, 11.233]",2.073443405184543e-06,1.4706925379127118e-06,5.600198617297335e-11,1.4289195412354097e-11,0.005544387665463469,0.003932631846378591
"(11.233, 11.587]",2.1177244332234613e-06,1.3182752061984471e-06,5.227341955827603e-11,1.2943417395155219e-11,0.005658559685573088,0.003522431350962251
"(11.587, 11.917]",2.2910681657234458e-06,1.2397627988954622e-06,1.0935475154624668e-10,9.017053239484395e-12,0.006126316275144494,0.003315125724246466
"(11.917, 12.256]",2.118573121255148e-06,1.3311509219614673e-06,5.398755709547563e-11,1.292706361520686e-11,0.005660827379993755,0.0035568352634810407
"(12.256, 12.591]",2.0206435013051634e-06,1.1045039517567875e-06,6.938612798026304e-11,9.602094612562772e-12,0.005403200722490007,0.00295344356699765
"(12.591, 12.894]",1.7627538330142446e-06,1.196451126286795e-06,3.6475382861679546e-11,1.7277194596258756e-11,0.004710078241814061,0.0031969174094383162
"(12.894, 13.237]",1.587998961209394e-06,1.0736366067010644e-06,3.107666053086838e-11,8.869256219027068e-12,0.0042431332243515005,0.0028687570131052443
"(13.237, 13.555]",1.804874592971199e-06,1.151019799187405e-06,6.173323934778588e-11,1.2400580837604624e-11,0.0048262346616049865,0.003077826943027121
"(13.555, 13.88]",1.8323245879295523e-06,9.712911737129554e-07,6.880437695545415e-11,8.138151110841318e-12,0.004895971298947764,0.002595290016161017
"(13.88, 14.211]",1.987010281825262e-06,8.613679265343406e-07,5.2924545753128376e-11,7.710155446693046e-12,0.005313265493600752,0.0023032978355528267
"(14.211, 14.523]",1.4830738776470635e-06,9.154964054065351e-07,3.978951428151568e-11,6.14488121357194e-12,0.003962773401072954,0.0024462063952462617
"(14.523, 14.836]",1.4383753576995922e-06,8.138623802222206e-07,2.8483101197918318e-11,6.749268045824915e-12,0.0038462157064887096,0.002176268004714218
"(14.836, 15.156]",1.3108421808499045e-06,8.217347829271062e-07,2.1391801712055427e-11,9.886750979182069e-12,0.0035025703072309447,0.002195675339981228
