distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(-0.001, 2.153]",0.00017733265011234226,0.00021660841809904955,1.834176873498069e-07,3.723014643901411e-07,0.47401017375029086,0.5789943015787594
"(2.153, 3.119]",3.188421337069541e-05,1.9250337786089237e-05,4.4084297738376265e-09,1.138664255873586e-09,0.08525838655323952,0.05147540324000262
"(3.119, 3.875]",1.8839214586548204e-05,1.2479253697185493e-05,3.424144696578364e-09,5.354304409616518e-10,0.0503383813752568,0.033344565878879635
"(3.875, 4.522]",1.1941084248951109e-05,1.034150558545691e-05,9.75458721542133e-10,4.4567638152066894e-10,0.031930459281695266,0.027653185935511776
"(4.522, 5.107]",1.007937976204513e-05,8.191192541862816e-06,7.36278922933817e-10,3.0619532604427473e-10,0.026932102724184587,0.021886866471857447
"(5.107, 5.635]",8.193519515266782e-06,6.862988901861551e-06,7.952779372677225e-10,1.6931903759204816e-10,0.021909471183823373,0.018351632323577786
"(5.635, 6.128]",6.039405557233886e-06,5.709948428370718e-06,2.4332511173997494e-10,1.6387886687368136e-10,0.016137291648928943,0.015256982200606558
"(6.128, 6.599]",6.0733619980128425e-06,5.4365224517486905e-06,4.3181758099915636e-10,9.36363540466131e-11,0.01624016998268634,0.014537261035976
"(6.599, 7.053]",5.751182081607873e-06,4.382176013215713e-06,4.3036640556687586e-10,6.338252022418829e-11,0.015367158522056236,0.011709174307312387
"(7.053, 7.474]",4.673254818357075e-06,4.282226034133306e-06,1.6048297829598365e-10,6.388073081264533e-11,0.012486936874650105,0.011442107963204193
"(7.474, 7.904]",3.5395889714621474e-06,3.865415613959567e-06,9.946326995614947e-11,1.0560307666067601e-10,0.009464860909689782,0.010336121351727883
"(7.904, 8.308]",4.222213462221754e-06,3.7007844420701063e-06,2.617552215763581e-10,1.0170335711759584e-10,0.011281754371056527,0.009888496029211324
"(8.308, 8.691]",3.914940851123834e-06,3.4365728520585503e-06,1.4827767428670203e-10,5.282699776687293e-11,0.010468551835905133,0.009189395806404564
"(8.691, 9.084]",3.309185565231136e-06,2.8078226703809458e-06,8.984952736266047e-11,2.5802309021895195e-11,0.008842143830297595,0.0075025021752578875
"(9.084, 9.455]",3.4304289584411704e-06,2.9482939880694965e-06,1.822278616163639e-10,5.591755848769274e-11,0.00917296703487169,0.007883738124097834
"(9.455, 9.831]",3.3775173870866946e-06,2.591546726942741e-06,2.7443876339083594e-10,2.962689566885529e-11,0.009024726458295648,0.006924612854391003
"(9.831, 10.182]",2.987116018874351e-06,2.795964198286423e-06,9.330342030934253e-11,4.257626439183928e-11,0.007981574002432266,0.007470816337821322
"(10.182, 10.537]",2.6441805586346716e-06,2.4658458809308517e-06,1.232489019910264e-10,4.6212453981570826e-11,0.007070538813789112,0.006593671885609097
"(10.537, 10.884]",3.0011634735751224e-06,2.388446863609561e-06,1.4936697954668904e-10,2.938604015947867e-11,0.008019108801392727,0.006381930019564747
"(10.884, 11.233]",2.073443405184543e-06,2.0473480102160427e-06,5.600198617297335e-11,1.8166039395715406e-11,0.005544387665463469,0.005474608579317699
"(11.233, 11.587]",2.1177244332234613e-06,1.8685563886084102e-06,5.227341955827603e-11,1.5913965323473345e-11,0.005658559685573088,0.004992782670361672
"(11.587, 11.917]",2.2910681657234458e-06,1.7368131856991218e-06,1.0935475154624668e-10,1.2800159808031031e-11,0.006126316275144494,0.004644238458559452
"(11.917, 12.256]",2.118573121255148e-06,1.8388160935142095e-06,5.398755709547563e-11,1.5233663092733968e-11,0.005660827379993755,0.004913316601869968
"(12.256, 12.591]",2.0206435013051634e-06,1.599884444179849e-06,6.938612798026304e-11,1.5408077569334315e-11,0.005403200722490007,0.0042780910037369165
"(12.591, 12.894]",1.7627538330142446e-06,1.6413631216546119e-06,3.6475382861679546e-11,1.8896266685483372e-11,0.004710078241814061,0.004385722261061123
"(12.894, 13.237]",1.587998961209394e-06,1.524284238435671e-06,3.107666053086838e-11,1.0821006283339843e-11,0.0042431332243515005,0.004072887485100113
"(13.237, 13.555]",1.804874592971199e-06,1.6463424100524594e-06,6.173323934778588e-11,1.544202958370822e-11,0.0048262346616049865,0.004402319604480277
"(13.555, 13.88]",1.8323245879295523e-06,1.3193020779446302e-06,6.880437695545415e-11,8.94811016393923e-12,0.004895971298947764,0.003525175152268052
"(13.88, 14.211]",1.987010281825262e-06,1.2831426849512028e-06,5.2924545753128376e-11,8.476757779918572e-12,0.005313265493600752,0.0034311235395595163
"(14.211, 14.523]",1.4830738776470635e-06,1.3317252391865114e-06,3.978951428151568e-11,8.831443994985662e-12,0.003962773401072954,0.0035583698391063586
"(14.523, 14.836]",1.4383753576995922e-06,1.2050857787279913e-06,2.8483101197918318e-11,8.560804453793788e-12,0.0038462157064887096,0.003222399372318649
"(14.836, 15.156]",1.3108421808499045e-06,1.1325781998848394e-06,2.1391801712055427e-11,8.792224842286752e-12,0.0035025703072309447,0.003026248950092291
"(15.156, 15.473]",1.6791528598359848e-06,1.2129855138156416e-06,5.914604994884268e-11,8.873105837162152e-12,0.004490054747201423,0.0032435232639430257
"(15.473, 15.797]",1.3313028808706914e-06,1.164953711000045e-06,2.461026593791563e-11,1.2135736223974756e-11,0.0035572412976864875,0.0031127563157921207
"(15.797, 16.125]",1.2862168688033238e-06,1.064439042770279e-06,3.0494806949282486e-11,1.1177223988287e-11,0.0034367714734424813,0.002844181122282185
"(16.125, 16.426]",1.1552980506065746e-06,1.102389222588537e-06,1.721147608343527e-11,1.0044390859022655e-11,0.0030892669873219805,0.002947788781201748
"(16.426, 16.749]",1.2727505854739648e-06,9.58089253351144e-07,2.9421649919592774e-11,4.985096552309167e-12,0.003400789564386434,0.0025600144849542567
