country,runid,p,gamma,beta,national
saopaulo,20200908_061313,0.3,0.2,0.01,0.004267481382524792
saopaulo,20200908_061313,0.3,0.5,0.01,0.00383186002749001
saopaulo,v.json,0.3,0.8,0.01,0.004225401587524992
saopaulo,20200908_110654,0.6,0.2,0.01,0.009830831787691084
saopaulo,20200908_114710,0.6,0.5,0.01,0.004546311916522495
saopaulo,20200908_122329,0.6,0.8,0.01,0.003718409011624079
saopaulo,20200908_125835,0.9,0.2,0.01,0.019869697562225102
saopaulo,20200908_133640,0.9,0.5,0.01,0.007203162717686544
saopaulo,20200908_141404,0.9,0.8,0.01,0.004006726124105418
saopaulo,20200908_144954,0.3,0.2,0.04,0.0032270938175460663
saopaulo,20200908_152448,0.3,0.5,0.04,0.005719239128760822
saopaulo,20200908_160155,0.3,0.8,0.04,0.008014624838983934
saopaulo,20200908_163810,0.6,0.2,0.04,0.005353864017412882
saopaulo,20200908_171544,0.6,0.5,0.04,0.002886578763267732
saopaulo,20200908_175147,0.6,0.8,0.04,0.004819335518878396
saopaulo,20200908_182700,0.9,0.2,0.04,0.014769742682247206
saopaulo,20200908_190336,0.9,0.5,0.04,0.0033782639552124177
saopaulo,20200908_193928,0.9,0.8,0.04,0.0031714807697542447
saopaulo,20200908_201434,0.3,0.2,0.07,0.006024744260153933
saopaulo,20200908_204820,0.3,0.5,0.07,0.012886975298850613
saopaulo,20200908_212413,0.3,0.8,0.07,0.018219136564789424
saopaulo,20200908_215926,0.6,0.2,0.07,0.0032940093056402966
saopaulo,20200908_223545,0.6,0.5,0.07,0.005211825356115214
saopaulo,20200908_231045,0.6,0.8,0.07,0.011161974747904247
saopaulo,20200908_234445,0.9,0.2,0.07,0.011258967556733168
saopaulo,20200909_002130,0.9,0.5,0.07,0.0027231787523555703
saopaulo,20200909_005721,0.9,0.8,0.07,0.006577437633906308
