distance,model_sum,groundtruth_sum
"(-0.001, 2.153]",0.5755810823377399,0.47401017375029086
"(2.153, 3.119]",0.036410139764756676,0.08525838655323952
"(3.119, 3.875]",0.024946013972611703,0.0503383813752568
"(3.875, 4.522]",0.02061657027791953,0.031930459281695266
"(4.522, 5.107]",0.017254920952297297,0.026932102724184587
"(5.107, 5.635]",0.015454313382481245,0.021909471183823373
"(5.635, 6.128]",0.013156799946831846,0.016137291648928943
"(6.128, 6.599]",0.01290383905504939,0.01624016998268634
"(6.599, 7.053]",0.010851558581698253,0.015367158522056236
"(7.053, 7.474]",0.01015527213517282,0.012486936874650105
"(7.474, 7.904]",0.008962852615762452,0.009464860909689782
"(7.904, 8.308]",0.008927561737784657,0.011281754371056527
"(8.308, 8.691]",0.008535240517637325,0.010468551835905133
"(8.691, 9.084]",0.007538852809475884,0.008842143830297595
"(9.084, 9.455]",0.007435298554387751,0.00917296703487169
"(9.455, 9.831]",0.006873993276186153,0.009024726458295648
"(9.831, 10.182]",0.007000216124427908,0.007981574002432266
"(10.182, 10.537]",0.006741072889058102,0.007070538813789112
"(10.537, 10.884]",0.006270957178769935,0.008019108801392727
"(10.884, 11.233]",0.005359319097285101,0.005544387665463469
"(11.233, 11.587]",0.0056983176039915266,0.005658559685573088
"(11.587, 11.917]",0.0052294898819507255,0.006126316275144494
"(11.917, 12.256]",0.0049291310226652445,0.005660827379993755
"(12.256, 12.591]",0.004801620186176125,0.005403200722490007
"(12.591, 12.894]",0.004893840144687448,0.004710078241814061
"(12.894, 13.237]",0.004534491423672658,0.0042431332243515005
"(13.237, 13.555]",0.004429649180337159,0.0048262346616049865
"(13.555, 13.88]",0.003993536359779424,0.004895971298947764
"(13.88, 14.211]",0.0042081152017904066,0.005313265493600752
"(14.211, 14.523]",0.003815536383993603,0.003962773401072954
"(14.523, 14.836]",0.003981171672604721,0.0038462157064887096
"(14.836, 15.156]",0.003245987981008871,0.0035025703072309447
"(15.156, 15.473]",0.0037171340818949296,0.004490054747201423
"(15.473, 15.797]",0.003427851921536786,0.0035572412976864875
"(15.797, 16.125]",0.003291582764965586,0.0034367714734424813
"(16.125, 16.426]",0.00324418479746256,0.0030892669873219805
"(16.426, 16.749]",0.003252427922245695,0.003400789564386434
"(16.749, 17.059]",0.003196529232310061,0.0032268367556196774
"(17.059, 17.378]",0.0028127087345953383,0.0027720395520163385
"(17.378, 17.704]",0.0030777767159030226,0.003050660313671775
"(17.704, 18.024]",0.0031751486274038047,0.0030124446793389965
"(18.024, 18.341]",0.002963403359537025,0.002286486713194046
"(18.341, 18.659]",0.0030682456028725226,0.002899889399742041
"(18.659, 18.989]",0.0027629923882470557,0.003111648288374116
"(18.989, 19.311]",0.0026493918248294765,0.00218291147455208
"(19.311, 19.639]",0.003060517673388334,0.001972320934633203
"(19.639, 19.982]",0.002750885298721826,0.0024111196874687197
"(19.982, 20.313]",0.002522396183639303,0.0024521135343723707
"(20.313, 20.659]",0.0025473831556381814,0.0022479718842004794
"(20.659, 21.0]",0.0023809750740786443,0.0023712897123326928
"(21.0, 21.344]",0.002420387514448008,0.002208744404333314
"(21.344, 21.704]",0.002480150169125737,0.0025678344962522864
"(21.704, 22.058]",0.002235947597425363,0.002052776227238128
"(22.058, 22.405]",0.0023299707394829963,0.0021154028687166487
"(22.405, 22.778]",0.002261449764723187,0.0021465733332915833
"(22.778, 23.156]",0.002243933124559025,0.0017319735169756408
"(23.156, 23.529]",0.002179533712190783,0.0023284065538233516
"(23.529, 23.903]",0.002032445454341718,0.0018643647969017643
"(23.903, 24.293]",0.0019520749877061524,0.001951578438124294
"(24.293, 24.694]",0.0019956089904670836,0.001732850549683207
"(24.694, 25.083]",0.002238523573920093,0.0017036614242324744
"(25.083, 25.48]",0.0021566075213876887,0.0014098620727737566
"(25.48, 25.903]",0.0019098289731925852,0.0018422807544268504
"(25.903, 26.307]",0.0019170417073778286,0.0013787190167435196
"(26.307, 26.728]",0.001849808720865384,0.0017305606791820137
"(26.728, 27.172]",0.0018583094432979917,0.0016980181333501251
"(27.172, 27.613]",0.0016900981781921437,0.001477282230959059
"(27.613, 28.072]",0.001801637960413939,0.0012557364626659515
"(28.072, 28.537]",0.001727449837365724,0.0010463081325108256
"(28.537, 29.02]",0.0016756727098216574,0.0011624842978915915
"(29.02, 29.508]",0.0017199795055310078,0.001310044819203215
"(29.508, 30.008]",0.0018662949704316536,0.0011527453100433223
"(30.008, 30.531]",0.0015592385722598759,0.000976279541360877
"(30.531, 31.055]",0.0015798463842177134,0.0011591872594406932
"(31.055, 31.61]",0.0015082342376642284,0.000910131363736321
"(31.61, 32.159]",0.0015290996472715384,0.0007398243987583382
"(32.159, 32.722]",0.0013863905494635141,0.0010956261413601542
"(32.722, 33.318]",0.001453365938326486,0.0006776425491216297
"(33.318, 33.942]",0.0013196727582500153,0.0009911355835468699
"(33.942, 34.577]",0.0014456380088422969,0.0007082784426874959
"(34.577, 35.243]",0.0013639795539593662,0.0008578872663012596
"(35.243, 35.953]",0.001379693010577217,0.0006358248493265954
"(35.953, 36.688]",0.0012601677012217599,0.0008101903239113317
"(36.688, 37.433]",0.0012879882473648403,0.0005628863919993658
"(37.433, 38.256]",0.0012563037364796653,0.0004457713007076929
"(38.256, 39.126]",0.0012498637952428411,0.00047373750095969615
"(39.126, 40.055]",0.0012962313721479755,0.00048805336909992034
"(40.055, 41.052]",0.0012604252988712328,0.0004114339673612779
"(41.052, 42.126]",0.0010795917489412092,0.0003070037793217118
"(42.126, 43.271]",0.0011257017281968706,0.0002554721807074699
"(43.271, 44.547]",0.0011450215519073432,0.00028847317554178415
"(44.547, 45.989]",0.0011115338574758573,0.0003422204847176488
"(45.989, 47.528]",0.001204269011286126,0.00023515967925009785
"(47.528, 49.428]",0.0012421358657586522,0.00021955351981413538
"(49.428, 51.466]",0.0012630012753659626,0.0003334893766859041
"(51.466, 54.047]",0.0013637219563098933,0.00019842823810414285
"(54.047, 57.445]",0.0012663500448091111,5.587720719024778e-05
"(57.445, 61.969]",0.0013049896922300562,0.00017326710635911114
"(61.969, 69.585]",0.0013521300620836095,7.748888596376645e-05
"(69.585, 127.43]",0.0012243616279450174,9.931857946730402e-05
