distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 3.211]",5.259740706911111e-06,5.927265638233507e-07,2.4714522689689007e-06,7.370865429347212e-06,7.069226634726128e-09,2.259007898559447e-16,1.6904503098735005e-09,1.943457156399613e-08,0.48545302828506787,0.05470629093463998,0.22810515861675365,0.6803013956670303
"(3.211, 5.192]",8.520836149853863e-07,5.532856018996931e-07,1.1478789318119956e-06,7.699187099029142e-07,3.72064270511822e-11,9.021649072086167e-17,5.7035002706869074e-11,2.181540532333051e-11,0.07864220516146124,0.05106494134173028,0.10594233813265631,0.07105887741177956
"(5.192, 6.939]",4.836885354793796e-07,5.235325601658782e-07,7.183490330888308e-07,4.4833598227096996e-07,1.4220677907807578e-11,6.232139661470662e-17,2.528956627076729e-11,1.6811109713676193e-11,0.04464154969353386,0.048318914107949563,0.06629930565990055,0.0413787211477169
"(6.939, 8.647]",3.091491522064524e-07,4.971497189891412e-07,5.042986663410278e-07,2.93886407488125e-07,5.656006993437927e-12,5.433544100069225e-17,4.512921070742904e-12,4.2951250827936045e-12,0.02853261185374232,0.04588393616438379,0.04654374111127881,0.027123952092709007
"(8.647, 10.313]",2.3796073802208752e-07,4.7258761456091e-07,4.077914119859118e-07,2.5142780056727023e-07,6.153595586591377e-12,4.6386740614569843e-17,4.209342684931628e-12,1.1582596055379163e-11,0.02196282427648659,0.04361794647351375,0.03763751616065172,0.023205780281156774
"(10.313, 11.904]",2.1086765112823312e-07,4.500275033360697e-07,3.626468708619633e-07,2.1358610898764178e-07,5.11499175750317e-12,3.850532146422142e-17,3.1154483542208893e-12,1.173758614631261e-11,0.019461818993229147,0.04153483839289922,0.03347013029933404,0.01971271634290541
"(11.904, 13.467]",1.7453938327292724e-07,4.29296874694934e-07,3.254682589673612e-07,1.739964271776862e-07,2.793908204466632e-12,3.3694527304316683e-17,1.2988198620468678e-12,6.686930348638243e-12,0.016108937839791546,0.03962152575309424,0.030038767493133636,0.01605882624993737
"(13.467, 15.011]",1.4973290574261433e-07,4.0977192997904717e-07,2.895728778353755e-07,1.7119865109765435e-07,2.55304989660049e-12,2.985787315033324e-17,1.441225795329539e-12,6.5413784134823485e-12,0.013819448802608847,0.03781949050548618,0.02672583918693815,0.01580060830440691
"(15.011, 16.559]",1.225213331827128e-07,3.9122661033184625e-07,2.5797905727469385e-07,1.2950109927430747e-07,1.889015990514151e-12,2.7521814726853132e-17,1.74671593899865e-12,2.351541257401214e-12,0.011307983924765294,0.03610786877396742,0.023809919112110594,0.011952174456422934
"(16.559, 18.16]",1.025857832927266e-07,3.731328005783013e-07,2.3783545138871634e-07,1.1101693456284513e-07,1.3177416336491923e-12,2.6923590872220197e-17,1.186850755090775e-12,4.567382612172995e-12,0.009468257454785495,0.034438664962174896,0.021951260821372963,0.010246418992412354
"(18.16, 19.809]",1.0092584639870944e-07,3.5541290189734995e-07,2.110762607324563e-07,9.452914495084786e-08,1.6233532554373653e-12,2.565065480031009e-17,9.591809579205855e-13,1.6091048029221236e-12,0.009314850067522489,0.032802478367714015,0.01948107240804132,0.008724472904093552
"(19.809, 21.501]",7.901555660036204e-08,3.3805824388621826e-07,1.9727786471445938e-07,8.380726233678593e-08,1.0520455467805733e-12,2.4568664424218922e-17,8.671267292445335e-13,2.1987455757773446e-12,0.007292661780873814,0.03120074756123463,0.018207563245956314,0.007734907470111321
