distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",1.704304176256919e-06,1.2653898970208897e-05,6.787107409003598e-06,6.192792357374791e-06,1.6288721338125399e-10,3.3275325948545893e-10,2.6019570339174196e-09,8.269654227575385e-10,0.007928423027947187,0.05886593800941179,0.03157362366668474,0.028808870046507527
"(102.07, 108.851]",4.001720891317929e-06,3.411839242478412e-05,1.696331650288389e-05,1.5561603578024748e-05,4.703499805154027e-10,4.095703969451812e-12,6.45151980326254e-09,1.3481193735109036e-09,0.01860800214462837,0.15865052477524616,0.07887942173841009,0.07236145663781508
"(108.851, 115.402]",4.93138900703925e-06,2.789140198358795e-05,1.6088389177854506e-05,1.5208645404943376e-05,8.920038091844256e-10,2.5414157445034776e-12,8.941385992459113e-09,2.129499096005345e-09,0.022940821660746593,0.12975080202765116,0.07484318645537916,0.07075061842379658
"(115.402, 121.788]",4.096124895777258e-06,2.2976669096488394e-05,1.1621157503618129e-05,1.241070230020472e-05,3.980057031370054e-10,1.5967546336908554e-12,4.187817883486758e-09,1.4257004942528305e-09,0.01904698076536425,0.10684151129867103,0.0540383823918243,0.057709765695951945
"(121.788, 128.103]",4.149829399584155e-06,1.8990567532281708e-05,8.96172286633275e-06,1.1090356787066798e-05,5.993508948008805e-10,1.0754341440501173e-12,3.533641105350391e-09,1.0244614205130732e-09,0.01930500636686549,0.08834412016017451,0.041689934774179954,0.05159233977343475
"(128.103, 134.5]",4.177922325566412e-06,1.5705384875010723e-05,1.1097831582364984e-05,1.0818847826977302e-05,5.398618317330805e-10,7.544268086815804e-13,9.240277587798819e-09,9.051205725168816e-10,0.019435694658534945,0.07306145043854989,0.05162711252116191,0.05032928009109841
"(134.5, 140.658]",4.699301626559377e-06,1.3043226283379699e-05,1.0179110964560977e-05,9.393690664845573e-06,1.6575758007905815e-09,4.885338066885899e-13,8.452520088208139e-09,6.090312018887256e-10,0.021851752563501102,0.0606510022177156,0.04733286598520854,0.043680661591531916
"(140.658, 146.534]",3.484243153235299e-06,1.0865362809061336e-05,6.573560532598154e-06,7.802111302264943e-06,3.2358300790252164e-10,2.941748991390008e-13,1.661049597074323e-09,2.903010323006126e-10,0.016208699148850612,0.05054566778775334,0.030580203597646613,0.036295421778136515
"(146.534, 152.416]",3.276787699827863e-06,9.122281885970073e-06,5.91292461313105e-06,7.957485654661733e-06,3.3132114129320643e-10,2.110685242935735e-13,1.1467139608705025e-09,6.985824407454085e-10,0.015243616379599218,0.04243685533353278,0.027506925300285645,0.03701822326548638
"(152.416, 158.282]",3.957761774737631e-06,7.640573508748124e-06,7.91008047860388e-06,7.254236166114951e-06,2.972528665820995e-09,1.5055907767449846e-13,1.3216351764170804e-08,7.501146011292587e-10,0.018403592252529986,0.035528666815678775,0.03678187422550805,0.03373219817243452
"(158.282, 164.09]",5.270665113132661e-06,6.414478621276361e-06,9.262699450084478e-06,6.929871299732195e-06,2.604524208993402e-09,9.933100755998029e-14,1.4490354275677993e-08,5.727849705756351e-10,0.02451913410629314,0.02984015454617763,0.04309007784179299,0.03223776128635417
"(164.09, 169.751]",3.0029121113131304e-06,5.396253762963677e-06,5.207653687562351e-06,6.004973123992084e-06,3.6601830092370977e-10,7.07937805574494e-14,1.0130921451970127e-09,4.60799345438567e-10,0.013963541317606055,0.025092579997781098,0.024215589647164932,0.02792312502656319
"(169.751, 175.259]",3.07005257785587e-06,4.5687167726052205e-06,6.615146451179305e-06,5.533153274959129e-06,3.521969072406944e-10,4.774912702393528e-14,2.8542748146667008e-09,2.6506391853003207e-10,0.014281884592185507,0.021253670426159485,0.030773661290886125,0.025740229035109866
"(175.259, 180.935]",3.845129202391984e-06,3.857325245779709e-06,7.200923185965238e-06,5.4413959313226855e-06,1.9996521292467424e-09,3.670180231642318e-14,1.1306649169493555e-08,2.9670372965809915e-10,0.017887541049527507,0.017944277043367207,0.03349869466111029,0.02531337387251313
"(180.935, 186.282]",2.5943085194929854e-06,3.273758520115371e-06,4.029691001178502e-06,4.6677951081933235e-06,2.472448172274121e-10,2.233633866193848e-14,6.05771281802763e-10,2.066170912869848e-10,0.012063534615642382,0.015222977118536476,0.018738063155480034,0.021705247253098955
"(186.282, 191.76]",3.6736903207566716e-06,2.7819177918039374e-06,6.551272564756653e-06,4.698636308826721e-06,1.0846041316547477e-09,1.6967147533772008e-14,5.241428757654743e-09,1.9899892805783046e-10,0.017090007372160036,0.012941481567471918,0.03047651997124795,0.021858056108661907
"(191.76, 197.086]",6.370468697866107e-06,2.3655187477519797e-06,1.1632803369611378e-05,4.379361341883729e-06,1.658089008803635e-08,1.1947055983018179e-14,5.8528440803106634e-08,1.4081329463551028e-10,0.029622679445077398,0.010999662177046706,0.054092535668692904,0.020364030239759343
"(197.086, 202.626]",3.1363230699165782e-06,2.010209843919405e-06,5.746226085661172e-06,3.884303189212279e-06,6.593864812473005e-10,9.374824588857492e-15,3.7087034888113347e-09,8.731286961850326e-11,0.014590174921251923,0.009351496193913074,0.02673144375049577,0.018069778436215524
"(202.626, 207.999]",3.040518989002728e-06,1.70683416996274e-06,3.4333435736435703e-06,3.4738272742851703e-06,1.1297913666958099e-09,6.352825028809018e-15,5.009846639713464e-10,6.944606518036769e-11,0.014144494336840691,0.007940192558666667,0.01597191430458989,0.016160244479974613
"(207.999, 213.47]",2.2246195554652343e-06,1.4496574307926626e-06,3.0792090959366217e-06,2.8383754234949854e-06,2.724099522089959e-10,4.8018878525264485e-15,6.548183067708508e-10,5.932119069624618e-11,0.01034448093291334,0.006740907053185881,0.014318322296105291,0.013198445719251682
"(213.47, 218.954]",2.3979833485880318e-06,1.2319903323215277e-06,3.7335794308519757e-06,2.9208095624166693e-06,3.507228162091827e-10,3.4129779647874024e-15,2.014161522972303e-09,7.797658138878499e-11,0.011155418537631523,0.005731219025959747,0.01736861151232339,0.013587606084362346
"(218.954, 224.269]",2.063749562542719e-06,1.0466918993096753e-06,2.6098290790827163e-06,2.533316197512846e-06,1.2318560527777467e-10,2.2924898901348084e-15,3.8021587548864623e-10,2.927224929471574e-11,0.009600562964948729,0.00486921071558861,0.012140924875892797,0.01178498695082976
"(224.269, 229.603]",2.285153420920071e-06,8.919038514209003e-07,2.1376265676376566e-06,2.2218014181311977e-06,3.186956717350547e-10,1.6843450641346746e-15,1.8549858922363046e-10,2.945764911753587e-11,0.010625963407278331,0.004147352909107186,0.009939963539515102,0.01033137659431007
"(229.603, 234.752]",2.983612805602772e-06,7.614021633605253e-07,4.047295044161178e-06,2.303604166436605e-06,6.654058519798591e-10,1.15069272526406e-15,2.0330569915393004e-09,4.220654495055609e-11,0.013879766771664094,0.003542042863953164,0.0188280165454378,0.010716366582263088
"(234.752, 239.974]",2.745643183130076e-06,6.527548734998582e-07,2.9592808617988212e-06,2.243812174745296e-06,4.778004826795643e-10,9.043930120314598e-16,6.694024348650551e-10,4.728529333987176e-11,0.012767240801554853,0.0030353101617743407,0.013760656007364518,0.010433726612565628
"(239.974, 245.254]",3.117594452595074e-06,5.573498063421739e-07,5.1363445574947985e-06,2.5567561115213928e-06,1.3799320017032547e-09,6.383235392077657e-16,6.697412419341569e-09,1.1969508164250572e-10,0.014503049393472283,0.0025927912991037926,0.023894274881465803,0.01189402943079752
"(245.254, 250.51]",1.7590493653505478e-06,4.752387327972276e-07,2.002920903104388e-06,2.0927185705827474e-06,1.1655959927268737e-10,4.716669654436069e-16,1.668598276568989e-10,3.081020300259616e-11,0.008183097647610748,0.0022108105849727028,0.009317588041241612,0.00973532679035094
"(250.51, 255.844]",2.4444151383667237e-06,4.055175213834472e-07,3.3395303105887345e-06,2.1006197887709813e-06,4.2888286853286696e-10,3.5020750813801974e-16,1.551103327532856e-09,4.638115250014407e-11,0.011366530393405265,0.0018856564744330296,0.015528815944237615,0.009767882017785064
"(255.844, 261.162]",3.3178465916480843e-06,3.459398000209227e-07,3.8098073734895832e-06,1.9176512200563272e-06,1.3127605981127247e-09,2.4944307238672407e-16,4.294168178316531e-09,2.7685960395894584e-11,0.015434622344346888,0.0016093119496973325,0.01772322390147354,0.008920913475702034
