distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance,model_sum,gravity_seed_sum,gravity_sum,sampers_sum
"(-0.001, 2.115]",4.72122057624504e-06,5.543050742063845e-07,2.003274976827795e-06,6.721579867430781e-06,5.392899650535474e-09,8.622917329393284e-17,1.1859146663185332e-08,4.1217213516199477e-08,0.41477811250543173,0.048697917989327696,0.1759957198142291,0.5905176776732638
"(2.115, 3.2]",6.363288091133777e-07,5.319231582218557e-07,6.175232366408048e-07,6.65611523680699e-07,4.47342615131886e-11,2.4699034472418187e-17,2.3498500778408014e-11,2.2535342083558842e-11,0.055902758538228466,0.04673051329610647,0.054250651385367984,0.05847530357839677
"(3.2, 4.113]",3.9243090026766274e-07,5.16472575462854e-07,3.895519807617407e-07,3.8296045095919904e-07,2.518450573513579e-11,1.6566355904912643e-17,7.992231022197324e-12,6.001372395613865e-12,0.03447662431211524,0.04537418164471358,0.03422369971784197,0.033644607458569474
"(4.113, 4.957]",2.656321733280427e-07,5.030886112576356e-07,2.7569848916541176e-07,2.680072926039445e-07,1.5166193244776163e-11,1.3579652249704369e-17,5.874492726316415e-12,4.551676350682788e-12,0.023336317691215205,0.04419734067620581,0.024220663670159754,0.023544976669841733
"(4.957, 5.788]",1.9435653197996658e-07,4.90690274020511e-07,2.5806204239350574e-07,2.453505975187278e-07,8.735831654834276e-12,1.2399335923559667e-17,5.374455808890604e-12,2.839577429274795e-11,0.017074998760567985,0.04310910333379798,0.022671782672439054,0.021555031394410312
"(5.788, 6.614]",1.8347275955812194e-07,4.786239165028496e-07,2.210931739827684e-07,1.952193988554646e-07,1.305148647514732e-11,1.1787587239929182e-17,3.35170855166588e-12,2.6089143267629276e-12,0.016118448872700128,0.04204806831260834,0.01942347752073417,0.017150414628250274
"(6.614, 7.456]",1.2009939072647634e-07,4.668130760801691e-07,2.1003641875305752e-07,1.6504723110844888e-07,3.73978777927694e-12,1.1545522230753285e-17,5.037807580010895e-12,1.2808148332665537e-12,0.010551211872883853,0.04101139598594718,0.018452539533131116,0.014500059441801667
"(7.456, 8.337]",1.5894112045671935e-07,4.5496189252742627e-07,1.8072247833259308e-07,1.8773770101995095e-07,7.648102842591086e-12,1.2001772315100713e-17,1.8561014517634293e-12,1.1954151795063383e-11,0.013963295314363708,0.03996931218231945,0.015876831166474967,0.01649313251000473
"(8.337, 9.272]",1.6703707411156135e-07,4.427311030781861e-07,1.8110085326809818e-07,1.7789661138965264e-07,9.350270412827482e-12,1.2910168597766509e-17,2.1756062508241806e-12,1.5393811549662804e-11,0.014674875108997112,0.03889569832983096,0.015910434363015497,0.015628928897026544
"(9.272, 10.288]",1.0659146570311732e-07,4.299751017432065e-07,1.5446997018817528e-07,1.6471530448242573e-07,3.68455888979984e-12,1.4337469360284748e-17,1.1879202965782158e-12,1.5708119316534814e-11,0.009364273444950263,0.03777417263834418,0.013570495820971574,0.014470568929390065
"(10.288, 11.406]",1.466553643531157e-07,4.1645249174834507e-07,1.730287677811627e-07,1.5111894796614842e-07,9.329557851403643e-12,1.6278843371754044e-17,1.8642785548781464e-12,4.088421879655589e-12,0.012884260379878627,0.03658701721005911,0.015201269364646268,0.013276404054618003
"(11.406, 12.65]",1.1180319417256282e-07,4.020180909189963e-07,1.850752886665753e-07,1.8124987968158377e-07,4.470777541364617e-12,1.864836216387907e-17,2.421067027341242e-12,2.8953674101445203e-11,0.009822134214447989,0.035318093323415664,0.016259234259935973,0.015923164429786498
"(12.65, 14.062]",1.1392512685828273e-07,3.8635797008287357e-07,1.7647752654787126e-07,2.101082871793838e-07,4.8494899906495715e-12,2.2333678882746186e-17,1.832697019068778e-12,7.15662961034669e-11,0.01000877809500757,0.033943093103660775,0.015504256617336681,0.018458853461857584
"(14.062, 15.693]",1.3304845672316857e-07,3.6920288283227956e-07,2.078909448112315e-07,1.8800051270648828e-07,7.916469836915059e-12,2.7113879504026104e-17,4.119724568058575e-12,1.4758376882139984e-11,0.011688573020043804,0.032435211662581426,0.01826363528355631,0.01651622104229041
"(15.693, 17.608]",1.2740228347380216e-07,3.5008887965230043e-07,2.386765907753487e-07,1.6022212989047593e-07,5.05185760507338e-12,3.369725782789283e-17,4.542776026783034e-12,4.74884266722672e-12,0.011192800212307416,0.030756708432973203,0.020968693205977485,0.014076154999397872
