quantile,score,sampers_weight,twitter_weight
"(-0.001, 3.211]",0.030783895737626066,0.6803013956670295,0.4854530282850675
"(3.211, 5.192]",0.5661922395705362,0.07105887741177966,0.07864220516146123
"(5.192, 6.939]",0.7059960927025163,0.04137872114771699,0.04464154969353405
"(6.939, 8.647]",0.8825074724105048,0.027123952092709,0.028532611853742226
"(8.647, 10.313]",0.8046986471170819,0.023205780281156788,0.021962824276486475
"(10.313, 11.904]",0.8134514325602106,0.019712716342905376,0.01946181899322905
"(11.904, 13.467]",0.8863339301939958,0.016058826249937357,0.01610893783979147
"(13.467, 15.011]",0.8852017318322383,0.01580060830440692,0.0138194488026088
"(15.011, 16.559]",0.9451212707317839,0.011952174456422932,0.011307983924765234
"(16.559, 18.16]",0.9236849193558446,0.010246418992412347,0.009468257454785448
"(18.16, 19.809]",0.9566008372479653,0.008724472904093563,0.009314850067522433
"(19.809, 21.501]",0.9565349026202824,0.00773490747011133,0.007292661780873784
"(21.501, 23.229]",0.9585603064603293,0.0067571516454597615,0.007396095549558694
"(23.229, 24.979]",0.9394544606999128,0.006347877381338069,0.006074700100179649
"(24.979, 26.776]",0.9605437242651264,0.004952654685493284,0.004513896152496219
"(26.776, 28.569]",0.9858561173364502,0.003751915085804069,0.004307028615126435
"(28.569, 30.431]",0.9398957360110741,0.005166752540867819,0.0042698389454869125
"(30.431, 32.517]",0.9722488839493588,0.0039174905655575435,0.004860224951014227
"(32.517, 34.741]",0.983694491839928,0.0036809973423511644,0.0044395168132172
"(34.741, 37.035]",0.8870048590385748,0.0036627489066961344,0.006598842006661563
"(37.035, 39.4]",0.9008220270140825,0.003426843502855293,0.0067138975471088295
"(39.4, 41.811]",0.9841984463973278,0.003462707027699667,0.00414083727892485
"(41.811, 44.358]",0.9761659357268071,0.0029023506482748675,0.003595776183270706
"(44.358, 46.832]",0.9803010109223035,0.002458274820287444,0.0035864787658608285
"(46.832, 49.227]",0.9961728297933183,0.0022000476143808644,0.002074486259579252
"(49.227, 51.555]",0.9858174902875657,0.0016819183862230636,0.0026172230008809417
"(51.555, 53.764]",0.9822970453563247,0.0013865370606531212,0.0026056012291185908
"(53.764, 55.987]",0.9807271143289641,0.001274379149365141,0.0024022202232774864
"(55.987, 58.084]",0.9839418463899169,0.0010991943131620637,0.002216271875079908
"(58.084, 60.03]",0.9731082860791391,0.001060798891504906,0.0025405193072494357
"(60.03, 61.847]",0.9599585238480877,0.0008697204267511501,0.002731116364151955
"(61.847, 63.57]",0.9431464618272822,0.0008489955121367134,0.003222717309699304
"(63.57, 65.258]",0.9411195687276857,0.0007231918661469537,0.0031041752377233465
"(65.258, 66.947]",0.9648132655058959,0.0006237128197729336,0.0024382477157407667
"(66.947, 68.708]",0.966162592243741,0.0005362526559303706,0.0022034879261413195
"(68.708, 70.5]",0.9861896550599539,0.000395232039654549,0.0014410996985312443
"(70.5, 72.284]",0.9866207071190344,0.00033867040598463687,0.0012876923112682432
"(72.284, 73.955]",0.9902474453298387,0.00026602218059022554,0.0011203387978904196
"(73.955, 75.584]",0.995350626472737,0.00024270850753749799,0.0008693085278236855
"(75.584, 77.263]",0.9949207211193882,0.000217698140849015,0.0008402540984178129
"(77.263, 78.964]",0.9951907028525498,0.0002073816633197081,0.000805388783130767
"(78.964, 80.601]",0.9935111445023592,0.00016986419873400076,0.0007902804798397143
"(80.601, 82.152]",0.9939530990414536,0.000175597409365517,0.0008204970864218213
"(82.152, 83.605]",0.9903225849605561,0.00014478263577805714,0.0009715801193323549
"(83.605, 84.996]",0.9920298761443772,0.0001316947760737134,0.0009680935878036485
"(84.996, 86.337]",0.9785470496014456,0.00013257984485230795,0.0014469105844124193
"(86.337, 87.635]",0.9765613760204389,0.00012530083398888453,0.001545695644392383
"(87.635, 88.948]",0.9591795247832585,0.00012919675557341873,0.002079134968284188
"(88.948, 90.32]",0.9762222753963521,0.00012232306734143682,0.001615426274966475
"(90.32, 91.756]",0.9520036121979661,0.00013816829545724798,0.002198839217436381
"(91.756, 93.329]",0.9758912729899331,0.0001056989928746652,0.0015840474912081333
"(93.329, 95.065]",0.9741453303515348,9.269661007150054e-05,0.001585209668384368
"(95.065, 96.929]",0.9913961676527483,7.245156358938405e-05,0.0008774437680573294
"(96.929, 98.827]",0.9918573741278852,5.887954559982211e-05,0.0008774437680573292
"(98.827, 100.812]",0.9914934798641853,4.541565951317916e-05,0.0008414162755940489
"(100.812, 102.885]",0.997179885036927,4.581408255679851e-05,0.0005148444890720476
"(102.885, 105.005]",0.9937493454372957,4.359192264094524e-05,0.0007414690384378493
"(105.005, 107.241]",0.9939070299400724,4.076971477806314e-05,0.0007275229123230297
"(107.241, 109.566]",0.9853577723672269,4.0882364788392993e-05,0.0010354998640252715
"(109.566, 111.942]",0.9913464713392732,4.1045312225366584e-05,0.0009250930322829586
"(111.942, 114.296]",0.9848766504580503,3.966532166646974e-05,0.0011842585425833356
"(114.296, 116.81]",0.9862516874389071,3.172391605247723e-05,0.001115690089185478
"(116.81, 119.416]",0.987849617463893,3.057481626022548e-05,0.0010122563205005738
"(119.416, 122.267]",0.9854136280126722,2.9531480297209016e-05,0.0010761760651934917
"(122.267, 125.3]",0.9934133569992176,2.2317796023070495e-05,0.0007972535428971216
"(125.3, 128.45]",0.9905748520148824,2.1579180813725362e-05,0.0009297417409878983
