distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 2.115]",6.698373616029282e-06,6.7215798674307655e-06,1.546974978859149e-08,4.121721351619956e-08,0.588478915662651,0.5905176776732638
"(2.115, 3.2]",8.458038013426563e-07,6.656115236807035e-07,3.0931902835967845e-10,2.2535342083563217e-11,0.0743055555555556,0.05847530357839677
"(3.2, 4.113]",5.087468807397306e-07,3.829604509592006e-07,1.4460212595534824e-10,6.001372395612702e-12,0.04469544846050873,0.033644607458569474
"(4.113, 4.957]",2.9837893363433694e-07,2.680072926039489e-07,8.978914900740827e-11,4.551676350683163e-12,0.026213186077643922,0.023544976669841733
"(4.957, 5.788]",1.814232137418936e-07,2.453505975187246e-07,2.4068611243842314e-11,2.8395774292748353e-11,0.015938755020080332,0.021555031394410312
"(5.788, 6.614]",2.4390311172599296e-07,1.952193988554655e-07,8.708711682656153e-11,2.608914326763172e-12,0.021427376171352087,0.017150414628250274
"(6.614, 7.456]",1.6913786226015888e-07,1.6504723110844923e-07,3.202282796431651e-11,1.2808148332662512e-12,0.014859437751004026,0.014500059441801667
"(7.456, 8.337]",1.6742743866235788e-07,1.877377010199533e-07,3.8566204703587766e-11,1.1954151795063566e-11,0.014708835341365472,0.01649313251000473
"(8.337, 9.272]",1.5647156964720805e-07,1.7789661138965288e-07,3.510508217096365e-11,1.5393811549662713e-11,0.013746653279785819,0.015628928897026544
"(9.272, 10.288]",1.5923701788592883e-07,1.647153044824254e-07,4.336108699131366e-11,1.5708119316534878e-11,0.013989290495314602,0.014470568929390065
"(10.288, 11.406]",2.028511523728254e-07,1.511189479661454e-07,5.609189225697721e-11,4.088421879655556e-12,0.017821285140562262,0.013276404054618003
"(11.406, 12.65]",1.5914178043504002e-07,1.812498796815837e-07,3.927252190719144e-11,2.8953674101445138e-11,0.013980923694779126,0.015923164429786498
"(12.65, 14.062]",1.3475792516786323e-07,2.1010828717938506e-07,2.1238705540280066e-11,7.156629610346696e-11,0.011839022757697463,0.018458853461857584
"(14.062, 15.693]",1.372371667306356e-07,1.8800051270648942e-07,3.341903926351641e-11,1.4758376882139722e-11,0.012056559571619824,0.01651622104229041
"(15.693, 17.608]",1.0933010465915657e-07,1.602221298904762e-07,1.2525270652315328e-11,4.748842667226583e-12,0.009605087014725577,0.014076154999397872
"(17.608, 19.895]",1.3152291967731285e-07,2.00134469775826e-07,2.391584574961154e-11,2.2016773496098535e-11,0.011554551539491309,0.017582213438745612
"(19.895, 22.678]",1.3066280800728488e-07,1.557433636361827e-07,1.3181514555017077e-11,2.5332031342721586e-12,0.011479250334672028,0.013682677468892877
"(22.678, 25.793]",8.428514403651084e-08,1.693243016680729e-07,7.621062727872594e-12,6.690346984133282e-12,0.007404618473895588,0.014875478550143529
