distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 3.211]",7.487441165836511e-06,7.370865429347206e-06,5.4183841997648335e-09,1.943457156399611e-08,0.6910608698421478,0.6803013956670303
"(3.211, 5.192]",8.558591987438919e-07,7.699187099029045e-07,5.087341159330649e-11,2.181540532333095e-11,0.0789906688888655,0.07105887741177956
"(5.192, 6.939]",4.888754927914312e-07,4.4833598227096694e-07,1.9814168059316388e-11,1.6811109713676257e-11,0.045120274731690856,0.0413787211477169
"(6.939, 8.647]",3.008619404803523e-07,2.938864074881269e-07,1.1815653074095444e-11,4.2951250827936175e-12,0.027767751934692907,0.027123952092709007
"(8.647, 10.313]",2.2159440903908747e-07,2.514278005672682e-07,1.0025844962618893e-11,1.158259605537917e-11,0.020452277576671212,0.023205780281156774
"(10.313, 11.904]",1.9477094082420423e-07,2.135861089876414e-07,7.749893262269646e-12,1.1737586146312615e-11,0.017976189212428786,0.01971271634290541
"(11.904, 13.467]",1.4199142330994578e-07,1.7399642717768684e-07,4.692833090393082e-12,6.686930348638246e-12,0.013104956422967941,0.01605882624993737
"(13.467, 15.011]",1.2509795202711978e-07,1.711986510976539e-07,4.096816778223423e-12,6.541378413482351e-12,0.011545790384390853,0.01580060830440691
"(15.011, 16.559]",1.09987281117971e-07,1.295010992743083e-07,3.980805251165236e-12,2.3515412574012177e-12,0.010151166123501896,0.011952174456422934
"(16.559, 18.16]",9.670044736241418e-08,1.1101693456284552e-07,3.3702246002656764e-12,4.567382612172995e-12,0.008925064489761277,0.010246418992412354
"(18.16, 19.809]",8.471177259438989e-08,9.452914495084662e-08,2.4677022793888343e-12,1.6091048029221248e-12,0.00781838833982656,0.008724472904093552
"(19.809, 21.501]",5.8559241306339116e-08,8.380726233678586e-08,1.6925766122665185e-12,2.1987455757773434e-12,0.005404666617127219,0.007734907470111321
"(21.501, 23.229]",5.3484011210307135e-08,7.321333613734136e-08,1.6648902647781626e-12,1.8106132646274081e-12,0.00493625333064406,0.006757151645459761
"(23.229, 24.979]",5.0621807190463666e-08,6.877738343306404e-08,1.733546412602916e-12,3.3608753557607037e-12,0.004672190316451004,0.00634787738133806
"(24.979, 26.776]",2.799284135120103e-08,5.3661718914482965e-08,6.715937910559385e-13,2.268201768954609e-12,0.002583571299667738,0.004952654685493284
"(26.776, 28.569]",2.974688688014117e-08,4.0651776776433096e-08,7.106412342079286e-13,2.6979854762605954e-13,0.002745459177715742,0.003751915085804064
