distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",6.8148685754137e-06,6.192792357374794e-06,9.977236072455086e-09,8.269654227575826e-10,0.03170276861282456,0.028808870046507527
"(102.07, 108.851]",1.534776177188759e-05,1.556160357802473e-05,2.218077270190883e-08,1.3481193735109069e-09,0.07136709223927701,0.07236145663781508
"(108.851, 115.402]",1.6590042052364624e-05,1.5208645404943396e-05,1.3358785963889684e-08,2.1294990960053437e-09,0.07717687562760006,0.07075061842379658
"(115.402, 121.788]",1.2139385441683946e-05,1.2410702300204675e-05,6.225507610209647e-09,1.4257004942528276e-09,0.05644814230383016,0.057709765695951945
"(121.788, 128.103]",1.0823614796245332e-05,1.1090356787066763e-05,5.95544057472095e-09,1.0244614205130734e-09,0.050351456032133125,0.05159233977343475
"(128.103, 134.5]",1.2920497434834167e-05,1.0818847826977324e-05,2.20240686090816e-08,9.051205725168814e-10,0.06010615406684838,0.05032928009109841
"(134.5, 140.658]",1.0365523528350205e-05,9.393690664845558e-06,7.92422878914297e-09,6.090312018887234e-10,0.04819968440682829,0.043680661591531916
"(140.658, 146.534]",7.508690036711483e-06,7.802111302264957e-06,3.747565156716786e-09,2.9030103230061175e-10,0.03493042605078182,0.036295421778136515
"(146.534, 152.416]",6.182720132897948e-06,7.957485654661721e-06,2.566685902707552e-09,6.985824407454098e-10,0.028762014058241286,0.03701822326548638
"(152.416, 158.282]",9.779377852639903e-06,7.254236166114963e-06,1.590576560686194e-08,7.501146011292579e-10,0.04547410701477551,0.03373219817243452
"(158.282, 164.09]",8.695895648265474e-06,6.929871299732205e-06,8.768926294471673e-09,5.727849705756349e-10,0.040453306555730886,0.03223776128635417
"(164.09, 169.751]",7.32682094637847e-06,6.0049731239920705e-06,9.025951436077795e-09,4.60799345438569e-10,0.03406971740065988,0.02792312502656319
"(169.751, 175.259]",4.903004993170938e-06,5.533153274959131e-06,1.6130177180659027e-09,2.650639185300321e-10,0.022808779228231248,0.025740229035109866
"(175.259, 180.935]",5.303879615254098e-06,5.441395931322666e-06,5.161792894579322e-09,2.967037296580983e-10,0.024673647970162103,0.02531337387251313
"(180.935, 186.282]",3.2546509888123262e-06,4.667795108193339e-06,7.363593340237502e-10,2.0661709128698505e-10,0.015134127097977337,0.021705247253098955
"(186.282, 191.76]",4.024164475527093e-06,4.698636308826716e-06,2.347587909416054e-09,1.9899892805783059e-10,0.018720413140152062,0.021858056108661907
"(191.76, 197.086]",5.275311081392493e-06,4.3793613418837275e-06,7.284571696298584e-09,1.4081329463551054e-10,0.024530196528475115,0.020364030239759343
"(197.086, 202.626]",3.916236692658551e-06,3.884303189212294e-06,1.2323667688415493e-09,8.731286961850326e-11,0.0182183330942476,0.018069778436215524
"(202.626, 207.999]",3.068232684405717e-06,3.473827274285173e-06,1.2526705020045251e-09,6.944606518036766e-11,0.014273418447855403,0.016160244479974613
"(207.999, 213.47]",2.406282247652715e-06,2.8383754234949808e-06,1.3420462155052216e-09,5.932119069624611e-11,0.011189212451585141,0.013198445719251682
"(213.47, 218.954]",2.2356469308483853e-06,2.9208095624166583e-06,5.004991132520993e-10,7.797658138878513e-11,0.0104002295223067,0.013587606084362346
"(218.954, 224.269]",2.374411223107941e-06,2.5333161975128545e-06,3.96989806106004e-10,2.9272249294715746e-11,0.011045761009898151,0.01178498695082976
"(224.269, 229.603]",3.486024281855856e-06,2.221801418131194e-06,2.070464451886917e-09,2.945764911753588e-11,0.016210012910629755,0.01033137659431007
"(229.603, 234.752]",2.374411223107942e-06,2.3036041664366014e-06,7.000675645154362e-10,4.220654495055603e-11,0.011045761009898151,0.010716366582263088
"(234.752, 239.974]",2.0669347511888706e-06,2.243812174745299e-06,4.162345046272164e-10,4.7285293339871624e-11,0.00961124659302826,0.010433726612565628
"(239.974, 245.254]",3.5616168346619116e-06,2.5567561115213945e-06,2.47277100172649e-09,1.1969508164250534e-10,0.016568641514847226,0.01189402943079752
"(245.254, 250.51]",1.156369102162959e-06,2.092718570582739e-06,1.2365444525747773e-10,3.081020300259618e-11,0.005379429063262086,0.00973532679035094
"(250.51, 255.844]",1.2956904410437712e-06,2.1006197887709762e-06,1.82016269148783e-10,4.638115250014411e-11,0.006024960550853537,0.009767882017785064
"(255.844, 261.162]",1.5264072148551048e-06,1.9176512200563327e-06,2.399105621506526e-10,2.7685960395894607e-11,0.007100846363505955,0.008920913475702034
"(261.162, 266.661]",2.1749089546091863e-06,1.8402540986598523e-06,3.4827385374653815e-10,2.3068510768795885e-11,0.010113326638932722,0.008557181558768306
"(266.661, 272.129]",9.405135364258737e-07,1.6727634504054023e-06,1.0419694865753199e-10,1.8335710085135267e-11,0.004375268971453164,0.007781695571285933
"(272.129, 277.715]",1.017604809903404e-06,1.6336300869643858e-06,2.2240114539284447e-10,2.016567845476246e-11,0.004733897575670635,0.007599647164558308
"(277.715, 283.342]",1.2494157824350648e-06,1.5276091043577443e-06,2.6955539415341446e-10,1.907688691572736e-11,0.005809783388323053,0.007103382335263514
"(283.342, 289.14]",1.464734196073081e-06,1.566019138558463e-06,2.290338424753784e-10,2.2974484310044803e-11,0.006813943480131976,0.0072851210325740046
"(289.14, 295.075]",1.279715139727008e-06,1.4062204573210307e-06,2.7157440890042423e-10,1.2246342458770142e-11,0.0059532348300100416,0.0065417375674574315
"(295.075, 301.331]",1.2185660100292612e-06,1.226462396396192e-06,3.3160109457399556e-10,9.167281121123304e-12,0.005666331946636064,0.005703050143242295
"(301.331, 307.68]",1.1409508474674528e-06,1.2066004466645521e-06,2.3540831733052493e-10,1.0888827349208815e-11,0.005307703342418592,0.005613105277883499
"(307.68, 313.891]",9.100682859712206e-07,1.1702861559200128e-06,1.0651170639589242e-10,8.05710686558473e-12,0.004231817529766174,0.005441830625028054
"(313.891, 320.547]",1.2026238662494774e-06,1.168282066546124e-06,1.7995759063333356e-10,9.755763912622663e-12,0.005594606225792569,0.005434848173572594
"(320.547, 326.988]",8.325857535573308e-07,1.0605425208526072e-06,1.0991897250734799e-10,5.8194679078955945e-12,0.003873188925548702,0.004933643807006316
"(326.988, 333.082]",9.409180583770244e-07,1.1868473198862642e-06,1.6842413897266064e-10,1.8202795901027372e-11,0.0043752689714531634,0.005518840037471136
"(333.082, 339.529]",1.218042120944983e-06,1.0792834048890106e-06,2.0978558672260053e-10,1.2046159741154847e-11,0.005666331946636064,0.005020826399543681
"(339.529, 346.178]",8.329438549567104e-07,1.0826649371341844e-06,1.5644312183675095e-10,1.089654184873382e-11,0.0038731889255487024,0.005034391957673979
"(346.178, 352.733]",7.863309894708125e-07,1.1028895390242016e-06,1.26585719307787e-10,1.5774856754920666e-11,0.003658011763018219,0.005130642135540591
"(352.733, 359.7]",9.096770270348614e-07,9.487637302098885e-07,3.431766268118465e-10,1.0263968625041321e-11,0.004231817529766174,0.0044136488729364124
"(359.7, 366.652]",5.398710171015714e-07,9.721906226657364e-07,5.171863241754278e-11,6.7230594214374655e-12,0.0025104002295223073,0.004520686395395664
"(366.652, 373.677]",5.858936784292327e-07,9.463290641447735e-07,9.035875767328796e-11,7.779367141941397e-12,0.0027255773920527907,0.004402322806401495
"(373.677, 380.777]",9.713500458168852e-07,1.0158893633057778e-06,3.253626219571423e-10,1.1659862416405969e-11,0.004518720413140153,0.004725917318098492
