distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",4.32601304123902e-06,6.192792357374794e-06,1.7585698628711053e-09,8.269654227575826e-10,0.020124612667843933,0.028808870046507527
"(102.07, 108.851]",1.4115746975593663e-05,1.556160357802473e-05,9.99716499969358e-09,1.3481193735109069e-09,0.06563822343651084,0.07236145663781508
"(108.851, 115.402]",1.713931988027306e-05,1.5208645404943396e-05,2.267272642777425e-08,2.1294990960053437e-09,0.07973211608303069,0.07075061842379658
"(115.402, 121.788]",1.0912833829354918e-05,1.2410702300204675e-05,5.011352585942342e-09,1.4257004942528276e-09,0.05074467730650051,0.057709765695951945
"(121.788, 128.103]",1.1087198986486723e-05,1.1090356787066763e-05,9.410817169278286e-09,1.0244614205130734e-09,0.05157764968513644,0.05159233977343475
"(128.103, 134.5]",7.255382799296562e-06,1.0818847826977324e-05,2.8133030208201814e-09,9.051205725168814e-10,0.03375204078232766,0.05032928009109841
"(134.5, 140.658]",8.849211936476255e-06,9.393690664845558e-06,4.943253128863028e-09,6.090312018887234e-10,0.041148835504614664,0.043680661591531916
"(140.658, 146.534]",9.733529342787766e-06,7.802111302264957e-06,7.963185241659975e-09,2.9030103230061175e-10,0.04528037850264885,0.036295421778136515
"(146.534, 152.416]",4.3188507679919316e-06,7.957485654661721e-06,9.368209506840217e-10,6.985824407454098e-10,0.02009129377269849,0.03701822326548638
"(152.416, 158.282]",1.1220944042527786e-05,7.254236166114963e-06,3.3540059183028484e-08,7.501146011292579e-10,0.0521773897977543,0.03373219817243452
"(158.282, 164.09]",9.074600204056005e-06,6.929871299732205e-06,8.601427203716128e-09,5.727849705756349e-10,0.04221504014926864,0.03223776128635417
"(164.09, 169.751]",4.743464212103061e-06,6.0049731239920705e-06,1.964252676293322e-09,4.60799345438569e-10,0.022057108586279274,0.02792312502656319
"(169.751, 175.259]",4.927643993994117e-06,5.533153274959131e-06,1.919607237039976e-09,2.650639185300321e-10,0.022923399860060638,0.025740229035109866
"(175.259, 180.935]",6.138068172751392e-06,5.441395931322666e-06,6.687416362380525e-09,2.967037296580983e-10,0.02855429313963949,0.02531337387251313
"(180.935, 186.282]",4.1344091395520605e-06,4.667795108193339e-06,1.3175172016005328e-09,2.0661709128698505e-10,0.019225002498917135,0.021705247253098955
"(186.282, 191.76]",4.548043511898639e-06,4.698636308826716e-06,1.8069627901340497e-09,1.9899892805783059e-10,0.021157498417352476,0.021858056108661907
"(191.76, 197.086]",6.176534971046591e-06,4.3793613418837275e-06,1.2888186244751491e-08,1.4081329463551054e-10,0.028720887615366668,0.020364030239759343
"(197.086, 202.626]",4.232903489026914e-06,3.884303189212294e-06,1.8813377151006967e-09,8.731286961850326e-11,0.01969146703095325,0.018069778436215524
"(202.626, 207.999]",3.824653913943105e-06,3.473827274285173e-06,1.4318323408046506e-09,6.944606518036766e-11,0.017792290007663344,0.016160244479974613
"(207.999, 213.47]",3.238739915212359e-06,2.8383754234949808e-06,2.364543735177139e-09,5.932119069624611e-11,0.015060140605737512,0.013198445719251682
"(213.47, 218.954]",2.5426070027149862e-06,2.9208095624166583e-06,6.172316193912375e-10,7.797658138878513e-11,0.011828207776630125,0.013587606084362346
"(218.954, 224.269]",2.9580188510458797e-06,2.5333161975128545e-06,1.0717994146771898e-09,2.9272249294715746e-11,0.01376070369506547,0.01178498695082976
"(224.269, 229.603]",2.6010234274824942e-06,2.221801418131194e-06,2.3111971166016228e-09,2.945764911753588e-11,0.012094758937793621,0.01033137659431007
"(229.603, 234.752]",3.0439661300108943e-06,2.3036041664366014e-06,1.4169070625453836e-09,4.220654495055603e-11,0.014160530436810714,0.010716366582263088
"(234.752, 239.974]",2.1711021997994397e-06,2.243812174745299e-06,7.744669422414429e-10,4.7285293339871624e-11,0.010095625229067401,0.010433726612565628
"(239.974, 245.254]",1.8550287709948787e-06,2.5567561115213945e-06,2.249847842577666e-10,1.1969508164250534e-10,0.008629593842668176,0.01189402943079752
"(245.254, 250.51]",1.9982742359365667e-06,2.092718570582739e-06,3.9103855507566805e-10,3.081020300259618e-11,0.009295971745576915,0.00973532679035094
"(250.51, 255.844]",2.149606138415288e-06,2.1006197887709762e-06,6.32477990493944e-10,4.638115250014411e-11,0.00999566854363109,0.009767882017785064
"(255.844, 261.162]",2.2059801601020143e-06,1.9176512200563327e-06,6.734905529614594e-10,2.7685960395894607e-11,0.010262219704794587,0.008920913475702034
"(261.162, 266.661]",2.5437005971247542e-06,1.8402540986598523e-06,1.894559468346585e-09,2.3068510768795885e-11,0.011828207776630125,0.008557181558768306
"(266.661, 272.129]",1.210424178757277e-06,1.6727634504054023e-06,1.0475175982122663e-10,1.8335710085135267e-11,0.005630893279578848,0.007781695571285933
"(272.129, 277.715]",1.2533978182397837e-06,1.6336300869643858e-06,1.0369109629606719e-10,2.016567845476246e-11,0.00583080665045147,0.007599647164558308
"(277.715, 283.342]",1.6122046038114672e-06,1.5276091043577443e-06,3.7588718201791825e-10,1.907688691572736e-11,0.007496751407723319,0.007103382335263514
"(283.342, 289.14]",1.074340987062672e-06,1.566019138558463e-06,1.0482405446650719e-10,2.2974484310044803e-11,0.004997834271815545,0.0072851210325740046
"(289.14, 295.075]",8.809596093913908e-07,1.4062204573210307e-06,8.061714941541485e-11,1.2246342458770142e-11,0.004098224102888747,0.0065417375674574315
"(295.075, 301.331]",8.670078091608333e-07,1.226462396396192e-06,1.5661273931174336e-10,9.167281121123304e-12,0.004031586312597873,0.005703050143242295
"(301.331, 307.68]",1.611511480594007e-06,1.2066004466645521e-06,6.521300763993165e-10,1.0888827349208815e-11,0.00749675140772332,0.005613105277883499
"(307.68, 313.891]",1.7340156183216666e-06,1.1702861559200128e-06,4.760113514309727e-10,8.05710686558473e-12,0.008063172625195746,0.005441830625028054
"(313.891, 320.547]",2.0842215149015795e-06,1.168282066546124e-06,1.4065536894441511e-09,9.755763912622663e-12,0.009695798487322159,0.005434848173572594
"(320.547, 326.988]",1.8908401372303015e-06,1.0605425208526072e-06,5.492307834855693e-10,5.8194679078955945e-12,0.00879618831839536,0.004933643807006316
"(326.988, 333.082]",1.6695274341692084e-06,1.1868473198862642e-06,8.203316361301755e-10,1.8202795901027372e-11,0.007763302568886815,0.005518840037471136
"(333.082, 339.529]",1.2104241787572764e-06,1.0792834048890106e-06,2.708802368162912e-10,1.2046159741154847e-11,0.0056308932795788484,0.005020826399543681
"(339.529, 346.178]",1.1751180223336917e-06,1.0826649371341844e-06,1.8487736018328225e-10,1.089654184873382e-11,0.005464298803851663,0.005034391957673979
"(346.178, 352.733]",8.164991501676305e-07,1.1028895390242016e-06,5.996053228809556e-11,1.5774856754920666e-11,0.0037983540465798145,0.005130642135540591
"(352.733, 359.7]",5.228459470371668e-07,9.487637302098885e-07,4.7225951101030286e-11,1.0263968625041321e-11,0.002432279345616899,0.0044136488729364124
"(359.7, 366.652]",8.240156863925276e-07,9.721906226657364e-07,9.746478541337991e-11,6.7230594214374655e-12,0.0038316729417252515,0.004520686395395664
"(366.652, 373.677]",3.2230229611880144e-07,9.463290641447735e-07,2.4003823286722815e-11,7.779367141941397e-12,0.0014993502815446637,0.004402322806401495
"(373.677, 380.777]",8.809596093913908e-07,1.0158893633057778e-06,2.596349047980505e-10,1.1659862416405969e-11,0.004098224102888747,0.004725917318098492
