distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 3.211]",7.45250233241933e-06,7.370865429347206e-06,8.336441436135828e-09,1.943457156399611e-08,0.6878361552730343,0.6803013956670303
"(3.211, 5.192]",8.991413881337816e-07,7.699187099029045e-07,1.0329443672586513e-10,2.181540532333095e-11,0.0829853552764205,0.07105887741177956
"(5.192, 6.939]",4.7437222100165054e-07,4.4833598227096694e-07,4.153723635239669e-11,1.6811109713676257e-11,0.043781709765125534,0.0413787211477169
"(6.939, 8.647]",3.005091579937897e-07,2.938864074881269e-07,2.7430363518492475e-11,4.2951250827936175e-12,0.027735192227878427,0.027123952092709007
"(8.647, 10.313]",2.2791214587928826e-07,2.514278005672682e-07,1.7283426465571164e-11,1.158259605537917e-11,0.02103537941607454,0.023205780281156774
"(10.313, 11.904]",2.220436426220709e-07,2.135861089876414e-07,1.6406508850482315e-11,1.1737586146312615e-11,0.0204932959521612,0.01971271634290541
"(11.904, 13.467]",1.7445958446974816e-07,1.7399642717768684e-07,1.0757304027743562e-11,6.686930348638246e-12,0.01610157288905081,0.01605882624993737
"(13.467, 15.011]",1.490844792062626e-07,1.711986510976539e-07,1.3909606414856044e-11,6.541378413482351e-12,0.013759602923862725,0.01580060830440691
"(15.011, 16.559]",1.3201478814294155e-07,1.295010992743083e-07,1.4720103910979544e-11,2.3515412574012177e-12,0.012184172856864595,0.011952174456422934
"(16.559, 18.16]",9.525782461151585e-08,1.1101693456284552e-07,6.875170943056138e-12,4.567382612172995e-12,0.00879191618034442,0.010246418992412354
"(18.16, 19.809]",6.621388226981706e-08,9.452914495084662e-08,4.2462326228296425e-12,1.6091048029221248e-12,0.006111144050210499,0.008724472904093552
"(19.809, 21.501]",7.612531579045512e-08,8.380726233678586e-08,5.527799607163605e-12,2.1987455757773434e-12,0.007025909895564255,0.007734907470111321
"(21.501, 23.229]",9.195607766369625e-08,7.321333613734136e-08,1.3832623928824637e-11,1.8106132646274081e-12,0.008486994231893169,0.006757151645459761
"(23.229, 24.979]",4.639000996254415e-08,6.877738343306404e-08,3.654896677177992e-12,3.3608753557607037e-12,0.0042816123595029905,0.00634787738133806
"(24.979, 26.776]",3.872800875656652e-08,5.3661718914482965e-08,3.835773579376881e-12,2.268201768954609e-12,0.00357436284017856,0.004952654685493284
"(26.776, 28.569]",3.6296036642706274e-08,4.0651776776433096e-08,2.530241445454724e-12,2.6979854762605954e-13,0.003349906405901944,0.003751915085804064
"(28.569, 30.431]",2.8403598839235365e-08,5.5981456442107156e-08,9.943657863096832e-13,3.844206297738422e-12,0.0026214817512683988,0.00516675254086782
"(30.431, 32.517]",2.0924137432457734e-08,4.244577725049856e-08,6.832210439641601e-13,5.803639834852311e-13,0.00193117234019126,0.003917490565557543
"(32.517, 34.741]",3.4643380338002797e-08,3.988252299505035e-08,1.3884355898863288e-12,3.1209395146657264e-13,0.0031974454316763185,0.003680997342351165
"(34.741, 37.035]",1.9272231845684758e-08,3.9685666529743274e-08,3.249398179389997e-13,3.5767645787114356e-13,0.001778711365965634,0.00366274890669614
"(37.035, 39.4]",4.570272123405251e-08,3.7129645511682973e-08,4.923053466208455e-12,1.5574504884609492e-13,0.004218086953575646,0.003426843502855294
"(39.4, 41.811]",2.647637565466691e-08,3.7518224670072615e-08,2.5160886478646216e-12,3.3755866508504197e-13,0.002443610614671835,0.003462707027699663
"(41.811, 44.358]",2.7164669649155677e-08,3.14467966311445e-08,2.1711129855781777e-12,2.5299728932682725e-13,0.0025071360205991796,0.0029023506482748684
"(44.358, 46.832]",1.578453355797744e-08,2.6634684279789606e-08,9.348546507685549e-13,9.920394938322548e-14,0.0014568493092670907,0.0024582748202874416
"(46.832, 49.227]",9.406684591346169e-09,2.383738503457279e-08,1.827776290200513e-13,1.1073561199735695e-13,0.0008681805476737025,0.002200047614380865
"(49.227, 51.555]",1.7482667460014036e-08,1.8223485667790425e-08,2.4605164816438138e-12,5.503620107007121e-14,0.0016135453105545396,0.0016819183862230636
"(51.555, 53.764]",4.634512896224209e-09,1.5023046575650774e-08,4.292582346811804e-14,2.111347115159833e-14,0.00042773773324411677,0.0013865370606531203
"(53.764, 55.987]",5.001494644824268e-09,1.3807523071044669e-08,1.2998006489766043e-13,1.9754952059062265e-14,0.00046161794973870033,0.00127437914936514
"(55.987, 58.084]",5.9652146189024465e-09,1.1909704998830632e-08,1.2083872397071475e-13,1.3676601506479875e-14,0.0005505535180369821,0.0010991943131620646
"(58.084, 60.03]",5.506351955909952e-09,1.149369288908153e-08,6.33218091072443e-14,1.721481046705123e-14,0.0005082032474187527,0.0010607988915049059
"(60.03, 61.847]",4.9557167603189554e-09,9.423369089552295e-09,8.353806520494743e-14,1.759069732488842e-14,0.00045738292267687733,0.0008697204267511504
"(61.847, 63.57]",6.286418482997193e-09,9.198815872502195e-09,3.017575874985241e-13,2.406640488274203e-14,0.0005801987074697426,0.0008489955121367141
"(63.57, 65.258]",3.7167070296400527e-09,7.835571055592419e-09,4.254390274893989e-14,5.203096697810983e-15,0.00034303719200765807,0.0007231918661469536
"(65.258, 66.947]",8.580731797959671e-09,6.757891301416449e-09,4.859499147198944e-13,6.716634704556209e-15,0.0007919500605608896,0.0006237128197729332
"(66.947, 68.708]",2.1107682497654806e-09,5.8102656286472456e-09,2.9145297376348166e-14,7.798050675464242e-15,0.00019481124484385518,0.0005362526559303709
"(68.708, 70.5]",2.5696309127579774e-09,4.282315639744177e-09,3.341844676535681e-14,2.9110615267439787e-15,0.0002371615154620846,0.00039523203965454926
"(70.5, 72.284]",6.699394879690437e-09,3.669473703432954e-09,1.0369089894003498e-12,3.94318742368207e-15,0.0006183139510261491,0.0003386704059846365
"(72.284, 73.955]",3.900248117523509e-09,2.882272044186387e-09,1.2804659327708725e-13,8.04412527024862e-16,0.00035997730025494985,0.00026602218059022526
"(73.955, 75.584]",1.1012703911819895e-09,2.629732241938765e-09,7.383391224782759e-15,4.08834187510578e-16,0.00010164064948375054,0.00024270850753749793
"(75.584, 77.263]",1.05538412488274e-09,2.3587464065813067e-09,9.909802093160238e-15,7.989146081319876e-16,9.740562242192759e-05,0.00021769814084901488
"(77.263, 78.964]",2.15665451606473e-09,2.246967986214792e-09,3.361473031598185e-14,2.3220963746019714e-15,0.00019904627190567813,0.00020738166331970805
"(78.964, 80.601]",6.882790795629721e-10,1.8404286072419284e-09,3.303093325063078e-15,5.594974731126404e-16,6.352540592734408e-05,0.00016986419873400076
"(80.601, 82.152]",1.6519055867729847e-09,1.902587485270084e-09,3.6531627979949296e-14,9.594733524427628e-16,0.00015246097422562583,0.00017559740936551676
